,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.atleta_id,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido,atletas.foto,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,DS,FC,FD,FF,FS,FT,G,I,CA,CV,SG,PS,DE,GS,DP,A,PC,PP,V,GC
62,7,Coritiba,294,3.11,5.98,69029,Antônio Carlos Zago,1.92,5,antonio-carlos-zago,Antônio Carlos Zago,https://s.sde.globo.com/media/person_role/2023/05/10/photo_FORMATO_QhbNvRM.png,-0.01,3.73,A. Zago,6,7,,,,,,,,,,,,,,,,,,,,
63,7,Corinthians,264,3.8,4.5,69034,José Paulo Bezerra Maciel Júnior,2.29,4,paulinho,Paulinho,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,0.11,2.1,Paulinho,4,7,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,
64,7,Santos,277,0.0,4.0,69040,Vladimir Orlando Cardoso de Araújo Filho,4.52,0,vladimir,Vladimir,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,0.0,0.0,Vladimir,1,6,,,,,,,,,,,,,,,,,,,,
65,7,Bahia,265,0.0,5.0,69051,Danilo Fernandes Batista,5.65,0,danilo-fernandes,Danilo Fernandes,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,0.0,0.0,D. Fernandes,1,6,,,,,,,,,,,,,,,,,,,,
66,7,Atlético-MG,282,2.9,5.22,69102,Eduardo Jesús Vargas Rojas,1.79,5,vargas,Vargas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,-0.68,2.52,Vargas,5,6,3.0,4.0,2.0,1.0,,,1.0,,2.0,,,1.0,,,,,,,,
67,7,Athlético-PR,293,2.0,11.54,69138,Pablo Felipe Teixeira,1.34,7,pablo,Pablo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,-1.83,5.36,Pablo,5,2,10.0,8.0,2.0,7.0,8.0,,1.0,1.0,2.0,,,,,,,2.0,,,,
68,7,Flamengo,262,0.0,5.0,69165,Pablo Nascimento Castro,5.65,0,pablo,Pablo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,0.0,0.0,Pablo,3,6,,,,,,,,,,,,,,,,,,,,
69,7,Goiás,290,0.0,1.76,69189,Sidimar Fernando Cigolini,0.42,4,sidimar,Sidimar,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,0.0,0.5,Sidimar,3,6,2.0,4.0,1.0,2.0,4.0,,,,1.0,,,,,,,,,,,1.0
70,7,Grêmio,284,15.9,14.9,69318,Luis Alberto Suárez Díaz,9.29,6,luis-suarez,Luis Suárez,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,2.42,7.17,L. Suárez,5,7,4.0,7.0,8.0,6.0,15.0,1.0,2.0,6.0,1.0,,,,,,,1.0,,1.0,,
71,7,Internacional,285,0.0,10.0,69325,Charles Mariano Aránguiz Sandoval,11.3,0,aranguiz,Aránguiz,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,0.0,0.0,Aránguiz,4,6,,,,,,,,,,,,,,,,,,,,
