,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.variacao_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.slug,atletas.nome,atletas.jogos_num,atletas.status_id,atletas.media_num,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FD,FF,FS,FT,I,PC,SG,A,CV,GC,DE,GS,G,PP,V,PS,DP,PI
36,False,Gilberto,0.0,30,Cruzeiro,283,5,61188,0.0,7.86,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,gilberto,Gilberto Oliveira Souza Júnior,20,6,2.8,Gilberto,,4.0,8.0,20.0,6.0,19.0,11.0,,4.0,,,1.0,,,,,3.0,,,,,
37,False,Ganso,0.0,30,Fluminense,266,4,62977,0.0,11.68,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,ganso,Paulo Henrique Chagas de Lima,21,6,4.28,Ganso,,3.0,16.0,13.0,3.0,6.0,30.0,,1.0,,,6.0,,,,,3.0,,,,,
38,False,J. Caiçara,0.0,30,Santos,277,2,63011,0.0,2.19,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,junior-caicara,Uilson de Souza Paula Júnior,3,6,0.8,Júnior Caiçara,,1.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,
39,True,M. Rocha,-1.9,30,Palmeiras,275,2,63013,6.3,6.73,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,marcos-rocha,Marcos Luis Rocha Aquino,14,6,5.63,Marcos Rocha,,1.0,22.0,14.0,,2.0,8.0,,,1.0,8.0,1.0,,,,,1.0,,,,,
40,True,Fransérgio,0.05,30,Coritiba,294,4,63024,-0.6,3.43,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,fransergio,Fransérgio Rodrigues Barbosa,14,6,0.97,Fransérgio,,1.0,7.0,8.0,1.0,5.0,7.0,,1.0,,,,,,,,,,,,,
41,False,W. Farias,0.0,30,Coritiba,294,4,63058,0.0,2.29,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,willian-farias,Willian Roberto Farias,8,7,0.62,Willian Farias,,2.0,7.0,10.0,,2.0,6.0,,,,,,1.0,,,,,,,,,
42,True,Edenílson,-0.31,30,Atlético-MG,282,4,63289,1.2,4.84,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,edenilson,Edenílson Andrade dos Santos,21,6,1.84,Edenílson,,,20.0,14.0,2.0,1.0,11.0,,,,,2.0,,,,,,,,,,
43,False,R. Moledo,0.0,30,Internacional,285,3,63354,0.0,2.82,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,rodrigo-moledo,Rodrigo Modesto da Silva Moledo,7,3,1.26,Rodrigo Moledo,,3.0,4.0,2.0,1.0,,3.0,,1.0,,1.0,,,,,,,,,,,
44,True,A. Patrick,0.97,30,Internacional,285,4,68685,11.7,10.39,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,alan-patrick,Alan Patrick Lourenço,27,7,3.58,Alan Patrick,,5.0,14.0,22.0,5.0,13.0,47.0,1.0,4.0,,,5.0,,,,,3.0,,,,,
45,True,Eduardo,0.46,30,Botafogo,263,4,68708,4.1,12.54,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,eduardo,Carlos Eduardo de Oliveira Alves,26,7,4.21,Eduardo,,5.0,16.0,28.0,10.0,9.0,43.0,2.0,,,,5.0,,,,,4.0,,,,,
46,True,Dodô,-0.1,30,Santos,277,2,68727,2.4,4.03,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,dodo,José Rodolfo Pires Ribeiro,15,7,2.11,Dodô,,3.0,24.0,11.0,,2.0,8.0,,3.0,1.0,,1.0,,,,,,,,,,
47,False,Camacho,0.0,30,Santos,277,4,68770,0.0,1.79,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,camacho,Guilherme de Aguiar Camacho,10,6,0.63,Camacho,,3.0,14.0,18.0,,,2.0,,1.0,,,,1.0,,,,,,,,,
48,False,M. Lomba,0.0,30,Palmeiras,275,1,68872,0.0,6.17,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,marcelo-lomba,Marcelo Lomba do Nascimento,3,6,4.83,Marcelo Lomba,,,,,,,1.0,,,,1.0,,,,12.0,3.0,,,,,,
49,True,W. Silva,-0.07,30,Cuiabá,1371,5,68895,0.1,4.4,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,wellington-silva,Wellington Alves da Silva,25,6,2.63,Wellington Silva,,1.0,24.0,12.0,5.0,6.0,36.0,,3.0,,,1.0,,,,,1.0,,,,,
50,True,Vinicius,0.89,30,Goiás,290,5,68917,5.5,7.15,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,vinicius,Vinicius Santos Silva,18,6,2.66,Vinicius,,1.0,15.0,12.0,6.0,12.0,10.0,1.0,4.0,,,2.0,,,,,,,,,,
51,False,Dudu,0.0,30,Palmeiras,275,5,68920,0.0,14.16,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,dudu,Eduardo Pereira Rodrigues,14,5,6.04,Dudu,,,7.0,9.0,7.0,11.0,40.0,1.0,3.0,,,3.0,,,,,3.0,,,,,
52,True,Gil,-0.37,30,Corinthians,264,3,68923,5.9,6.82,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,gil,Carlos Gilberto do Nascimento Silva,26,7,3.72,Gil,,8.0,29.0,27.0,7.0,7.0,6.0,,4.0,,7.0,2.0,,,,,2.0,,,,,
53,True,Rafael,0.43,30,São Paulo,276,1,68928,1.0,7.15,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,rafael,Rafael Pires Monteiro,25,7,2.73,Rafael,,1.0,1.0,,,,2.0,,,,7.0,,,,63.0,31.0,,,,,,
54,False,R. Cabral,0.0,30,Cruzeiro,283,1,68940,0.0,10.56,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,rafael-cabral,Rafael Cabral Barbosa,27,7,3.98,Rafael Cabral,,3.0,1.0,,,,4.0,,,1.0,11.0,,,,77.0,24.0,,,,,,
55,False,L. Castán,0.0,30,Cruzeiro,283,3,68942,0.0,7.32,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,luciano-castan,Luciano Castán da Silva,26,7,3.46,Luciano Castán,,6.0,16.0,19.0,6.0,7.0,14.0,,1.0,,11.0,,,,,,1.0,,,,,
