,atletas.posicao_id,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.atleta_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.foto,atletas.slug,atletas.status_id,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.nome,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,PS,SG,CV,I,PC,DE,GS,FT,PP,DP,GC,V,PI
10,2,0.0,13,Mariano,38877,2.45,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,mariano,6,282,5.95,20,Atlético-MG,Mariano Ferreira Filho,False,Mariano,0.0,,3.0,19.0,17.0,1.0,,2.0,,,3.0,,,,,,,,,,,
11,5,0.04,18,Hulk,39148,8.33,,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,hulk,7,282,17.82,20,Atlético-MG,Givanildo Vieira de Souza,True,Hulk,7.0,3.0,4.0,8.0,31.0,24.0,29.0,61.0,7.0,1.0,,1.0,8.0,,,,1.0,,,,,
12,4,0.0,4,Alan Franco,39656,0.73,,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_220x220.png,alan-franco,6,282,3.5,20,Atlético-MG,Alan Steven Franco Palma,False,A. Franco,0.0,,1.0,5.0,7.0,,,,,,,,,,,,,,,,,
13,6,0.08,19,Dorival Júnior,40990,5.17,,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,dorival-junior,7,276,11.35,20,São Paulo,Dorival Silvestre Júnior,True,D. Júnior,4.18,,,,,,,,,,,,,,,,,,,,7.0,
14,6,-0.45,16,Vanderlei Luxemburgo,41327,4.85,,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,vanderlei-luxemburgo,7,264,8.32,20,Corinthians,Vanderlei Luxemburgo da Silva,True,V. Luxemburgo,4.02,,,,,,,,,,,,,,,,,,,,5.0,
15,6,-0.77,19,Renato Gaúcho,41929,5.31,,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,renato-gaucho,7,284,12.32,20,Grêmio,Renato Portaluppi,True,R. Gaúcho,2.3,,,,,,,,,,,,,,,,,,,,10.0,
16,5,0.0,7,Willian,42116,2.47,,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,willian,5,293,4.85,20,Athlético-PR,Willian Gomes de Siqueira,False,Willian,0.0,,,,1.0,,2.0,,2.0,,,,,,,,,,,,,
17,1,0.35,19,Cássio,42234,3.27,,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,cassio,7,264,7.99,20,Corinthians,Cássio Roberto Ramos,True,Cássio,5.0,,2.0,,,,,4.0,,,4.0,,,1.0,65.0,22.0,,,,,,
18,2,0.0,16,Fagner,42500,3.86,,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,fagner,6,264,7.73,20,Corinthians,Fagner Conserva Lemos,False,Fagner,0.0,1.0,5.0,22.0,11.0,1.0,3.0,24.0,,,4.0,,,,,,1.0,,,,,
19,6,-0.64,10,Luiz Felipe Scolari,43618,4.33,,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,luiz-felipe-scolari,7,282,9.72,20,Atlético-MG,Luiz Felipe Scolari,True,L. Scolari,3.08,,,,,,,,,,,,,,,,,,,,2.0,
20,5,-0.25,6,Alexandre Pato,49675,2.02,,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,alexandre-pato,6,276,4.04,20,São Paulo,Alexandre Rodrigues da Silva,True,A. Pato,0.7,,,1.0,,,2.0,3.0,1.0,,,,2.0,,,,,,,,,
21,3,0.0,10,David Braz,50317,2.86,,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,david-braz,6,266,5.34,20,Fluminense,David Braz de Oliveira Filho,False,D. Braz,0.0,,1.0,3.0,7.0,,2.0,3.0,,,5.0,,,,,,,,,,,
22,5,-0.14,6,Alan Kardec,50347,1.47,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,alan-kardec,6,282,4.22,20,Atlético-MG,Alan Kardec de Sousa Pereira Júnior,True,A. Kardec,0.0,,1.0,,3.0,,3.0,1.0,1.0,,,,2.0,,,,,,,,,
23,3,0.0,17,Titi,50353,4.58,,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,titi,3,356,8.66,20,Fortaleza,Christian Chagas Tarouco,False,Titi,0.0,1.0,6.0,28.0,18.0,1.0,2.0,18.0,,,8.0,,,1.0,,,,,,,,
24,3,0.27,14,Henrique,50856,1.15,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,henrique,7,294,2.91,20,Coritiba,Henrique Adriano Buss,True,Henrique,1.2,,4.0,9.0,14.0,2.0,,2.0,,,2.0,,,,,,,,,,,
25,2,0.0,9,Apodi,51042,2.46,,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,apodi,6,290,5.29,20,Goiás,Luiz Diallison de Souza Alves,False,Apodi,0.0,,1.0,3.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,,5.0,,,,,,,,,
26,1,-1.17,19,Walter,51413,3.21,,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,walter,7,1371,5.98,20,Cuiabá,Walter Leandro Capeloza Artune,True,Walter,1.0,,2.0,,,,,2.0,,,5.0,,,1.0,59.0,21.0,,,,,,
27,4,0.77,13,Giuliano,51548,1.08,,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,giuliano,7,264,3.14,20,Corinthians,Giuliano Victor de Paula,True,Giuliano,4.6,,1.0,9.0,5.0,1.0,2.0,6.0,,,,,,,,,,,,,,
28,4,0.27,15,Everton Ribeiro,51772,3.62,,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,everton-ribeiro,6,262,8.88,20,Flamengo,Everton Augusto de Barros Ribeiro,True,E. Ribeiro,2.4,2.0,1.0,14.0,10.0,3.0,5.0,16.0,2.0,,,,1.0,,,,,,,,,
29,3,0.0,3,Réver,52253,4.9,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,rever,6,282,4.49,20,Atlético-MG,Réver Humberto Alves Araújo,False,Réver,0.0,,1.0,,1.0,,,,,,3.0,,,,,,,,,,,
30,3,0.0,12,David Luiz,52827,4.0,,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,david-luiz,6,262,6.95,20,Flamengo,David Luiz Moreira Marinho,False,D. Luiz,0.0,1.0,1.0,12.0,13.0,2.0,2.0,3.0,1.0,,4.0,,,,,,,,,,,
31,4,0.0,14,Alex Teixeira,60793,2.7,,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,alex-teixeira,6,267,6.0,20,Vasco,Alex Teixeira Santos,False,A. Teixeira,0.0,3.0,1.0,6.0,20.0,5.0,10.0,19.0,,,,,8.0,,,,,,,,,
32,5,1.86,15,Felipe Azevedo,60825,3.41,,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,felipe-azevedo,7,327,6.7,20,América-MG,Felipe Azevedo dos Santos,True,F. Azevedo,12.3,,,10.0,13.0,4.0,5.0,15.0,3.0,,,,1.0,,,,1.0,,,,,
