,atletas.apelido,atletas.variacao_num,atletas.nome,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.status_id,atletas.slug,atletas.jogos_num,atletas.rodada_id,atletas.media_num,atletas.foto,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,SG,V,PS,DE,GS,DP,PP,PC,GC
10,Filipe Luís,0.0,Filipe Luís Kasmirski,F. Luís,,6,filipe-luis,1,10,1.2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,262,0.0,5.86,Flamengo,2,38750,,,1.0,,,,,,,,,,,,,,,,,
11,Mariano,-0.16,Mariano Ferreira Filho,Mariano,,7,mariano,7,10,2.24,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,282,1.1,5.16,Atlético-MG,2,38877,,2.0,9.0,12.0,,,1.0,,,,,2.0,,,,,,,,
12,Hulk,0.0,Givanildo Vieira de Souza,Hulk,,7,hulk,9,10,8.8,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,282,0.0,17.63,Atlético-MG,5,39148,2.0,3.0,,12.0,10.0,13.0,26.0,,5.0,6.0,,,,1.0,,,,,,
13,Vagner Mancini,-0.45,Vagner Carmo Mancini,V. Mancini,,7,vagner-mancini,10,10,3.77,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,327,3.65,7.17,América-MG,6,39850,,,,,,,,,,,,,2.0,,,,,,,
14,Dorival Júnior,-0.31,Dorival Silvestre Júnior,D. Júnior,,7,dorival-junior,9,10,5.62,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,276,2.43,10.52,São Paulo,6,40990,,,,,,,,,,,,,4.0,,,,,,,
15,Vanderlei Luxemburgo,0.21,Vanderlei Luxemburgo da Silva,V. Luxemburgo,,7,vanderlei-luxemburgo,7,10,3.87,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,264,3.34,6.7,Corinthians,6,41327,,,,,,,,,,,,,1.0,,,,,,,
16,Renato Gaúcho,-0.44,Renato Portaluppi,R. Gaúcho,,7,renato-gaucho,10,10,5.23,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,284,3.65,11.95,Grêmio,6,41929,,,,,,,,,,,,,5.0,,,,,,,
17,Willian,-0.33,Willian Gomes de Siqueira,Willian,,6,willian,5,10,3.36,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,293,0.0,5.11,Athlético-PR,5,42116,,,,,,1.0,,,2.0,,,,,,,,,,,
18,Cássio,-0.45,Cássio Roberto Ramos,Cássio,,7,cassio,10,10,1.4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,264,0.0,5.97,Corinthians,1,42234,,2.0,,,,,2.0,,,,,1.0,,,26.0,15.0,,,1.0,
19,Fagner,-0.27,Fagner Conserva Lemos,Fagner,,6,fagner,9,10,3.78,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,264,1.2,7.43,Corinthians,2,42500,1.0,2.0,14.0,4.0,,3.0,10.0,1.0,,,,1.0,,,,,,,,
20,Alexandre Pato,0.0,Alexandre Rodrigues da Silva,A. Pato,,6,alexandre-pato,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,276,0.0,5.0,São Paulo,5,49675,,,,,,,,,,,,,,,,,,,,
21,David Braz,-0.38,David Braz de Oliveira Filho,D. Braz,,6,david-braz,5,10,2.78,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,266,-1.1,5.07,Fluminense,3,50317,,1.0,,2.0,,,1.0,,,,,3.0,,,,,,,,
22,Alan Kardec,0.0,Alan Kardec de Sousa Pereira Júnior,A. Kardec,,6,alan-kardec,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,282,0.0,6.0,Atlético-MG,5,50347,,,,,,,,,,,,,,,,,,,,
