,atletas.apelido,atletas.variacao_num,atletas.nome,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.status_id,atletas.slug,atletas.jogos_num,atletas.rodada_id,atletas.media_num,atletas.foto,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,SG,V,PS,DE,GS,DP,PP,PC,GC
86,Maicon,0.0,Maicon Pereira Roque,Maicon,,6,maicon,1,10,8.6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_NcXdUCj.png,277,0.0,6.73,Santos,3,71227,,,2.0,,1.0,,,,,,,1.0,,,,,,,,
87,Fernando Miguel,0.0,Fernando Miguel Kaufmann,F. Miguel,,5,fernando-miguel,4,10,5.25,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qLr4Pp0.png,356,0.0,10.86,Fortaleza,1,71571,,,,,,,,,,,,1.0,,,20.0,4.0,,,,
88,Weverton,1.66,Weverton Pereira da Silva,Weverton,,7,weverton,10,10,3.66,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,275,11.0,10.15,Palmeiras,1,71631,,,,,,,1.0,,,,,3.0,,,29.0,8.0,,,,
89,Gustavo Gómez,0.0,Gustavo Raúl Gómez Portillo,G. Gómez,,7,gustavo-gomez,9,10,3.09,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,275,0.0,8.32,Palmeiras,3,71684,1.0,3.0,11.0,10.0,2.0,1.0,5.0,,,1.0,,2.0,,,,,,,,
90,Júnior Urso,0.45,Ocimar de Almeida Júnior,J. Urso,,6,junior-urso,6,10,1.23,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ft8zu4.png,294,2.9,4.08,Coritiba,4,71829,,2.0,3.0,4.0,1.0,1.0,10.0,,,,,,,,,,,,,
91,Thiago Galhardo,-0.64,Thiago Galhardo do Nascimento Rocha,T. Galhardo,,7,thiago-galhardo,7,10,3.49,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_LaKDS7J.png,356,0.3,6.22,Fortaleza,5,71844,,1.0,1.0,2.0,4.0,2.0,5.0,,2.0,1.0,,,,,,,,,,
92,Gabriel Pires,0.0,Gabriel Appelt Pires,G. Pires,,6,gabriel-pires,3,10,4.57,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_wzlbP45.png,263,0.0,5.61,Botafogo,4,71898,,,11.0,7.0,,2.0,2.0,,,,,,,,,,,,,
93,Danilo Avelar,-0.15,Danilo Fernando Avelar,D. Avelar,,7,danilo-avelar,7,10,4.68,https://s.sde.globo.com/media/person_role/2022/04/12/2a7b85e6015605e0770fe393faf72a9a_FORMATO.png,327,9.5,5.95,América-MG,3,72142,,1.0,7.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,
94,Everson,-1.29,Everson Felipe Marques Pires,Everson,,7,everson,10,10,3.95,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_XhJDp6n.png,282,1.5,5.81,Atlético-MG,1,72294,,2.0,,,,,3.0,,,,,4.0,,,28.0,8.0,,,,
95,Felipe Alves,0.0,Felipe Alves Raymundo,F. Alves,,6,felipe-alves,0,10,0.0,https://s.sde.globo.com/media/person_role/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,276,0.0,6.0,São Paulo,1,72372,,,,,,,,,,,,,,,,,,,,
96,Fernando Diniz,-0.11,Fernando Diniz Silva,F. Diniz,,7,fernando-diniz,10,10,5.93,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,266,4.95,14.19,Fluminense,6,72391,,,,,,,,,,,,,5.0,,,,,,,
97,Gustavo Campanharo,-0.31,Gustavo Campanharo,G. Campanharo,,6,gustavo-campanharo,6,10,3.15,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_Fbab3V0.png,285,0.2,5.12,Internacional,4,72497,,3.0,17.0,12.0,3.0,,3.0,,,,,,,,,,,,,
98,Maguinho,0.0,Magno José da Silva,Maguinho,,6,maguinho,8,10,2.5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_r03QzyK.png,290,0.0,3.01,Goiás,2,72532,,3.0,6.0,24.0,,5.0,12.0,,2.0,,1.0,,,,,,,,,
99,Matheus Cavichioli,0.0,Matheus Fernando Cavichioli,M. Cavichioli,,6,matheus-cavichioli,5,10,1.74,https://s.sde.globo.com/media/person_role/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,327,0.0,6.74,América-MG,1,72580,,,,1.0,,,,,,,1.0,,,,19.0,14.0,1.0,,,
100,Pedro Henrique,-0.82,Pedro Henrique Konzen Medina da Silva,P. Henrique,,7,pedro-henrique,9,10,3.03,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,285,1.6,6.24,Internacional,5,72583,1.0,,10.0,14.0,4.0,10.0,5.0,,,8.0,,,,,,,,,,
101,Maurício Kozlinski,0.0,Maurício Kozlinski,M. Kozlinski,,6,mauricio-kozlinski,1,10,6.0,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mZtm5zI.png,356,0.0,4.92,Fortaleza,1,72595,,,,,,,,,,,,1.0,,,1.0,,,,,
102,Vitor Hugo,-0.32,Vitor Hugo Franchescoli de Souza,V. Hugo,,7,vitor-hugo,6,10,2.32,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,265,2.5,5.42,Bahia,3,72605,,1.0,7.0,3.0,,3.0,2.0,,,,,1.0,,,,,,,1.0,
103,Ceppelini,-0.14,Pablo Daniel Ceppelini Gatto,Ceppelini,,6,ceppelini,9,10,1.32,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_l5sEyLV.png,1371,0.8,3.32,Cuiabá,4,72762,,2.0,4.0,5.0,3.0,3.0,9.0,,,,,,,,,,,,,
104,Luiz Adriano,0.43,Luiz Adriano de Souza da Silva,L. Adriano,,7,luiz-adriano,9,10,3.38,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png,285,9.1,6.98,Internacional,5,72772,1.0,,3.0,6.0,3.0,4.0,6.0,2.0,1.0,2.0,,,,,,,,,,
105,Fernandinho,0.0,Fernando Luiz Rosa,Fernandinho,,5,fernandinho,4,10,1.83,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,293,0.0,5.65,Athlético-PR,4,72775,1.0,2.0,4.0,8.0,,,6.0,,,1.0,,,,,,,,,1.0,
106,Mercado,0.0,Gabriel Iván Mercado,Mercado,,2,mercado,5,10,3.18,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,285,0.0,5.07,Internacional,3,72951,,2.0,9.0,7.0,2.0,1.0,2.0,,,,,1.0,,,,,,,,
107,Daniel Borges,0.0,Daniel Fortunato Borges,D. Borges,,6,daniel-borges,1,10,5.9,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_KcG4Ldd.png,263,0.0,6.39,Botafogo,2,73318,,,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,
108,Samuel Xavier,0.0,Samuel Xavier Brito,S. Xavier,,7,samuel-xavier,6,10,4.17,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,266,0.0,9.83,Fluminense,2,73384,1.0,3.0,5.0,6.0,2.0,5.0,5.0,,,1.0,,2.0,,,,,,,,
109,Jean Dias,0.27,Jean Dias da Costa,J. Dias,,6,jean-dias,6,10,1.63,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png,285,2.1,3.14,Internacional,5,73479,1.0,1.0,2.0,4.0,,2.0,6.0,,,,,,,,,,,,,
110,Bruno Alves,-0.54,Bruno Fabiano Alves,B. Alves,,7,bruno-alves,10,10,1.74,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,284,0.0,5.71,Grêmio,3,73620,,1.0,4.0,5.0,1.0,2.0,5.0,,,2.0,,2.0,,,,,,,,
111,Guilherme Marques,0.79,Guilherme Costa Marques,G. Marques,,6,guilherme-marques,5,10,1.36,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_8U4l1F1.png,290,4.3,2.9,Goiás,5,73781,,2.0,7.0,5.0,1.0,1.0,,,,1.0,,,,,,,,,,
112,Rodrigo Caio,0.0,Rodrigo Caio Coquette Russo,R. Caio,,6,rodrigo-caio,1,10,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png,262,0.0,3.97,Flamengo,3,73800,,,,,,,,,,,,,,,,,,,,
113,Aloísio,-0.28,Aloísio dos Santos Gonçalves,Aloísio,,7,aloisio,9,10,5.86,https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,327,2.1,8.67,América-MG,5,73850,1.0,2.0,2.0,13.0,6.0,10.0,7.0,3.0,3.0,5.0,,,,,,,,,,
114,Alison,-0.27,Alison Lopes Ferreira,Alison,,7,alison,5,10,1.24,https://s.sde.globo.com/media/person_role/2021/05/04/83ae4938b05e0e1d67ad49af17785e89_FORMATO.png,277,0.5,3.03,Santos,4,73974,,,5.0,1.0,,,1.0,,,,,,,,,,,,,
115,Gatito Fernández,0.0,Roberto Junior Fernández Torres,G. Fernández,,6,gatito-fernandez,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,263,0.0,8.0,Botafogo,1,74061,,,,,,,,,,,,,,,,,,,,
116,Lucas Piazon,0.0,Gustavo Lucas Domingues Piazón,L. Piazon,,6,lucas-piazon,1,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8iJQEr4.png,263,0.0,2.81,Botafogo,4,74084,,,,,,,,,,,,,,,,,,,,
117,William Pottker,0.0,William de Oliveira Pottker,W. Pottker,,6,william-pottker,4,10,0.8,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_yjb57GF.png,294,0.0,2.92,Coritiba,5,77809,,1.0,2.0,3.0,1.0,,3.0,,,,,,,,,,,,,
118,Madson,-0.72,Madson Ferreira dos Santos,Madson,,7,madson,7,10,1.56,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,293,-0.9,5.09,Athlético-PR,2,78077,,1.0,3.0,7.0,,2.0,8.0,,,2.0,,1.0,,,,,,,,
119,Everaldo,0.2,Everaldo Stum,Everaldo,,7,everaldo,8,10,3.19,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,265,2.1,8.5,Bahia,5,78117,,2.0,5.0,10.0,4.0,1.0,7.0,,2.0,5.0,,,,,,,,,,
120,Renê,-0.19,Renê Rodrigues Martins,Renê,,7,rene,8,10,4.39,https://s.sde.globo.com/media/person_role/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,285,2.4,8.72,Internacional,2,78445,,,18.0,7.0,,2.0,8.0,,,,,2.0,,,,,,,,
121,Jonathan Cafu,0.0,Jonathan Renato Barbosa,J. Cafu,,7,jonathan-cafu,9,10,2.79,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,1371,0.0,6.31,Cuiabá,5,78580,2.0,1.0,9.0,7.0,,2.0,12.0,,,2.0,,,,,,,,,,
122,Gabriel,0.0,Gabriel Girotto Franco,Gabriel,,5,gabriel,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_GUlE7bV.png,285,0.0,6.0,Internacional,4,78605,,,,,,,,,,,,,,,,,,,,
123,Ramiro,0.0,Ramiro Moschen Benetti,Ramiro,,5,ramiro,6,10,3.8,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png,283,0.0,5.62,Cruzeiro,4,78715,1.0,3.0,9.0,8.0,1.0,4.0,,,1.0,,,,,,,,,,,
124,Reinaldo,0.0,Reinaldo Manoel da Silva,Reinaldo,,6,reinaldo,5,10,3.36,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,284,0.0,7.55,Grêmio,2,78850,1.0,3.0,3.0,9.0,,,2.0,,1.0,1.0,,1.0,,,,,,,,
125,Thiago Santos,-0.05,Thiago dos Santos,T. Santos,,6,thiago-santos,7,10,0.32,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png,266,0.0,1.65,Fluminense,4,78855,,2.0,4.0,7.0,,,3.0,,,,,,,,,,,,,
126,Douglas Borges,0.0,Douglas Borges,D. Borges,,6,douglas-borges,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_33D9G2h.png,263,0.0,3.0,Botafogo,1,78893,,,,,,,,,,,,,,,,,,,,
127,Luiz Felipe,0.0,Luiz Felipe do Nascimento dos Santos,L. Felipe,,6,luiz-felipe,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_aiqNBl6.png,277,0.0,3.0,Santos,3,79035,,,,,,,,,,,,,,,,,,,,
128,Víctor Cuesta,1.06,Víctor Leandro Cuesta,V. Cuesta,,7,victor-cuesta,9,10,6.12,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,263,9.2,10.23,Botafogo,3,79113,1.0,5.0,12.0,7.0,2.0,3.0,4.0,1.0,1.0,,,5.0,,,,,,,,
129,Silvio Romero,-0.17,Silvio Ezequiel Romero,S. Romero,,6,silvio-romero,9,10,2.49,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png,356,-0.1,4.88,Fortaleza,5,79188,1.0,1.0,1.0,5.0,,2.0,3.0,,2.0,4.0,,,,,,,,,,
130,Filipe Augusto,0.04,Filipe Augusto Carvalho Souza,F. Augusto,,6,filipe-augusto,5,10,1.62,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,1371,1.4,1.96,Cuiabá,4,79268,,,9.0,9.0,,,6.0,,,,1.0,,,,,,,,,
131,Ricardo Silva,0.0,Ricardo César Dantas da Silva,R. Silva,,5,ricardo-silva,5,10,1.04,https://s.sde.globo.com/media/person_role/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png,327,0.0,2.01,América-MG,3,79334,,1.0,5.0,6.0,,,4.0,,,,,,,,,,,,,
132,Cano,0.48,Germán Ezequiel Cano,Cano,,7,cano,10,10,4.68,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png,266,7.0,14.89,Fluminense,5,79631,,1.0,8.0,9.0,5.0,10.0,3.0,2.0,3.0,6.0,,,,,,,,1.0,,
133,Lucas Silva,0.0,Lucas Silva Borges,L. Silva,,6,lucas-silva,4,10,2.67,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_22BJorG.png,284,0.0,4.71,Grêmio,4,79701,,,8.0,3.0,,,4.0,,,,,,,,,,,,,
134,Zé Roberto,-0.1,José Roberto Assunção de Araújo Filho,Z. Roberto,,6,ze-roberto,7,10,3.07,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_Mzobxer.png,294,2.5,4.04,Coritiba,5,80076,1.0,2.0,4.0,14.0,3.0,3.0,14.0,,1.0,1.0,1.0,,,,,,,,,
135,Yago Pikachu,-0.55,Glaybson Yago Souza Lisboa,Y. Pikachu,,6,yago-pikachu,10,10,2.63,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png,356,-0.3,7.44,Fortaleza,4,80196,,2.0,3.0,5.0,2.0,5.0,8.0,,2.0,2.0,,,,,,,,,,
136,Luciano,0.33,Luciano da Rocha Neves,Luciano,,7,luciano,10,10,4.56,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,276,4.4,11.53,São Paulo,5,80287,2.0,2.0,3.0,7.0,6.0,7.0,17.0,1.0,2.0,2.0,,,,,,,,1.0,,
137,Lucas Lima,-1.73,Lucas Rafael Araújo Lima,L. Lima,,7,lucas-lima,10,10,3.9,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png,277,-0.5,6.64,Santos,4,80583,2.0,2.0,15.0,24.0,2.0,3.0,15.0,,1.0,1.0,,,,,,,,,,
138,Luan,0.81,Luan Garcia Teixeira,Luan,,7,luan,7,10,5.25,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cnIvHfj.png,275,6.3,8.14,Palmeiras,3,80692,,1.0,8.0,10.0,1.0,2.0,5.0,1.0,1.0,1.0,,3.0,,,,,,,,
139,Pedro Geromel,0.0,Pedro Tonon Geromel,P. Geromel,,6,pedro-geromel,0,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_2mIyND1.png,284,0.0,7.0,Grêmio,3,80853,,,,,,,,,,,,,,,,,,,,
140,Jair,-1.87,Jair Rodrigues Júnior,Jair,,3,jair,10,10,4.32,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,267,-0.4,8.37,Vasco,4,81091,,3.0,21.0,15.0,1.0,1.0,29.0,,1.0,,,,,1.0,,,,,,
141,Lucas Mugni,-0.42,Lucas Andrés Mugni,L. Mugni,,6,lucas-mugni,2,10,0.45,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,265,1.2,2.98,Bahia,4,81121,,,1.0,1.0,,,,,,,,,,,,,,,,
142,Mayke,0.83,Mayke Rocha de Oliveira,Mayke,,7,mayke,8,10,5.19,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_VrbLrFd.png,275,8.8,8.15,Palmeiras,2,81150,2.0,2.0,10.0,11.0,,1.0,2.0,,1.0,,,3.0,,,,,,,,
143,Alisson,-0.55,Alisson Euler de Freitas Castro,Alisson,,7,alisson,10,10,3.12,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,276,-0.4,5.21,São Paulo,4,81845,2.0,1.0,14.0,11.0,1.0,4.0,9.0,,,1.0,,,,,,,,,,
144,João Ricardo,1.2,João Ricardo Riedi,J. Ricardo,,7,joao-ricardo,5,10,6.8,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,356,12.0,8.39,Fortaleza,1,81881,,1.0,,,,,2.0,,,,,3.0,,,16.0,4.0,1.0,,,
145,Henrique Dourado,0.17,José Henrique da Silva Dourado,H. Dourado,,6,henrique-dourado,7,10,2.79,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_X04virK.png,283,2.9,5.14,Cruzeiro,5,81905,,1.0,3.0,10.0,1.0,6.0,7.0,1.0,1.0,6.0,,,,,,,,,,
146,Willian Oliveira,-0.28,Willian Osmar de Oliveira Silva,W. Oliveira,,7,willian-oliveira,7,10,1.54,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,290,1.6,2.42,Goiás,4,81952,,2.0,9.0,14.0,1.0,,10.0,,,,,,,,,,,,,
147,Juninho,0.16,Adilson dos Anjos Oliveira,Juninho,,7,juninho,10,10,1.69,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ek7YW7J.png,327,1.7,5.19,América-MG,4,82381,,1.0,9.0,10.0,3.0,2.0,8.0,,,1.0,,,,1.0,,,,,,
148,Tadeu,-0.94,Tadeu Antônio Ferreira,Tadeu,,7,tadeu,7,10,2.36,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,290,0.0,5.31,Goiás,1,82453,,,,,,,1.0,,,,,,,,26.0,10.0,,,,
149,Zé Rafael,1.23,José Rafael Vivian,Z. Rafael,,7,ze-rafael,9,10,3.96,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,275,8.4,10.52,Palmeiras,4,82455,1.0,4.0,21.0,23.0,5.0,1.0,19.0,,,,,,,,,,,,,
150,Otávio,0.0,Otávio Henrique Passos Santos,Otávio,,6,otavio,4,10,2.03,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,282,0.0,4.13,Atlético-MG,4,82463,,3.0,8.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,
151,Tinga,-0.91,Guilherme de Jesus da Silva,Tinga,,7,tinga,9,10,5.97,https://s.sde.globo.com/media/person_role/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png,356,3.6,9.61,Fortaleza,2,82628,,,25.0,5.0,2.0,2.0,3.0,,,2.0,,4.0,,,,,,,,
152,Marcelo Rangel,0.0,Marcelo Rangel da Rosa,M. Rangel,,6,marcelo-rangel,3,10,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,290,0.0,2.34,Goiás,1,82730,,,,,,,,,,,,,,,8.0,8.0,,,,
153,Paulo Turra,-0.29,Paulo César Turra,P. Turra,,7,paulo-turra,10,10,5.53,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_L21KedQ.png,293,5.54,10.7,Athlético-PR,6,82747,,,,,,,,,,,,,5.0,,,,,,,
154,Wellington Rato,0.0,Wellington Soares da Silva,W. Rato,,6,wellington-rato,9,10,2.64,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,276,0.0,6.07,São Paulo,4,82766,2.0,2.0,9.0,5.0,2.0,2.0,5.0,,,,,,,,,,,,,
155,Maurício Barbieri,-0.14,Maurício Nogueira Barbieri,M. Barbieri,,7,mauricio-barbieri,10,10,3.8,https://s.sde.globo.com/media/person_role/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,267,3.26,8.99,Vasco,6,82792,,,,,,,,,,,,,1.0,,,,,,,
156,Gabriel,-1.41,Gabriel Barbosa Almeida,Gabriel,,7,gabriel,8,10,5.8,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,262,1.7,13.44,Flamengo,5,83257,1.0,4.0,2.0,3.0,9.0,8.0,8.0,1.0,3.0,3.0,,,,,,,,1.0,,
157,Patrick,0.17,Patrick Bezerra do Nascimento,Patrick,,6,patrick,10,10,2.23,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,282,3.2,6.31,Atlético-MG,4,83433,,1.0,14.0,4.0,1.0,2.0,10.0,,,1.0,,,,,,,,,,
158,Léo Pereira,0.49,Leonardo Pereira,L. Pereira,,2,leo-pereira,9,10,7.12,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png,262,7.1,14.9,Flamengo,3,83528,,1.0,15.0,7.0,,1.0,9.0,,3.0,1.0,,4.0,,,,,,,,
159,Neris,0.0,Hueglo dos Santos Neris,Neris,,7,neris,2,10,3.05,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_U329TT2.png,283,0.0,3.01,Cruzeiro,3,83786,,2.0,2.0,6.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,
160,Tiquinho Soares,2.04,Francisco das Chagas Soares dos Santos Meireles,T. Soares,,7,tiquinho-soares,9,10,10.56,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,263,15.1,20.58,Botafogo,5,84042,3.0,4.0,5.0,11.0,4.0,11.0,17.0,,8.0,8.0,,,,,,,,1.0,,
161,Jemerson,-0.67,Jemerson de Jesus Nascimento,Jemerson,,7,jemerson,9,10,3.12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,282,1.4,7.65,Atlético-MG,3,84263,1.0,1.0,4.0,13.0,1.0,,4.0,,,1.0,,4.0,,,,,,,,
162,Bruno Melo,0.04,Bruno Ferreira Melo,B. Melo,,7,bruno-melo,9,10,3.03,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png,290,1.7,4.75,Goiás,3,84339,,3.0,6.0,4.0,2.0,5.0,6.0,,2.0,1.0,,,,,,,,,1.0,
163,Fernando Sobral,0.21,Fernando Pereira do Nascimento,F. Sobral,,7,fernando-sobral,7,10,6.1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png,1371,3.8,7.24,Cuiabá,4,84428,1.0,2.0,17.0,10.0,3.0,4.0,15.0,,1.0,,,,,,,,,,,
164,Romarinho,-0.16,José Romário Silva de Souza,Romarinho,,6,romarinho,7,10,0.96,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_UU97nfg.png,356,0.0,2.9,Fortaleza,5,84523,,,,1.0,2.0,2.0,6.0,,,,,,,,,,,,,
165,Lucas Evangelista,0.69,Lucas Evangelista Santana de Oliveira,L. Evangelista,,7,lucas-evangelista,9,10,5.28,https://s.sde.globo.com/media/person_role/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,280,7.8,8.01,Bragantino,4,84674,3.0,1.0,16.0,9.0,2.0,6.0,20.0,,,1.0,,,,,,,,,,
166,Varela,-0.39,Guillermo Varela Olivera,Varela,,6,varela,1,10,5.6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_M1z2XK5.png,262,5.6,4.61,Flamengo,2,84816,,,1.0,2.0,,,,,,,,1.0,,,,,,,,
167,Robson,0.66,Robson dos Santos Fernandes,Robson,,7,robson,9,10,5.02,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wdF92Dr.png,294,4.8,6.78,Coritiba,5,84817,1.0,2.0,13.0,18.0,2.0,3.0,7.0,,3.0,3.0,,,,,,,,,,
168,Marcos Felipe,-0.49,Marcos Felipe de Freitas Monteiro,M. Felipe,,7,marcos-felipe,10,10,2.75,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kJmHr1X.png,265,3.0,6.21,Bahia,1,85004,,,,,,,1.0,,,,,2.0,,,33.0,16.0,,,,
169,Vinicius Silvestre,0.0,Vinicius Silvestre da Costa,V. Silvestre,,6,vinicius-silvestre,0,10,0.0,https://s.sde.globo.com/media/person_role/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png,275,0.0,3.0,Palmeiras,1,85083,,,,,,,,,,,,,,,,,,,,
170,Cantillo,0.0,Víctor Danilo Cantillo Jiménez,Cantillo,,6,cantillo,1,10,8.9,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_XLtLBFc.png,264,0.0,8.32,Corinthians,4,85315,,,6.0,,1.0,,1.0,,,,,,,,,,,,,
171,João Paulo,1.69,João Paulo Silva Martins,J. Paulo,,7,joao-paulo,10,10,6.05,https://s.sde.globo.com/media/person_role/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png,277,11.0,13.41,Santos,1,85425,,,,,,,1.0,,,,,5.0,,,43.0,8.0,,,,
172,Alex Santana,-0.37,Alex Paulo Menezes Santana,A. Santana,,7,alex-santana,6,10,2.57,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_9oyYdIt.png,293,3.9,4.94,Athlético-PR,4,85465,,2.0,5.0,7.0,1.0,3.0,10.0,,1.0,1.0,1.0,,,,,,,,,
173,Léo,-0.08,Leonardo Pinheiro da Conceição,Léo,,7,leo,10,10,0.22,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_upcZmtB.png,267,0.5,2.03,Vasco,3,85626,,1.0,3.0,8.0,,,4.0,,,,,,,,,,,,,
