"atletas.atleta_id","atletas.apelido","atletas.clube.id.full.name","atletas.posicao_id","atletas.foto"
38509,"Diego Alves","Flamengo","Goleiro","https://s.glbimg.com/es/sde/f/2018/04/11/44ce811d7d7d286c27d745dcf7177719_140x140.png"
80318,"Ezequiel ","Cruzeiro","Lateral","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_140x140.png"
80363,"Ariel Cabral","Cruzeiro","Meia","https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_140x140.png"
91973,"Lucas Marques","Vitória","Meia","https://s.glbimg.com/es/sde/f/2018/03/21/8955207aa16c2c8401822064a40b374d_140x140.png"
36773,"Julio Cesar","Flamengo","Goleiro","https://s.glbimg.com/es/sde/f/2018/04/17/326a0f6b72076eb12b4e6b335ae6a1da_140x140.png"
42501,"Rhodolfo","Flamengo","Zagueiro","https://s.glbimg.com/es/sde/f/2017/06/20/fa889cb0da25023565bc57fe3fa29fde_140x140.png"
51772,"Éverton Ribeiro","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/06/24/7deee286983361a4845652b6c39be834_140x140.png"
62086,"Pará","Flamengo","Lateral","https://s.glbimg.com/es/sde/f/2017/08/16/2215936db5460baf89bb165cdfc691b4_140x140.jpeg"
84558,"Lucas Romero","Cruzeiro","Meia","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_140x140.png"
52253,"Réver","Flamengo","Zagueiro","https://s.glbimg.com/es/sde/f/2017/08/16/85d20e5a1ac2e527a5eca70e709f7b10_140x140.jpeg"
98333,"Gabriel Batista","Flamengo","Goleiro","https://s.glbimg.com/es/sde/f/2017/04/24/0bf67a6d877be0a2c761a714831fe092_140x140.png"
91359,"Bruno Bispo","Vitória","Zagueiro","https://s.glbimg.com/es/sde/f/2018/03/21/99884c41754fc82c033d202d4decfad3_140x140.png"
97863,"Jhemerson","Vitória","Meia","https://s.glbimg.com/es/sde/f/2018/03/21/4352f97cb92d8c89a85442b0da6b66fb_140x140.png"
86797,"Raniel","Cruzeiro","Atacante","https://s.glbimg.com/es/sde/f/2017/04/06/b362899a01b537ee09468f95d34f40f7_140x140.png"
78445,"Renê","Flamengo","Lateral","https://s.glbimg.com/es/sde/f/2017/08/22/99c083a6ab42125b85a679e552eea687_140x140.jpeg"
87863,"Arrascaeta","Cruzeiro","Meia","https://s.glbimg.com/es/sde/f/2017/04/05/c7a931941057f3ba5a13209ed19a41f1_140x140.png"
93869,"Lucas França","Cruzeiro","Goleiro","https://s.glbimg.com/es/sde/f/2017/04/22/c63baf2496083057957e4f2bd2ac3847_140x140.png"
99545,"Linik","Vitória","Meia","https://s.glbimg.com/es/sde/f/2018/03/21/1b2fe22656db0d2209b8e7ef2717f9a7_140x140.png"
89190,"Judivan ","América-MG","Atacante","https://s.glbimg.com/es/sde/f/2018/03/30/c14127206b6ba0991e38bc6d98f405c4_140x140.png"
95260,"Victor Luiz","Cruzeiro","Lateral","https://s.glbimg.com/es/sde/f/2016/07/13/fec7b396e3ea32757d4728bef42864b5_140x140.png"
92207,"Caíque","Vitória","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/21/bdbcd1c19e54ffed0f7410911018ef2e_140x140.png"
101585,"Léo Gomes","Vitória","Meia","https://s.glbimg.com/es/sde/f/2018/04/13/e7bc35fcbe8659ecd0e18973caadf901_140x140.png"
90309,"David","Cruzeiro","Atacante","https://s.glbimg.com/es/sde/f/2018/03/20/17bf5ffaf8c5933b31fd952dc3501b46_140x140.png"
101758,"Flávio","Vitória","Atacante","https://s.glbimg.com/es/sde/f/2018/03/21/d5a366c24b1dac3e1fdd263d9980e24a_140x140.png"
97653,"Murilo","Cruzeiro","Zagueiro","https://s.glbimg.com/es/sde/f/2017/04/06/ac1485f2fbd995b94c3544520d1ebdd8_140x140.png"
73896,"Geuvânio","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2017/08/19/6ed768c25192e0409297a3bc10cc1eca_140x140.png"
71709,"Cuéllar","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/08/16/47b4cc4af08862b4cf6685d475edd618_140x140.jpeg"
98221,"Cedric","Vitória","Lateral","https://s.glbimg.com/es/sde/f/2018/04/13/c08bc02fcc7613cf3c7510a566c68288_140x140.png"
70173,"Ederson","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_140x140.png"
102295,"Luan","Vitória","Meia","https://s.glbimg.com/es/sde/f/2018/04/13/062b30b6bd6dbb2d2494ef74b7fb3956_140x140.png"
70009,"Romulo","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_140x140.png"
78086,"César","Flamengo","Goleiro","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_140x140.png"
97856,"Nonoca","Sport","Meia","https://s.glbimg.com/es/sde/f/2018/04/09/f994b05e8cd6aee16ab81f7cc4871c16_140x140.png"
102137,"Vitor Eudes","Cruzeiro","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/20/78f0bf8a177f9011ad1985d3a51f1ee8_140x140.png"
73992,"Rodinei","Flamengo","Lateral","https://s.glbimg.com/es/sde/f/2017/08/22/3d68a6ab1db666a905e96248e4bcd4d9_140x140.jpeg"
49651,"Ernando","Sport","Zagueiro","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_140x140.png"
101709,"Alan","Ceará","Zagueiro","https://s.glbimg.com/es/sde/f/2018/03/01/7e6dfe0c821e846e1c1b00baf1307e05_140x140.png"
75295,"Paolo Guerrero","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2017/08/16/aec506211b5663eb0569825b5aee6db6_140x140.jpeg"
82792,"Maurício Barbieri","Flamengo","Técnico","https://s.glbimg.com/es/sde/f/2018/03/30/1ad249d5abc2db87990ae2f5811cc795_140x140.png"
102076,"Maurício","Ceará","Meia",NA
99670,"Arthur","Cruzeiro","Zagueiro","https://s.glbimg.com/es/sde/f/2017/06/07/41375a4dab9feeadba77a4537ccb2623_140x140.png"
100158,"Lucas Soares","Cruzeiro","Lateral",NA
101877,"Tiago Cunha","Ceará","Atacante",NA
100159,"Vander","Cruzeiro","Meia",NA
92474,"Aguirre","Botafogo","Atacante","https://s.glbimg.com/es/sde/f/2018/03/20/9cd75343345103675cac81ed0919a099_140x140.png"
102342,"Marcelo","Cruzeiro","Atacante",NA
102340,"Cacá","Cruzeiro","Zagueiro",NA
100955,"Hygor","Sport","Atacante","https://s.glbimg.com/es/sde/f/2018/04/10/759a4b22d32d2b49cc98448865f39cca_140x140.png"
