"slug","atleta_id","team","posicao","shotsX_mean","faltas_mean","RB_mean","PE_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","DP_mean","score_no_cleansheets_mean","pontuacao_mean"
"roger",38287,"Corinthians - SP","ata",1.15,2.15,0.2,0.8,0,0.7,0.9,0.7,0.2,0,0,1.41,1.41
"marinho",68952,"Grêmio - RS","ata",1.46153846153846,1.61538461538462,1,1.30769230769231,0.0769230769230769,0.0769230769230769,1.69230769230769,0.923076923076923,0.0769230769230769,0,0,2.93846153846154,2.93846153846154
"giovanni",72097,"América - MG","lat",0.833333333333333,0.708333333333333,1.25,1.625,0,0.125,0.625,0.5,0.125,0,0,2.74583333333333,3.99583333333333
"thiago-rodrigues",73414,"Paraná - PR","gol",0,0.0833333333333333,0,0.583333333333333,0,0,0.166666666666667,0,0,1.75,0.0833333333333333,5.7,5.36666666666667
"geuvanio",73896,"Flamengo - RJ","ata",0.818181818181818,1.27272727272727,0.818181818181818,1.36363636363636,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0,0,0,1.24545454545455,1.24545454545455
"barcos",78379,"Cruzeiro - MG","ata",1.25,1.33333333333333,0.5,1.83333333333333,0.0833333333333333,0.25,0.666666666666667,0.75,0.0833333333333333,0,0,1.46666666666667,1.46666666666667
"henrique-dourado",81905,"Flamengo - RJ","ata",0.894736842105263,2.26315789473684,0.263157894736842,0.736842105263158,0,0.421052631578947,1.57894736842105,0.473684210526316,0.315789473684211,0,0,1.94210526315789,1.94210526315789
"aylon",85930,"América - MG","ata",1.21428571428571,1.42857142857143,0.642857142857143,0.928571428571429,0.0714285714285714,0.5,1.14285714285714,0.714285714285714,0,0,0,1.62857142857143,1.62857142857143
"zeca",87192,"Internacional - RS","lat",0.166666666666667,0.944444444444444,1.66666666666667,2.44444444444444,0.0555555555555556,0.166666666666667,0.444444444444444,0.111111111111111,0,0,0,1.78333333333333,4.56111111111111
"ramon",88087,"Vitória - BA","zag",0.428571428571429,1.64285714285714,0.928571428571429,1.46428571428571,0,0,0.928571428571429,0.214285714285714,0.0357142857142857,0,0,0.714285714285714,2.32142857142857
"barreto",89224,"Chapecoense - SC","mei",0.1,1.1,1.4,1,0,0,0.9,0.1,0,0,0,1.03,1.03
"bruno-henrique",90285,"Santos - SP","ata",1.03846153846154,2.15384615384615,0.807692307692308,1.5,0.115384615384615,0.153846153846154,1.69230769230769,0.692307692307692,0.0384615384615385,0,0,1.79230769230769,1.79230769230769
"joel-carli",93414,"Botafogo - RJ","zag",0.413793103448276,2.03448275862069,0.96551724137931,2.10344827586207,0,0.0689655172413793,0.655172413793103,0.310344827586207,0.0344827586206897,0,0,0.0793103448275862,1.63103448275862
"matheus-alessandro",97527,"Fluminense - RJ","ata",0.818181818181818,0.772727272727273,0.636363636363636,0.863636363636364,0.0454545454545455,0.181818181818182,1.72727272727273,0.5,0,0,0,1.69545454545455,1.69545454545455
"doffo",102894,"Chapecoense - SC","mei",1.71428571428571,2.21428571428571,1.21428571428571,1.85714285714286,0,0.142857142857143,2.85714285714286,1.14285714285714,0.214285714285714,0,0,4.27142857142857,4.27142857142857
"jonathan",37662,"Atlético - PR","lat",0.0909090909090909,1.22727272727273,0.545454545454545,1.63636363636364,0.227272727272727,0,0.363636363636364,0.0454545454545455,0.0454545454545455,0,0,1.09090909090909,3.59090909090909
"edinho",37792,"Ceará - CE","mei",0.294117647058824,2.64705882352941,1.11764705882353,1.88235294117647,0,0.0588235294117647,0.764705882352941,0.235294117647059,0,0,0,0.135294117647059,0.135294117647059
"thiago-heleno",38394,"Atlético - PR","zag",0.555555555555556,1.5,0.722222222222222,1,0,0,0.944444444444444,0.333333333333333,0.111111111111111,0,0,1.45,3.67222222222222
"rafinha",38421,"Cruzeiro - MG","mei",0.444444444444444,0.722222222222222,1.11111111111111,1.72222222222222,0.0555555555555556,0.222222222222222,2.27777777777778,0.166666666666667,0,0,0,2.56111111111111,2.56111111111111
"marcelo-oliveira",50328,"Grêmio - RS","lat",0.0714285714285714,2,1.28571428571429,1.5,0,0.0714285714285714,0.642857142857143,0.0714285714285714,0,0,0,0.285714285714286,2.07142857142857
"gerson-magrao",50401,"América - MG","mei",0.782608695652174,1.26086956521739,1.08695652173913,2.1304347826087,0,0.217391304347826,0.652173913043478,0.217391304347826,0.0869565217391304,0,0,1.76086956521739,1.76086956521739
"leo",50459,"Cruzeiro - MG","zag",0.25,1.10714285714286,1.03571428571429,0.571428571428571,0,0.0714285714285714,0.178571428571429,0.214285714285714,0,0,0,0.989285714285714,2.775
"leandro-donizete",51318,"América - MG","mei",0.269230769230769,1.69230769230769,1.26923076923077,2.57692307692308,0,0,0.769230769230769,0.153846153846154,0,0,0,0.296153846153846,0.296153846153846
"tiago-alves",51495,"Ceará - CE","zag",0.217391304347826,1.26086956521739,1.1304347826087,1.39130434782609,0,0.0434782608695652,0.260869565217391,0.0869565217391304,0.0434782608695652,0,0,1.01739130434783,3.62608695652174
"rever",52253,"Flamengo - RJ","zag",0.653846153846154,0.461538461538462,1.11538461538462,1.11538461538462,0,0,1,0.423076923076923,0.0769230769230769,0,0,2.68846153846154,5.38076923076923
"patric",60969,"Atlético - MG","lat",0.277777777777778,2.33333333333333,1.38888888888889,3.27777777777778,0.0555555555555556,0.277777777777778,0.555555555555556,0.222222222222222,0,0,0,0.261111111111111,1.65
"andre-lima",68893,"Vitória - BA","ata",0.619047619047619,1.85714285714286,0.238095238095238,1,0,0.238095238095238,1.33333333333333,0.238095238095238,0.0952380952380952,0,0,0.757142857142857,0.757142857142857
