"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name"
"208","Gleison Bremer Silva Nascimento","Bremer","https://s.glbimg.com/es/sde/f/2017/07/05/3cdbb709a4c4b26a7debd8d34ab4d855_FORMATO.png",99817,1,"ATL","zag","Nulo",0,4,0,0,0,"Atlético-MG"
"209","Alerrandro Barra Mansa Realino de Souza","Alerrandro","https://s.glbimg.com/es/sde/f/2018/03/20/55a44aa2b58a8a8eca5b32f354474164_FORMATO.png",101715,1,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-MG"
"210","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,1,"ATL","zag","Provável",0,7,0,0,0,"Atlético-PR"
"211","Bruno Roberto Pereira da Silva","Bruno Roberto","https://s.glbimg.com/es/sde/f/2018/03/20/25f1df89aba2974c70965460a0d6a42e_FORMATO.png",101716,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-MG"
"212","Thiago Larghi","Thiago Larghi","https://s.glbimg.com/es/sde/f/2018/03/19/b1b3b42713071408fb76d25cfb76d927_FORMATO.jpeg",101957,1,"ATL","tec","Provável",0,5,0,0,0,"Atlético-MG"
"213","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,1,"ATL","lat","Provável",0,8,0,0,0,"Atlético-PR"
"214","Thiago Carleto Alves","Thiago Carleto","https://s.glbimg.com/es/sde/f/2018/03/01/c5b5d602b0e56ba728e728a7256ce180_FORMATO.png",51700,1,"ATL","lat","Provável",0,5,0,0,0,"Atlético-PR"
"215","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,1,"ATL","zag","Provável",0,11,0,0,0,"Atlético-PR"
"216","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2018/03/01/c47eb060dab02de8aee9157a2eab1bd0_FORMATO.png",51299,1,"ATL","zag","Nulo",0,5,0,0,0,"Atlético-PR"
"217","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,1,"ATL","mei","Provável",0,10,0,0,0,"Atlético-PR"
"218","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2018/03/07/a59c3b2e0f98e2ea3c0b17cdf7d13860_FORMATO.png",38440,1,"ATL","mei","Nulo",0,3,0,0,0,"Atlético-PR"
"219","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2018/03/01/113fa00f0f462e50c76f0f74fab0f3aa_FORMATO.png",68770,1,"ATL","mei","Nulo",0,6,0,0,0,"Atlético-PR"
"220","Bergson Gustavo Silveira da Silva","Bergson","https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png",68696,1,"ATL","ata","Nulo",0,6,0,0,0,"Atlético-PR"
"221","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2018/03/01/2ef9cc100ce47aba30588d47885223ec_FORMATO.png",73446,1,"ATL","ata","Nulo",0,5,0,0,0,"Atlético-PR"
"222","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,1,"ATL","ata","Provável",0,4,0,0,0,"Atlético-PR"
"223","Fernando Diniz Silva","Fernando Diniz","https://s.glbimg.com/es/sde/f/2018/03/01/744e7ddbce3e389aa300edd8ce854afc_FORMATO.png",72391,1,"ATL","tec","Provável",0,6,0,0,0,"Atlético-PR"
"224","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,1,"ATL","mei","Provável",0,8,0,0,0,"Atlético-PR"
"225","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2018/03/01/2b16e9f400a17ae27de70d4983fb4530_FORMATO.png",69018,1,"ATL","mei","Nulo",0,4,0,0,0,"Atlético-PR"
"226","Leonardo da Silva Vieira","Leo","https://s.glbimg.com/es/sde/f/2018/03/01/5f4bc547ea7572a6909432c0c03d529b_FORMATO.png",71043,1,"ATL","gol","Nulo",0,2,0,0,0,"Atlético-PR"
"227","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,1,"ATL","mei","Provável",0,9,0,0,0,"Atlético-PR"
"228","Aderbar Melo dos Santos Neto","Santos","https://s.glbimg.com/es/sde/f/2017/04/23/27e1cdc40e6cfe45b59a89f20a9a2b4f_FORMATO.png",69012,1,"ATL","gol","Provável",0,7,0,0,0,"Atlético-PR"
"229","Felipe Alves Raymundo","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,1,"ATL","gol","Nulo",0,2,0,0,0,"Atlético-PR"
"230","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,1,"ATL","zag","Nulo",0,5,0,0,0,"Atlético-PR"
"231","Felipe Gedoz da Conceição","Felipe Gedoz ","https://s.glbimg.com/es/sde/f/2017/04/23/b22d35fda6b1ebe5b12170bfaf1dced7_FORMATO.png",87864,1,"ATL","mei","Nulo",0,5,0,0,0,"Atlético-PR"
"232","Alex Sandro dos Santos Apolinario","Alex","https://s.glbimg.com/es/sde/f/2018/03/07/8f55ff4c573775308cf191836e107b8d_FORMATO.png",90535,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-PR"
"233","Leonardo Pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2018/03/01/8a057cef4a095e67d1314d0ff4bff05a_FORMATO.png",83528,1,"ATL","zag","Nulo",0,3,0,0,0,"Atlético-PR"
"234","Gustavo Cascardo de Assis","Cascardo","https://s.glbimg.com/es/sde/f/2018/03/01/7cd306c8774f6e52b5c693cc87fb2102_FORMATO.png",90587,1,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-PR"
"235","Esteban Andrés Pavez Suazo","Pavez","https://s.glbimg.com/es/sde/f/2018/03/01/f06d28d32ef04ad8803fc57fe0d565e7_FORMATO.png",90959,1,"ATL","mei","Provável",0,7,0,0,0,"Atlético-PR"
"236"," João Pedro Heinen Silva","João Pedro","https://s.glbimg.com/es/sde/f/2018/03/07/49b3de820bb1df66e8d548184e778c61_FORMATO.png",91687,1,"ATL","mei","Nulo",0,3,0,0,0,"Atlético-PR"
"237","Giovanny Bariani Marques","Giovanny ","https://s.glbimg.com/es/sde/f/2018/03/01/72a50af56d0244ff54802620b95b68a1_FORMATO.png",92085,1,"ATL","ata","Nulo",0,4,0,0,0,"Atlético-PR"
"238","José Ivaldo Almeida Silva","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2018/03/01/b984cfe3c5aef05cca4e8856a06ad317_FORMATO.png",91866,1,"ATL","zag","Nulo",0,3,0,0,0,"Atlético-PR"
"239","Matheus Rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2017/04/23/c091af2e156b654e15abd7e687d0aeb2_FORMATO.png",86766,1,"ATL","mei","Nulo",0,6,0,0,0,"Atlético-PR"
"240","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2018/03/07/0c571fd2c2f974277fdbcf85ac2dcc80_FORMATO.png",94509,1,"ATL","mei","Provável",0,6,0,0,0,"Atlético-PR"
"241","Lucas Ribamar Lopes dos Santos Bibiano","Ribamar","https://s.glbimg.com/es/sde/f/2017/07/20/6894ec593555b4c947a6ced0d1bf01c4_FORMATO.png",94068,1,"ATL","ata","Nulo",0,6,0,0,0,"Atlético-PR"
"242","Hyuri Henrique de Oliveira Costa","Hyuri","https://s.glbimg.com/es/sde/f/2016/04/26/3d46e04733571b02d6699820588895f2_FORMATO.png",82758,1,"ATL","ata","Nulo",0,4,0,0,0,"Atlético-MG"
"243","Diego Ferreira Matheus","Diego","https://s.glbimg.com/es/sde/f/2018/03/01/5e300b254076f90bc73404c25d77cce8_FORMATO.png",91783,1,"ATL","lat","Nulo",0,3,0,0,0,"Atlético-PR"
"244","Yago César da Silva","Yago","https://s.glbimg.com/es/sde/f/2018/03/01/a4d69d7c3ed40ed788345efb2666cd7c_FORMATO.png",95126,1,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-PR"
"245","Nicolas Vichiatto da Silva","Nicolas","https://s.glbimg.com/es/sde/f/2018/03/01/7f44185f9657b501428a9753a02c7ef6_FORMATO.png",95127,1,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-PR"
"246","Marcio Antonio de Sousa Júnior","Marcinho","https://s.glbimg.com/es/sde/f/2018/03/01/0aa7dce50d239b820ad5a5461b488541_FORMATO.png",95332,1,"ATL","ata","Nulo",0,4,0,0,0,"Atlético-PR"
"247","Matheus Aleksander dos Anjos","Matheus Anjos","https://s.glbimg.com/es/sde/f/2017/04/23/ca02d2a758b721d663027e8f482babc2_FORMATO.png",97879,1,"ATL","mei","Nulo",0,2,0,0,0,"Atlético-PR"
"248","Alexsander Jhonatta de Oliveira Andrade","Alexsander","https://s.glbimg.com/es/sde/f/2017/04/16/574d33cbfe0200e34a998815c6b4ee99_FORMATO.png",99411,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-PR"
"249","Marcelo dos Santos Rosa","Marcelo","https://s.glbimg.com/es/sde/f/2017/04/27/104329d7a936e544604f9da1cd61995f_FORMATO.png",98874,1,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-PR"
"250","Renan Augusto Lodi dos Santos","Renan Lodi","https://s.glbimg.com/es/sde/f/2018/03/01/4eaa6c2a6e5a7da6c4f98c27ddd89b48_FORMATO.png",96591,1,"ATL","lat","Nulo",0,2,0,0,0,"Atlético-PR"
"251","Demethryus Maciel Areias Nascimento","Demethryus","https://s.glbimg.com/es/sde/f/2018/03/01/0f3f1131a4b2d04a041450038b87c286_FORMATO.png",101678,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-PR"
"252","Daniel dos Santos Oliveira","Daniel ","https://s.glbimg.com/es/sde/f/2017/04/23/fa258606c3c0cb8010a0e233ab7e3837_FORMATO.png",99461,1,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-PR"
"253","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2018/03/21/e56086be050e46bbe8c085917b5255c1_FORMATO.png",70934,1,"BAH","zag","Contundido",0,4,0,0,0,"Bahia"
"254","Bruno Guimarães Rodriguez Moura","Bruno Guimarães","https://s.glbimg.com/es/sde/f/2018/03/01/4f1a90d49f776be0832268cf3981570f_FORMATO.png",98352,1,"ATL","mei","Nulo",0,3,0,0,0,"Atlético-PR"
"255","Gabriel José Ferreira Mesquita","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/05/014fe2c619adca537e8234f1b7d379bf_FORMATO.png",102290,1,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-PR"
"256","Caio Alan Tem Catem Gonçalves","Caio","https://s.glbimg.com/es/sde/f/2018/03/01/87be2dd051653cd0a7a8ee5d52f910c8_FORMATO.png",99460,1,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-PR"
"257","Felipe Dorta","Felipe Dorta","https://s.glbimg.com/es/sde/f/2018/03/01/1013b410eb9c6efe2b86c0dcd48ce0c4_FORMATO.png",101434,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-PR"
"258","Leonardo da Silva Simas","Leonardo Simas","https://s.glbimg.com/es/sde/f/2017/06/30/b6c202e020667876c945bb6f672961bb_FORMATO.png",99832,1,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-PR"
"259","Vitor Hugo Naum Dos Santos","Vitor Naum","https://s.glbimg.com/es/sde/f/2018/03/05/d3c9c0c04b38faa803a27c54ea474192_FORMATO.png",101960,1,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-PR"
"260","Weverton Almeida Silva","Weverton Almeida","https://s.glbimg.com/es/sde/f/2018/03/07/039e36523a748e13b3e46f8cbc4485f9_FORMATO.png",100459,1,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-PR"
"261","Lucas Halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2018/03/05/84a0f7a0ea6d18bf6f3f4a51205e6003_FORMATO.png",102253,1,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-PR"
"262","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,1,"BAH","gol","Nulo",0,3,0,0,0,"Bahia"
"263","Augusto Sérgio Ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2018/03/02/04627b6d62a4bbd729133e9eabd5b593_FORMATO.png",37245,1,"BAH","tec","Provável",0,7,0,0,0,"Bahia"
"264","Bruno da Silva Costa Leite","Bruno Leite","https://s.glbimg.com/es/sde/f/2018/03/05/37cc69ce211fa6a6c3fb2fa03e905809_FORMATO.png",102301,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-PR"
"265","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2018/03/21/3c546811d33f612cacba3bdc1dace452_FORMATO.png",71719,1,"BAH","mei","Provável",0,6,0,0,0,"Bahia"
"266","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2018/03/21/fc1ac9c9e8610dee38297f2e0bdcd275_FORMATO.png",68808,1,"BAH","lat","Provável",0,6,0,0,0,"Bahia"
"267","Kayke Moreno de Andrade Rodrigues","Kayke","https://s.glbimg.com/es/sde/f/2018/03/21/c1647634cd1be0db834cb736dd2296de_FORMATO.png",50402,1,"BAH","ata","Contundido",0,6,0,0,0,"Bahia"
"268","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2018/03/21/ee24f88a02643b2d857cc1e13777af46_FORMATO.png",71162,1,"BAH","mei","Provável",0,11,0,0,0,"Bahia"
"269","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,1,"BAH","mei","Nulo",0,7,0,0,0,"Bahia"
"270","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2018/03/21/9fbac764cee8990a10c184a750c868cd_FORMATO.png",77967,1,"BAH","lat","Nulo",0,10,0,0,0,"Bahia"
"271","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,1,"CHA","ata","Nulo",0,2,0,0,0,"Chapecoense"
"272","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png",74140,1,"BAH","mei","Nulo",0,5,0,0,0,"Bahia"
"273","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,1,"BAH","ata","Provável",0,9,0,0,0,"Bahia"
"274","Gabriel Costa França","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/03/2f4037ee6c2ce20e96ff5cb1f6db210f_FORMATO.png",87393,1,"ATL","zag","Provável",0,12,0,0,0,"Atlético-MG"
"275","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2018/03/21/15b72082b742339f200d4b222e477ffd_FORMATO.png",78584,1,"BAH","gol","Provável",0,5,0,0,0,"Bahia"
"276","Guilherme Ribeiro Rend","Guilherme Ribeiro","https://s.glbimg.com/es/sde/f/2018/03/01/9477202e477dc732206a641b324c28dd_FORMATO.png",101686,1,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-PR"
"277","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2018/03/21/ea4ba4bd9ed18698a6dad571dfdddbf9_FORMATO.png",78407,1,"BAH","zag","Nulo",0,4,0,0,0,"Bahia"
"278","Tiago Pagnussat","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,1,"BAH","zag","Provável",0,8,0,0,0,"Bahia"
"279","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2018/03/21/c6572fbc65cb9ee9ad6f2d3e068ccbd1_FORMATO.png",85626,1,"BAH","lat","Provável",0,5,0,0,0,"Bahia"
"280","José Rafael Vivian","Zé Rafael ","https://s.glbimg.com/es/sde/f/2018/03/21/acf001c5ce22adb010ecee52e482fd0e_FORMATO.png",82455,1,"BAH","mei","Provável",0,18,0,0,0,"Bahia"
"281","Agustín Lionel Allione","Allione","https://s.glbimg.com/es/sde/f/2018/03/21/3c614f3fa77de55748fa8ddfdef2eecc_FORMATO.png",84585,1,"BAH","mei","Nulo",0,9,0,0,0,"Bahia"
"282","Everson Bispo Pereira","Everson","https://s.glbimg.com/es/sde/f/2018/03/02/0d1f27696ffa839add050783ad3a4202_FORMATO.png",91929,1,"BAH","zag","Nulo",0,3,0,0,0,"Bahia"
"283","Rodrigo Nascimento França ","Rodrigo Becão","https://s.glbimg.com/es/sde/f/2018/03/21/60864cfda78d6abb071556d2dc9ddf33_FORMATO.png",93369,1,"BAH","zag","Nulo",0,3,0,0,0,"Bahia"
"284","Riuler de Oliveira Faustino","Riuler","https://s.glbimg.com/es/sde/f/2017/04/23/f9a0f4d378841844615990bf95a39da9_FORMATO.png",99021,1,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-PR"
