AtletaID,Rodada,Posicao,ClubeID,Pontos,PontosMedia,Preco,PrecoVariacao,media,roll.media,Jogos,CA,CV,DD,DP,FC,GC,GS,RB,SG,A,FD,FF,FS,FT,G,I,PE,PP
36522,24,4,10,-3.7,5.07,16.16,-1.62,2.636,0.16,13.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
36522,25,4,10,6.8,5.19,17.87,1.71,2.79615384615385,1.52,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
36522,26,4,10,2.6,5.02,17.17,-0.7,2.78888888888889,2.04,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
36522,27,4,10,5.4,5.04,17.45,0.28,2.88214285714286,2.22,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0
36522,28,4,10,3.6,4.96,17.2,-0.25,2.90689655172414,2.94,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
36522,29,4,10,3.4,4.87,17.34,0.14,2.9233333333333302,4.36,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
36522,30,4,10,13.5,5.32,19.1,1.76,3.2645161290322595,5.7,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0
36522,31,4,10,0.7,5.09,16.85,-2.25,3.184375,5.32,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36522,32,4,10,10.1,5.33,18.55,1.7,3.39393939393939,6.26,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0
36522,34,4,10,2.1,5.18,17.24,-1.31,3.26,5.28,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
36522,35,4,10,1.4,5.02,17.02,-0.22,3.2083333333333304,2.86,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36522,36,4,10,11.2,5.28,18.74,1.72,3.42432432432432,4.96,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0
36522,37,4,10,4.7,5.26,17.78,-0.96,3.4578947368421,3.88,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
36522,38,4,10,-0.3,5.05,16.75,-1.03,3.3615384615384603,3.82,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
36540,1,2,16,2.0,2.0,12.88,-2.12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36540,2,2,16,3.4,2.7,12.04,-0.84,1.8,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
36540,3,2,16,0.1,1.83,10.85,-1.19,1.375,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
36540,4,2,16,0.9,1.6,10.61,-0.24,1.28,1.28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
