A,Apelido,AtletaID,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,Rodada,SG,Status,ano,media,roll.media
0.0,0,36522,1.0,0.0,Coritiba,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,True,-3.7,5.07,mei,16.16,-1.62,0.0,24,0.0,0,2014,2.636,0.16
1.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,True,6.8,5.19,mei,17.87,1.71,1.0,25,0.0,0,2014,2.79615384615385,1.52
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,True,2.6,5.02,mei,17.17,-0.7,0.0,26,0.0,0,2014,2.78888888888889,2.04
1.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,0.0,True,5.4,5.04,mei,17.45,0.28,0.0,27,0.0,0,2014,2.88214285714286,2.22
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,True,3.6,4.96,mei,17.2,-0.25,1.0,28,0.0,0,2014,2.90689655172414,2.94
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,True,3.4,4.87,mei,17.34,0.14,1.0,29,0.0,0,2014,2.9233333333333302,4.36
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,19.0,3.0,0.0,True,13.5,5.32,mei,19.1,1.76,1.0,30,0.0,0,2014,3.2645161290322595,5.7
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,True,0.7,5.09,mei,16.85,-2.25,0.0,31,0.0,0,2014,3.184375,5.32
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,True,10.1,5.33,mei,18.55,1.7,0.0,32,0.0,0,2014,3.39393939393939,6.26
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,0.0,True,2.1,5.18,mei,17.24,-1.31,1.0,34,0.0,0,2014,3.26,5.28
0.0,0,36522,0.0,0.0,Coritiba,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,True,1.4,5.02,mei,17.02,-0.22,1.0,35,0.0,0,2014,3.2083333333333304,2.86
