"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","CV","FC","FD","FF","FS","I","PE","RB","SG","FT","A","G","PP","DD","GS","GC","DP"
"11","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,24,"AVA","zag","Provável",-0.3,6.78,-1.25,2.67,22,"Avaí",6,NA,15,1,1,20,NA,46,15,11,NA,NA,NA,NA,NA,NA,NA,NA
"12","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,24,"FLU","mei","Nulo",-0.3,0.79,0.01,0.12,8,"Fluminense",3,NA,5,NA,1,4,NA,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,24,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,24,"ATL","ata","Nulo",0,4.92,0,1.54,18,"Atlético-MG",1,NA,36,8,9,22,17,26,4,NA,1,NA,4,1,NA,NA,NA,NA
"15","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,24,"PAL","mei","Nulo",0,3.54,0,0.39,11,"Palmeiras",3,NA,8,1,4,10,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"16","Jonatan David Gomez Ospina","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png",94857,24,"SAO","mei","Dúvida",-2.5,3.18,-1.05,-0.18,8,"São Paulo",2,NA,16,2,3,12,1,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/08/30/645c1110c278efad455b4d7220e4bdbc_FORMATO.png",94445,24,"SPO","ata","Nulo",0,0.78,0,-0.55,9,"Sport",1,NA,10,1,3,4,3,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,24,"SAN","ata","Contundido",0,6.08,0,-0.55,2,"Santos",NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,24,"CRU","gol","Nulo",8,13.9,-0.62,4.28,23,"Cruzeiro",NA,NA,1,NA,NA,2,NA,11,NA,10,NA,NA,NA,NA,29,18,NA,NA
"20","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/07/25/eb7be7be185d6f7421dbf30f71453757_FORMATO.png",94583,24,"FLU","ata","Nulo",0,4.04,0,1.82,7,"Fluminense",1,NA,7,2,2,8,1,6,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"21","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/07/07/6d9964a0f815acd56932767b61858c13_FORMATO.png",94894,24,"ATL","ata","Nulo",0,0.87,0,0.4,1,"Atlético-MG",NA,NA,1,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Leonardo Felipe Santos da Silva","Léo","https://s.glbimg.com/es/sde/f/2017/04/28/8edfb4213f777f54e9a9014c5969eb07_FORMATO.png",94885,24,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,24,"PAL","zag","Provável",2,8.79,-0.52,3.1,14,"Palmeiras",2,NA,17,2,4,18,2,8,12,5,NA,NA,NA,NA,NA,NA,NA,NA
"24","Lucas Tolentino Coelho de Lima","Lucas Paquetá","https://s.glbimg.com/es/sde/f/2017/08/22/b377d3036c1d03d40bafc65a9773ddc4_FORMATO.jpeg",94930,24,"FLA","mei","Provável",-0.5,2.05,-1.5,2.54,5,"Flamengo",NA,NA,2,1,4,3,1,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"25","Lucas Emanoel Leite Romão","Lucão","https://s.glbimg.com/es/sde/f/2017/04/22/913ef9074a98f2725e2f2cd12d43f7db_FORMATO.png",94962,24,"CRU","gol","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Deijair dos Santos Nunes","Deijair ","https://s.glbimg.com/es/sde/f/2017/02/21/78e66c5df2b907d4d815509e312cf19f_FORMATO.png",94966,24,"BAH","gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Lucas Fernandes da Silva","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png",94931,24,"SAO","mei","Nulo",3.4,4.35,-0.28,2.45,10,"São Paulo",1,NA,7,4,5,10,NA,8,7,NA,NA,NA,1,NA,NA,NA,NA,NA
"28","Marco Antônio Rosa Furtado Júnior","Marco Antônio","https://s.glbimg.com/es/sde/f/2017/02/21/a2be72d3733854b4e00000008373cbbd_FORMATO.png",94975,24,"BAH","mei","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Luís Fernando Santos da Conceição","Luís Fernando","https://s.glbimg.com/es/sde/f/2017/02/21/f8d269154cfbc785e5f87f026e341b3a_FORMATO.png",94971,24,"BAH","mei","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Kaynan Ribeiro Cruz","Kaynan","https://s.glbimg.com/es/sde/f/2017/02/21/13f8834fcead83b104fa6b9b86d35473_FORMATO.png",94978,24,"BAH","ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Luis Guilherme Castro de Melo","Luis Guilherme","https://s.glbimg.com/es/sde/f/2017/04/25/f29f6e2b42f604bc517f157512d669f6_FORMATO.png",95023,24,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Domilson Cordeiro dos Santos","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/65670cbd709a8dd38cea2f806b28576c_FORMATO.png",94985,24,"COR","lat","Suspenso",-1.3,8.07,-0.44,2.75,13,"Coritiba",3,NA,20,2,3,8,NA,51,20,5,NA,NA,NA,NA,NA,NA,NA,NA
"33","Luis Antônio da Rocha Júnior","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2017/07/28/3c67fd5bc97b298b018e4be018b27485_FORMATO.png",94968,24,"BAH","lat","Provável",0.8,2.06,0.29,2.58,5,"Bahia",1,NA,5,NA,1,7,NA,18,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"34","Wildson Silva de Melo","Índio","https://s.glbimg.com/es/sde/f/2017/05/11/4fd214518b14eb3d936a1bb566f6945f_FORMATO.png",95180,24,"SPO","ata","Nulo",0,2.26,0,3.7,1,"Sport",NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Thalis Henrique Cantanhede","Thalis ","https://s.glbimg.com/es/sde/f/2017/04/03/a4b96c74f796865cee82e21548874cc4_FORMATO.png",95022,24,"ATL","mei","Nulo",0,0.81,0,0.2,1,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Nicolas Vichiatto da Silva","Nicolas","https://s.glbimg.com/es/sde/f/2017/04/23/056a95089efcf92df7bb3f732a875306_FORMATO.png",95127,24,"ATL","lat","Nulo",0,3.55,0,0.76,5,"Atlético-PR",1,NA,5,NA,NA,NA,NA,17,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"37","Waltenecir da Silva Ramos Júnior","Júnior Ramos","https://s.glbimg.com/es/sde/f/2017/02/21/f383d4a15e59c944585c2931a507d422_FORMATO.png",95054,24,"BAH","mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Onitlasi Júnior de Moraes Rodrigues","Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/f4c96c6b48180d485af9f86fa6068922_FORMATO.png",95058,24,"FLA","lat","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Victor Luiz Prestes Filho","Vitinho","https://s.glbimg.com/es/sde/f/2016/07/13/fec7b396e3ea32757d4728bef42864b5_FORMATO.png",95260,24,"CRU","lat","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Lucas Henrique dos Santos","Luquinhas","https://s.glbimg.com/es/sde/f/2017/07/25/62b49e3ba4744a1658b2d570e24c046c_FORMATO.png",95263,24,"FLU","mei","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bruno Cesar Xavier Sislo","Bruno Xavier","https://s.glbimg.com/es/sde/f/2017/09/12/af20dea8b6143f0705dd30ad937ed4c1_FORMATO.png",95288,24,"SPO","mei","Nulo",0,0.79,0,-1.1,1,"Sport",NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Marcio Antonio de Sousa Júnior","Marcinho","https://s.glbimg.com/es/sde/f/2017/05/25/27b1b870560cc8ddfeb933e48b232bb5_FORMATO.png",95332,24,"SAO","ata","Nulo",0,3.94,0,1.3,21,"São Paulo",3,NA,26,7,11,22,1,73,10,NA,NA,2,2,NA,NA,NA,NA,NA
"43","Diney Silva Da Costa","Dedé",NA,95438,24,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Cléber Janderson Pereira Reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2017/08/22/c38b2f1c3e2258a438ef5b0dfc958e01_FORMATO.png",72376,24,"COR","zag","Dúvida",-0.8,5.15,-0.19,1.23,3,"Coritiba",NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"45","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2017/07/24/650f2b1055213cf87ff282bf2f4a271b_FORMATO.png",95335,24,"SAN","mei","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Pedro Henrique Alves de Almeida","Pedro","https://s.glbimg.com/es/sde/f/2017/08/22/62e2c2d281705d4a088eef5df2d3143d_FORMATO.png",95550,24,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Alexis Nahuel Messidoro","Messidoro","https://s.glbimg.com/es/sde/f/2017/09/12/326864703d9b3350751776de5d7e2428_FORMATO.png",95562,24,"CRU","mei","Nulo",0,3.2,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Gustavo Marcelo Cardoso Soares","Índio","https://s.glbimg.com/es/sde/f/2017/04/24/f40e8a88ce85dc28ee0a123c0052d946_FORMATO.png",95315,24,"COR","ata","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Edilson Borba de Aquino","Orinho","https://s.glbimg.com/es/sde/f/2017/08/22/ed31aa68443f0c457c2a938720aa909d_FORMATO.png",95542,24,"SAN","lat","Nulo",3.8,2.35,0.35,3.8,1,"Santos",NA,NA,1,NA,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Fabrício Silva Costa","Fabrício","https://s.glbimg.com/es/sde/f/2017/02/14/d7be73cf3ee15933e6b1c7812db4ab8c_FORMATO.png",95539,24,"SPO","mei","Nulo",0,1.37,0,0.39,7,"Sport",1,NA,2,2,2,3,1,18,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"51","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,24,"COR","lat","Nulo",0,3.1,0,4.1,2,"Corinthians",NA,NA,4,NA,NA,2,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"52","Marcelo da Conceição Benevenuto Malaquias","Marcelo","https://s.glbimg.com/es/sde/f/2017/04/18/bcd7b8ce7931a3995c1ac8aaacd657b5_FORMATO.png",95638,24,"BOT","zag","Nulo",6.7,5.48,0.22,3.94,11,"Botafogo",1,NA,8,1,3,3,NA,19,12,6,NA,NA,NA,NA,NA,NA,NA,NA
"53","Filipe Rodrigues de Souza Santos","Filipinho","https://s.glbimg.com/es/sde/f/2017/04/03/0632627beb34d4add345d985b197b8d6_FORMATO.png",95651,24,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Miguel Ángel Trauco Saavedra","Trauco","https://s.glbimg.com/es/sde/f/2017/08/22/c4c0a5b479bb7a6641f7182c7000df82_FORMATO.jpeg",95738,24,"FLA","lat","Dúvida",7,6.92,0.98,2.48,16,"Flamengo",3,1,25,3,7,8,NA,64,17,6,1,NA,1,NA,NA,NA,NA,NA
"55","Lucas Kal Schenfeld Progioli","Lucas Kal","https://s.glbimg.com/es/sde/f/2016/06/28/729e1834df2c58e399827dd968c022a1_FORMATO.jpeg",95662,24,"SAO","zag","Nulo",0,2,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Felipe Araruna Hoffman","Araruna","https://s.glbimg.com/es/sde/f/2017/02/09/565624d090495af948a09ef2a6efa7c7_FORMATO.png",95660,24,"SAO","mei","Nulo",0,1.95,0,1.17,3,"São Paulo",NA,NA,3,NA,NA,3,NA,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","José Ricardo Mannarino","Zé Ricardo","https://s.glbimg.com/es/sde/f/2017/08/29/290e1b5521ef67d15a9877e4e2544c0c_FORMATO.png",95780,24,"VAS","tec","Provável",3.53,11.86,-0.31,4.16,21,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,24,"AVA","lat","Nulo",0,5.29,0,-0.5,2,"Avaí",NA,NA,1,NA,1,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"59","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,24,"COR","ata","Dúvida",0,1.79,0,-0.19,15,"Coritiba",6,NA,24,3,2,19,4,24,7,NA,NA,NA,1,1,NA,NA,NA,NA
"60","Luiz Felipe Schwartz Dal Piva ","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/04/24/7363784a4f9cfb861280071ced864b12_FORMATO.png",95483,24,"CHA","gol","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,24,"SAO","mei","Nulo",0,4.28,0,-0.81,10,"São Paulo",2,NA,18,NA,3,7,2,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,24,"ATL","lat","Provável",9,9.29,1.08,4.03,16,"Atlético-PR",3,NA,13,NA,2,16,NA,41,20,5,NA,1,2,NA,NA,NA,NA,NA
"63","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,24,"VAS","mei","Contundido",1.1,4.98,-0.65,1.88,13,"Vasco",1,NA,14,1,1,12,3,32,15,NA,1,NA,1,NA,NA,NA,NA,NA
"64","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,24,"CRU","mei","Nulo",-2.1,4.12,-0.6,1.5,16,"Cruzeiro",4,1,16,3,2,24,NA,35,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png",60819,24,"CRU","zag","Contundido",0,8.86,0,3.43,3,"Cruzeiro",NA,NA,1,NA,NA,2,NA,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"66","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,24,"GRE","lat","Provável",0.8,9.97,0.13,4.08,9,"Grêmio",NA,NA,5,1,3,12,3,40,8,6,NA,NA,NA,NA,NA,NA,NA,NA
"67","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,24,"AVA","mei","Provável",0,5.43,0,1.64,17,"Avaí",5,1,26,4,9,25,3,53,17,NA,1,2,1,NA,NA,NA,NA,NA
"68","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,24,"GRE","gol","Nulo",4,8.07,0.52,1.53,16,"Grêmio",1,1,NA,NA,NA,NA,NA,5,NA,7,NA,NA,NA,NA,8,13,NA,NA
"69","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,24,"PAL","mei","Nulo",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Renan Gorne Silva","Renan Gorne","https://s.glbimg.com/es/sde/f/2017/04/18/93446ecc92fba9fefb3b8e5fd410ff12_FORMATO.png",95543,24,"BOT","ata","Nulo",0,0.76,0,-3.5,1,"Botafogo",1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,24,"COR","mei","Nulo",0,3.6,0,-0.68,4,"Coritiba",1,NA,2,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,24,"CRU","ata","Provável",-0.3,9.23,-0.22,1.3,15,"Cruzeiro",3,1,19,9,12,11,1,34,4,NA,NA,1,2,NA,NA,NA,NA,NA
"73","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,24,"VAS","ata","Contundido",0,11.82,0,5.19,11,"Vasco",5,NA,22,6,17,22,6,15,4,NA,NA,2,5,NA,NA,NA,NA,NA
"74","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,24,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,24,"SAO","mei","Nulo",0,6.88,0,2.3,5,"São Paulo",NA,NA,1,3,1,7,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,24,"PON","gol","Contundido",0,11.26,0.6,3.58,23,"Ponte Preta",2,NA,NA,NA,NA,3,NA,10,1,9,NA,NA,NA,NA,35,32,NA,NA
"77","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,24,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",1,NA,2,NA,1,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,24,"SPO","zag","Nulo",7.7,7.37,0.56,3.29,15,"Sport",1,NA,13,4,NA,10,1,21,18,4,NA,1,NA,NA,NA,NA,NA,NA
"79","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,24,"ATL","mei","Nulo",0,5.67,0,1.7,5,"Atlético-MG",1,NA,12,NA,NA,9,1,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,24,"PON","mei","Nulo",0,4.3,0,1.37,12,"Ponte Preta",3,NA,9,NA,5,11,1,6,9,NA,NA,1,NA,NA,NA,NA,NA,NA
"81","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,24,"SAO","zag","Nulo",0,3.05,0,0.25,7,"São Paulo",5,NA,11,1,3,2,NA,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA
