"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","G","CV","I","PP","DD","GS","DP","GC"
"121","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,30,"FLA","mei","Dúvida",0,8.06,0,2.9,24,"Flamengo",1,5,31,1,6,33,NA,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/08/24/906d163cca64b5b702fc394e60588644_FORMATO.png",38648,30,"SAO","mei","Provável",12.3,19.76,1.31,8.2,14,"São Paulo",1,2,12,11,10,37,NA,59,22,NA,8,NA,1,NA,NA,NA,NA,NA
"123","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2017/07/28/eaa5d401b5faf55be5cb064b19e97744_FORMATO.png",50645,30,"BAH","lat","Provável",2.5,6.9,-0.38,3.05,28,"Bahia",1,7,40,2,6,31,NA,133,52,9,NA,NA,2,NA,NA,NA,NA,NA
"124","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,30,"ATL","zag","Provável",3.6,8.59,0.7,2.94,21,"Atlético-PR",NA,6,21,2,8,11,NA,38,17,6,3,NA,1,NA,NA,NA,NA,NA
"125","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,30,"VAS","ata","Nulo",0,2.02,0,-0.15,2,"Vasco",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,30,"CRU","mei","Provável",13.4,8.71,2.28,3.59,20,"Cruzeiro",1,1,27,5,7,42,2,60,23,NA,3,NA,1,NA,NA,NA,NA,NA
"127","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,30,"FLU","gol","Provável",5,4.57,1.18,2.64,8,"Fluminense",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,13,11,NA,NA
"128","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,30,"CRU","zag","Nulo",0,8.89,0,3.04,23,"Cruzeiro",1,7,15,5,3,12,1,51,16,10,1,NA,NA,NA,NA,NA,NA,NA
"129","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,30,"VIT","ata","Nulo",3.3,4.07,0.69,1.22,8,"Vitória",NA,NA,3,NA,NA,1,NA,8,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"130","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,30,"FLA","gol","Provável",-1,8.7,-0.89,3.07,13,"Flamengo",NA,NA,NA,NA,NA,3,NA,8,NA,3,NA,NA,NA,NA,17,16,1,NA
"131","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,30,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,30,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,30,"PAL","mei","Nulo",0,7.15,0,1.95,7,"Palmeiras",NA,2,11,1,2,10,NA,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Keirrison de Souza Carneiro","Keirrison","https://s.glbimg.com/es/sde/f/2017/07/27/e66b2c78e9f0ae24320e10cc36d11f56_FORMATO.png",50880,30,"COR","ata","Nulo",0,2.4,0,0.35,2,"Coritiba",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,30,"AVA","lat","Nulo",0.7,4.55,-0.74,-0.1,3,"Avaí",NA,NA,2,NA,2,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"136","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2017/07/25/3877f66bdd821cbbcd81de82eeebcb3c_FORMATO.png",50856,30,"FLU","zag","Contundido",0,9.14,0,2.28,20,"Fluminense",NA,3,19,1,1,23,2,33,24,2,NA,NA,NA,NA,NA,NA,NA,NA
"137","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,30,"BOT","zag","Nulo",0,5.9,0,4.78,5,"Botafogo",NA,1,3,NA,2,6,NA,13,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"138","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2017/05/02/7c58801a7248a49556b48b3d0b29ca4d_FORMATO.png",51318,30,"SAN","mei","Nulo",0,3.32,0,-0.26,9,"Santos",NA,3,10,NA,2,8,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,30,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Renato Adriano Jacó de Morais","Renato Cajá","https://s.glbimg.com/es/sde/f/2017/05/02/c6dd544b90a2c4194626f51e05b53b4e_FORMATO.png",51319,30,"PON","mei","Nulo",0,6.7,0,1.68,15,"Ponte Preta",2,1,16,1,10,14,NA,53,14,NA,1,1,1,NA,NA,NA,NA,NA
"141","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,30,"SAO","gol","Nulo",0,5,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,30,"VIT","mei","Nulo",1.7,5.48,0.5,1.63,17,"Vitória",3,4,20,6,10,8,1,49,15,NA,NA,NA,1,NA,NA,NA,NA,NA
"143","Walter Leandro Capeloza Artune","Walter","https://s.glbimg.com/es/sde/f/2017/04/20/196790f232d428bcd861ad55c55dd8cc_FORMATO.png",51413,30,"COR","gol","Nulo",0,6,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Thiago Carleto Alves","Thiago Carleto","https://s.glbimg.com/es/sde/f/2017/05/15/e78cf3d6b6820ad71b0335abf0a64a0b_FORMATO.png",51700,30,"COR","lat","Provável",1.9,5.67,-0.32,4.89,14,"Coritiba",3,2,10,10,4,11,NA,57,17,4,2,NA,NA,1,NA,NA,NA,NA
"145","Paulo Roberto Valoura Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/07/28/46e83a5bd2ed557124edf9a1e69b6d0c_FORMATO.png",71937,30,"BAH","mei","Provável",0,10.41,0,2.83,22,"Bahia",2,2,40,13,17,14,1,80,29,NA,2,NA,NA,NA,NA,NA,NA,NA
"146","Luiz Diallison de Souza Alves","Apodi","https://s.glbimg.com/es/sde/f/2017/04/24/287a66acd6363a7d660701c832982d75_FORMATO.png",51042,30,"CHA","lat","Provável",4.3,8.32,-0.03,3.23,27,"Chapecoense",NA,8,50,8,15,52,NA,64,33,8,1,NA,2,NA,NA,NA,NA,NA
"147","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2017/04/28/050f2523a89b53c80e67a8b25d407fea_FORMATO.png",51415,30,"ATL","zag","Contundido",0,7.51,0,2.63,19,"Atlético-GO",1,NA,29,NA,10,31,1,41,24,1,NA,NA,NA,NA,NA,NA,NA,NA
"148","Leandro Salino do Carmo","Leandro Salino","https://s.glbimg.com/es/sde/f/2017/02/20/88732a4309dfb2ee375054e5e944d3cf_FORMATO.png",51905,30,"VIT","lat","Nulo",0,5.87,0,3.4,7,"Vitória",NA,1,15,NA,2,16,NA,22,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"149","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2017/04/23/d52f6bea6aa2f1491f7bd22855a3e821_FORMATO.png",51705,30,"GRE","zag","Contundido",0,4.72,-1.09,3.52,6,"Grêmio",NA,1,5,1,1,1,NA,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA
"150","Waltenecir da Silva Ramos Júnior","Júnior Ramos","https://s.glbimg.com/es/sde/f/2017/02/21/f383d4a15e59c944585c2931a507d422_FORMATO.png",95054,30,"BAH","mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Antonio Eduardo Pereira dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2017/02/20/2a67dc4c7c97236fb27abf4dbe5a39fc_FORMATO.png",51792,30,"VIT","zag","Provável",0,9.01,0,4.51,19,"Vitória",1,4,15,3,10,10,1,44,22,6,4,NA,5,NA,NA,NA,NA,1
"152","Anderson Vieira Martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2017/07/24/b1c36aceb7c5d5fb95b9079cf23fe5fe_FORMATO.png",52618,30,"VAS","zag","Provável",2.5,9.88,-0.36,3.65,10,"Vasco",NA,1,10,NA,6,2,NA,24,15,4,NA,NA,NA,NA,NA,NA,NA,NA
"153","Éverton Augusto de Barros Ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2017/06/24/7deee286983361a4845652b6c39be834_FORMATO.png",51772,30,"FLA","mei","Provável",-0.2,12.04,0.49,3,21,"Flamengo",4,2,23,8,11,43,NA,111,20,NA,3,NA,NA,1,NA,NA,NA,NA
"154","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2017/08/16/85d20e5a1ac2e527a5eca70e709f7b10_FORMATO.jpeg",52253,30,"FLA","zag","Contundido",0.4,11.4,-2.79,5.27,24,"Flamengo",NA,2,16,5,6,22,NA,28,31,7,5,NA,2,NA,NA,NA,NA,NA
"155","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png",52674,30,"BOT","lat","Nulo",0,8.38,-0.17,3.16,20,"Botafogo",1,4,18,NA,3,26,2,24,15,7,NA,NA,1,NA,NA,NA,NA,NA
"156","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2017/04/18/054a14cdfbb6abbdb2c8a8a75f0a9ee1_FORMATO.png",68901,30,"BOT","ata","Provável",4.2,8,1.01,3.32,25,"Botafogo",8,5,39,15,14,28,NA,99,30,NA,2,NA,7,NA,NA,NA,NA,NA
"157","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/29/4202df5f7ffbef81d1801418eed48bc2_FORMATO.png",37608,30,"GRE","mei","Nulo",0,3.64,0,2.4,1,"Grêmio",NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,30,"PAL","mei","Nulo",0,6.6,0,2.27,13,"Palmeiras",2,4,9,3,11,11,NA,39,17,NA,NA,NA,3,NA,NA,NA,NA,NA
"159","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,30,"ATL","gol","Provável",9.7,12.71,1.32,4.26,28,"Atlético-MG",NA,4,2,NA,NA,6,NA,19,NA,6,NA,NA,NA,NA,47,34,4,NA
"160","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,30,"ATL","zag","Nulo",0,4.3,0,1.93,15,"Atlético-PR",NA,4,13,2,NA,11,1,32,13,4,NA,NA,NA,NA,NA,NA,NA,NA
"161","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2017/04/25/19e52a7282097054fc255711621c8e29_FORMATO.png",54797,30,"CHA","ata","Nulo",0,4.27,0,2.17,19,"Chapecoense",1,1,21,6,9,8,NA,20,4,NA,4,NA,1,NA,NA,NA,NA,NA
