"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","G","CV","I","PP","DD","GS","DP","GC"
"420","Maurício Andreazzi Pereira","Andreazzi","https://s.glbimg.com/es/sde/f/2017/04/24/2e3edae4ff2b6836e1ea7f55380193fa_FORMATO.png",89253,30,"BOT","mei","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,30,"ATL","gol","Provável",-2,4.26,-2.03,3.07,27,"Atlético-PR",NA,1,NA,NA,NA,5,NA,21,1,7,NA,NA,NA,NA,40,34,NA,NA
"422","João Pedro Maturano dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2017/04/24/c6945a1446c818fed3c475afef47a6a8_FORMATO.png",89273,30,"CHA","lat","Nulo",0,5.87,0,2.3,1,"Chapecoense",NA,NA,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,30,"PON","mei","Provável",0,4.63,0,1.18,20,"Ponte Preta",1,4,39,1,6,16,NA,44,26,NA,1,1,2,NA,NA,NA,NA,NA
"424","Nadson da Silva Almeida","Nadson","https://s.glbimg.com/es/sde/f/2017/04/25/9c0263cf980f89da4cca8b6bc120585f_FORMATO.png",80140,30,"CHA","mei","Nulo",0,0.76,0,-0.07,3,"Chapecoense",NA,NA,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/08/16/47b4cc4af08862b4cf6685d475edd618_FORMATO.jpeg",71709,30,"FLA","mei","Suspenso",7.7,6.19,0.21,3.96,18,"Flamengo",NA,3,16,3,NA,12,NA,29,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Saulo Ferreira Silva Nascimento","Saulo","https://s.glbimg.com/es/sde/f/2017/04/18/8fb7b68bea9068528d9381cfe5c0b32a_FORMATO.png",89492,30,"BOT","gol","Nulo",0,1.18,0,-2,1,"Botafogo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Matheus de Sales Cabral","Matheus Sales","https://s.glbimg.com/es/sde/f/2017/07/28/3f6f5e42ab4526ee91e011dab0d45545_FORMATO.png",89285,30,"BAH","mei","Nulo",0,3.28,-0.13,1.84,11,"Bahia",1,3,12,1,2,11,NA,19,15,NA,NA,NA,1,NA,NA,NA,NA,NA
"428","Marcos Junio Lima dos Santos","Marcos Junior","https://s.glbimg.com/es/sde/f/2017/07/25/0ff5aea8f677cff80e0a7a93745453e5_FORMATO.png",80188,30,"FLU","ata","Provável",2.1,2.88,0.06,0.76,16,"Fluminense",NA,4,11,2,4,17,NA,20,7,NA,1,NA,3,NA,NA,NA,NA,NA
"429","Wanderson de Jesus Martins","Caju","https://s.glbimg.com/es/sde/f/2016/05/01/54af0c3c3d1522543c64c18ca5a50a22_FORMATO.png",89342,30,"SAN","lat","Nulo",0,3.83,0,3.3,1,"Santos",NA,NA,1,NA,NA,1,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,30,"VAS","ata","Nulo",0,4.58,0,2,13,"Vasco",1,NA,6,3,3,8,NA,12,2,NA,2,NA,2,NA,NA,NA,NA,NA
"431","Carlos Eugenio Júnior Tavares dos Santos","Júnior Tavares","https://s.glbimg.com/es/sde/f/2017/02/09/25d0a51f886e8f5b2db83e4bea6a4e20_FORMATO.png",89343,30,"SAO","lat","Nulo",0,11.15,0,3.83,20,"São Paulo",4,3,19,2,6,40,NA,67,27,4,NA,NA,NA,NA,NA,NA,NA,NA
"432","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2017/08/30/4df3a999db97ae40b152429edc607db4_FORMATO.png",71724,30,"SPO","gol","Nulo",0,4.57,0,6.05,4,"Sport",NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,8,4,NA,NA
"433","Lucas Fonseca da Silva","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2017/07/28/2ee15f7fbeefac55e5b773d1cd8ffa0a_FORMATO.png",80189,30,"BAH","zag","Provável",1.1,5.59,0.45,2.74,24,"Bahia",1,4,13,2,1,26,NA,44,22,8,NA,1,NA,NA,NA,NA,NA,NA
"434","Glaybson Yago Souza Lisboa","Yago Pikachu","https://s.glbimg.com/es/sde/f/2017/04/24/3021726139e41d1a3fe9ada22058c738_FORMATO.png",80196,30,"VAS","lat","Provável",0.9,9.16,-0.98,4.03,19,"Vasco",2,2,18,8,4,23,NA,39,14,6,2,NA,2,NA,NA,NA,NA,NA
"435","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,30,"GRE","gol","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,30,"PAL","lat","Provável",5.8,8.05,0.24,3.52,21,"Palmeiras",1,3,36,NA,2,11,NA,50,32,8,1,NA,3,NA,NA,NA,NA,NA
"437","Wellington do Nascimento Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/07/28/82f8d8d7313084b0b7cfc91245954a24_FORMATO.png",71892,30,"BAH","lat","Nulo",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_FORMATO.png",80363,30,"CRU","mei","Contundido",0,5.29,0,1.69,13,"Cruzeiro",NA,4,16,NA,8,23,NA,55,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Igor Rabello da Costa","Igor Rabello","https://s.glbimg.com/es/sde/f/2016/05/20/45658f95ac34e82da4d58cf9c77f2587_FORMATO.png",89493,30,"BOT","zag","Provável",10.9,11.87,1.93,3.27,24,"Botafogo",NA,5,27,3,5,13,1,35,36,7,1,NA,4,NA,NA,NA,NA,1
"440","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,30,"GRE","mei","Provável",6.3,9.96,0.22,5.22,18,"Grêmio",NA,7,44,3,10,20,NA,53,51,NA,5,NA,2,NA,NA,NA,NA,NA
"441","Leonan José Valandro Gomes","Leonan","https://s.glbimg.com/es/sde/f/2017/04/03/f7ef2c1763cfea19e19b624be9bd9f68_FORMATO.png",89693,30,"ATL","lat","Nulo",0,2.69,0,3.17,3,"Atlético-MG",NA,1,4,NA,NA,7,NA,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"442","Cleberson Martins de Souza","Cleberson","https://s.glbimg.com/es/sde/f/2017/04/23/91e18bf15401259ce1466dbccb56d6ae_FORMATO.png",80281,30,"ATL","zag","Nulo",0,2.69,0,-1.2,1,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Arthur Caíke do Nascimento Cruz","Arthur ","https://s.glbimg.com/es/sde/f/2017/04/24/56939ae4c18f332e1a3bb20305de4f33_FORMATO.png",80337,30,"CHA","ata","Provável",7.7,12.22,0.06,4.83,27,"Chapecoense",6,5,46,16,23,55,1,57,26,NA,6,NA,9,NA,NA,NA,NA,NA
"444","Ezequiel Jacinto de Biasi","Ezequiel ","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_FORMATO.png",80318,30,"CRU","lat","Provável",-0.2,5.26,-0.05,2.34,17,"Cruzeiro",1,5,26,2,3,14,NA,35,19,5,NA,NA,NA,NA,NA,NA,NA,NA
"445","Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,30,"COR","gol","Nulo",0,3,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Gilberto Moraes Júnior","Gilberto ","https://s.glbimg.com/es/sde/f/2017/07/11/6b5408cf6a95787a4a68b548a6d31752_FORMATO.png",80313,30,"VAS","lat","Nulo",0,11.09,0,4.34,20,"Vasco",1,6,28,2,7,28,1,91,54,4,NA,NA,2,NA,NA,NA,NA,NA
"447","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2017/07/28/848d6125a9c369432280eafad030d57a_FORMATO.png",80370,30,"BAH","mei","Contundido",10.1,15.07,1.02,5.38,17,"Bahia",2,3,29,3,12,22,NA,29,51,NA,1,1,3,NA,NA,NA,NA,NA
"448","Nickson Gabriel Reis Silva","Nickson","https://s.glbimg.com/es/sde/f/2017/04/22/fe8ee314651bfce7367d25049b99720f_FORMATO.png",89676,30,"CRU","ata","Nulo",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","James Dean Araújo de Lima","James Dean","https://s.glbimg.com/es/sde/f/2017/05/01/c92d594519fdaaff86e13dce57f1b587_FORMATO.png",89694,30,"SPO","ata","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Romulo dos Santos de Souza","Romulo","https://s.glbimg.com/es/sde/f/2017/04/28/039439859f768160af8a4dc5be23db1b_FORMATO.png",89696,30,"AVA","ata","Provável",8.4,9.64,0.77,1.76,26,"Avaí",NA,4,34,10,13,34,NA,56,18,NA,3,NA,7,NA,NA,NA,NA,NA
"451","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2017/07/28/f9a5ac323f358bb4e2d5bbc354956624_FORMATO.png",89815,30,"BAH","mei","Nulo",0,5.11,0,1.05,11,"Bahia",NA,1,8,2,3,6,1,15,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"452","Michael Vinicius Silva de Morais","Michael","https://s.glbimg.com/es/sde/f/2017/05/04/c43b96f2a0e0c8a8006defaedc1db2ee_FORMATO.png",80537,30,"FLU","ata","Nulo",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Lucas Rafael Araujo Lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2017/05/02/acb1d4777b6e76d3ca67054da81d0c42_FORMATO.png",80583,30,"SAN","mei","Provável",16.1,6.58,2.97,2.31,20,"Santos",4,10,35,8,8,59,NA,106,26,NA,1,NA,NA,NA,NA,NA,NA,NA
"454","Pedro Tonon Geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2017/04/23/e509769d9e394ef42a8681bfdacc8283_FORMATO.png",80853,30,"GRE","zag","Nulo",0,13.85,0,6.78,17,"Grêmio",2,4,13,3,5,12,NA,42,41,10,NA,NA,NA,NA,NA,NA,NA,NA
"455","Vitor Prada Macaneiro","Vitor Prada","https://s.glbimg.com/es/sde/f/2015/07/22/038dbc80052b6760a2b49d76733db416_FORMATO.jpeg",81094,30,"AVA","gol","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Wanderson Carvalho de Oliveira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/27/a7b0a15537c943f557f8fb73d8a9171b_FORMATO.png",80373,30,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Luan Garcia Teixeira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,30,"PAL","zag","Nulo",0,5.63,0,2.52,14,"Palmeiras",NA,3,18,1,5,12,NA,14,17,4,NA,1,NA,NA,NA,NA,NA,NA
"458","Johnath Marlone Azevedo da Silva","Marlone","https://s.glbimg.com/es/sde/f/2017/04/25/744a27f04385f2906d5982a7dad3445b_FORMATO.png",80944,30,"ATL","mei","Nulo",0,5.48,0,0.92,12,"Atlético-MG",NA,2,9,3,4,8,NA,37,4,NA,2,NA,4,NA,NA,NA,NA,NA
"459","Diego da Silva Rosa","Diego Rosa","https://s.glbimg.com/es/sde/f/2017/06/21/113421cfc95b13d42d7a61ddfd0b906c_FORMATO.png",71927,30,"ATL","mei","Nulo",2.1,7.34,0.23,2.34,16,"Atlético-GO",2,1,10,8,3,10,NA,14,10,NA,1,NA,3,NA,NA,NA,NA,NA
"460","Rodrigo de Oliveira Ramos","Rodrigo Ramos","https://s.glbimg.com/es/sde/f/2015/10/30/790da0b7e69393ed9c4a542a2536232c_FORMATO.png",91388,30,"COR","lat","Contundido",0,2.89,0,-0.63,3,"Coritiba",NA,NA,6,1,NA,1,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Thallyson Augusto Tavares Dias","Thallyson","https://s.glbimg.com/es/sde/f/2017/06/07/cd71ce4201f13139db63ac6e182e85a7_FORMATO.png",81219,30,"VIT","lat","Contundido",0,0.96,0,0.87,6,"Vitória",NA,1,5,NA,1,3,NA,20,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"462","Leonardo Felipe Valencia Rossel","Leonardo Valencia","https://s.glbimg.com/es/sde/f/2017/08/07/5da8e09b912f3d4e02c70571d9de8988_FORMATO.png",91508,30,"BOT","mei","Nulo",4.7,4.48,1.67,-0.91,8,"Botafogo",1,4,7,4,4,10,NA,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"463","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,30,"SPO","zag","Provável",-2.6,4.57,-0.91,3.5,15,"Sport",NA,4,17,2,4,6,NA,21,28,4,NA,NA,NA,NA,NA,NA,NA,NA
"464","José Rafael Vivian","Zé Rafael ","https://s.glbimg.com/es/sde/f/2017/07/28/ec8b41ce26f473fab0f1e1de432cc88f_FORMATO.png",82455,30,"BAH","mei","Provável",6,20.67,0.31,6.58,29,"Bahia",4,4,53,22,14,98,NA,65,73,NA,3,NA,8,NA,NA,NA,NA,NA
"465","Juan Ramón Cazares Sevillano","Cazares","https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_FORMATO.png",81682,30,"ATL","mei","Dúvida",6.4,9.49,0.89,3.16,25,"Atlético-MG",8,NA,22,17,24,11,NA,82,9,NA,3,NA,1,1,NA,NA,NA,NA
"466","Frickson Rafael  Erazo Vivero","Erazo","https://s.glbimg.com/es/sde/f/2017/04/03/a0b75e2777a8e1b1844e5f2ff9caa182_FORMATO.png",81223,30,"ATL","zag","Nulo",0,3.98,0,0.15,2,"Atlético-MG",NA,1,3,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"467","Andrés Lorenzo Ríos","Andrés Ríos","https://s.glbimg.com/es/sde/f/2017/07/11/a3b10554f6896bd025dfd3eaf5f9ce80_FORMATO.png",81684,30,"VAS","ata","Provável",1.7,4.09,-0.41,3.1,9,"Vasco",1,1,22,2,6,14,NA,20,11,NA,2,1,2,NA,NA,NA,NA,NA
"468","Osman de Menezes Venâncio Junior","Osman","https://s.glbimg.com/es/sde/f/2017/04/25/f608122b61891f2ab13ba0015367cfb5_FORMATO.png",81898,30,"CHA","ata","Contundido",0,2.99,0,1.23,7,"Chapecoense",1,2,5,NA,4,1,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"469","Antônio Filipe Gonzaga de Aquino","Feijão","https://s.glbimg.com/es/sde/f/2017/07/28/42cedaedc830335fd6d9306c19f33aa5_FORMATO.png",84313,30,"BAH","mei","Nulo",0,1.41,0,-0.78,5,"Bahia",NA,2,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,30,"VIT","mei","Provável",6.2,6.35,0.12,3.18,27,"Vitória",NA,5,48,3,13,14,1,49,52,NA,3,NA,1,NA,NA,NA,NA,NA
"471","Clayton Silveira da Silva","Clayton","https://s.glbimg.com/es/sde/f/2017/08/25/b1bd13510c1d64d8d7f7058a48c1acdb_FORMATO.png",81770,30,"ATL","ata","Nulo",1.9,6.48,-0.02,1.76,9,"Atlético-MG",NA,NA,7,NA,1,2,NA,10,3,NA,2,NA,1,NA,NA,NA,NA,NA
"472","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,30,"GRE","lat","Nulo",0,10.96,0,3.84,22,"Grêmio",NA,3,29,NA,NA,21,NA,43,27,11,1,NA,3,NA,NA,NA,NA,NA
"473","Christian Alberto Cueva Bravo","Cueva","https://s.glbimg.com/es/sde/f/2017/08/24/9ea34016bae7f001bbb849c8d907c1f4_FORMATO.png",82411,30,"SAO","mei","Provável",6.2,11.41,1.17,4.32,23,"São Paulo",7,3,16,6,11,38,1,98,36,NA,2,NA,5,1,NA,NA,NA,NA
"474","Alisson Euler de Freitas Castro","Alisson","https://s.glbimg.com/es/sde/f/2017/04/22/b5d1b28ec393ae2be2fba2b5dffe9ce9_FORMATO.png",81845,30,"CRU","mei","Provável",2.6,13.13,-0.23,4.46,20,"Cruzeiro",5,1,25,9,12,39,3,57,25,NA,1,NA,4,NA,NA,NA,NA,NA
"475","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,30,"BOT","zag","Nulo",0,3.3,0,5,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"476","José Henrique da Silva Dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2017/07/25/74fe5365c7b46c57003665b15a0d770a_FORMATO.png",81905,30,"FLU","ata","Provável",0,22.26,0,5.83,23,"Fluminense",2,5,61,13,11,45,NA,60,9,NA,16,NA,8,NA,NA,NA,NA,NA
"477","Douglas Coutinho Gomes de Souza","Douglas Coutinho ","https://s.glbimg.com/es/sde/f/2017/04/23/21b6dbe5807688ac8d5a82327a8cc1a4_FORMATO.png",82469,30,"ATL","ata","Dúvida",-0.1,2.74,-1.89,1.96,19,"Atlético-PR",1,NA,13,10,7,14,NA,33,7,NA,2,NA,3,NA,NA,NA,NA,NA
"478","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,30,"BOT","mei","Provável",3,3.92,0.24,2.83,24,"Botafogo",4,5,43,8,9,46,1,95,35,NA,1,NA,1,NA,NA,NA,NA,NA
"479","Reginaldo Manoel da Silva Júnior","Reginaldo","https://s.glbimg.com/es/sde/f/2017/07/25/4caba62b4f978cd6db2e589843899fbd_FORMATO.png",82515,30,"FLU","zag","Provável",6,5.55,0.73,4.06,15,"Fluminense",NA,2,20,NA,3,11,NA,47,42,2,NA,NA,NA,NA,NA,NA,NA,NA
"480","Fernando Galhardo Borges","Fernandinho","https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png",72150,30,"PON","lat","Nulo",0,5.26,0,2.43,4,"Ponte Preta",NA,1,3,NA,NA,NA,1,9,2,2,NA,NA,2,NA,NA,NA,NA,NA
"481","Wellington Simião","Wellington Simião","https://s.glbimg.com/es/sde/f/2017/05/17/952fdde5f058594fa74d531f91c1abf3_FORMATO.png",81903,30,"AVA","mei","Nulo",-0.3,2.55,-0.17,1.14,26,"Avaí",NA,3,22,3,9,32,1,43,10,NA,2,NA,3,NA,NA,NA,NA,NA
"482","Iago Ângelo Dias","Iago","https://s.glbimg.com/es/sde/f/2017/04/24/6d1258d426eef6b245dc52182b65814b_FORMATO.png",88417,30,"COR","ata","Nulo",-1.3,3.59,-0.46,-0.08,13,"Coritiba",NA,1,10,2,3,5,NA,14,3,NA,NA,NA,3,NA,NA,NA,NA,NA
"483","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,30,"PAL","gol","Nulo",0,7.45,0,5.73,4,"Palmeiras",NA,3,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,6,3,1,NA
"484","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2017/05/28/e1ec05f6af0ed5e2047bfa90f97426f7_FORMATO.png",82613,30,"VIT","zag","Nulo",0,8.16,0,2.91,7,"Vitória",1,NA,4,NA,2,3,NA,12,8,1,NA,NA,1,NA,NA,NA,NA,NA
"485","Moisés Wolschick","Moisés","https://s.glbimg.com/es/sde/f/2017/04/25/59ac946a38de5a26b19ffc56c68885dc_FORMATO.png",82567,30,"CHA","mei","Nulo",0,1.8,0,1.4,2,"Chapecoense",NA,NA,1,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,30,"AVA","zag","Nulo",0,1.6,0,2.74,5,"Avaí",NA,NA,5,1,2,1,NA,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"487","Mauro Job Pontes Junior","Maurinho","https://s.glbimg.com/es/sde/f/2017/07/18/2663f3e84140665568c8164f03afc235_FORMATO.png",82625,30,"AVA","ata","Nulo",0,2.02,0,0.32,4,"Avaí",NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","André Andrade de Castro","André Castro","https://s.glbimg.com/es/sde/f/2017/05/11/9b573723fd4d39c5179b8dfc70e31b3f_FORMATO.png",82754,30,"ATL","mei","Nulo",3.5,2.59,0.43,1.18,25,"Atlético-GO",NA,5,28,2,4,10,NA,45,34,NA,NA,NA,1,NA,NA,NA,NA,NA
"489","Leonardo Artur de Melo","Léo Artur","https://s.glbimg.com/es/sde/f/2017/06/22/815076c3546beb2abb2496060f51deeb_FORMATO.png",82644,30,"PON","mei","Nulo",0,1.98,0,0.61,14,"Ponte Preta",1,1,16,4,7,5,NA,30,3,NA,1,NA,4,NA,NA,NA,NA,NA
"490","Gilvan Souza Correa","Gilvan","https://s.glbimg.com/es/sde/f/2017/07/15/ebd13d8be899ba33a4d355f813dae956_FORMATO.png",82773,30,"ATL","zag","Provável",-0.8,3.68,-0.42,2.29,17,"Atlético-GO",NA,4,20,2,5,9,1,31,16,2,2,NA,1,NA,NA,NA,NA,NA
"491","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,30,"COR","mei","Nulo",-9.5,5.66,-1.8,2.27,28,"Coritiba",1,7,50,13,17,48,NA,110,47,NA,1,NA,1,NA,NA,NA,NA,1
"492","Régis Augusto Salmazzo","Régis","https://s.glbimg.com/es/sde/f/2017/07/28/be592601ede31cf42b7b958372472345_FORMATO.png",82647,30,"BAH","mei","Provável",-0.3,14.14,-0.11,2.96,21,"Bahia",5,1,9,3,3,13,NA,42,8,NA,4,NA,2,NA,NA,NA,NA,NA
"493","Tagueu Tadjo Diederrick Joel","Joel","https://s.glbimg.com/es/sde/f/2017/10/14/1611b8e187b0c2fb2db3a9fee2b2ab14_FORMATO.png",82787,30,"AVA","ata","Nulo",0,3.47,0,1.99,22,"Avaí",NA,2,38,8,11,24,1,24,17,NA,3,1,10,NA,NA,NA,NA,NA
"494","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2017/04/18/57ab5f981f4355a82d3d2f15ed01eb8e_FORMATO.png",72362,30,"BOT","mei","Suspenso",1.8,10.15,-0.11,3.7,23,"Botafogo",1,3,30,3,7,23,1,75,45,NA,3,NA,NA,NA,NA,NA,NA,NA
"495","Cléber Janderson Pereira Reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2017/08/22/c38b2f1c3e2258a438ef5b0dfc958e01_FORMATO.png",72376,30,"COR","zag","Provável",2.6,5.89,-0.72,2.63,8,"Coritiba",NA,1,3,1,1,1,NA,14,10,2,NA,NA,1,NA,NA,NA,NA,NA
"496","Leonardo Pisculichi","Pisculichi","https://s.glbimg.com/es/sde/f/2017/02/18/c8a64d1e825d4a06c352c94d5499c77d_FORMATO.png",89871,30,"VIT","mei","Nulo",0,4.13,0,-0.55,2,"Vitória",NA,NA,1,NA,1,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2017/02/18/25a86aa5d44e9bdbf64ffd3c0f0a0c25_FORMATO.png",72490,30,"VIT","zag","Nulo",0.9,3.78,-0.17,1.77,12,"Vitória",NA,4,12,4,6,2,NA,30,13,1,1,NA,NA,NA,NA,NA,NA,NA
"498","Róger Krug Guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2017/04/18/8320b12c035d14425a7a1685c28eea51_FORMATO.png",89898,30,"PAL","ata","Nulo",0,6.29,0,1.98,23,"Palmeiras",3,2,34,6,8,27,1,60,7,NA,4,NA,6,NA,NA,NA,NA,NA
"499","Andrigo Oliveira de Araujo","Andrigo","https://s.glbimg.com/es/sde/f/2017/05/19/78c75bce6fe9af97abe3a17761c64821_FORMATO.png",89930,30,"ATL","mei","Provável",5.2,6.62,1.32,2.8,28,"Atlético-GO",3,7,29,13,17,20,3,101,36,NA,2,NA,1,NA,NA,NA,NA,NA
"500","Leandro Alves de Carvalho","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/20/5f4b91fa5fbbd56dc1f2fe3f094cbb22_FORMATO.png",89885,30,"BOT","mei","Contundido",0,3.07,0,3.02,6,"Botafogo",NA,1,5,1,NA,6,NA,10,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"501","Lázaro Luan Scapolan","Luan","https://s.glbimg.com/es/sde/f/2017/04/28/ec0b73e82977113f481334a7e16633d8_FORMATO.png",72565,30,"AVA","mei","Contundido",0,5.16,0,1.66,13,"Avaí",NA,6,32,2,1,29,NA,17,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
