"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","SG","PP","DD","GS","DP","GC"
"29","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,38,"ATL","mei","Nulo",0,4.73,0,1.33,11,"Atlético-MG",NA,2,NA,17,NA,NA,13,NA,NA,1,26,17,NA,NA,NA,NA,NA,NA
"30","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,38,"COR","mei","Dúvida",0,3.3,0,-0.08,8,"Coritiba",NA,1,NA,8,NA,NA,3,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA
"31","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,38,"SAO","mei","Contundido",0,5.9,0,2.63,12,"São Paulo",1,1,NA,2,3,3,12,NA,1,NA,5,7,NA,NA,NA,NA,NA,NA
"32","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,38,"PON","mei","Provável",1.5,4.37,0,1.66,20,"Ponte Preta",2,5,NA,15,NA,10,24,NA,NA,1,17,16,NA,NA,NA,NA,NA,NA
"33","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,38,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,38,"CRU","ata","Contundido",0,9.27,0,1.79,22,"Cruzeiro",1,5,1,22,10,15,17,NA,4,1,41,7,NA,NA,NA,NA,NA,NA
"35","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,38,"PON","gol","Provável",8,12.45,1.29,3.55,35,"Ponte Preta",NA,2,NA,NA,NA,NA,4,NA,NA,NA,13,1,11,NA,57,49,NA,NA
"36","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,38,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,1,NA,2,NA,1,2,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA
"37","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,38,"SPO","zag","Provável",7.4,7.22,1.07,2.86,23,"Sport",1,5,NA,24,6,2,16,NA,NA,3,36,29,6,NA,NA,NA,NA,NA
"38","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,38,"AVA","mei","Provável",1.4,2.98,0.28,1.19,23,"Avaí",NA,1,1,12,9,6,23,NA,4,NA,83,5,NA,NA,NA,NA,NA,NA
"39","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,38,"COR","mei","Nulo",-0.1,3.87,-0.17,0.2,2,"Corinthians",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"40","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,38,"COR","ata","Nulo",0,12.54,0,4.31,33,"Corinthians",2,4,NA,53,21,23,41,NA,17,32,70,8,NA,1,NA,NA,NA,NA
"41","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,38,"BOT","gol","Nulo",0,9.57,0,7.78,6,"Botafogo",NA,2,NA,NA,NA,NA,1,NA,NA,NA,6,NA,2,NA,15,5,1,NA
"42","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,38,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,38,"SAO","zag","Provável",-3.5,2.29,-0.76,-0.22,8,"São Paulo",NA,6,NA,13,1,3,4,NA,NA,NA,17,4,2,NA,NA,NA,NA,NA
"44","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,38,"ATL","lat","Provável",-0.4,4.46,-0.11,3.31,34,"Atlético-MG",2,9,NA,39,3,5,54,NA,5,4,115,37,8,NA,NA,NA,NA,NA
"45","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,38,"GRE","mei","Contundido",0,7.26,0,1,11,"Grêmio",NA,3,NA,11,1,3,10,NA,NA,NA,20,12,NA,NA,NA,NA,NA,NA
"46","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,38,"CRU","mei","Provável",4.2,17.2,1.05,5.15,32,"Cruzeiro",6,7,NA,36,40,20,44,2,10,7,117,27,NA,1,NA,NA,NA,NA
