"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FD","PE","RB","A","CA","FC","FS","SG","FF","FT","I","CV","G","PP","DD","GS","DP","GC"
"11","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,26,"PAL","zag","Dúvida",0,9.7,0,3.37,15,"Palmeiras",2,8,14,NA,3,18,19,6,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"12","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,26,"CRU","gol","Nulo",0.7,12.79,-1.11,4.13,24,"Cruzeiro",NA,12,NA,NA,NA,1,2,10,NA,NA,NA,NA,NA,NA,30,19,NA,NA
"13","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,26,"SAN","ata","Contundido",0,6.08,0,-0.55,2,"Santos",NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,26,"AVA","zag","Provável",-0.8,6.58,0.22,2.32,24,"Avaí",1,51,15,NA,6,18,20,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,26,"AVA","zag","Nulo",0,1.6,0,2.74,5,"Avaí",1,6,3,NA,NA,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,26,"VAS","mei","Provável",0,4.98,0,1.88,13,"Vasco",1,32,15,NA,1,14,12,NA,1,1,3,NA,1,NA,NA,NA,NA,NA
"17","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,26,"CRU","mei","Provável",-0.7,4.28,0.16,1.37,17,"Cruzeiro",3,38,23,NA,4,17,24,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"18","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,26,"ATL","lat","Provável",0.5,7.93,0.36,3.52,18,"Atlético-PR",1,55,21,1,3,13,17,5,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"19","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/09/29/4651e65d3130540afa2b4cb4c1cb5ef4_FORMATO.png",37688,26,"GRE","mei","Nulo",0,4.28,0,-0.81,10,"Grêmio",NA,16,3,NA,2,18,7,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"20","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,26,"GRE","lat","Dúvida",1.7,10.11,0.36,3.49,11,"Grêmio",1,46,8,NA,NA,6,12,7,3,NA,5,NA,NA,NA,NA,NA,NA,NA
"21","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,26,"PAL","mei","Nulo",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,26,"GRE","gol","Provável",8,8.91,0.84,1.91,17,"Grêmio",NA,5,NA,NA,1,NA,NA,8,NA,NA,NA,1,NA,NA,9,13,NA,NA
"23","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,26,"COR","ata","Contundido",0,1.79,0,-0.19,15,"Coritiba",3,24,7,NA,6,24,19,NA,2,NA,4,NA,1,1,NA,NA,NA,NA
"24","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,26,"AVA","mei","Dúvida",2.7,4.95,0.78,1.52,19,"Avaí",4,61,19,2,5,28,27,NA,9,1,3,1,1,NA,NA,NA,NA,NA
"25","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,26,"SAO","mei","Nulo",0,5.69,0,1.95,6,"São Paulo",3,2,3,NA,NA,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,26,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,4,1,NA,1,2,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"27","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,26,"COR","mei","Nulo",0,3.6,0,-0.68,4,"Coritiba",NA,4,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,26,"CRU","ata","Provável",-0.4,9.47,-1.63,1.75,17,"Cruzeiro",9,38,6,1,4,20,13,NA,14,NA,1,1,3,NA,NA,NA,NA,NA
"29","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,26,"VAS","ata","Contundido",0,11.82,0,5.19,11,"Vasco",6,15,4,2,5,22,22,NA,17,NA,6,NA,5,NA,NA,NA,NA,NA
"30","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,26,"PON","gol","Provável",5,12.13,0.87,3.64,24,"Ponte Preta",NA,10,1,NA,2,NA,3,10,NA,NA,NA,NA,NA,NA,35,32,NA,NA
"31","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,26,"PON","mei","Nulo",3.9,4.8,0.49,1.57,14,"Ponte Preta",NA,9,10,2,4,12,16,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"32","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,26,"ATL","mei","Provável",0,5.67,0,1.7,5,"Atlético-MG",NA,15,10,NA,1,12,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"33","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,26,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,26,"COR","ata","Provável",0,12.24,0,4.18,23,"Corinthians",16,52,6,2,2,42,25,NA,13,NA,27,NA,12,1,NA,NA,NA,NA
"35","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,26,"PAL","gol","Provável",-1.3,14.31,-1.92,4.33,22,"Palmeiras",NA,7,1,NA,2,NA,5,6,NA,NA,NA,NA,NA,NA,36,24,1,NA
"36","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,26,"SAO","zag","Contundido",0,3.05,0,0.25,7,"São Paulo",1,12,4,NA,5,11,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,26,"AVA","mei","Nulo",-2.7,2.03,-0.69,0.31,11,"Avaí",5,41,3,NA,1,5,10,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA
"38","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,26,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,26,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,26,"SPO","zag","Provável",0,7.37,0,3.29,15,"Sport",4,21,18,1,1,13,10,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"41","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,26,"BOT","gol","Nulo",0,9.57,0,7.78,6,"Botafogo",NA,6,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,15,5,1,NA
"42","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,26,"GRE","mei","Contundido",0,7.26,0,1,11,"Grêmio",1,20,12,NA,3,11,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,26,"ATL","ata","Provável",14.8,14.33,2.64,1.96,20,"Atlético-MG",3,44,17,2,5,14,18,NA,7,NA,14,NA,3,1,NA,NA,NA,NA
"44","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,26,"ATL","ata","Provável",0.7,13.95,-0.81,2.66,18,"Atlético-MG",7,39,5,2,4,30,37,NA,10,1,10,NA,5,2,NA,NA,NA,NA
"45","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,26,"ATL","lat","Provável",5.2,4.41,0.9,2.8,22,"Atlético-MG",2,82,25,NA,7,33,41,5,5,NA,2,NA,3,NA,NA,NA,NA,NA
"46","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,26,"FLA","mei","Provável",-3.9,7.99,-0.96,3.21,22,"Flamengo",1,42,47,1,4,29,31,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Douglas Silva Bacelar","Douglas","https://s.glbimg.com/es/sde/f/2017/09/06/6035aba70a37b419f328746b48c3bc46_FORMATO.png",63128,26,"CHA","zag","Nulo",0,3.64,0,2.95,2,"Chapecoense",NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,26,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,26,"BOT","ata","Contundido",0,10.31,0,5.06,20,"Botafogo",11,44,11,2,3,21,22,NA,19,NA,19,NA,10,1,NA,NA,NA,NA
"50","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,26,"CRU","mei","Provável",12.9,8.45,2.03,3.23,17,"Cruzeiro",5,50,17,NA,1,23,40,NA,4,1,1,NA,3,NA,NA,NA,NA,NA
"51","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,26,"CRU","mei","Provável",-1.3,16.6,-0.84,5.09,22,"Cruzeiro",29,85,21,3,3,23,37,NA,11,2,5,NA,6,1,NA,NA,NA,NA
"52","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,26,"COR","mei","Provável",-0.7,8.31,0.02,1.28,20,"Corinthians",3,105,9,1,2,14,12,NA,12,NA,3,NA,4,NA,NA,NA,NA,NA
"53","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,26,"CHA","ata","Provável",-0.9,9.03,-0.38,2.02,21,"Chapecoense",16,44,4,1,5,27,24,NA,17,2,7,NA,3,NA,NA,NA,NA,NA
"54","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,26,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,26,"FLU","gol","Provável",12.7,5.61,1.7,2.42,4,"Fluminense",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA
"56","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,26,"ATL","zag","Provável",0.5,8.35,0.29,3.45,17,"Atlético-PR",1,33,16,NA,6,20,9,6,6,NA,1,NA,3,NA,NA,NA,NA,NA
"57","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,26,"VIT","ata","Nulo",7.5,4.86,1.44,1.95,4,"Vitória",NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"58","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,26,"PAL","mei","Nulo",0,8.27,0,2.04,5,"Palmeiras",1,10,9,NA,2,10,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,26,"VIT","mei","Nulo",-2.8,4.98,-1.1,1.63,16,"Vitória",6,49,14,3,4,20,8,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA
"60","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,26,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,26,"FLA","gol","Provável",8,9.53,0.9,2.15,9,"Flamengo",NA,7,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,9,12,1,NA
"62","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,26,"AVA","lat","Nulo",0,5.29,0,-0.5,2,"Avaí",NA,4,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"63","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,26,"VAS","ata","Nulo",0,2.02,0,-0.15,2,"Vasco",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,26,"GRE","lat","Provável",0,9.17,0,2.42,15,"Grêmio",4,43,18,NA,4,25,11,5,8,NA,1,1,1,1,NA,NA,NA,NA
"65","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,26,"SAN","mei","Nulo",0,6.27,0,1.62,14,"Santos",1,29,16,NA,NA,10,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,26,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,26,"COR","mei","Nulo",-0.6,3.35,0,0.13,10,"Coritiba",3,25,8,NA,2,10,12,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"68","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,26,"BOT","mei","Nulo",0,3.64,0,0.78,11,"Botafogo",1,19,12,NA,3,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,26,"BOT","lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/08/24/906d163cca64b5b702fc394e60588644_FORMATO.png",38648,26,"SAO","mei","Provável",6.5,18.87,-0.23,9.12,10,"São Paulo",9,45,14,1,2,10,28,NA,9,NA,1,NA,7,NA,NA,NA,NA,NA
"71","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,26,"SAN","ata","Provável",9.7,11.33,1.77,2.73,12,"Santos",7,16,2,NA,1,16,12,NA,11,1,8,NA,3,NA,NA,NA,NA,NA
"72","Paulo César Carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2017/10/05/dd2f6056891fcc3e7ed2cfc01432a003_FORMATO.png",39355,26,"BAH","tec","Provável",0,8.91,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,26,"VAS","mei","Provável",2.2,12.67,-0.92,3.17,19,"Vasco",9,82,14,3,4,20,41,NA,16,NA,2,NA,3,NA,NA,NA,NA,NA
"74","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,26,"CRU","ata","Nulo",0,4.14,0,1.48,12,"Cruzeiro",2,22,4,NA,NA,3,11,NA,6,NA,1,NA,1,NA,NA,NA,NA,NA
"75","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,26,"SAN","tec","Provável",3.16,11.3,-0.33,4.36,20,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,26,"FLA","mei","Contundido",-0.4,18.53,-0.16,4.67,19,"Flamengo",9,80,24,2,3,27,63,NA,12,NA,8,NA,5,1,NA,NA,NA,NA
"77","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,26,"FLU","lat","Nulo",0,2.89,0,0.82,8,"Fluminense",1,15,4,NA,2,11,7,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,26,"FLU","tec","Provável",1.78,11.61,0.37,2.87,24,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,26,"VIT","tec","Provável",3.95,9.47,-0.01,3.67,21,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,26,"GRE","tec","Provável",5.05,15.79,0.72,4.31,25,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,26,"SAO","tec","Provável",6.76,10.45,0.69,3.22,18,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
