"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FC","FS","PE","PP","RB","CA","FF","SG","DD","GS","FD","G","I","A","CV","FT","DP"
"39","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,6,"BOT","gol","Contundido",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,6,"SAO","zag","Nulo",0,4.62,0,2.2,1,4,NA,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,6,"PAL","gol","Provável",4,15.44,0.46,5.38,6,NA,1,4,NA,NA,NA,NA,2,11,5,NA,NA,NA,NA,NA,NA,NA
"42","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",38100,6,"SPO","zag","Provável",0.6,4.89,-0.8,2,5,2,2,6,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,6,"COR","ata","Provável",2.7,12.83,-1.29,6.55,6,10,7,16,NA,1,NA,2,NA,NA,NA,4,4,7,2,NA,NA,NA
"44","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,6,"GRE","mei","Provável",4.6,9.34,0.83,1.43,3,1,3,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,6,"AVA","mei","Suspenso",-5.4,1.83,-1.64,-0.55,6,2,6,27,NA,2,NA,2,NA,NA,NA,3,NA,NA,NA,1,NA,NA
"46","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,6,"ATL","ata","Dúvida",4.3,16.56,-0.42,3.55,6,9,15,13,NA,1,NA,5,NA,NA,NA,2,1,3,1,NA,1,NA
"47","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,6,"ATL","ata","Provável",1,14.68,-0.99,3.46,5,3,6,19,NA,9,1,1,NA,NA,NA,1,1,3,NA,NA,NA,NA
"48","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,6,"CRU","mei","Provável",6.2,15.89,0.94,3.48,4,4,3,21,NA,3,1,3,NA,NA,NA,8,1,1,NA,NA,NA,NA
