"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","PP","SG","DD","GS","DP","GC"
"39","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,23,"CHA","ata","Provável",-0.7,9.08,-0.56,2.16,18,"Chapecoense",1,4,NA,22,12,13,19,2,3,6,36,3,NA,NA,NA,NA,NA,NA
"40","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,23,"CRU","mei","Provável",0.7,17.05,-0.21,5.48,20,"Cruzeiro",2,2,NA,20,28,11,32,2,6,5,76,19,NA,NA,NA,NA,NA,NA
"41","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,23,"FLA","mei","Nulo",0,9,0,3.44,19,"Flamengo",1,3,NA,23,1,5,26,NA,NA,NA,37,42,NA,NA,NA,NA,NA,NA
"42","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,23,"BOT","ata","Nulo",19.7,12.37,2.46,5.12,18,"Botafogo",2,2,NA,20,11,15,20,NA,9,16,37,9,1,NA,NA,NA,NA,NA
"43","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,23,"CRU","mei","Provável",10.1,7.53,0.29,2.63,14,"Cruzeiro",NA,1,NA,17,4,3,32,1,2,1,41,11,NA,NA,NA,NA,NA,NA
"44","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,23,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,23,"COR","mei","Provável",-0.4,8.57,-0.43,1.67,17,"Corinthians",1,2,NA,13,3,11,9,NA,4,3,90,9,NA,NA,NA,NA,NA,NA
"46","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,23,"ATL","zag","Provável",2.1,8.75,-0.52,3.98,15,"Atlético-PR",NA,5,NA,18,NA,5,9,NA,3,1,28,15,NA,6,NA,NA,NA,NA
"47","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,23,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA
"48","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,23,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,23,"VAS","ata","Nulo",0,2.34,0,0,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,23,"FLA","gol","Nulo",-1.3,7.71,-1.11,0.91,7,"Flamengo",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,2,6,10,NA,NA
"51","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,23,"PAL","mei","Nulo",0,8.27,0,2.04,5,"Palmeiras",NA,2,NA,10,1,2,9,NA,NA,NA,10,9,NA,NA,NA,NA,NA,NA
"52","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,23,"GRE","lat","Dúvida",0.7,9.35,0.03,2.56,14,"Grêmio",NA,4,1,23,3,8,11,NA,1,1,39,17,1,5,NA,NA,NA,NA
