"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","I","PE","RB","A","FD","FF","FT","SG","G","CV","DD","GS","DP","PP","GC"
"700","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,16,"CRU","ata","Nulo",0,4.14,-0.06,1.46,11,"Cruzeiro",NA,3,9,1,22,4,NA,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"701","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,16,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,16,"SAN","ata","Provável",0,11.4,0,1.25,4,"Santos",1,7,5,1,4,NA,NA,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"703","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,16,"VAS","mei","Nulo",0,13.63,0,3.53,12,"Vasco",3,13,31,2,53,9,3,5,7,NA,NA,2,NA,NA,NA,NA,NA,NA
"704","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/20/5dff24045cdeb8ae604f3882f732a3aa_FORMATO.png",38509,16,"FLA","gol","Provável",0,12,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,16,"BOT","mei","Nulo",3.6,3.88,0.64,0.21,7,"Botafogo",2,8,2,NA,9,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,16,"GRE","tec","Provável",3.55,15.66,0.2,4.75,16,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,16,"FLU","tec","Provável",1.84,11.87,0.13,3.3,15,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,16,"VIT","tec","Provável",0,8.82,0,2.89,11,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,16,"PAL","ata","Contundido",0,7.65,0,2.76,14,"Palmeiras",4,23,21,5,26,11,1,6,6,1,NA,3,NA,NA,NA,NA,1,NA
