"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","I","A","FD","G","FT","PP","CV","DD","GS","DP","GC"
"28","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,15,"COR","lat","Nulo",0,3.72,0,6.5,1,"Corinthians",NA,4,NA,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,15,"PON","tec","Nulo",8.78,12.93,1.07,3.85,15,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2016/05/01/3702c1c16aa8563dfc0d7e4f3399cadd_FORMATO.png",94445,15,"SPO","ata","Nulo",0,0.79,0,-0.54,5,"Sport",NA,3,1,2,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,15,"ATL","zag","Provável",5.7,4.62,1.14,1.24,8,"Atlético-PR",2,6,NA,8,19,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,15,"PAL","lat","Nulo",3.4,7.18,0.46,1.44,8,"Palmeiras",1,14,NA,4,11,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Leonardo Felipe Santos da Silva","Léo","https://s.glbimg.com/es/sde/f/2017/04/28/8edfb4213f777f54e9a9014c5969eb07_FORMATO.png",94885,15,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,15,"CRU","tec","Provável",3.01,12.29,-0.04,3.74,15,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,15,"FLA","zag","Nulo",0,5.92,0,3.98,5,"Flamengo",3,4,3,4,6,8,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"36","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,15,"VAS","zag","Provável",-3.6,1.19,-1.15,0.06,7,"Vasco",2,10,1,3,18,3,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"37","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,15,"PAL","mei","Suspenso",-0.5,4.78,-1.21,1.22,9,"Palmeiras",3,6,8,4,30,9,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"38","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,15,"ATL","ata","Nulo",0,4.8,-0.24,1.39,12,"Atlético-MG",1,18,6,16,8,2,NA,9,NA,3,2,1,1,NA,NA,NA,NA,NA
"39","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",37608,15,"COR","mei","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
