"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","G","PE","RB","I","SG","CV","DD","GS","PP","DP","GC"
"166","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,29,"SPO","zag","Provável",2.7,5.48,0.5,3.94,14,"Sport",NA,3,16,2,4,5,NA,NA,19,28,NA,4,NA,NA,NA,NA,NA,NA
"167","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2017/07/28/848d6125a9c369432280eafad030d57a_FORMATO.png",80370,29,"BAH","mei","Provável",4.7,14.05,-1.36,5.08,16,"Bahia",1,3,28,3,12,21,NA,1,25,47,2,NA,1,NA,NA,NA,NA,NA
"168","Juan Ramón Cazares Sevillano","Cazares","https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_FORMATO.png",81682,29,"ATL","mei","Dúvida",1.4,8.6,0.2,3.03,24,"Atlético-MG",7,NA,22,16,23,11,NA,3,81,9,1,NA,NA,NA,NA,1,NA,NA
"169","Nilton Soares Rodrigues","Niltinho","https://s.glbimg.com/es/sde/f/2017/07/05/f10b19ee0f7e394c770fa6f2348452e4_FORMATO.png",84703,29,"ATL","ata","Suspenso",-3.6,3.37,-0.87,1.53,19,"Atlético-GO",1,1,20,3,8,34,NA,1,27,10,3,NA,1,NA,NA,NA,NA,NA
"170","Iago Ângelo Dias","Iago","https://s.glbimg.com/es/sde/f/2017/04/24/6d1258d426eef6b245dc52182b65814b_FORMATO.png",88417,29,"COR","ata","Nulo",0,4.05,0,0.02,12,"Coritiba",NA,NA,6,1,3,5,NA,NA,14,2,3,NA,NA,NA,NA,NA,NA,NA
"171","Christian Alberto Cueva Bravo","Cueva","https://s.glbimg.com/es/sde/f/2017/08/24/9ea34016bae7f001bbb849c8d907c1f4_FORMATO.png",82411,29,"SAO","mei","Provável",-0.7,10.24,-2.26,4.23,22,"São Paulo",6,3,16,6,11,36,1,2,93,35,5,NA,NA,NA,NA,1,NA,NA
"172","José Henrique da Silva Dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2017/07/25/74fe5365c7b46c57003665b15a0d770a_FORMATO.png",81905,29,"FLU","ata","Provável",7.6,22.26,0.25,5.83,23,"Fluminense",2,5,61,13,11,45,NA,16,60,9,8,NA,NA,NA,NA,NA,NA,NA
"173","Wellington Simião","Wellington Simião","https://s.glbimg.com/es/sde/f/2017/05/17/952fdde5f058594fa74d531f91c1abf3_FORMATO.png",81903,29,"AVA","mei","Provável",0.7,2.72,-0.08,1.2,25,"Avaí",NA,3,22,3,9,32,1,2,42,10,3,NA,NA,NA,NA,NA,NA,NA
"174","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,29,"COR","mei","Dúvida",0.4,7.46,0.09,2.71,27,"Coritiba",1,6,48,13,17,46,NA,1,105,47,1,NA,NA,NA,NA,NA,NA,NA
"175","Douglas Coutinho Gomes de Souza","Douglas Coutinho ","https://s.glbimg.com/es/sde/f/2017/04/23/21b6dbe5807688ac8d5a82327a8cc1a4_FORMATO.png",82469,29,"ATL","ata","Provável",12.1,4.63,0.82,2.07,18,"Atlético-PR",1,NA,10,9,6,14,NA,2,32,7,3,NA,NA,NA,NA,NA,NA,NA
"176","Reginaldo Manoel da Silva Júnior","Reginaldo","https://s.glbimg.com/es/sde/f/2017/07/25/4caba62b4f978cd6db2e589843899fbd_FORMATO.png",82515,29,"FLU","zag","Provável",2.1,4.82,-1.51,3.92,14,"Fluminense",NA,2,18,NA,3,10,NA,NA,46,38,NA,2,NA,NA,NA,NA,NA,NA
"177","André Andrade de Castro","André Castro","https://s.glbimg.com/es/sde/f/2017/05/11/9b573723fd4d39c5179b8dfc70e31b3f_FORMATO.png",82754,29,"ATL","mei","Nulo",1.2,2.16,0.36,1.08,24,"Atlético-GO",NA,4,26,2,4,10,NA,NA,44,30,1,NA,NA,NA,NA,NA,NA,NA
"178","Leonardo Artur de Melo","Léo Artur","https://s.glbimg.com/es/sde/f/2017/06/22/815076c3546beb2abb2496060f51deeb_FORMATO.png",82644,29,"PON","mei","Nulo",0,1.98,0,0.61,14,"Ponte Preta",1,1,16,4,7,5,NA,1,30,3,4,NA,NA,NA,NA,NA,NA,NA
"179","Moisés Wolschick","Moisés","https://s.glbimg.com/es/sde/f/2017/04/25/59ac946a38de5a26b19ffc56c68885dc_FORMATO.png",82567,29,"CHA","mei","Nulo",0,1.8,0,1.4,2,"Chapecoense",NA,NA,1,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"180","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2017/05/28/e1ec05f6af0ed5e2047bfa90f97426f7_FORMATO.png",82613,29,"VIT","zag","Nulo",0,8.16,0,2.91,7,"Vitória",1,NA,4,NA,2,3,NA,NA,12,8,1,1,NA,NA,NA,NA,NA,NA
"181","Alisson Euler de Freitas Castro","Alisson","https://s.glbimg.com/es/sde/f/2017/04/22/b5d1b28ec393ae2be2fba2b5dffe9ce9_FORMATO.png",81845,29,"CRU","mei","Provável",0,13.36,0,4.56,19,"Cruzeiro",5,NA,23,9,11,36,3,1,53,22,3,NA,NA,NA,NA,NA,NA,NA
"182","Gilvan Souza Correa","Gilvan","https://s.glbimg.com/es/sde/f/2017/07/15/ebd13d8be899ba33a4d355f813dae956_FORMATO.png",82773,29,"ATL","zag","Provável",1.6,4.1,0.41,2.48,16,"Atlético-GO",NA,4,19,2,5,9,1,2,30,16,1,2,NA,NA,NA,NA,NA,NA
