"X","atletas.atleta_id","atletas.nome","atletas.apelido","atletas.foto","atletas.rodada_id","atletas.clube_id","atletas.clube.id.full.name","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes.atletas.scout","PE","SG","FC","FS","I","RB","FD","A","G","FF","DD","CA","GS","FT","CV","PP","DP"
219,68953,"Leandro Damião da Silva dos Santos","Leandro Damião","https://s.glbimg.com/es/sde/f/2017/04/24/521c73a5e5228e27e72fe902667a99d3_FORMATO.png",3,"FLA","Flamengo","ata","Nulo",0,10.8,0,11.3,1,NA,1,NA,1,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA
216,68954,"Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",3,"COR","Corinthians","mei","Nulo",0,9.09,0,7.4,1,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
205,68979,"Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",3,"ATL","Atlético-MG","gol","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,68986,"Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",3,"AVA","Avaí","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,68987,"João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",3,"PON","Ponte Preta","mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,69008,"Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",3,"CHA","Chapecoense","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,69010,"João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png",3,"PON","Ponte Preta","gol","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,69012,"Aderbar Melo dos Santos Neto","Santos","https://s.glbimg.com/es/sde/f/2017/04/23/27e1cdc40e6cfe45b59a89f20a9a2b4f_FORMATO.png",3,"ATL","Atlético-PR","gol","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,69014,"Manoel Messias Silva Carvalho","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_FORMATO.png",3,"CRU","Cruzeiro","zag","Nulo",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,69018,"Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2017/04/23/7fa8d8853f5f9b5502dcde923aababee_FORMATO.png",3,"ATL","Atlético-PR","mei","Nulo",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,69036," Eduardo José Diniz Costa","Eduardo","https://s.glbimg.com/es/sde/f/2017/04/27/2d3afcc034a28fc71b3d6ce56582b860_FORMATO.png",3,"ATL","Atlético-GO","lat","Provável",-0.7,0.74,0.01,-0.87,3,NA,10,NA,5,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
227,69040,"Vladimir Orlando Cardoso de Araújo Filho","Vladimir","https://s.glbimg.com/es/sde/f/2016/05/01/961c8216a0f294aa3cfbee03eaa996db_FORMATO.png",3,"SAN","Santos","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,69047,"Paulo Roberto da Silva","Paulo Roberto","https://s.glbimg.com/es/sde/f/2017/04/20/ab90dca3a15edcb4ef4af21626e0d3a9_FORMATO.png",3,"COR","Corinthians","mei","Nulo",0,2.19,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,69095,"Walter Damián Montillo","Montillo","https://s.glbimg.com/es/sde/f/2017/04/18/3f5931a2a9cf694075d8551df0852b31_FORMATO.png",3,"BOT","Botafogo","mei","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,69138,"Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",3,"ATL","Atlético-PR","ata","Provável",-3.3,4.79,-1.9,-2.35,2,NA,8,NA,2,2,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
231,69160,"Gastón Nicolás Fernández","Gastón Fernández","https://s.glbimg.com/es/sde/f/2017/04/23/a007d48b7e937967df107f0fd412e09a_FORMATO.png",3,"GRE","Grêmio","mei","Nulo",0,5.8,0,0.2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,69165,"Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",3,"COR","Corinthians","zag","Provável",6.1,10.15,-0.39,3.5,2,NA,2,1,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
220,69177,"Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",3,"COR","Coritiba","lat","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,69249,"Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",3,"VAS","Vasco","gol","Provável",-1,8.61,-1.29,0.57,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,7,NA,NA,NA,NA
1,69282,"Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",3,"GRE","Grêmio","ata","Provável",0,11.95,0,6.3,2,NA,2,NA,3,4,2,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA
229,69705,"Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",3,"ATL","Atlético-PR","mei","Provável",5.1,8.99,0.79,3.87,3,NA,8,NA,1,3,NA,3,3,NA,NA,2,NA,NA,NA,1,NA,NA,NA
235,70009,"Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",3,"FLA","Flamengo","mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,70046,"Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",3,"SAN","Santos","lat","Provável",-4,7.38,-3.3,0.05,2,NA,8,NA,3,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA
232,70058,"Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",3,"COR","Coritiba","mei","Nulo",2.2,5.23,-0.77,2.2,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
230,70061,"Marcus Winícius Silva Lima","Marcus Winícius","https://s.glbimg.com/es/sde/f/2017/04/27/222bdf6d69c3cd60f74b4174e545fdc4_FORMATO.png",3,"ATL",NA,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,70116,"Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",3,"COR","Corinthians","mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,70132,"Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",3,"COR","Coritiba","mei","Provável",3.5,5.08,0.34,2.6,2,NA,5,NA,2,1,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
