"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FS","PE","RB","CA","FD","FF","I","CV","SG","FT","G","PP","A","DD","GS","DP","GC"
"22","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,12,"PAL","mei","Contundido",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,12,"ATL","mei","Nulo",0,5.99,0,1.4,3,"Atlético-MG",9,7,14,7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,12,"COR","mei","Nulo",-1.5,3.75,-0.76,-0.9,2,"Coritiba",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/02/21/25b8eacc6ff420ba06c12861299fc24b_FORMATO.png",38001,12,"BAH","gol","Nulo",-2,0.79,0.02,-2,2,"Bahia",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,12,"VAS","ata","Contundido",1.4,14.04,-0.29,6.56,9,"Vasco",15,19,10,3,4,5,15,5,NA,NA,NA,5,NA,2,NA,NA,NA,NA
"27","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,12,"GRE","gol","Provável",0,8.26,0,1.6,9,"Grêmio",NA,NA,2,NA,1,NA,NA,NA,1,6,NA,NA,NA,NA,2,7,NA,NA
"28","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,12,"CRU","ata","Provável",-0.7,10.82,-0.16,3.92,6,"Cruzeiro",8,9,10,NA,2,6,5,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA
"29","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,12,"SAO","mei","Contundido",0,6.88,0,2.3,5,"São Paulo",1,7,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,12,"AVA","mei","Provável",2.4,5.54,-0.38,2.44,9,"Avaí",12,16,30,11,2,2,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"31","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,12,"CRU","mei","Provável",9.9,18.54,0.48,7.01,9,"Cruzeiro",10,19,35,6,1,12,7,2,NA,NA,NA,5,NA,1,NA,NA,NA,NA
