"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FS","PE","RB","CA","FD","FF","I","CV","SG","FT","G","PP","A","DD","GS","DP","GC"
"409","Frickson Rafael  Erazo Vivero","Erazo","https://s.glbimg.com/es/sde/f/2017/04/03/a0b75e2777a8e1b1844e5f2ff9caa182_FORMATO.png",81223,12,"ATL","zag","Contundido",0,3.98,0,0.15,2,"Atlético-MG",3,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"410","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,12,"PAL","lat","Nulo",-2.8,5.91,-2.37,2.63,9,"Palmeiras",13,6,18,12,1,NA,1,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"411","Matheus Antunes Ribeiro","Matheus Ribeiro","https://s.glbimg.com/es/sde/f/2017/05/02/3592f0162c6d3041f5e47fca40d7d1a3_FORMATO.png",82943,12,"SAN","lat","Nulo",0,5.69,0,5.75,2,"Santos",1,1,3,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"412","Juan Ramón Cazares Sevillano","Cazares","https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_FORMATO.png",81682,12,"ATL","mei","Provável",0,8.71,-2.04,5.19,8,"Atlético-MG",9,2,26,3,NA,8,6,1,NA,NA,NA,2,NA,4,NA,NA,NA,NA
"413","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,12,"SPO","zag","Provável",8,5.41,0.42,8.3,2,"Sport",2,2,3,4,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"414","Rosicley Pereira da Silva","Rossi","https://s.glbimg.com/es/sde/f/2017/04/25/7961da883e6911bba84810f448b878e6_FORMATO.png",81798,12,"CHA","ata","Provável",0,8.61,0,2.26,10,"Chapecoense",14,14,29,7,3,2,4,5,1,NA,2,2,NA,1,NA,NA,NA,NA
"415","Clayton Silveira da Silva","Clayton","https://s.glbimg.com/es/sde/f/2017/04/23/162d940eadf1a0f6216f20a351c326da_FORMATO.png",81770,12,"COR","ata","Nulo",0,7.66,0,4.8,3,"Corinthians",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"416","Osman de Menezes Venâncio Junior","Osman","https://s.glbimg.com/es/sde/f/2017/04/25/f608122b61891f2ab13ba0015367cfb5_FORMATO.png",81898,12,"CHA","ata","Contundido",0,2.99,0,1.23,7,"Chapecoense",5,1,4,NA,2,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"417","Alisson Euler de Freitas Castro","Alisson","https://s.glbimg.com/es/sde/f/2017/04/22/b5d1b28ec393ae2be2fba2b5dffe9ce9_FORMATO.png",81845,12,"CRU","mei","Provável",3.9,14.28,-0.88,5.33,11,"Cruzeiro",18,21,37,16,NA,3,5,1,NA,NA,2,1,NA,4,NA,NA,NA,NA
"418","Wellington Simião","Wellington Simião","https://s.glbimg.com/es/sde/f/2017/05/17/952fdde5f058594fa74d531f91c1abf3_FORMATO.png",81903,12,"AVA","mei","Provável",5.9,3.02,1.14,0.88,9,"Avaí",11,11,16,3,1,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"419","Robert Gonçalves Santos","Robert ","https://s.glbimg.com/es/sde/f/2017/06/09/64450e07dea4504ab9914e254f7ba3f5_FORMATO.png",85121,12,"FLU","mei","Nulo",0,4,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","José Rafael Vivian","Zé Rafael ","https://s.glbimg.com/es/sde/f/2017/02/21/0e763915801510944041d2bdecb212dc_FORMATO.png",82455,12,"BAH","mei","Provável",7,20.55,0.87,6.87,12,"Bahia",25,32,32,31,2,11,10,2,NA,NA,NA,1,NA,3,NA,NA,NA,NA
"421","Christian Alberto Cueva Bravo","Cueva","https://s.glbimg.com/es/sde/f/2016/06/28/a68882f174b592bf4e78dbc9818a4465_FORMATO.jpeg",82411,12,"SAO","mei","Provável",0,9.1,0,2,7,"São Paulo",6,11,30,12,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","José Henrique da Silva Dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2017/04/24/2df720f6ce87010f359f6d0c3df824db_FORMATO.png",81905,12,"FLU","ata","Suspenso",2.4,23.53,-0.3,8.29,10,"Fluminense",23,21,28,3,3,6,8,1,NA,NA,NA,9,NA,2,NA,NA,NA,NA
"423","Douglas Coutinho Gomes de Souza","Douglas Coutinho ","https://s.glbimg.com/es/sde/f/2017/04/23/21b6dbe5807688ac8d5a82327a8cc1a4_FORMATO.png",82469,12,"ATL","ata","Provável",2.1,2.76,-0.08,1.23,11,"Atlético-PR",7,7,18,5,NA,5,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"424","Moisés Wolschick","Moisés","https://s.glbimg.com/es/sde/f/2017/04/25/59ac946a38de5a26b19ffc56c68885dc_FORMATO.png",82567,12,"CHA","mei","Nulo",0,2.32,0,3.1,1,"Chapecoense",NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Reginaldo Manoel da Silva Júnior","Reginaldo","https://s.glbimg.com/es/sde/f/2017/01/13/8392420b99c9b1c5f98f6e0db532ccdc_FORMATO.png",82515,12,"FLU","zag","Provável",5.9,5.39,0.58,4.39,8,"Fluminense",12,5,26,24,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"426","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2017/05/28/e1ec05f6af0ed5e2047bfa90f97426f7_FORMATO.png",82613,12,"VIT","zag","Nulo",0,7.75,0,2.16,5,"Vitória",3,3,4,4,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"427","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,12,"COR","mei","Dúvida",5.4,8.45,0.79,3.82,11,"Coritiba",22,21,46,24,3,10,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"428","Leonardo Artur de Melo","Léo Artur","https://s.glbimg.com/es/sde/f/2017/06/22/815076c3546beb2abb2496060f51deeb_FORMATO.png",82644,12,"PON","mei","Dúvida",0,2.04,0,0.31,8,"Ponte Preta",10,4,20,1,NA,3,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"429","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,12,"GRE","mei","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Régis Augusto Salmazzo","Régis","https://s.glbimg.com/es/sde/f/2017/02/21/9d27cbd1feb4ee89f8c73795d7d480ff_FORMATO.png",82647,12,"BAH","mei","Provável",8.1,16.8,1.2,5.84,5,"Bahia",1,4,10,4,NA,2,2,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA
"431","Toshiya Tojo","Toshi","https://s.glbimg.com/es/sde/f/2017/04/28/5e3d92955c32b6c74898e471661e6390_FORMATO.png",82791,12,"AVA","ata","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Tagueu Tadjo Diederrick Joel","Joel","https://s.glbimg.com/es/sde/f/2017/06/22/5c80b78fe327f41b3b8afc79d10defed_FORMATO.png",82787,12,"AVA","ata","Suspenso",-2.7,2.68,-0.76,2.51,7,"Avaí",10,7,6,4,NA,2,3,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"433","Rómulo Otero Vásquez","Otero","https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_FORMATO.png",83004,12,"ATL","mei","Nulo",0,6.65,0,1.59,8,"Atlético-MG",4,11,5,5,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Gilvan Souza Correa","Gilvan","https://s.glbimg.com/es/sde/f/2017/07/11/242ee27f81f7b4203378be30565a326c_FORMATO.png",82773,12,"ATL","zag","Provável",0,3,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Otávio Henrique Passos Santos","Otávio ","https://s.glbimg.com/es/sde/f/2017/04/23/b5d6c9e20119fa12bc0e60e77640bc0a_FORMATO.png",82463,12,"ATL","mei","Provável",1.6,9.96,-1.87,3.87,9,"Atlético-PR",8,6,20,21,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"436","Rafael Thyere Albuquerque Marques","Rafael Thyere","https://s.glbimg.com/es/sde/f/2017/04/23/e94d073bb6cefa100cd1ed8d0f8a6291_FORMATO.png",83048,12,"GRE","zag","Nulo",0,5.56,0,3.15,6,"Grêmio",5,2,9,2,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"437","Patrick Bezerra do Nascimento","Patrick","https://s.glbimg.com/es/sde/f/2017/06/07/0219a437ca7aaad582008a68c498172f_FORMATO.png",83433,12,"SPO","mei","Dúvida",3.6,9.32,0.34,5.31,8,"Sport",15,10,28,30,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Yuri Lima Lara","Yuri","https://s.glbimg.com/es/sde/f/2017/02/21/fb41de8e36f93cc383e07d8120865724_FORMATO.png",83263,12,"BAH","mei","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Thiago Martins Bueno","Thiago Martins","https://s.glbimg.com/es/sde/f/2017/04/18/b86553b5909b0a40f413b27a550ececd_FORMATO.png",83615,12,"PAL","zag","Contundido",0,5,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Fagner Ironi Daponte","Fagner Alemão","https://s.glbimg.com/es/sde/f/2017/04/28/d93e226df0beb6346213a1a809c8f7fc_FORMATO.png",83522,12,"AVA","lat","Provável",9.4,10.07,0.72,4.6,9,"Avaí",4,3,31,19,1,1,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"441","Andrei Girotto","Andrei Girotto","https://s.glbimg.com/es/sde/f/2017/04/24/75c120b3c827f138e9e79637c43a710f_FORMATO.png",83683,12,"CHA","mei","Provável",-0.4,5.21,-2.17,2.86,11,"Chapecoense",29,12,20,16,4,3,9,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA
"442","Diego Barbosa Tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2017/05/17/c261da9d51b45bfbc208b291429eb1f8_FORMATO.png",83869,12,"AVA","lat","Nulo",0,7.58,0,3.33,9,"Avaí",8,12,15,6,NA,NA,4,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"443","Hueglo Neris dos Santos","Neris","https://s.glbimg.com/es/sde/f/2017/05/19/d5efc40b12f0c9d9a37828480a468f75_FORMATO.png",83786,12,"SPO","zag","Contundido",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Maximiliano Rodríguez Maeso","Maxi Rodríguez","https://s.glbimg.com/es/sde/f/2017/04/23/d7025b3e29cac01ee4e1cc1bf4b3efcb_FORMATO.png",84530,12,"GRE","mei","Nulo",0,6,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Danilo Carvalho Barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2017/04/03/2a2a95819ab1b1761209cd81f0eae360_FORMATO.png",84382,12,"ATL","mei","Nulo",0,5.3,0,-0.2,1,"Atlético-MG",NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Lucas Daniel Romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_FORMATO.png",84558,12,"CRU","mei","Provável",6.1,8.22,0.85,3.89,11,"Cruzeiro",9,9,27,22,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"447","Clayson Henrique da Silva Vieira","Clayson","https://s.glbimg.com/es/sde/f/2017/05/18/5ec8e0ccfc4a2b49432bdbb44001e999_FORMATO.png",83817,12,"COR","ata","Nulo",0,15.81,0,3.45,9,"Corinthians",6,3,14,9,1,2,2,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA
"448","Raphael Guimarães de Paula","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/d75b985086acd9eb03422fe01ce0693f_FORMATO.png",84927,12,"CHA","mei","Nulo",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Antônio Filipe Gonzaga de Aquino","Feijão","https://s.glbimg.com/es/sde/f/2017/02/21/1838c850cdc3128d9f6db4d6c5738379_FORMATO.png",84313,12,"BAH","mei","Nulo",0,2.06,0,0.05,2,"Bahia",2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Lucas Cavalcante Silva Afonso","Lucão","https://s.glbimg.com/es/sde/f/2016/05/01/48f192fdba1691586d6a2bfd42288481_FORMATO.png",84554,12,"SAO","zag","Nulo",0,5.25,0,3.38,6,"São Paulo",6,5,17,5,NA,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"451","Agustín Lionel Allione","Allione","https://s.glbimg.com/es/sde/f/2017/02/18/b7a330e0d5bd3f0a08e5a533efd8db02_FORMATO.png",84585,12,"BAH","mei","Dúvida",0,10.28,0,2.92,10,"Bahia",7,14,33,13,3,1,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"452","Luan Peres Petroni","Luan Peres ","https://s.glbimg.com/es/sde/f/2017/06/01/3543e150d67d69e4fd1bd3112e7533b6_FORMATO.png",84847,12,"PON","zag","Nulo",0,2.16,0,1.75,2,"Ponte Preta",1,1,4,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"453","Erik Nascimento Lima","Erik","https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png",84848,12,"PAL","ata","Nulo",0,3.93,0,2.32,5,"Palmeiras",4,2,6,5,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"454","Nilton Soares Rodrigues","Niltinho","https://s.glbimg.com/es/sde/f/2017/07/05/f10b19ee0f7e394c770fa6f2348452e4_FORMATO.png",84703,12,"ATL","ata","Nulo",-0.6,3.17,-0.37,-0.47,3,"Atlético-GO",5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Raul Prata","Raul Prata","https://s.glbimg.com/es/sde/f/2017/05/01/bc801f0b347f5e9b99972901cf4ecefd_FORMATO.png",84855,12,"SPO","lat","Nulo",0,4.68,0,4.07,3,"Sport",4,4,11,4,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"456","Judson Silva Tavares","Judson","https://s.glbimg.com/es/sde/f/2017/04/28/5423c8443b5f4d0ce027e1d31b9aa3ff_FORMATO.png",84691,12,"AVA","mei","Provável",0.1,4.13,-0.25,1.25,11,"Avaí",23,7,29,14,2,2,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"457","Claudinei dos Santos Oliveira","Claudinei Oliveira","https://s.glbimg.com/es/sde/f/2017/04/28/1e4e67f7f6051b298a7679a0b9d1d0c8_FORMATO.png",84761,12,"AVA","tec","Provável",8.39,7.98,0.91,3.31,12,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Denilson Pereira Junior","Denilson","https://s.glbimg.com/es/sde/f/2017/06/09/1733878d67ca979f4e3dabc8e12db8a0_FORMATO.png",84718,12,"SAO","ata","Nulo",2.3,3.03,0.46,1.6,7,"São Paulo",4,7,20,3,NA,4,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"459","Lucas Cândido Silva","Lucas Cândido","https://s.glbimg.com/es/sde/f/2017/04/03/3ce5d2322ae49cd21e272911d9992c4a_FORMATO.png",84851,12,"ATL","mei","Contundido",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Elosman Euller Silva Cavalcanti","Euller ","https://s.glbimg.com/es/sde/f/2017/02/20/45d2685cedfee93ebf07f010f670c2ef_FORMATO.png",84890,12,"VIT","lat","Nulo",0,6.31,0,2.35,2,"Vitória",1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"461","Henrique Silva Milagres","Henrique","https://s.glbimg.com/es/sde/f/2017/04/24/98783f94705be5ed728032062068f73c_FORMATO.png",84893,12,"VAS","lat","Nulo",1,8.17,-0.57,3.61,12,"Vasco",16,18,32,19,1,2,1,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA
"462","Alex da Silva","Alex Silva","https://s.glbimg.com/es/sde/f/2017/05/19/2b09d527bb18b6dca83703fbbe498920_FORMATO.png",84861,12,"ATL","lat","Nulo",0,5.53,0,4.72,6,"Atlético-MG",14,10,17,11,2,NA,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA
"463","Jeferson de Araújo de Carvalho","Jeferson","https://s.glbimg.com/es/sde/f/2017/05/02/771b51917a7ef2187ffea3d1e0fc9277_FORMATO.png",84917,12,"PON","lat","Nulo",0,5.18,0,3.8,3,"Ponte Preta",4,1,14,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"464","Yago Henrique Severino dos Santos","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_FORMATO.png",84926,12,"ATL","mei","Dúvida",1.9,1.78,0.21,0.66,7,"Atlético-MG",13,5,17,10,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Lucas Otávio Veiga Lopes","Lucas Otávio ","https://s.glbimg.com/es/sde/f/2017/04/28/c9abc289eaace4a40039be6a64b6711d_FORMATO.png",84896,12,"AVA","mei","Nulo",0,3.15,0,-0.3,2,"Avaí",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Marcos Felipe de Freitas Monteiro","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2016/04/29/62d23ea7816659aafaf60c6e6027764f_FORMATO.png",85004,12,"FLU","gol","Nulo",0,3,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Fabrício Santos de Jesus","Fabrício Baiano","https://s.glbimg.com/es/sde/f/2017/04/24/ef2f4ee2eae252d21c41b30f81cec2a8_FORMATO.png",84993,12,"COR","mei","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Neilton Meira Mestzk","Neilton","https://s.glbimg.com/es/sde/f/2017/06/22/68ef88732dd29a754b0a2fb92136a10c_FORMATO.png",83772,12,"VIT","ata","Nulo",0,4.96,0,1.56,8,"Vitória",9,6,15,3,1,1,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"469","Ronaldo Henrique Ferreira da Silva","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/2e217ce29ea48d7d573c191fa21e67d5_FORMATO.png",85149,12,"SPO","mei","Nulo",0,3.2,0,2.3,1,"Sport",2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Vinicius Silvestre da Costa","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png",85083,12,"PAL","gol","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Gabriel Augusto Xavier","Gabriel Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/da7a7c4d50031991e49615ff009cd118_FORMATO.png",85040,12,"VIT","mei","Nulo",0,4.34,0,1.5,7,"Vitória",9,7,13,6,NA,2,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"472","João Paulo Silva Martins","João Paulo","https://s.glbimg.com/es/sde/f/2017/05/02/f85d6ca954388c9c5635f0e28f95b5cf_FORMATO.png",85425,12,"SAN","gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Yerry Fernando Mina González","Yerry Mina","https://s.glbimg.com/es/sde/f/2017/04/18/5d127fbc9c3d26f69de26952da18b809_FORMATO.png",85241,12,"PAL","zag","Provável",4.3,15.65,0.5,5.23,7,"Palmeiras",14,9,16,14,3,2,3,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"474","Jonas Gomes de Sousa","Jonas","https://s.glbimg.com/es/sde/f/2017/04/24/d4c75e365c9c04af042bf7ff378d60c7_FORMATO.png",85586,12,"COR","mei","Provável",0,7.02,0,2.62,10,"Coritiba",23,8,29,26,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Thalles Lima","Thalles","https://s.glbimg.com/es/sde/f/2017/04/24/3201728e4a68e69b6c3e6fc2f8f5b1e1_FORMATO.png",85211,12,"VAS","ata","Provável",0,5.47,0,3.3,3,"Vasco",7,4,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"476","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/01/13/cc39276a755987fc3b57896f3b160fa6_FORMATO.png",85626,12,"FLU","lat","Nulo",0,3.67,0,0.74,10,"Fluminense",18,5,20,7,1,1,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"477","Orlando Enrique Berrío Meléndez","Berrío ","https://s.glbimg.com/es/sde/f/2017/04/24/7b390ea7b4f8d9ae25e9e72d40cf4d97_FORMATO.png",85300,12,"FLA","ata","Nulo",0,4.32,0,1.38,5,"Flamengo",4,2,13,3,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"478","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2017/05/31/6bc774b62632d57e756a9e0533fcfd85_FORMATO.png",85423,12,"ATL","mei","Nulo",0,8.49,0,2.64,5,"Atlético-MG",5,10,11,3,NA,3,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"479","Uilson Pedruzzi de Oliveira","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,12,"ATL","gol","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Artur Sérgio Batista de Souza","Artur","https://s.glbimg.com/es/sde/f/2017/05/02/5c01ab099352ecad2baaa0a00f978720_FORMATO.png",85591,12,"PON","lat","Nulo",0,4,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Andrew Erik Feitosa","Morato","https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png",86227,12,"SAO","ata","Contundido",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Miguel Angel Borja Hernandez","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,12,"PAL","ata","Nulo",0,17.36,0,4.52,6,"Palmeiras",8,9,6,1,1,2,6,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"483","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,12,"ATL","zag","Provável",-1.5,5.53,-0.2,5.95,6,"Atlético-PR",4,2,11,5,1,3,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"484","Victor Luis Chuab Zamblauskas","Victor Luis","https://s.glbimg.com/es/sde/f/2017/04/18/9a9a735957f9522e9ffcf1664bd29a44_FORMATO.png",86410,12,"BOT","lat","Provável",3.7,12.38,0.7,5.08,10,"Botafogo",13,9,22,20,2,NA,2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA
"485","Daniel Correa Freitas","Daniel","https://s.glbimg.com/es/sde/f/2017/04/24/5b71e14cce546da5e531c172e54e0ce2_FORMATO.png",85629,12,"COR","mei","Contundido",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Hyoran Kaue Dalmoro","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,12,"PAL","mei","Nulo",0,2.64,0,1.35,2,"Palmeiras",2,1,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Caíque Silva Sá","Caíque Sá","https://s.glbimg.com/es/sde/f/2017/05/28/8c084fed591a67a554da06e53f403549_FORMATO.png",87437,12,"VIT","lat","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Marcos da Silva França","Keno","https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_FORMATO.png",86485,12,"PAL","ata","Nulo",0.1,5.86,-0.58,2.15,11,"Palmeiras",11,8,29,8,1,1,4,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"489","Elder Santana Conceição","Elder Santana","https://s.glbimg.com/es/sde/f/2017/06/15/1dcf005eb752d162ab97dbe8abe498a8_FORMATO.png",84925,12,"ATL","ata","Nulo",0,0.76,0,0,1,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","Milton Mendes","Milton Mendes","https://s.glbimg.com/es/sde/f/2017/04/26/7b563b4abe14ffb25496b6fcd414bd88_FORMATO.png",86486,12,"VAS","tec","Provável",0.05,8.48,-0.45,3.39,12,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
