"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FS","PE","CA","FC","FD","FF","G","I","RB","A","FT","SG","DD","DP","GS","PP","CV","GC"
"66","Evanildo Borges Barbosa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/07/26/43754eee0bc4ee98fdd66a4652ea2561_FORMATO.png",63119,19,"VIT","lat","Provável",0,8.62,0,6.65,2,"Vitória",3,2,NA,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA
"67","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2017/04/24/6cdeb7e2779c671c69473bc599c9eab2_FORMATO.png",68725,19,"CHA","lat","Nulo",-0.1,4.82,-0.65,1.98,6,"Chapecoense",6,17,1,5,3,3,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA
"68","Pablo Estifer Armero","Armero","https://s.glbimg.com/es/sde/f/2017/07/28/174c9c4ccac7c3d5f921b513c86a5351_FORMATO.png",68693,19,"BAH","lat","Contundido",3.2,1.86,0.95,-0.64,5,"Bahia",2,23,1,11,2,1,NA,2,5,NA,NA,1,NA,NA,NA,NA,1,NA
"69","Márcio Passos de Albuquerque","Emerson Sheik","https://s.glbimg.com/es/sde/f/2017/07/28/153fc3c95a0dd7ad22df8e87436bdf36_FORMATO.png",68744,19,"PON","ata","Nulo",0.9,5.18,-0.35,2.11,12,"Ponte Preta",37,32,6,17,5,5,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"70","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,19,"VAS","mei","Nulo",0,13.63,0,3.53,12,"Vasco",31,53,3,13,5,7,2,2,9,3,NA,NA,NA,NA,NA,NA,NA,NA
"71","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,19,"BOT","mei","Nulo",1.1,11.93,-0.05,4.79,15,"Botafogo",25,52,6,31,3,9,4,NA,30,2,NA,NA,NA,NA,NA,NA,NA,NA
"72","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,19,"SAN","mei","Contundido",0,1.51,0,0.6,5,"Santos",6,18,2,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,19,"SAN","ata","Provável",1.3,9.76,-1.15,1.73,7,"Santos",6,9,1,11,2,9,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"74","Everton Heleno dos Santos","Everton Heleno","https://s.glbimg.com/es/sde/f/2017/07/05/70b5e143bc2cffe533cf069fe115e647_FORMATO.png",68749,19,"ATL","mei","Nulo",0,1.97,0,0.1,2,"Atlético-GO",NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2017/04/19/9bf8902250718281651dc2ae9999d574_FORMATO.png",68770,19,"COR","mei","Nulo",1,3.81,0.27,0.54,13,"Corinthians",5,9,NA,4,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
