"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FF","FS","FT","I","PE","RB","SG","FD","DD","DP","G","GS","GC","CV","PP"
"28","Reinaldo Lenis Montes","Lenis","https://s.glbimg.com/es/sde/f/2017/08/30/7adc9adf83ac7be0281deb37aa202be1_FORMATO.png",93746,33,"SPO","ata","Nulo",3.8,4.29,0.81,2.81,17,"Sport",3,3,14,6,22,NA,1,28,12,NA,3,NA,NA,2,NA,NA,NA,NA
"29","Caio Monteiro Costa","Caio Monteiro","https://s.glbimg.com/es/sde/f/2017/04/06/1be1912d42afdf3054cbab8eb7709907_FORMATO.png",93789,33,"VAS","ata","Nulo",0,1.51,0,1.23,4,"Vasco",NA,1,4,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"30","Marlon Rodrigues Freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2017/07/25/5f543b587dc26c78db561254c104e7c5_FORMATO.png",93790,33,"FLU","mei","Nulo",0,2.99,0,0.95,12,"Fluminense",NA,5,19,4,10,NA,1,30,18,NA,2,NA,NA,NA,NA,NA,NA,NA
"31","Márcio Almeida de Oliveira","Marcinho","https://s.glbimg.com/es/sde/f/2017/04/18/82f4f9a2d122680dcc40e55727214711_FORMATO.png",93797,33,"BOT","lat","Contundido",0,3,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Deyverson Brum Silva Acosta","Deyverson","https://s.glbimg.com/es/sde/f/2017/09/04/03b2e1a6f53171bc2a6aea4cea393821_FORMATO.jpeg",92708,33,"PAL","ata","Provável",0,6.24,0,2.6,15,"Palmeiras",2,1,33,5,40,NA,2,39,9,NA,6,NA,NA,3,NA,NA,1,1
"33","Edson Fernandes Botelho Júnior","Edson Júnior","https://s.glbimg.com/es/sde/f/2017/08/22/d2a7cd8500c44b31e1efb2f520d40482_FORMATO.png",93956,33,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Andrey Ramos do Nascimento","Andrey","https://s.glbimg.com/es/sde/f/2017/04/06/f30ccd95961eb8e4131995d63a8fcc34_FORMATO.png",93787,33,"VAS","mei","Nulo",0,1.49,0,2.22,5,"Vasco",NA,1,1,6,6,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Evander da Silva Ferreira","Evander","https://s.glbimg.com/es/sde/f/2017/04/06/2df6998f5d8a75cf5337b55ad525fd7d_FORMATO.png",93788,33,"VAS","mei","Nulo",15.1,3.7,2.44,3.08,5,"Vasco",NA,1,3,3,1,1,NA,2,2,NA,2,NA,NA,1,NA,NA,NA,NA
"36","Alison Henrique Mira","Alison","https://s.glbimg.com/es/sde/f/2017/09/07/33d26342eeaa5a54210dda2ffe6ccb05_FORMATO.png",93806,33,"ATL","ata","Nulo",0,1.83,0,1,4,"Atlético-GO",NA,NA,3,1,6,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"37","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,33,"CRU","zag","Nulo",0,8.89,0,3.04,23,"Cruzeiro",1,7,15,3,12,1,NA,51,16,10,5,NA,NA,1,NA,NA,NA,NA
"38","Lucas Oliveira de França","Lucas França","https://s.glbimg.com/es/sde/f/2017/04/22/c63baf2496083057957e4f2bd2ac3847_FORMATO.png",93869,33,"CRU","gol","Nulo",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Lucas Luiz Scalon","Scalon","https://s.glbimg.com/es/sde/f/2017/04/25/1c61a24805cfe9ae71c648216cd5b9cd_FORMATO.png",94003,33,"CHA","zag","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Diego Gomes dos Santos","Diego Gomes","https://s.glbimg.com/es/sde/f/2017/05/02/c6169204fbfca94a9affdd9de721a72c_FORMATO.png",94045,33,"SAN","mei","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Luis Ángel Salazar Cuesta","Salazar","https://s.glbimg.com/es/sde/f/2017/04/28/54e5ebd574f6ef20650d90d7e32baf44_FORMATO.png",93986,33,"AVA","zag","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","John Victor Maciel Furtado","John Victor","https://s.glbimg.com/es/sde/f/2017/05/02/0eab88c901790607c556e504aa31b200_FORMATO.png",94044,33,"SAN","gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/28/0dde0e778cab6579a9bf8d745efc2bf0_FORMATO.png",50294,33,"ATL","mei","Provável",0,9.92,0,4.15,18,"Atlético-PR",5,3,29,9,24,1,2,73,19,NA,7,NA,NA,4,NA,NA,NA,NA
"44","Adilson Warken","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,33,"ATL","mei","Suspenso",-0.4,4.23,-0.08,1.22,23,"Atlético-MG",NA,6,54,5,22,NA,1,39,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2017/09/26/84f2413b25e7d3769e7678f63ccdc322_FORMATO.png",50313,33,"CHA","mei","Nulo",-0.3,3.92,-0.05,0.27,9,"Chapecoense",NA,1,5,NA,2,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Cleiton Schwengber","Cleiton","https://s.glbimg.com/es/sde/f/2017/04/03/ef54b93128f4d412c55c7cd27c83323b_FORMATO.png",93882,33,"ATL","gol","Nulo",0,1,0,1.45,2,"Atlético-MG",NA,1,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"47","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,33,"ATL","mei","Provável",-3.6,7.36,-1.14,1.96,28,"Atlético-PR",2,2,26,11,44,1,3,100,23,NA,17,NA,NA,2,NA,NA,1,2
"48","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2017/05/02/7e17e0feab3ee583c5049f63df2c2771_FORMATO.png",50317,33,"SAN","zag","Provável",0.9,11.32,-1.15,4.25,27,"Santos",1,8,25,6,16,NA,2,60,31,14,3,NA,NA,3,NA,NA,1,NA
"49","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2017/08/16/eea748e91cc2c7fcc14df5b06906b1e1_FORMATO.jpeg",50301,33,"FLA","mei","Provável",14.2,15.6,1.85,4.37,25,"Flamengo",7,6,39,10,40,1,13,77,35,NA,13,NA,NA,4,NA,NA,NA,NA
"50","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2017/07/25/ac2070c9ec995dd5cc0efc710891a97a_FORMATO.png",50362,33,"FLU","lat","Provável",8.4,3.72,0.75,1.08,25,"Fluminense",2,8,44,6,22,NA,7,81,34,1,5,NA,NA,NA,NA,NA,NA,NA
