"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","G","I","PE","RB","FD","A","FT","SG","CV","PP","DD","GS","GC","DP"
"212","Luis Alberto Ali Veja","Luis Ali","https://s.glbimg.com/es/sde/f/2017/07/27/2e9f3e01e7eb251a758ae22a40172f3d_FORMATO.png",99892,28,"PON","ata","Contundido",0,1.16,0,1.7,1,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Lucas da Silva Ribeiro Campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2017/07/25/61d573020cc6247a735d3d6501bb2e75_FORMATO.png",99903,28,"BOT","ata","Nulo",0,0.79,0,-0.3,1,"Botafogo",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Ezequiel Santos da Silva","Ezequiel","https://s.glbimg.com/es/sde/f/2017/07/27/f13594ddafc08a318b0eb550350de0b4_FORMATO.png",99915,28,"BOT","mei","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Khevin Rodrigo Fraga","Khevin",NA,99921,28,"CHA","mei","Nulo",0,1,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Lucas Felipe Galdino","Lucas Formiga",NA,99959,28,"PON","ata","Nulo",0,1,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Rickson Barbosa Sá da Conceição","Rickson",NA,100002,28,"BOT","mei","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Igor Silveira Gomes","Igor",NA,100084,28,"SAO","mei","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Kleber Augusto Caetano Leite Filho","Klebinho","https://s.glbimg.com/es/sde/f/2017/09/05/6fc335d35eb2a8f269f2cf230475150c_FORMATO.png",100126,28,"FLA","lat","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Lincoln Correa dos Santos","Lincoln","https://s.glbimg.com/es/sde/f/2017/08/18/c31fbfdb9ed0a96f765bb7707ec1e618_FORMATO.png",100065,28,"FLA","ata","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Pablo Carneiro Freitas","Pablo Maldini",NA,100127,28,"FLA","lat","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Lucas Pereira Ribeiro de Souza","Lucas",NA,100100,28,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Pedro Augusto Borges da Costa","Pedro Augusto",NA,100085,28,"SAO","mei","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Matheus Soares Thuler","Thuler",NA,100125,28,"FLA","zag","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Vander Tavares Silva","Vander",NA,100159,28,"CRU","mei","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Ronaldo Rodrigues de Souza","Ronaldo",NA,100162,28,"CRU","zag","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Bryan Eduardo Urueña Díaz","Urueña","https://s.glbimg.com/es/sde/f/2017/09/04/d576d58dd257fe73ea225e67fae4bac6_FORMATO.png",100178,28,"AVA","mei","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Paulo Henrique Pereira da Silva","Paulo Bóia","https://s.glbimg.com/es/sde/f/2017/09/16/ed8ef66b36eaa70be2d7ff9b56149fdf_FORMATO.png",100333,28,"SAO","ata","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Pedro Henrique de Oliveira Correira","Pedrão","https://s.glbimg.com/es/sde/f/2017/09/14/f98ef7fba472b456f28c1888c9e392e5_FORMATO.jpeg",100322,28,"PAL","zag","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Lucas Poletto Costa","Lucas Poletto",NA,100132,28,"GRE","ata","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Lucas Soares de Almeida","Lucas Soares",NA,100158,28,"CRU","lat","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Alisson Raimundo de Sousa ","Alisson",NA,100337,28,"AVA","ata","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Weverton Almeida Silva","Weverton Almeida",NA,100459,28,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Leonardo de Andrade Silva","Léo Andrade",NA,100342,28,"COR","lat","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,28,"GRE","gol","Nulo",0,7.36,0,8.57,4,"Grêmio",1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,2,NA,NA,8,2,NA,1
"236","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2017/07/11/97a55ad8b4015035dbde2063c6776c8a_FORMATO.png",63172,28,"VAS","zag","Nulo",0,3.91,0,0.93,15,"Vasco",4,30,6,9,NA,2,34,11,1,1,NA,3,NA,NA,NA,NA,NA,NA
"237","John Lennon Silva Santos","Lennon","https://s.glbimg.com/es/sde/f/2017/05/03/d072e8eaeab8333c007a7cfb0af5aef4_FORMATO.png",73869,28,"CRU","lat","Nulo",0,3.09,0,-0.33,4,"Cruzeiro",2,7,NA,4,NA,NA,14,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"238","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,28,"PAL","mei","Provável",8,9.72,0.05,4.29,9,"Palmeiras",1,9,3,20,1,NA,43,15,4,1,1,NA,NA,NA,NA,NA,NA,NA
"239","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,28,"COR","mei","Provável",5.6,5.77,1.49,2.27,19,"Coritiba",3,31,7,11,NA,2,45,36,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"240","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2017/10/13/7d4517dfb6acd0c79909c62e38525979_FORMATO.png",68690,28,"SPO","ata","Provável",0,10.65,0,4.57,24,"Sport",5,51,27,40,10,19,59,20,11,1,1,NA,NA,NA,NA,NA,NA,NA
"241","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2017/04/24/6cdeb7e2779c671c69473bc599c9eab2_FORMATO.png",68725,28,"CHA","lat","Nulo",0,4.69,0,1.7,7,"Chapecoense",1,5,3,6,NA,NA,17,2,3,1,NA,1,NA,NA,NA,NA,NA,NA
"242","Pablo Estifer Armero","Armero","https://s.glbimg.com/es/sde/f/2017/07/28/174c9c4ccac7c3d5f921b513c86a5351_FORMATO.png",68693,28,"BAH","lat","Contundido",0,1.86,0,-0.64,5,"Bahia",1,11,1,2,NA,2,23,5,2,NA,NA,1,1,NA,NA,NA,NA,NA
"243","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,28,"BOT","mei","Provável",-3.9,11.69,-0.49,4.6,24,"Botafogo",7,48,16,34,5,NA,92,44,8,5,NA,NA,NA,NA,NA,NA,NA,NA
"244","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,28,"SAN","mei","Dúvida",1.1,1.67,0.19,0.87,8,"Santos",2,4,1,9,1,1,25,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Márcio Passos de Albuquerque","Emerson Sheik","https://s.glbimg.com/es/sde/f/2017/07/28/153fc3c95a0dd7ad22df8e87436bdf36_FORMATO.png",68744,28,"PON","ata","Provável",0,5.66,0,2.4,18,"Ponte Preta",8,26,10,49,4,2,61,10,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"246","Everton Heleno dos Santos","Everton Heleno","https://s.glbimg.com/es/sde/f/2017/07/05/70b5e143bc2cffe533cf069fe115e647_FORMATO.png",68749,28,"ATL","mei","Nulo",0,1.7,0,-0.03,3,"Atlético-GO",NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2017/04/23/7bc968863bb32cf46c3aa7067b5514f8_FORMATO.png",68758,28,"GRE","ata","Provável",-1.8,10.94,-0.87,5.17,22,"Grêmio",1,26,13,64,6,3,42,21,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"248","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2017/04/19/9bf8902250718281651dc2ae9999d574_FORMATO.png",68770,28,"COR","mei","Nulo",3.4,4.09,0.53,0.62,20,"Corinthians",2,22,2,7,NA,NA,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,28,"AVA","ata","Provável",0,7.4,0,4.15,21,"Avaí",3,33,22,30,6,4,66,20,7,1,2,NA,NA,NA,NA,NA,NA,NA
"250","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2017/04/24/95e996eaef78ad7ac0e285e3d6d057e0_FORMATO.png",68773,28,"COR","ata","Provável",-1.6,13.3,-1.96,3.7,24,"Coritiba",5,32,18,41,6,18,52,23,14,1,1,NA,NA,1,NA,NA,NA,NA
"251","Rafael de Carvalho Santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2017/07/04/d4c3bb98996ada75c9612e2a44894691_FORMATO.png",68822,28,"BAH","gol","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Rafael Galhardo de Souza","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2017/08/31/c9a63e2ac3d3f9ff545be82843a56f28_FORMATO.jpeg",68821,28,"CRU","lat","Nulo",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2017/04/24/f3039b70ee89382f40b6b09074e46900_FORMATO.png",68807,28,"COR","ata","Nulo",0,8.5,-0.06,1.82,15,"Coritiba",2,10,8,13,1,5,23,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"254","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,28,"ATL","gol","Nulo",0,0.83,0,-3.1,3,"Atlético-GO",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA
"255","Rodrigo Júnior Paula Silva","Digão","https://s.glbimg.com/es/sde/f/2017/08/10/45b089a35e467b5f5cc0a9d46a380b7a_FORMATO.png",68886,28,"CRU","zag","Provável",0,6.04,0,3.27,4,"Cruzeiro",NA,3,1,2,NA,NA,2,5,NA,1,NA,1,1,NA,NA,NA,NA,NA
"256","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2017/07/25/f6a981f0f20a4b82ddc029c4cb983564_FORMATO.png",68827,28,"FLU","zag","Nulo",0,2.66,0,2.16,7,"Fluminense",2,10,1,2,1,1,11,6,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"257","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2017/07/25/4407e04c0f422d9c7c06af9bc6c97fff_FORMATO.png",68887,28,"FLU","zag","Provável",5.8,6.58,0.85,3.25,2,"Fluminense",NA,NA,NA,2,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"258","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,28,"VIT","ata","Nulo",0,6.66,0,2.88,12,"Vitória",1,19,5,10,3,4,20,5,3,3,NA,NA,1,NA,NA,NA,NA,NA
"259","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,28,"FLU","ata","Nulo",0,8.48,0,2.4,13,"Fluminense",NA,6,2,22,2,4,45,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"260","Luan Madson Gedeão De Paiva","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_FORMATO.png",63219,28,"ATL","ata","Nulo",0,5.3,0,1.23,12,"Atlético-MG",2,16,6,15,NA,NA,22,6,3,1,1,NA,NA,NA,NA,NA,NA,NA
"261","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2017/08/30/59b84512a1f8464d9476589c93df7a53_FORMATO.png",68834,28,"SPO","mei","Dúvida",4.6,11.48,0.57,4.16,23,"Sport",6,36,22,22,1,1,77,57,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"262","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png",68808,28,"PON","lat","Provável",0,19.42,0,5.07,23,"Ponte Preta",3,26,5,42,1,4,100,46,7,3,NA,7,NA,NA,NA,NA,NA,NA
"263","Ramon de Morais Motta ","Ramon","https://s.glbimg.com/es/sde/f/2017/07/27/0d5457a07c57dd1908db4421fa48b276_FORMATO.png",68896,28,"VAS","lat","Provável",5.4,9.87,0.52,5.66,14,"Vasco",1,17,4,36,1,NA,51,26,2,2,NA,4,NA,NA,NA,NA,NA,NA
"264","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2017/04/18/054a14cdfbb6abbdb2c8a8a75f0a9ee1_FORMATO.png",68901,28,"BOT","ata","Provável",3.2,7.91,-0.09,3.51,23,"Botafogo",3,35,13,27,2,6,93,28,14,7,NA,NA,NA,NA,NA,NA,NA,NA
"265","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,28,"ATL","zag","Contundido",0,9.1,0,1.85,13,"Atlético-MG",4,17,4,22,NA,1,25,11,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"266","Jucilei da Silva","Jucilei","https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png",63422,28,"SAO","mei","Nulo",0,13,-0.41,3.57,26,"São Paulo",NA,34,7,40,1,1,61,58,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"267","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2017/08/30/0bede49c732eaf2c30db3293389d7ddd_FORMATO.png",68911,28,"SPO","mei","Provável",9,16.63,-0.54,4.2,18,"Sport",7,31,13,43,7,2,72,8,7,3,3,NA,1,NA,NA,NA,NA,NA
"268","Eduardo Pereira Rodrigues","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,28,"PAL","ata","Provável",8.4,17.11,0.32,4.5,16,"Palmeiras",4,14,5,73,4,7,61,14,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"269","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png",68910,28,"SPO","mei","Suspenso",7.5,7.36,0.67,4.29,12,"Sport",3,24,4,6,NA,NA,29,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,28,"COR","mei","Nulo",-0.1,8.48,-0.75,2.75,19,"Corinthians",4,11,5,26,2,1,37,9,6,4,1,NA,NA,NA,NA,NA,NA,NA
"271","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png",68930,28,"VIT","ata","Contundido",0,8.53,0,2.15,11,"Vitória",1,16,5,19,3,6,20,3,4,NA,NA,NA,NA,1,NA,NA,NA,NA
"272","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,28,"COR","mei","Nulo",0,4.72,-0.13,0.84,8,"Corinthians",1,2,1,2,NA,1,11,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"273","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,28,"SAO","gol","Nulo",0,8.9,0,2.06,20,"São Paulo",2,1,NA,1,NA,NA,15,NA,NA,NA,NA,5,NA,NA,27,28,NA,NA
"274","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,28,"SAN","ata","Nulo",0,4.7,0,0.16,10,"Santos",1,11,4,6,NA,4,26,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,28,"CRU","gol","Nulo",0,9.32,0,2.77,3,"Cruzeiro",NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,4,4,NA,NA
"276","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2017/08/30/2f2abedd21538d0c8abafce309debab1_FORMATO.png",68950,28,"SPO","zag","Provável",2.4,8.5,0.53,3.71,22,"Sport",4,23,4,38,1,3,55,23,5,1,NA,8,NA,NA,NA,NA,NA,NA
"277","Wallace Reis da Silva","Wallace Reis ","https://s.glbimg.com/es/sde/f/2017/07/13/cfd4ab0585b820c82ceaede6f0779b5a_FORMATO.png",68958,28,"VIT","zag","Provável",10.7,10.06,1.75,4.33,13,"Vitória",4,17,2,21,1,NA,24,21,1,NA,1,4,NA,NA,NA,NA,NA,NA
"278","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,28,"ATL","gol","Contundido",0,4.47,0,-1.3,1,"Atlético-MG",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
"279","Manoel Messias Silva Carvalho","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_FORMATO.png",69014,28,"CRU","zag","Provável",0,8.66,0,5.1,2,"Cruzeiro",NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"280","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",68987,28,"PON","mei","Contundido",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Aderbar Melo dos Santos Neto","Santos","https://s.glbimg.com/es/sde/f/2017/04/23/27e1cdc40e6cfe45b59a89f20a9a2b4f_FORMATO.png",69012,28,"ATL","gol","Nulo",0,5.43,0,3.35,2,"Atlético-PR",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,2,NA,NA
"282","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,28,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png",69010,28,"PON","gol","Nulo",0,5.22,0,7,1,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA
"284","Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,28,"CHA","zag","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Paulo Sérgio de Oliveira","Paulinho","https://s.glbimg.com/es/sde/f/2017/07/07/b665d8639383dbe3e6bc9401b9dadddb_FORMATO.png",69016,28,"ATL","mei","Provável",3.9,7.49,0.33,4.77,15,"Atlético-GO",3,29,12,30,2,1,46,30,4,1,2,NA,NA,NA,NA,NA,NA,NA
"286","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,28,"ATL","ata","Nulo",0.1,2.07,0.23,-1.22,16,"Atlético-PR",4,31,8,15,NA,8,52,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Amilcar Rosa Neto","Amilcar",NA,100458,28,"BOT","ata","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Paulo Roberto da Silva","Paulo Roberto","https://s.glbimg.com/es/sde/f/2017/04/20/ab90dca3a15edcb4ef4af21626e0d3a9_FORMATO.png",69047,28,"COR","mei","Nulo",0,3.53,0,2.32,5,"Corinthians",NA,3,NA,3,NA,NA,15,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"289","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2017/04/23/7fa8d8853f5f9b5502dcde923aababee_FORMATO.png",69018,28,"ATL","mei","Nulo",0,5.04,0,0.48,5,"Atlético-PR",2,3,NA,5,NA,NA,5,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"290","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,28,"VAS","gol","Provável",8,8.4,0.69,2.21,28,"Vasco",2,NA,NA,4,NA,NA,20,NA,NA,NA,NA,7,NA,NA,37,38,NA,NA
"291","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,28,"GRE","ata","Provável",1.6,9.21,0.47,3.02,14,"Grêmio",3,16,3,16,4,9,22,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"292","Reinaldo Rueda Rivera","Reinaldo Rueda","https://s.glbimg.com/es/sde/f/2017/08/15/f70ca24058c7afc7bcf48280e01aa139_FORMATO.png",69486,28,"FLA","tec","Provável",6.02,13.07,0.58,4.7,8,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,28,"ATL","mei","Suspenso",-3.7,7.62,-0.71,2.18,25,"Atlético-PR",2,25,11,37,2,3,91,22,15,2,1,NA,1,1,NA,NA,NA,NA
"294","Vladimir Orlando Cardoso de Araújo Filho","Vladimir","https://s.glbimg.com/es/sde/f/2016/05/01/961c8216a0f294aa3cfbee03eaa996db_FORMATO.png",69040,28,"SAN","gol","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,28,"COR","lat","Provável",0,4.74,0,2.36,14,"Coritiba",6,28,1,22,NA,NA,54,28,1,1,NA,2,NA,NA,NA,NA,NA,NA
"296","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,28,"VAS","zag","Nulo",0,1.5,0,0,5,"Vasco",2,7,NA,5,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,28,"FLA","mei","Nulo",0,5.2,-0.3,0.69,7,"Flamengo",1,9,NA,2,NA,NA,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,28,"SAN","lat","Contundido",0,10.39,0,4.19,15,"Santos",3,12,2,12,2,NA,50,15,1,NA,NA,8,NA,NA,NA,NA,NA,NA
