"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","G","PE","RB","SG","FT","I","PP","DD","GS","CV","DP","GC"
"15","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,37,"PAL","mei","Provável",0,5.79,0,2.19,16,"Palmeiras",2,4,11,3,13,12,NA,52,22,NA,NA,3,NA,NA,NA,NA,NA,NA
"16","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/29/4202df5f7ffbef81d1801418eed48bc2_FORMATO.png",37608,37,"GRE","mei","Nulo",3.4,3.74,0.42,1.92,5,"Grêmio",NA,NA,2,1,NA,2,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,37,"VAS","zag","Nulo",0,1.88,0,1.02,15,"Vasco",NA,3,13,1,1,6,NA,33,15,1,1,2,NA,NA,NA,NA,NA,NA
"18","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,37,"ATL","ata","Nulo",0,4.59,-0.71,1.37,25,"Atlético-MG",NA,1,42,10,10,26,4,32,6,NA,2,17,1,NA,NA,NA,NA,NA
"19","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,37,"PAL","zag","Suspenso",4.4,9.29,0.8,3.08,25,"Palmeiras",NA,6,29,3,11,30,NA,12,22,9,NA,2,NA,NA,NA,NA,NA,NA
"20","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,37,"CRU","gol","Nulo",0,11.67,0,3.5,32,"Cruzeiro",NA,NA,1,NA,NA,2,NA,15,NA,11,NA,NA,NA,41,31,NA,NA,NA
"21","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,37,"SAN","ata","Contundido",0,6.08,0,-0.55,2,"Santos",NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,37,"AVA","zag","Provável",4.9,7.64,0.25,2.46,35,"Avaí",1,8,23,1,2,27,1,67,27,12,NA,1,NA,NA,NA,NA,NA,NA
"23","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,37,"VAS","mei","Nulo",1.2,4.89,-0.15,1.9,19,"Vasco",NA,2,18,3,4,17,2,40,17,NA,1,3,NA,NA,NA,NA,NA,NA
"24","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,37,"COR","ata","Contundido",0,1.79,0,-0.19,15,"Coritiba",NA,6,24,3,2,19,1,24,7,NA,NA,4,1,NA,NA,NA,NA,NA
"25","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,37,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,37,"BOT","zag","Nulo",0,3.3,0,5,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"27","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,37,"ATL","lat","Provável",4.7,8.79,0.37,3.64,27,"Atlético-PR",2,4,19,2,2,25,2,77,37,7,NA,1,NA,NA,NA,NA,NA,NA
"28","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,37,"CRU","mei","Provável",1.2,5.11,-1.06,2.37,26,"Cruzeiro",NA,6,28,3,6,37,NA,55,45,NA,2,NA,NA,NA,NA,1,NA,NA
"29","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,37,"SAO","mei","Contundido",0,5.9,0,2.63,12,"São Paulo",1,1,2,3,3,12,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,37,"GRE","gol","Nulo",0,10.04,0,3.64,22,"Grêmio",NA,1,NA,NA,NA,NA,NA,7,NA,12,NA,NA,NA,19,14,1,NA,NA
"31","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,37,"PAL","mei","Nulo",0,4.95,0,1.2,1,"Palmeiras",NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,37,"COR","mei","Dúvida",0.7,3.3,-0.01,-0.08,8,"Coritiba",NA,1,8,NA,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/09/29/4651e65d3130540afa2b4cb4c1cb5ef4_FORMATO.png",37688,37,"GRE","mei","Nulo",0,4.28,0,-0.81,10,"Grêmio",NA,2,18,NA,3,7,NA,16,3,NA,NA,2,NA,NA,NA,NA,NA,NA
"34","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,37,"VAS","ata","Contundido",0,11.3,0,4.69,12,"Vasco",2,6,26,6,17,25,5,15,5,NA,NA,6,NA,NA,NA,NA,NA,NA
"35","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,37,"CRU","ata","Contundido",0,9.27,0,1.79,22,"Cruzeiro",1,5,22,10,15,17,4,41,7,NA,NA,1,NA,NA,NA,1,NA,NA
"36","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,37,"AVA","mei","Nulo",0,4.63,0,1.54,21,"Avaí",2,5,28,4,9,29,1,64,21,NA,1,3,NA,NA,NA,1,NA,NA
"37","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,37,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,37,"ATL","mei","Nulo",0,4.73,0,1.33,11,"Atlético-MG",NA,2,17,NA,NA,13,NA,26,17,NA,NA,1,NA,NA,NA,NA,NA,NA
"39","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,37,"SAO","zag","Provável",0,3.05,0,0.25,7,"São Paulo",NA,5,11,1,3,2,NA,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"40","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,37,"PAL","gol","Provável",0,13.73,0,4.13,32,"Palmeiras",NA,3,1,NA,NA,9,NA,14,1,8,NA,NA,NA,56,39,NA,1,NA
"41","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,37,"PON","mei","Provável",1.4,4.37,-0.01,1.67,19,"Ponte Preta",2,5,15,NA,10,22,NA,13,15,NA,NA,1,NA,NA,NA,NA,NA,NA
"42","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,37,"SPO","zag","Provável",1.1,6.15,-0.93,2.65,22,"Sport",1,4,23,6,1,15,NA,33,26,5,NA,2,NA,NA,NA,NA,NA,NA
"43","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,37,"PON","gol","Provável",0,11.16,-0.84,3.42,34,"Ponte Preta",NA,2,NA,NA,NA,4,NA,13,1,11,NA,NA,NA,53,47,NA,NA,NA
"44","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,37,"BOT","gol","Nulo",0,9.57,0,7.78,6,"Botafogo",NA,2,NA,NA,NA,1,NA,6,NA,2,NA,NA,NA,15,5,NA,1,NA
"45","Waltenecir da Silva Ramos Júnior","Júnior Ramos","https://s.glbimg.com/es/sde/f/2017/02/21/f383d4a15e59c944585c2931a507d422_FORMATO.png",95054,37,"BAH","mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,37,"COR","mei","Nulo",0,4.04,0,0.5,1,"Corinthians",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Onitlasi Júnior de Moraes Rodrigues","Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/f4c96c6b48180d485af9f86fa6068922_FORMATO.png",95058,37,"FLA","lat","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Victor Luiz Prestes Filho","Vitinho","https://s.glbimg.com/es/sde/f/2016/07/13/fec7b396e3ea32757d4728bef42864b5_FORMATO.png",95260,37,"CRU","lat","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,37,"COR","ata","Nulo",1.9,12.54,-0.04,4.31,33,"Corinthians",2,4,53,21,23,41,17,70,8,NA,NA,32,1,NA,NA,NA,NA,NA
"50","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,37,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,1,2,NA,1,2,NA,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"51","Guillermo León Celis Montiel","Celis",NA,95071,37,"VIT","mei","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Lucas Henrique dos Santos","Luquinhas","https://s.glbimg.com/es/sde/f/2017/07/25/62b49e3ba4744a1658b2d570e24c046c_FORMATO.png",95263,37,"FLU","mei","Nulo",0,1.01,0,1.2,1,"Fluminense",NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,37,"GRE","lat","Nulo",0,9.67,0,3.51,15,"Grêmio",1,NA,7,1,4,18,NA,58,11,8,NA,6,NA,NA,NA,NA,NA,NA
"54","Wildson Silva de Melo","Índio","https://s.glbimg.com/es/sde/f/2017/05/11/4fd214518b14eb3d936a1bb566f6945f_FORMATO.png",95180,37,"SPO","ata","Nulo",0,1.73,0.03,1.13,3,"Sport",NA,NA,NA,1,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,37,"GRE","lat","Nulo",0,11.26,0,4.06,23,"Grêmio",NA,3,29,NA,NA,23,1,45,29,12,NA,3,NA,NA,NA,NA,NA,NA
"56","Nicolas Vichiatto da Silva","Nicolas","https://s.glbimg.com/es/sde/f/2017/04/23/056a95089efcf92df7bb3f732a875306_FORMATO.png",95127,37,"ATL","lat","Nulo",0,3.27,0,0.58,6,"Atlético-PR",NA,1,5,NA,NA,NA,NA,18,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"57","Bruno Cesar Xavier Sislo","Bruno Xavier","https://s.glbimg.com/es/sde/f/2017/09/12/af20dea8b6143f0705dd30ad937ed4c1_FORMATO.png",95288,37,"SPO","mei","Nulo",0,0.79,0,-1.1,1,"Sport",NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2017/05/28/e1ec05f6af0ed5e2047bfa90f97426f7_FORMATO.png",82613,37,"VIT","zag","Nulo",0,7.02,0,2.76,8,"Vitória",1,NA,4,NA,2,3,NA,12,9,1,NA,1,NA,NA,NA,NA,NA,NA
"59","Fernando Galhardo Borges","Fernandinho","https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png",72150,37,"PON","lat","Nulo",0,5.26,0,2.43,4,"Ponte Preta",NA,1,3,NA,NA,NA,NA,9,2,2,1,2,NA,NA,NA,NA,NA,NA
"60","Marcio Antonio de Sousa Júnior","Marcinho","https://s.glbimg.com/es/sde/f/2017/05/25/27b1b870560cc8ddfeb933e48b232bb5_FORMATO.png",95332,37,"SAO","ata","Nulo",0,4.17,0,1.29,22,"São Paulo",2,3,27,7,11,23,2,75,11,NA,NA,1,NA,NA,NA,NA,NA,NA
"61","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,37,"PON","zag","Suspenso",-5,7.71,-0.93,3.29,22,"Ponte Preta",NA,5,13,9,12,34,NA,46,23,8,NA,2,NA,NA,NA,2,NA,NA
"62","Gustavo Marcelo Cardoso Soares","Índio","https://s.glbimg.com/es/sde/f/2017/04/24/f40e8a88ce85dc28ee0a123c0052d946_FORMATO.png",95315,37,"COR","ata","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,37,"AVA","zag","Nulo",0,1.6,0,2.74,5,"Avaí",NA,NA,5,1,2,1,NA,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"64","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2017/04/18/57ab5f981f4355a82d3d2f15ed01eb8e_FORMATO.png",72362,37,"BOT","mei","Provável",0.3,9.88,-0.58,3.56,29,"Botafogo",2,3,37,4,8,30,3,88,54,NA,1,NA,NA,NA,NA,NA,NA,NA
"65","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,37,"PAL","mei","Nulo",0,3.65,0,0.42,12,"Palmeiras",1,3,8,1,6,10,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,37,"PAL","gol","Nulo",4.7,7.3,-0.15,5.52,5,"Palmeiras",NA,3,NA,NA,NA,1,NA,3,NA,3,NA,NA,NA,6,3,NA,1,NA
"67","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,37,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Matheus Oliveira Santos","Matheus Oliveira","https://s.glbimg.com/es/sde/f/2017/05/02/07446f453b7f268fbac590fadba6a201_FORMATO.png",96328,37,"SAN","mei","Nulo",-2,1.05,-0.38,-1.4,2,"Santos",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/07/25/eb7be7be185d6f7421dbf30f71453757_FORMATO.png",94583,37,"FLU","ata","Nulo",1,4.16,0.16,2.13,13,"Fluminense",NA,2,15,4,3,11,2,11,9,NA,NA,1,NA,NA,NA,NA,NA,NA
"70","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,37,"BOT","mei","Suspenso",1.1,3.86,-0.1,2.84,30,"Botafogo",4,9,55,8,13,62,2,115,46,NA,1,1,NA,NA,NA,NA,NA,NA
"71","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,37,"AVA","mei","Provável",-0.4,2.7,-1.34,1.18,22,"Avaí",NA,1,12,8,6,22,4,77,4,NA,NA,NA,NA,NA,NA,1,NA,NA
"72","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/07/07/6d9964a0f815acd56932767b61858c13_FORMATO.png",94894,37,"ATL","ata","Nulo",0,0.87,0,0.4,1,"Atlético-MG",NA,NA,1,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Jonatan David Gomez Ospina","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png",94857,37,"SAO","mei","Nulo",0,3.44,0,0.16,12,"São Paulo",NA,2,22,2,5,15,NA,30,8,NA,NA,1,NA,NA,NA,NA,NA,NA
"74","Luiz Felipe Schwartz Dal Piva ","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/04/24/7363784a4f9cfb861280071ced864b12_FORMATO.png",95483,37,"CHA","gol","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,37,"COR","lat","Provável",0,1.53,0,0.32,4,"Corinthians",NA,1,10,NA,NA,3,NA,11,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"76","Diney Silva Da Costa","Dedé",NA,95438,37,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2017/07/24/650f2b1055213cf87ff282bf2f4a271b_FORMATO.png",95335,37,"SAN","mei","Provável",-0.8,3.03,-0.31,1,9,"Santos",NA,3,15,2,5,7,NA,23,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Hernane Vidal Souza","Hernane","https://s.glbimg.com/es/sde/f/2017/07/28/10783cbce0071ae8567021c6e9290249_FORMATO.png",72386,37,"BAH","ata","Nulo",0,7.33,0.02,0.54,5,"Bahia",NA,NA,5,NA,1,8,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Fabrício Silva Costa","Fabrício","https://s.glbimg.com/es/sde/f/2017/02/14/d7be73cf3ee15933e6b1c7812db4ab8c_FORMATO.png",95539,37,"SPO","mei","Nulo",0,1.37,0,0.39,7,"Sport",1,1,2,2,2,3,NA,18,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"80","Lucas Fernandes da Silva","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png",94931,37,"SAO","mei","Contundido",0,4,0,2.05,19,"São Paulo",1,2,9,8,8,16,1,25,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Lucas Emanoel Leite Romão","Lucão","https://s.glbimg.com/es/sde/f/2017/04/22/913ef9074a98f2725e2f2cd12d43f7db_FORMATO.png",94962,37,"CRU","gol","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Lucas Tolentino Coelho de Lima","Lucas Paquetá","https://s.glbimg.com/es/sde/f/2017/08/22/b377d3036c1d03d40bafc65a9773ddc4_FORMATO.jpeg",94930,37,"FLA","mei","Provável",13.7,4.95,1.89,3.16,16,"Flamengo",1,3,27,7,27,29,1,29,14,NA,1,4,NA,NA,NA,NA,NA,NA
