"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","DD","GS","I","G","PP","CV","GC","DP"
"21","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/09/29/4651e65d3130540afa2b4cb4c1cb5ef4_FORMATO.png",37688,35,"GRE","mei","Nulo",0,4.28,0,-0.81,10,"Grêmio",NA,2,18,NA,3,7,NA,16,3,NA,NA,NA,2,NA,NA,NA,NA,NA
"22","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,35,"VAS","mei","Nulo",1.7,4.95,0.19,1.92,17,"Vasco",NA,2,17,3,2,17,1,37,15,NA,NA,NA,3,2,NA,NA,NA,NA
"23","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,35,"ATL","ata","Nulo",0,5.3,0,1.43,24,"Atlético-MG",NA,1,42,10,10,26,2,32,6,NA,NA,NA,17,4,1,NA,NA,NA
"24","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,35,"COR","mei","Nulo",0,3.31,0,-0.19,7,"Coritiba",NA,1,6,NA,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,35,"CRU","mei","Provável",12.5,6.72,1.81,2.18,24,"Cruzeiro",NA,6,26,3,6,32,NA,52,44,NA,NA,NA,NA,NA,NA,1,NA,NA
"26","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,35,"CRU","gol","Provável",-4,11.55,-0.86,3.69,31,"Cruzeiro",NA,NA,1,NA,NA,2,NA,14,NA,11,41,30,NA,NA,NA,NA,NA,NA
"27","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,35,"ATL","mei","Nulo",-0.5,4.73,-0.46,1.33,11,"Atlético-MG",NA,2,17,NA,NA,13,NA,26,17,NA,NA,NA,1,NA,NA,NA,NA,NA
"28","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,35,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",NA,1,2,NA,1,2,NA,4,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"29","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,35,"SAO","zag","Nulo",0,3.05,0,0.25,7,"São Paulo",NA,5,11,1,3,2,NA,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"30","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,35,"AVA","mei","Nulo",0,4.63,0,1.54,21,"Avaí",2,5,28,4,9,29,1,64,21,NA,NA,NA,3,1,NA,1,NA,NA
"31","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,35,"CRU","ata","Nulo",0,9.27,0,1.79,22,"Cruzeiro",1,5,22,10,15,17,NA,41,7,NA,NA,NA,1,4,NA,1,NA,NA
"32","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,35,"SAO","mei","Dúvida",0.2,5.9,-0.41,2.63,12,"São Paulo",1,1,2,3,3,12,NA,5,7,NA,NA,NA,NA,1,NA,NA,NA,NA
"33","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,35,"PON","mei","Dúvida",0,4.14,0,1.68,17,"Ponte Preta",2,4,13,NA,10,19,NA,11,12,NA,NA,NA,1,NA,NA,NA,NA,NA
