"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","G","I","PE","RB","A","FD","FF","FT","SG","DD","GS","CV","PP","DP","GC"
"208","Ricardo César Dantas da Silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2017/04/27/e409f5c1c4551cf8457b204abc422a73_FORMATO.png",79334,22,"ATL","zag","Nulo",0,2.94,0,0.28,4,"Atlético-GO",1,8,1,NA,NA,11,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"209","Alex Roberto Santana Rafael ","Alex Muralha","https://s.glbimg.com/es/sde/f/2017/04/24/3fb41a018fb2c9084cb4800fba9b6607_FORMATO.png",79066,22,"FLA","gol","Nulo",0,4.22,0,2.7,5,"Flamengo",NA,1,3,NA,NA,5,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA
"210","Antônio Carlos Cunha Capocasali Júnior","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,22,"PAL","zag","Nulo",0,3.05,0,0.92,4,"Palmeiras",1,2,4,NA,NA,7,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"211","Brenner Marlos Varanda de Oliveira","Brenner","https://s.glbimg.com/es/sde/f/2017/07/21/eba301f5c887ff5cf7a3f94b5f6eb918_FORMATO.png",80080,22,"BOT","ata","Nulo",0,6.41,0,3.26,5,"Botafogo",NA,5,4,1,1,5,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"212","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2017/06/22/e7d5b223d7908854c81e04f0e7e0fcc0_FORMATO.png",79578,22,"CRU","ata","Provável",3.4,8.01,-0.79,4.02,14,"Cruzeiro",2,30,25,6,12,9,11,NA,4,6,NA,NA,NA,NA,NA,1,NA,NA
"213","Lucas Silva Borges","Lucas Silva","https://s.glbimg.com/es/sde/f/2017/04/06/f4598cc08e1804689d22d338ac6f7d9b_FORMATO.png",79701,22,"CRU","mei","Provável",10.8,6.73,1.56,1.98,12,"Cruzeiro",3,21,11,NA,NA,32,18,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"214","Helton Brant Aleixo Leite","Helton Leite","https://s.glbimg.com/es/sde/f/2016/05/20/5fd57defcef29c5cd30495ee3eb4e67f_FORMATO.png",79973,22,"BOT","gol","Nulo",0,3.32,0,1,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"215","Jadson Alves dos Santos","Jadson","https://s.glbimg.com/es/sde/f/2017/05/02/e17a729351ce9e086c7f6fdaf907c355_FORMATO.png",80129,22,"PON","mei","Nulo",-0.8,3.91,-0.78,1.54,14,"Ponte Preta",2,15,16,NA,NA,23,17,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"216","Matheus Mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2017/05/19/5bca9708b9e4c88d08f62e3935fe8cb4_FORMATO.png",80124,22,"ATL","zag","Nulo",0,1.6,0,0.16,5,"Atlético-MG",2,10,2,NA,NA,9,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"217","Nadson da Silva Almeida","Nadson","https://s.glbimg.com/es/sde/f/2017/04/25/9c0263cf980f89da4cca8b6bc120585f_FORMATO.png",80140,22,"CHA","mei","Contundido",0,0.76,0,-0.07,3,"Chapecoense",NA,1,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"218","Marcos Junio Lima dos Santos","Marcos Junior","https://s.glbimg.com/es/sde/f/2017/07/25/0ff5aea8f677cff80e0a7a93745453e5_FORMATO.png",80188,22,"FLU","ata","Nulo",0,2.79,0,0.71,10,"Fluminense",3,3,7,1,2,9,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"219","Glaybson Yago Souza Lisboa","Yago Pikachu","https://s.glbimg.com/es/sde/f/2017/04/24/3021726139e41d1a3fe9ada22058c738_FORMATO.png",80196,22,"VAS","lat","Nulo",0,9.41,0,4.2,12,"Vasco",NA,9,12,2,1,29,9,1,4,4,NA,3,NA,NA,NA,NA,NA,NA
"220","Eduardo Henrique da Silva","Eduardo Henrique","https://s.glbimg.com/es/sde/f/2017/05/10/45db49dd3d8dceb223dc6d2afdf72801_FORMATO.png",78994,22,"ATL","mei","Nulo",5.6,3.97,0.65,3.31,10,"Atlético-PR",1,18,11,2,NA,22,15,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"221","Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,22,"COR","gol","Nulo",0,3,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Arthur Caíke do Nascimento Cruz","Arthur ","https://s.glbimg.com/es/sde/f/2017/04/24/56939ae4c18f332e1a3bb20305de4f33_FORMATO.png",80337,22,"CHA","ata","Provável",-3.7,10.08,-0.4,4.75,20,"Chapecoense",4,36,45,4,5,47,18,5,13,16,1,NA,NA,NA,NA,NA,NA,NA
"223","Ezequiel Jacinto de Biasi","Ezequiel ","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_FORMATO.png",80318,22,"CRU","lat","Provável",0.1,5.19,-1.56,2.63,10,"Cruzeiro",4,20,11,NA,NA,21,13,1,1,3,NA,3,NA,NA,NA,NA,NA,NA
"224","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_FORMATO.png",80363,22,"CRU","mei","Contundido",0,5.29,0,1.69,13,"Cruzeiro",4,16,23,NA,NA,55,22,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"225","Gilberto Moraes Júnior","Gilberto ","https://s.glbimg.com/es/sde/f/2017/07/11/6b5408cf6a95787a4a68b548a6d31752_FORMATO.png",80313,22,"VAS","lat","Suspenso",3.5,11.59,0.97,4.52,19,"Vasco",6,28,28,NA,2,91,54,1,1,7,1,4,NA,NA,NA,NA,NA,NA
"226","Cleberson Martins de Souza","Cleberson","https://s.glbimg.com/es/sde/f/2017/04/23/91e18bf15401259ce1466dbccb56d6ae_FORMATO.png",80281,22,"ATL","zag","Nulo",0,2.69,0,-1.2,1,"Atlético-PR",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Wanderson Carvalho de Oliveira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/27/a7b0a15537c943f557f8fb73d8a9171b_FORMATO.png",80373,22,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Michael Vinicius Silva de Morais","Michael","https://s.glbimg.com/es/sde/f/2017/05/04/c43b96f2a0e0c8a8006defaedc1db2ee_FORMATO.png",80537,22,"FLU","ata","Nulo",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2017/07/28/848d6125a9c369432280eafad030d57a_FORMATO.png",80370,22,"BAH","mei","Provável",5.4,13.74,-0.16,4.29,10,"Bahia",1,11,9,1,2,20,23,1,1,7,NA,NA,NA,NA,1,NA,NA,NA
"230","Lucas Rafael Araujo Lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2017/05/02/acb1d4777b6e76d3ca67054da81d0c42_FORMATO.png",80583,22,"SAN","mei","Provável",0.4,3.77,0.24,1.73,15,"Santos",8,28,34,NA,NA,71,20,3,7,6,NA,NA,NA,NA,NA,NA,NA,NA
"231","Vitor Prada Macaneiro","Vitor Prada","https://s.glbimg.com/es/sde/f/2015/07/22/038dbc80052b6760a2b49d76733db416_FORMATO.jpeg",81094,22,"AVA","gol","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Thallyson Augusto Tavares Dias","Thallyson","https://s.glbimg.com/es/sde/f/2017/06/07/cd71ce4201f13139db63ac6e182e85a7_FORMATO.png",81219,22,"VIT","lat","Nulo",0,1.25,0,1.44,5,"Vitória",NA,4,2,NA,NA,20,5,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"233","Juan Ramón Cazares Sevillano","Cazares","https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_FORMATO.png",81682,22,"ATL","mei","Provável",-0.4,8.38,-1.13,3.48,17,"Atlético-MG",NA,16,9,2,1,58,5,6,16,19,NA,NA,NA,NA,NA,1,NA,NA
"234","Frickson Rafael  Erazo Vivero","Erazo","https://s.glbimg.com/es/sde/f/2017/04/03/a0b75e2777a8e1b1844e5f2ff9caa182_FORMATO.png",81223,22,"ATL","zag","Nulo",0,3.98,0,0.15,2,"Atlético-MG",1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"235","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,22,"PAL","lat","Provável",0,7.38,0,3.7,14,"Palmeiras",1,21,8,1,3,28,21,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA
"236","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,22,"SPO","zag","Provável",0,5.58,0,5.51,8,"Sport",2,10,3,NA,NA,16,21,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA
"237","Andrés Lorenzo Ríos","Andrés Ríos","https://s.glbimg.com/es/sde/f/2017/07/11/a3b10554f6896bd025dfd3eaf5f9ce80_FORMATO.png",81684,22,"VAS","ata","Provável",9.8,4.55,2.2,3.25,2,"Vasco",1,3,3,NA,NA,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"238","Pedro Tonon Geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2017/04/23/e509769d9e394ef42a8681bfdacc8283_FORMATO.png",80853,22,"GRE","zag","Nulo",0,13.74,0,6.74,13,"Grêmio",3,8,8,NA,NA,31,31,2,3,3,NA,7,NA,NA,NA,NA,NA,NA
"239","Clayton Silveira da Silva","Clayton","https://s.glbimg.com/es/sde/f/2017/08/25/b1bd13510c1d64d8d7f7058a48c1acdb_FORMATO.png",81770,22,"ATL","ata","Nulo",-1.3,6.3,-1.36,3.27,4,"Atlético-MG",NA,4,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Johnath Marlone Azevedo da Silva","Marlone","https://s.glbimg.com/es/sde/f/2017/04/25/744a27f04385f2906d5982a7dad3445b_FORMATO.png",80944,22,"ATL","mei","Nulo",0,5.83,0,1.03,11,"Atlético-MG",2,9,8,2,4,36,4,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA
"241","Wellington Simião","Wellington Simião","https://s.glbimg.com/es/sde/f/2017/05/17/952fdde5f058594fa74d531f91c1abf3_FORMATO.png",81903,22,"AVA","mei","Provável",0.7,2.45,0.26,0.96,18,"Avaí",3,17,21,1,3,33,8,NA,3,7,1,NA,NA,NA,NA,NA,NA,NA
"242","Luan Garcia Teixeira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,22,"PAL","zag","Provável",1.7,7.03,0.01,3.73,12,"Palmeiras",1,12,12,NA,NA,11,15,NA,1,5,NA,4,NA,NA,NA,NA,NA,NA
"243","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2017/05/02/700b428f14849c2f8f5eb9286d7adf03_FORMATO.png",88225,22,"SAN","lat","Nulo",0,4.71,0,4.5,7,"Santos",2,15,7,1,NA,13,11,1,1,1,NA,4,NA,NA,2,NA,NA,NA
"244","Osman de Menezes Venâncio Junior","Osman","https://s.glbimg.com/es/sde/f/2017/04/25/f608122b61891f2ab13ba0015367cfb5_FORMATO.png",81898,22,"CHA","ata","Contundido",0,2.99,0,1.23,7,"Chapecoense",2,5,1,1,NA,4,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"245","José Henrique da Silva Dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2017/07/25/74fe5365c7b46c57003665b15a0d770a_FORMATO.png",81905,22,"FLU","ata","Provável",-0.3,21.31,-2.12,6.49,16,"Fluminense",4,41,31,12,4,43,7,2,8,8,NA,NA,NA,NA,NA,NA,NA,NA
"246","Reginaldo Manoel da Silva Júnior","Reginaldo","https://s.glbimg.com/es/sde/f/2017/07/25/4caba62b4f978cd6db2e589843899fbd_FORMATO.png",82515,22,"FLU","zag","Nulo",0,4.52,0,3.92,10,"Fluminense",NA,12,7,NA,NA,33,27,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"247","Moisés Wolschick","Moisés","https://s.glbimg.com/es/sde/f/2017/04/25/59ac946a38de5a26b19ffc56c68885dc_FORMATO.png",82567,22,"CHA","mei","Nulo",0,1.8,0,1.4,2,"Chapecoense",NA,1,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","José Rafael Vivian","Zé Rafael ","https://s.glbimg.com/es/sde/f/2017/07/28/ec8b41ce26f473fab0f1e1de432cc88f_FORMATO.png",82455,22,"BAH","mei","Provável",9.1,20.43,1.42,6.08,21,"Bahia",4,46,65,1,6,45,53,4,17,11,NA,NA,NA,NA,NA,NA,NA,NA
"249","Mauro Job Pontes Junior","Maurinho","https://s.glbimg.com/es/sde/f/2017/07/18/2663f3e84140665568c8164f03afc235_FORMATO.png",82625,22,"AVA","ata","Nulo",0,2.47,0,0.53,3,"Avaí",NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2017/05/28/e1ec05f6af0ed5e2047bfa90f97426f7_FORMATO.png",82613,22,"VIT","zag","Nulo",0,8.16,0,2.91,7,"Vitória",NA,4,3,NA,1,12,8,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"251","Leonardo Artur de Melo","Léo Artur","https://s.glbimg.com/es/sde/f/2017/06/22/815076c3546beb2abb2496060f51deeb_FORMATO.png",82644,22,"PON","mei","Nulo",0,2.04,0,0.74,13,"Ponte Preta",1,15,5,1,4,28,3,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA
"252","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,22,"COR","mei","Provável",0,7.35,0,2.48,20,"Coritiba",6,42,38,1,1,81,32,1,13,11,NA,NA,NA,NA,NA,NA,NA,NA
"253","Gilvan Souza Correa","Gilvan","https://s.glbimg.com/es/sde/f/2017/07/15/ebd13d8be899ba33a4d355f813dae956_FORMATO.png",82773,22,"ATL","zag","Provável",13.2,5.98,1.99,3.7,10,"Atlético-GO",2,13,7,2,1,19,10,NA,1,4,1,2,NA,NA,NA,NA,NA,NA
"254","Régis Augusto Salmazzo","Régis","https://s.glbimg.com/es/sde/f/2017/07/28/be592601ede31cf42b7b958372472345_FORMATO.png",82647,22,"BAH","mei","Provável",-1.4,14.59,-0.86,3.8,14,"Bahia",1,9,10,3,2,32,7,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"255","André Andrade de Castro","André Castro","https://s.glbimg.com/es/sde/f/2017/05/11/9b573723fd4d39c5179b8dfc70e31b3f_FORMATO.png",82754,22,"ATL","mei","Provável",0,1.81,0,1.08,18,"Atlético-GO",2,21,10,NA,1,37,22,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"256","Toshiya Tojo","Toshi","https://s.glbimg.com/es/sde/f/2017/04/28/5e3d92955c32b6c74898e471661e6390_FORMATO.png",82791,22,"AVA","ata","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Douglas Coutinho Gomes de Souza","Douglas Coutinho ","https://s.glbimg.com/es/sde/f/2017/04/23/21b6dbe5807688ac8d5a82327a8cc1a4_FORMATO.png",82469,22,"ATL","ata","Nulo",0.9,2.46,0.18,1.03,16,"Atlético-PR",NA,9,12,NA,3,28,5,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA
"258","Matheus Antunes Ribeiro","Matheus Ribeiro","https://s.glbimg.com/es/sde/f/2017/05/02/3592f0162c6d3041f5e47fca40d7d1a3_FORMATO.png",82943,22,"SAN","lat","Nulo",0,5.76,0,5.2,4,"Santos",1,2,1,NA,NA,6,2,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA
"259","Tomas Almino Bastos Silva","Tomas Bastos","https://s.glbimg.com/es/sde/f/2017/05/12/49edceaecc771a87995470ae4d955ddc_FORMATO.png",82817,22,"COR","mei","Nulo",0,11.25,0,2.45,12,"Coritiba",2,16,8,2,1,28,8,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA
"260","Christian Alberto Cueva Bravo","Cueva","https://s.glbimg.com/es/sde/f/2017/08/24/9ea34016bae7f001bbb849c8d907c1f4_FORMATO.png",82411,22,"SAO","mei","Nulo",2,9.81,0.07,2.96,16,"São Paulo",3,13,26,1,4,69,23,2,6,9,1,NA,NA,NA,NA,1,NA,NA
"261","Yuri Lima Lara","Yuri","https://s.glbimg.com/es/sde/f/2017/07/28/9faecc1eba5c2827c12fafed4ec43a87_FORMATO.png",83263,22,"BAH","mei","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Lucas Henrique Frigeri","Lucas Frigeri","https://s.glbimg.com/es/sde/f/2017/08/31/69342a674d05e1477ff2f22b57ea61ac_FORMATO.png",84854,22,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Fagner Ironi Daponte","Fagner Alemão","https://s.glbimg.com/es/sde/f/2017/04/28/d93e226df0beb6346213a1a809c8f7fc_FORMATO.png",83522,22,"AVA","lat","Suspenso",2.9,9.95,0.21,4.5,19,"Avaí",3,10,13,NA,4,54,35,NA,1,4,NA,9,NA,NA,NA,NA,NA,NA
"264","Rómulo Otero Vásquez","Otero","https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_FORMATO.png",83004,22,"ATL","mei","Nulo",5.5,7.09,0.35,1.84,13,"Atlético-MG",5,13,22,1,NA,10,8,NA,3,11,NA,NA,NA,NA,NA,NA,NA,NA
"265","Marcos Guilherme de Almeida Santos Matos","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2017/07/26/d3484768bc48ad214ba1ea35149b30ba_FORMATO.png",83266,22,"SAO","mei","Provável",12.9,11.67,3.18,4.78,6,"São Paulo",NA,4,2,3,NA,13,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"266","Nilton Soares Rodrigues","Niltinho","https://s.glbimg.com/es/sde/f/2017/07/05/f10b19ee0f7e394c770fa6f2348452e4_FORMATO.png",84703,22,"ATL","ata","Nulo",-1,3.67,-0.38,1.57,12,"Atlético-GO",1,18,25,1,2,21,7,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"267","Tagueu Tadjo Diederrick Joel","Joel","https://s.glbimg.com/es/sde/f/2017/06/22/5c80b78fe327f41b3b8afc79d10defed_FORMATO.png",82787,22,"AVA","ata","Provável",6.7,4.46,1.44,2.34,15,"Avaí",1,26,16,3,5,18,11,NA,4,7,1,NA,NA,NA,1,NA,NA,NA
"268","Neilton Meira Mestzk","Neilton","https://s.glbimg.com/es/sde/f/2017/06/22/68ef88732dd29a754b0a2fb92136a10c_FORMATO.png",83772,22,"VIT","ata","Provável",1.2,6.8,-1.08,4.29,16,"Vitória",1,21,24,4,NA,36,11,4,8,7,NA,NA,NA,NA,NA,1,NA,NA
"269","Thiago Martins Bueno","Thiago Martins","https://s.glbimg.com/es/sde/f/2017/09/07/d55c81f15aa3706081ec50077f850588_FORMATO.png",83615,22,"BAH","zag","Nulo",0,5,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Patrick Bezerra do Nascimento","Patrick","https://s.glbimg.com/es/sde/f/2017/06/07/0219a437ca7aaad582008a68c498172f_FORMATO.png",83433,22,"SPO","mei","Nulo",0,10.35,0,5.54,17,"Sport",2,30,22,2,NA,49,57,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"271","Hueglo Neris dos Santos","Neris","https://s.glbimg.com/es/sde/f/2017/05/19/d5efc40b12f0c9d9a37828480a468f75_FORMATO.png",83786,22,"SPO","zag","Contundido",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Júlio César Czarnerski","Júlio César ","https://s.glbimg.com/es/sde/f/2017/08/01/7fd52e821c863a2418597f0e308c8c5d_FORMATO.png",83813,22,"CHA","ata","Nulo",-0.3,2.57,-0.56,1.1,4,"Chapecoense",NA,2,2,NA,NA,7,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"273","Antônio Filipe Gonzaga de Aquino","Feijão","https://s.glbimg.com/es/sde/f/2017/07/28/42cedaedc830335fd6d9306c19f33aa5_FORMATO.png",84313,22,"BAH","mei","Nulo",0,1.39,0,-0.97,4,"Bahia",2,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Diego Barbosa Tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2017/05/17/c261da9d51b45bfbc208b291429eb1f8_FORMATO.png",83869,22,"AVA","lat","Nulo",0,5.65,0,2.71,12,"Avaí",1,10,13,NA,1,15,6,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA
"275","Judson Silva Tavares","Judson","https://s.glbimg.com/es/sde/f/2017/04/28/5423c8443b5f4d0ce027e1d31b9aa3ff_FORMATO.png",84691,22,"AVA","mei","Provável",3.7,4.49,0.49,1.18,19,"Avaí",6,44,11,NA,NA,45,30,1,2,9,NA,NA,NA,NA,NA,NA,NA,NA
"276","Clayson Henrique da Silva Vieira","Clayson","https://s.glbimg.com/es/sde/f/2017/05/18/5ec8e0ccfc4a2b49432bdbb44001e999_FORMATO.png",83817,22,"COR","ata","Nulo",0.9,14.72,-0.12,3.31,16,"Corinthians",1,12,13,2,4,35,16,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA
"277","Rafael Thyere Albuquerque Marques","Rafael Thyere","https://s.glbimg.com/es/sde/f/2017/04/23/e94d073bb6cefa100cd1ed8d0f8a6291_FORMATO.png",83048,22,"GRE","zag","Nulo",0,5.79,0,2.6,9,"Grêmio",1,6,7,1,NA,13,6,NA,1,1,NA,3,NA,NA,NA,NA,NA,1
"278","José Romário Silva de Souza","Romarinho","https://s.glbimg.com/es/sde/f/2017/08/26/fb26a91beb9aabe50f87d6ada73eff58_FORMATO.png",84523,22,"FLU","ata","Nulo",0.4,0.98,-0.02,0.4,1,"Fluminense",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"279","Agustín Lionel Allione","Allione","https://s.glbimg.com/es/sde/f/2017/07/28/6812735b40cc133a5014b3d5b57d96c0_FORMATO.png",84585,22,"BAH","mei","Nulo",0,10.13,0,2.7,13,"Bahia",3,9,15,NA,4,44,16,4,2,1,1,NA,NA,NA,NA,NA,NA,NA
"280","Danilo Carvalho Barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2017/07/27/d723ec6d814e9da06bc634113e22711d_FORMATO.png",84382,22,"PON","mei","Provável",0,5.31,0,1.61,7,"Ponte Preta",NA,12,8,NA,2,29,8,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"281","Claudinei dos Santos Oliveira","Claudinei Oliveira","https://s.glbimg.com/es/sde/f/2017/04/28/1e4e67f7f6051b298a7679a0b9d1d0c8_FORMATO.png",84761,22,"AVA","tec","Provável",5.65,8.17,0.66,3.3,22,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Denilson Pereira Junior","Denilson","https://s.glbimg.com/es/sde/f/2017/06/09/1733878d67ca979f4e3dabc8e12db8a0_FORMATO.png",84718,22,"SAO","ata","Nulo",0,2.92,-0.42,1.88,12,"São Paulo",NA,6,10,1,1,24,5,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"283","Lucas Daniel Romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_FORMATO.png",84558,22,"CRU","mei","Nulo",0,8.29,0,3.85,18,"Cruzeiro",2,21,21,1,NA,48,39,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"284","Luan Peres Petroni","Luan Peres ","https://s.glbimg.com/es/sde/f/2017/06/01/3543e150d67d69e4fd1bd3112e7533b6_FORMATO.png",84847,22,"PON","zag","Provável",1.4,2.23,0.3,2.38,5,"Ponte Preta",1,1,4,NA,NA,9,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"285","Guilherme Antonio Arana Lopes","Guilherme Arana","https://s.glbimg.com/es/sde/f/2017/04/23/a4d7cefcde751da5dcf52b042baafbb5_FORMATO.png",87228,22,"COR","lat","Dúvida",0,9.4,0,4.67,19,"Corinthians",3,12,24,2,4,63,9,2,2,2,NA,13,NA,NA,NA,NA,NA,NA
"286","Lucas Cândido Silva","Lucas Cândido","https://s.glbimg.com/es/sde/f/2017/04/03/3ce5d2322ae49cd21e272911d9992c4a_FORMATO.png",84851,22,"ATL","mei","Contundido",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Raul Prata","Raul Prata","https://s.glbimg.com/es/sde/f/2017/05/01/bc801f0b347f5e9b99972901cf4ecefd_FORMATO.png",84855,22,"SPO","lat","Nulo",0,5.53,0,4.76,5,"Sport",1,7,5,NA,NA,21,9,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA
"288","Erik Nascimento Lima","Erik","https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png",84848,22,"PAL","ata","Nulo",0,4.34,0,2.34,7,"Palmeiras",NA,7,7,NA,1,8,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"289","Henrique Silva Milagres","Henrique","https://s.glbimg.com/es/sde/f/2017/04/24/98783f94705be5ed728032062068f73c_FORMATO.png",84893,22,"VAS","lat","Nulo",0,8.37,0,3.35,15,"Vasco",1,19,23,NA,2,38,20,2,3,1,NA,3,NA,NA,NA,NA,NA,NA
