"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","G","I","PE","RB","A","FD","FF","FT","SG","DD","GS","CV","PP","DP","GC"
"59","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,22,"CRU","mei","Nulo",1.5,17.26,-0.86,5.73,19,"Cruzeiro",2,20,32,6,5,75,19,2,27,11,2,NA,NA,NA,NA,NA,NA,NA
"60","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,22,"FLA","mei","Nulo",0,9,0,3.44,19,"Flamengo",3,23,26,NA,NA,37,42,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA
"61","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,22,"COR","mei","Provável",2,9,0.51,1.8,16,"Corinthians",2,13,8,4,3,80,9,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA
"62","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,22,"CRU","mei","Nulo",10.2,7.24,2.21,2.06,13,"Cruzeiro",1,14,29,1,1,39,10,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA
"63","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,22,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA
"64","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,22,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,22,"FLA","gol","Provável",4.6,8.82,-0.13,1.28,6,"Flamengo",NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,2,5,8,NA,NA,NA,NA
"66","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,22,"VAS","ata","Nulo",0,2.34,0,0,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,22,"GRE","lat","Nulo",0,9.32,0,2.7,13,"Grêmio",4,23,10,1,1,35,17,NA,3,6,NA,5,NA,NA,1,1,NA,NA
"68","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,22,"GRE","gol","Dúvida",0,8.74,0,1.4,14,"Grêmio",1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,7,5,11,1,NA,NA,NA
"69","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,22,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/08/24/906d163cca64b5b702fc394e60588644_FORMATO.png",38648,22,"SAO","mei","Provável",11.5,18.57,1.64,10.52,6,"São Paulo",2,6,17,6,NA,20,4,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA
"71","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,22,"VIT","ata","Nulo",-0.6,3.42,-0.51,0.1,3,"Vitória",NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,22,"VIT","mei","Nulo",0,5.18,0,1.8,14,"Vitória",2,18,8,NA,1,46,12,3,6,10,NA,NA,NA,NA,NA,NA,NA,NA
"73","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,22,"PAL","mei","Nulo",0,8.27,0,2.04,5,"Palmeiras",2,10,9,NA,NA,10,9,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"74","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,22,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,22,"VAS","mei","Provável",2.7,12.47,0.39,2.89,15,"Vasco",4,16,35,2,2,62,10,3,7,9,NA,NA,NA,NA,NA,NA,NA,NA
"76","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,22,"FLA","mei","Provável",8.1,20.17,1.64,5.24,17,"Flamengo",3,21,56,5,7,72,24,2,7,12,NA,NA,NA,NA,NA,1,NA,NA
"77","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,22,"COR","mei","Suspenso",-4.6,2.88,-1.3,0.37,7,"Coritiba",2,8,10,NA,NA,20,8,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA
"78","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,22,"BOT","mei","Dúvida",0,4.44,0,0.76,9,"Botafogo",3,11,7,NA,NA,16,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,22,"PON","mei","Provável",-1.4,5.28,-0.22,1.86,16,"Ponte Preta",1,27,14,1,2,35,22,1,1,5,NA,NA,NA,NA,1,NA,NA,NA
"80","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,22,"SAN","mei","Provável",3.1,6.43,0.12,1.6,13,"Santos",NA,8,14,NA,NA,28,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"81","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,22,"GRE","lat","Provável",0,10.7,0,5.2,7,"Grêmio",NA,4,10,NA,3,28,6,NA,1,3,NA,6,NA,NA,NA,NA,NA,NA
"82","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,22,"CRU","ata","Contundido",0,4.14,0,1.46,11,"Cruzeiro",NA,3,9,1,1,22,4,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA
"83","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,22,"SAN","ata","Provável",-1.2,9.12,-0.46,1.25,9,"Santos",1,14,7,1,3,13,1,NA,2,10,1,NA,NA,NA,NA,NA,NA,NA
"84","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,22,"FLU","lat","Nulo",0,3.07,0,1.05,7,"Fluminense",2,10,7,NA,NA,14,4,NA,1,6,NA,1,NA,NA,NA,NA,NA,NA
"85","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,22,"AVA","lat","Nulo",5,5.29,0.57,-0.5,2,"Avaí",NA,1,2,NA,NA,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
"86","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,22,"VIT","tec","Provável",5.36,9.34,0.16,3.59,17,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
