"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","DP","PP","CV","GC"
"414","Walter Kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2017/04/23/42279ad5c60655b3336944e26189eda5_FORMATO.png",87342,17,"GRE","zag","Provável",0.5,9.2,-0.14,2.62,13,"Grêmio",NA,19,NA,2,7,NA,1,28,13,4,6,1,NA,NA,NA,NA,NA,NA
"415","Pedro Henrique Ribeiro Gonçalves","Pedro Henrique","https://s.glbimg.com/es/sde/f/2017/04/20/3b8a82a4adde6089a76eea746b858971_FORMATO.png",87225,17,"COR","zag","Provável",0,7.97,-1.4,4.44,10,"Corinthians",NA,3,2,2,4,NA,NA,16,9,NA,6,NA,NA,NA,NA,NA,NA,NA
"416","Caíque Silva Sá","Caíque Sá","https://s.glbimg.com/es/sde/f/2017/05/28/8c084fed591a67a554da06e53f403549_FORMATO.png",87437,17,"VIT","lat","Provável",5,2.7,0.81,3.1,3,"Vitória",NA,6,NA,1,3,NA,NA,16,7,1,1,NA,NA,NA,NA,NA,NA,NA
"417","Santiago Tréllez Vivero","Tréllez","https://s.glbimg.com/es/sde/f/2017/07/18/32b1ea26b5743177c99f8577b73c4e39_FORMATO.png",87679,17,"VIT","ata","Provável",-1.9,0.78,-0.01,-1.63,3,"Vitória",NA,7,NA,3,1,NA,2,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"418","Leonardo Gomes da Conceição Silva","Léo Gomes","https://s.glbimg.com/es/sde/f/2017/04/23/0cd6a2a3718c7c36858e7d11ad867645_FORMATO.png",86973,17,"GRE","lat","Nulo",0,1.48,0,-0.4,1,"Grêmio",NA,3,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Gabriel Costa França","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/03/2f4037ee6c2ce20e96ff5cb1f6db210f_FORMATO.png",87393,17,"ATL","zag","Provável",5,9.52,-0.21,4.21,10,"Atlético-MG",NA,10,1,3,7,1,NA,21,14,NA,3,NA,NA,NA,NA,NA,NA,NA
"420","Guilherme Antonio Arana Lopes","Guilherme Arana","https://s.glbimg.com/es/sde/f/2017/04/23/a4d7cefcde751da5dcf52b042baafbb5_FORMATO.png",87228,17,"COR","lat","Provável",-0.2,9.39,-1.11,4.76,16,"Corinthians",2,12,2,2,20,1,4,49,8,3,12,NA,NA,NA,NA,NA,NA,NA
"421","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","https://s.glbimg.com/es/sde/f/2017/04/05/c7a931941057f3ba5a13209ed19a41f1_FORMATO.png",87863,17,"CRU","mei","Nulo",0,8.08,0,3.3,4,"Cruzeiro",NA,4,5,3,10,NA,NA,18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Yago Felipe da Costa Rocha","Yago","https://s.glbimg.com/es/sde/f/2017/06/22/23cefb71d6b2d4a53d900e9e4e2abfee_FORMATO.png",87747,17,"VIT","mei","Provável",1.9,1.6,-0.68,0.84,10,"Vitória",NA,12,4,3,19,NA,1,24,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"423","Matheus Reis de Lima","Matheus Reis","https://s.glbimg.com/es/sde/f/2017/07/28/c0ea66c25e44744e6dca2de152c06395_FORMATO.png",87486,17,"BAH","lat","Provável",3,4.91,0.78,2.12,14,"Bahia",NA,19,1,1,18,NA,NA,43,12,2,5,NA,NA,NA,NA,NA,NA,NA
"424","Felipe Gedoz da Conceição","Felipe Gedoz ","https://s.glbimg.com/es/sde/f/2017/04/23/b22d35fda6b1ebe5b12170bfaf1dced7_FORMATO.png",87864,17,"ATL","mei","Nulo",0.2,7.22,-0.36,-0.32,4,"Atlético-PR",NA,6,2,1,1,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"425","Rodrigo de Souza Prado","Rodrigão","https://s.glbimg.com/es/sde/f/2017/04/25/3901e3335987512552a1dcdc23413368_FORMATO.png",87398,17,"ATL","zag","Contundido",0,2.97,0,2.8,3,"Atlético-MG",NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"426","Vitor Frezarin Bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2016/05/01/6a51ac71a5e8a928c9cf1b71c2db243b_FORMATO.png",87552,17,"SAN","mei","Contundido",0,9.29,0,1.51,8,"Santos",NA,6,1,4,12,NA,NA,20,9,2,NA,NA,NA,NA,NA,NA,NA,NA
"427","Jefferson Gabriel Orejuela Izquierdo","Orejuela","https://s.glbimg.com/es/sde/f/2017/07/25/8654cd4e835c77cc1301a2b0c7faa426_FORMATO.png",87874,17,"FLU","mei","Provável",0,9.7,0,2.14,13,"Fluminense",NA,13,NA,NA,22,NA,NA,22,20,2,NA,NA,NA,NA,NA,NA,NA,NA
"428","Luis Ángel Salazar Cuesta","Salazar","https://s.glbimg.com/es/sde/f/2017/04/28/54e5ebd574f6ef20650d90d7e32baf44_FORMATO.png",93986,17,"AVA","zag","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Fernando Alexander Guerrero Vásquez","Fernando Guerrero","https://s.glbimg.com/es/sde/f/2017/07/29/51ed73e9b468f5ee85f1d571b2f8d0e0_FORMATO.png",87872,17,"CHA","mei","Nulo",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Emilio Enrique Zeballos Gutiérrez","Zeballos","https://s.glbimg.com/es/sde/f/2017/04/25/002d92dbfd9e5915f565d1ba437c95d5_FORMATO.png",87859,17,"CHA","lat","Nulo",0,3,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Júnior Nazareno Sornoza Moreira","Sornoza","https://s.glbimg.com/es/sde/f/2017/07/25/622af95364dd391adb267d847b26b76d_FORMATO.png",87877,17,"FLU","mei","Contundido",0,15.81,0,5.05,2,"Fluminense",NA,1,1,1,2,1,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"432","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2017/05/02/700b428f14849c2f8f5eb9286d7adf03_FORMATO.png",88225,17,"SAN","lat","Nulo",0,3.56,-0.77,4.28,6,"Santos",NA,13,1,1,5,1,NA,10,10,2,4,NA,NA,NA,NA,NA,2,NA
"433","Ivan Quaresma da Silva","Ivan","https://s.glbimg.com/es/sde/f/2017/05/02/8546a4c5536f1d3e6ebc74e89daef4c3_FORMATO.png",88136,17,"PON","gol","Nulo",0,2,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Fabián Cornelio Balbuena González","Balbuena","https://s.glbimg.com/es/sde/f/2017/04/19/104f0248fd96daefe11d16e064dd8ce9_FORMATO.png",87887,17,"COR","zag","Provável",10.3,11.98,-0.2,7.09,14,"Corinthians",1,5,1,3,13,3,2,25,15,2,10,NA,NA,NA,NA,NA,NA,NA
"435","Leonardo Araújo dos Santos","Léo Santos","https://s.glbimg.com/es/sde/f/2017/04/24/6b4eee4e3d34200c6f23e434a79f4af3_FORMATO.png",87743,17,"COR","ata","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Gustavo Henrique Furtado Scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2017/07/25/d139933474f638abe42c53dcd21a981b_FORMATO.png",87999,17,"FLU","mei","Nulo",0,12.34,0,3.67,15,"Fluminense",4,15,12,12,29,NA,NA,83,15,NA,NA,2,NA,NA,NA,NA,NA,NA
"437","Warian dos Santos Souza","Warian Santos ","https://s.glbimg.com/es/sde/f/2017/04/20/1a20f671d81a1495fe94257a7faedb29_FORMATO.png",88030,17,"COR","mei","Nulo",0,1,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","José Carlos Cracco Neto","Zeca","https://s.glbimg.com/es/sde/f/2016/05/01/b75497cbd7fdf4e7cc56e0a77979a9f7_FORMATO.png",87192,17,"SAN","lat","Contundido",0,11.45,0,2.45,2,"Santos",NA,2,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"439","Jean Patrick Reis","Jean Patrick","https://s.glbimg.com/es/sde/f/2017/07/04/96daa554c0f24c012a1cb27045d67975_FORMATO.png",88379,17,"PON","lat","Nulo",0,2.72,0,1.4,1,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Iago Ângelo Dias","Iago","https://s.glbimg.com/es/sde/f/2017/04/24/6d1258d426eef6b245dc52182b65814b_FORMATO.png",88417,17,"COR","ata","Nulo",0,4.72,0,0.16,7,"Coritiba",NA,2,NA,1,4,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","João Vitor Pereira de Alcantara","João Vitor ","https://s.glbimg.com/es/sde/f/2017/04/27/5e240c8d3c51257cd78fe820f6453aa5_FORMATO.png",88539,17,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Vinicius Rodolfo de Souza Oliveira","Vinícius Tanque","https://s.glbimg.com/es/sde/f/2017/04/18/d77f484c8720a893fbf5031c19fd6349_FORMATO.png",88651,17,"BOT","ata","Nulo",0,2.93,0,6.9,1,"Botafogo",NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Ángel Rodrigo Romero Villamayor","Ángel Romero","https://s.glbimg.com/es/sde/f/2017/04/19/bb57c60e890655dd351f891eb27fdb2c_FORMATO.png",88323,17,"COR","ata","Nulo",0,12.88,0,4.81,14,"Corinthians",2,15,6,5,47,2,9,47,25,4,NA,NA,NA,NA,NA,NA,NA,NA
"444","Igor Ribeiro de Jesus","Igor","https://s.glbimg.com/es/sde/f/2017/05/06/7db6dc50d732262fa33892d6c0f437b5_FORMATO.png",88667,17,"SPO","zag","Nulo",0,5.8,0,6.2,1,"Sport",NA,2,NA,NA,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Douglas Augusto Soares Gomes","Douglas","https://s.glbimg.com/es/sde/f/2017/07/25/5f38b5914e4d18ddac95fe844a6090fc_FORMATO.png",92497,17,"FLU","mei","Nulo",0,3.78,0,-1,2,"Fluminense",NA,3,NA,NA,1,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"446","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,17,"GRE","mei","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Lucas de Figueiredo Crispim","Lucas Crispim","https://s.glbimg.com/es/sde/f/2016/05/01/f060208d1a949d93507611b7e4fbd24b_FORMATO.png",88597,17,"SAN","mei","Nulo",0,3,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Maurício Andreazzi Pereira","Andreazzi","https://s.glbimg.com/es/sde/f/2017/04/24/2e3edae4ff2b6836e1ea7f55380193fa_FORMATO.png",89253,17,"BOT","mei","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Judivan Flor da Silva","Judivan ","https://s.glbimg.com/es/sde/f/2017/04/23/f49ad5df5316c41a536cbc083724ee17_FORMATO.png",89190,17,"CRU","ata","Nulo",0,4,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Jean Carlos de Souza Irmer","Jean","https://s.glbimg.com/es/sde/f/2017/04/06/d3926623525ad9fc2a3896099f523066_FORMATO.png",89150,17,"VAS","mei","Provável",4.2,10.35,0.43,4.11,16,"Vasco",NA,27,5,6,25,1,NA,35,40,4,NA,NA,NA,NA,NA,NA,NA,NA
"451","Carlos Eugenio Júnior Tavares dos Santos","Júnior Tavares","https://s.glbimg.com/es/sde/f/2017/02/09/25d0a51f886e8f5b2db83e4bea6a4e20_FORMATO.png",89343,17,"SAO","lat","Contundido",0,12.74,0,4.38,14,"São Paulo",4,17,1,6,31,NA,NA,53,17,2,4,NA,NA,NA,NA,NA,NA,NA
"452","João Pedro Maturano dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2017/04/24/c6945a1446c818fed3c475afef47a6a8_FORMATO.png",89273,17,"CHA","lat","Contundido",0,5.87,0,2.3,1,"Chapecoense",NA,NA,NA,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Igor Rabello da Costa","Igor Rabello","https://s.glbimg.com/es/sde/f/2016/05/20/45658f95ac34e82da4d58cf9c77f2587_FORMATO.png",89493,17,"BOT","zag","Provável",1.1,11.04,-0.7,4.11,15,"Botafogo",NA,14,3,4,8,NA,1,24,25,3,6,NA,NA,NA,NA,NA,NA,NA
"454","James Dean Araújo de Lima","James Dean","https://s.glbimg.com/es/sde/f/2017/05/01/c92d594519fdaaff86e13dce57f1b587_FORMATO.png",89694,17,"SPO","ata","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Saulo Ferreira Silva Nascimento","Saulo","https://s.glbimg.com/es/sde/f/2017/04/18/8fb7b68bea9068528d9381cfe5c0b32a_FORMATO.png",89492,17,"BOT","gol","Nulo",0,1.18,0,-2,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"456","Matheus de Sales Cabral","Matheus Sales","https://s.glbimg.com/es/sde/f/2017/07/28/3f6f5e42ab4526ee91e011dab0d45545_FORMATO.png",89285,17,"BAH","mei","Provável",12.4,4.86,2.74,2.25,8,"Bahia",1,12,1,2,10,NA,1,19,14,3,NA,NA,NA,NA,NA,NA,NA,NA
"457","Iury Lirio Freitas de Castilho","Iury","https://s.glbimg.com/es/sde/f/2017/04/28/0bdfd4fa134d2a07bf26cd328dcd9cf7_FORMATO.png",89695,17,"AVA","ata","Nulo",0,1.68,0,0.5,1,"Avaí",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Bruno Jacinto da Silva","Bruno Paulista","https://s.glbimg.com/es/sde/f/2017/07/08/baeb57a463f93f78065135fdc122eded_FORMATO.png",88933,17,"VAS","mei","Provável",0.9,6.52,-1.47,3.38,5,"Vasco",NA,8,3,6,12,NA,NA,12,9,2,NA,NA,NA,NA,NA,NA,NA,NA
"459","Leonan José Valandro Gomes","Leonan","https://s.glbimg.com/es/sde/f/2017/04/03/f7ef2c1763cfea19e19b624be9bd9f68_FORMATO.png",89693,17,"ATL","lat","Nulo",0,2.18,0,2.3,2,"Atlético-MG",NA,3,NA,NA,4,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
"460","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2017/07/28/f9a5ac323f358bb4e2d5bbc354956624_FORMATO.png",89815,17,"BAH","mei","Nulo",0.2,5.45,-0.02,1.46,9,"Bahia",NA,6,2,3,6,1,NA,13,2,1,NA,1,NA,NA,NA,NA,NA,NA
"461","Leandro Alves de Carvalho","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/20/5f4b91fa5fbbd56dc1f2fe3f094cbb22_FORMATO.png",89885,17,"BOT","mei","Nulo",0,2.33,0,0,3,"Botafogo",NA,1,1,NA,2,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"462","Geremias Ribeiro Júnior","Júnior","https://s.glbimg.com/es/sde/f/2017/06/09/2e36d120085f3fb7908f2921ee4c592e_FORMATO.png",87946,17,"VIT","ata","Nulo",0,1.17,0,1.35,2,"Vitória",NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,17,"CRU","mei","Provável",3.1,17.49,-0.7,6.44,14,"Cruzeiro",2,17,24,8,29,5,3,57,14,2,NA,1,NA,NA,NA,NA,NA,NA
"464","Nickson Gabriel Reis Silva","Nickson","https://s.glbimg.com/es/sde/f/2017/04/22/fe8ee314651bfce7367d25049b99720f_FORMATO.png",89676,17,"CRU","ata","Nulo",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Leandro Salino do Carmo","Leandro Salino","https://s.glbimg.com/es/sde/f/2017/02/20/88732a4309dfb2ee375054e5e944d3cf_FORMATO.png",51905,17,"VIT","lat","Nulo",0,5.87,0,3.4,7,"Vitória",NA,15,NA,2,16,NA,NA,22,15,1,1,NA,NA,NA,NA,NA,NA,NA
"466","Romulo dos Santos de Souza","Romulo","https://s.glbimg.com/es/sde/f/2017/04/28/039439859f768160af8a4dc5be23db1b_FORMATO.png",89696,17,"AVA","ata","Nulo",0.2,9.03,-0.03,2.12,17,"Avaí",NA,24,7,9,27,2,4,43,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"467","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,17,"CHA","ata","Nulo",0,9.54,0,2.17,15,"Chapecoense",NA,18,10,11,15,3,4,28,3,3,NA,1,NA,NA,NA,NA,NA,NA
"468","Leonardo Pisculichi","Pisculichi","https://s.glbimg.com/es/sde/f/2017/02/18/c8a64d1e825d4a06c352c94d5499c77d_FORMATO.png",89871,17,"VIT","mei","Nulo",0,4.13,0,-0.55,2,"Vitória",NA,1,NA,1,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Andrigo Oliveira de Araujo","Andrigo","https://s.glbimg.com/es/sde/f/2017/05/19/78c75bce6fe9af97abe3a17761c64821_FORMATO.png",89930,17,"ATL","mei","Provável",2.7,6.16,-0.64,3.48,17,"Atlético-GO",2,14,7,8,12,2,1,61,24,2,NA,1,NA,NA,NA,NA,NA,NA
"470","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,17,"BOT","ata","Provável",0.7,8.9,-0.28,4.29,15,"Botafogo",2,16,7,12,20,6,15,32,8,2,NA,NA,NA,NA,NA,1,NA,NA
"471","Róger Krug Guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2017/04/18/8320b12c035d14425a7a1685c28eea51_FORMATO.png",89898,17,"PAL","ata","Provável",-1.1,6.68,-0.49,2.74,17,"Palmeiras",3,27,3,8,22,4,4,48,6,2,NA,1,NA,NA,NA,NA,NA,NA
"472","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/04/24/034006de65f23dc6ad944d4cbe1fd5d4_FORMATO.png",38311,17,"FLA","mei","Provável",7.2,9.53,0.99,3.41,16,"Flamengo",NA,20,NA,5,24,NA,NA,27,36,2,NA,NA,NA,NA,NA,NA,NA,NA
"473","Gerferson Cerqueira Teles","Geferson","https://s.glbimg.com/es/sde/f/2017/02/18/1797455db8d122f09c954f551c9c8350_FORMATO.png",89976,17,"VIT","lat","Nulo",0,10.57,0,2.85,11,"Vitória",NA,17,1,1,7,NA,2,23,25,5,2,NA,NA,NA,NA,NA,NA,NA
"474","Bruno Edgar Silva Almeida","Bruno Ramires","https://s.glbimg.com/es/sde/f/2017/04/01/73311df2bcb4444c139cc9bfc1f16ff5_FORMATO.png",89924,17,"VIT","mei","Contundido",0,5,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,17,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,17,"COR","mei","Contundido",0,9.2,0,1.97,14,"Corinthians",1,13,3,8,5,4,3,68,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"477","Bruno de Jesus Pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2017/04/27/fcbcf7704c49830f8c99c33ecbadb435_FORMATO.png",90061,17,"ATL","lat","Provável",0.6,7.28,-0.36,2.36,15,"Atlético-GO",2,21,1,2,39,NA,NA,34,15,3,1,NA,NA,NA,NA,NA,NA,NA
"478","Bruno Henrique Pinto","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/02/19/6fc23a37c23198ad6b9da39da99ad82b_FORMATO.png",90285,17,"SAN","ata","Provável",8,13.42,-2.31,4.95,13,"Santos",6,36,6,5,39,3,4,44,13,3,NA,1,NA,NA,NA,NA,1,NA
"479","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,17,"ATL","zag","Nulo",0,7.53,0,2.74,11,"Atlético-PR",NA,14,NA,5,5,1,NA,25,11,4,4,NA,NA,NA,NA,NA,NA,NA
"480","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,17,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,17,"VAS","ata","Nulo",0,2.34,0,0,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,17,"CRU","mei","Nulo",4.3,6.11,0.15,1.77,8,"Cruzeiro",NA,8,2,2,18,NA,NA,26,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,17,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA
"484","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,17,"FLA","gol","Provável",1,9.64,-2.36,1,1,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"485","John Stiven Mendoza Valencia","Mendoza","https://s.glbimg.com/es/sde/f/2017/07/28/3526a1e303bf419c36b347c3684a027f_FORMATO.png",90031,17,"BAH","ata","Provável",2.5,3.21,-0.29,2.4,12,"Bahia",NA,9,5,13,17,NA,1,25,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Denilson dos Santos de Souza","Denilson","https://s.glbimg.com/es/sde/f/2017/06/07/a960f52cf5f9b283c91b4ed4eb49d4e6_FORMATO.jpeg",92662,17,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Jaílson Marques Siqueira","Jailson","https://s.glbimg.com/es/sde/f/2017/04/23/bbc1e20f5a841fe3d2fc8cbf1553e368_FORMATO.png",90290,17,"GRE","mei","Nulo",1.4,4.02,0.23,1.27,7,"Grêmio",1,3,NA,NA,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Lincoln Henrique Oliveira dos Santos","Lincoln","https://s.glbimg.com/es/sde/f/2017/04/23/a65d998797151a9c0902420f2b54857c_FORMATO.png",90303,17,"GRE","mei","Nulo",0,2.75,0,0.17,4,"Grêmio",NA,2,NA,NA,7,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","David Correa da Fonseca","David","https://s.glbimg.com/es/sde/f/2017/04/24/9a0112f0276ff9f2806956277d2eb848_FORMATO.png",90309,17,"VIT","ata","Provável",2.7,4.96,-0.37,2.66,16,"Vitória",3,18,6,15,9,2,7,44,9,3,NA,2,NA,NA,NA,NA,NA,NA
"490","Pedro Rocha Neves","Pedro Rocha","https://s.glbimg.com/es/sde/f/2017/04/23/7239af88239148c721a90c4a5903d4f3_FORMATO.png",90302,17,"GRE","ata","Provável",3.4,9.93,-1.17,4.72,13,"Grêmio",2,10,10,5,16,2,4,33,16,NA,NA,1,NA,NA,NA,NA,NA,NA
"491","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,17,"GRE","lat","Suspenso",-2.7,9.32,-1.28,2.7,13,"Grêmio",NA,23,3,6,10,1,1,35,17,4,5,NA,NA,NA,NA,1,1,NA
"492","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,17,"VIT","mei","Nulo",-4.2,5.18,-1.52,1.8,14,"Vitória",3,18,6,10,8,NA,1,46,12,2,NA,NA,NA,NA,NA,NA,NA,NA
"493","Luiz Fernando Ferreira Maximiliano","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2017/07/25/b1dafe35e50cc680c9452d9dafbc9522_FORMATO.png",90366,17,"FLU","mei","Contundido",0,1.94,0,1.1,2,"Fluminense",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","Jeferson Carvalho dos Santos","Jeferson Negueba","https://s.glbimg.com/es/sde/f/2017/05/04/ba64f4a42e921d518c97cd02c99e9dee_FORMATO.jpeg",90335,17,"GRE","mei","Nulo",0,2,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Moisés Roberto Barbosa","Moisés","https://s.glbimg.com/es/sde/f/2017/04/20/341682456801d7e2449a82062f6ef9be_FORMATO.png",90444,17,"COR","lat","Nulo",0,3.61,0,6.1,1,"Corinthians",1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
