"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FS","FT","PE","RB","SG","DD","GS","A","FF","I","G","PP","GC","CV","DP"
"357","Lázaro Luan Scapolan","Luan","https://s.glbimg.com/es/sde/f/2017/04/28/ec0b73e82977113f481334a7e16633d8_FORMATO.png",72565,32,"AVA","mei","Contundido",0,5.16,0,1.66,13,"Avaí",6,32,2,29,NA,17,22,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"358","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2017/02/18/25a86aa5d44e9bdbf64ffd3c0f0a0c25_FORMATO.png",72490,32,"VIT","zag","Nulo",0,4.26,0,1.93,13,"Vitória",4,12,4,2,NA,31,15,1,NA,NA,NA,7,NA,1,NA,NA,NA,NA
"359","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2017/04/18/57ab5f981f4355a82d3d2f15ed01eb8e_FORMATO.png",72362,32,"BOT","mei","Provável",-1,9.54,-0.61,3.5,24,"Botafogo",3,31,3,25,1,80,45,NA,NA,NA,1,7,NA,3,NA,NA,NA,NA
"360","William Amorim Martins de Menezes","William Menezes","https://s.glbimg.com/es/sde/f/2017/04/24/edb424e5188bff2f84c0a261b041b848_FORMATO.png",72603,32,"COR","gol","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","Eduardo Alves da Silva","Eduardo da Silva","https://s.glbimg.com/es/sde/f/2017/04/23/c47c6340a7d40ff5085ba517e5dc117d_FORMATO.png",72893,32,"ATL","ata","Contundido",0,5.87,0,1.4,5,"Atlético-PR",NA,6,4,1,NA,5,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"362","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2017/07/28/d023203cea9f86b7e0c359ac86f97d9e_FORMATO.png",73281,32,"BAH","mei","Provável",10,12.93,1.03,6.1,25,"Bahia",5,43,9,51,NA,59,74,NA,NA,NA,NA,23,3,4,NA,NA,1,NA
"363","Vladimir Javier Hernández Rivero","Vladimir Hernández","https://s.glbimg.com/es/sde/f/2017/02/19/f61c5d8d4580566cb1fa08020d2709ca_FORMATO.png",72879,32,"SAN","ata","Nulo",0,7.65,0,1.46,13,"Santos",1,7,3,18,NA,25,6,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA
"364","Rafael Martins Claro","Rafael Martins","https://s.glbimg.com/es/sde/f/2017/04/24/0e99993b292bb541251f236f7827aeec_FORMATO.png",73336,32,"COR","gol","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Damián Ariel Escudero","Escudero","https://s.glbimg.com/es/sde/f/2017/04/17/1351c50b833e0374eb58e4fde52d7646_FORMATO.png",72745,32,"VAS","mei","Contundido",0,3.5,0,0.39,7,"Vasco",2,6,NA,4,NA,16,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"366","Getterson Alves dos Santos","Getterson","https://s.glbimg.com/es/sde/f/2017/05/12/c2b9040eda92184c6453ef41ede377fd_FORMATO.png",73340,32,"COR","ata","Nulo",0,0.78,0,0.53,6,"Coritiba",1,8,NA,7,NA,10,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"367","Mauricio Kozlinski","Mauricio Kozlinski","https://s.glbimg.com/es/sde/f/2017/04/28/9ab574fbf640f6bd28542bd1d9305d6f_FORMATO.png",72595,32,"AVA","gol","Nulo",0,7.87,0,3.09,10,"Avaí",1,NA,NA,NA,NA,4,NA,2,15,13,NA,NA,NA,NA,NA,NA,NA,NA
"368","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png",73446,32,"ATL","ata","Nulo",0,3.78,-0.29,2.14,14,"Atlético-PR",NA,6,8,7,NA,20,6,NA,NA,NA,1,11,7,1,NA,NA,NA,NA
"369","Jorge Darío Mendoza Torres","Jorge Mendoza","https://s.glbimg.com/es/sde/f/2017/08/30/0eea5fbc530ed19bf79af8d5ae46c723_FORMATO.png",73144,32,"PON","mei","Nulo",0,2.69,0,1.4,1,"Ponte Preta",1,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Samuel Xavier Brito","Samuel Xavier","https://s.glbimg.com/es/sde/f/2017/08/30/12b3e91f20258ba99fe8f4ed727b0460_FORMATO.png",73384,32,"SPO","lat","Provável",0,4.32,0,2.7,21,"Sport",5,25,4,30,NA,77,25,7,NA,NA,1,2,1,NA,NA,NA,NA,NA
"371","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/24/60215745abe8839e6e6df43fbe447e2c_FORMATO.png",73515,32,"FLA","ata","Nulo",0,2.59,0,-0.45,6,"Flamengo",2,5,NA,6,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"372","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,32,"BAH","gol","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2017/08/22/3523b9a002ea6c053d1937f2066c6f33_FORMATO.jpeg",73421,32,"FLA","zag","Provável",0.1,7.27,-1.45,3.67,15,"Flamengo",NA,8,6,6,NA,41,17,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"374","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,32,"VIT","zag","Nulo",0,2.39,0,1.79,11,"Vitória",3,16,1,7,NA,17,8,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"375","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/08/31/6340e77cb18143e838ae03747e59b459_FORMATO.png",73540,32,"SPO","ata","Provável",2.7,6.86,-1.28,2.85,21,"Sport",NA,8,7,38,NA,50,12,NA,NA,NA,2,9,NA,2,NA,NA,NA,NA
"376","Francinilson Santos Meireles","Maranhão","https://s.glbimg.com/es/sde/f/2017/07/27/674c08b12227dcc659885899cb5ee647_FORMATO.png",73513,32,"PON","ata","Nulo",0.9,1.78,0.04,0.39,11,"Ponte Preta",NA,4,1,7,NA,17,3,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA
