"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","PE","RB","SG","DD","GS","G","I","A","PP","CV","FT","GC","DP"
"411","Mauro Job Pontes Junior","Maurinho","https://s.glbimg.com/es/sde/f/2017/07/18/2663f3e84140665568c8164f03afc235_FORMATO.png",82625,20,"AVA","ata","Nulo",1.6,2.47,0.22,0.53,3,"Avaí",NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,20,"COR","mei","Provável",4.4,7.8,1.02,2.5,19,"Coritiba",5,40,12,11,36,80,30,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA
"413","Raphael Guimarães de Paula","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/d75b985086acd9eb03422fe01ce0693f_FORMATO.png",84927,20,"CHA","mei","Nulo",0,3.94,0,0,1,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","André Andrade de Castro","André Castro","https://s.glbimg.com/es/sde/f/2017/05/11/9b573723fd4d39c5179b8dfc70e31b3f_FORMATO.png",82754,20,"ATL","mei","Nulo",0.9,1.99,0.14,1.14,17,"Atlético-GO",2,21,1,3,10,37,22,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"415","Leonardo Artur de Melo","Léo Artur","https://s.glbimg.com/es/sde/f/2017/06/22/815076c3546beb2abb2496060f51deeb_FORMATO.png",82644,20,"PON","mei","Provável",3.5,2.89,0.7,0.92,12,"Ponte Preta",1,13,4,6,5,26,3,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA
"416","Tomas Almino Bastos Silva","Tomas Bastos","https://s.glbimg.com/es/sde/f/2017/05/12/49edceaecc771a87995470ae4d955ddc_FORMATO.png",82817,20,"COR","mei","Nulo",-0.5,11.25,-0.35,2.45,12,"Coritiba",2,16,6,8,8,28,8,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA
"417","Tagueu Tadjo Diederrick Joel","Joel","https://s.glbimg.com/es/sde/f/2017/06/22/5c80b78fe327f41b3b8afc79d10defed_FORMATO.png",82787,20,"AVA","ata","Provável",0,3.51,0,2.28,13,"Avaí",1,22,4,7,13,13,11,NA,NA,NA,2,4,NA,NA,1,1,NA,NA
"418","Luan Guilherme de Jesus Vieira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/458569d2d0c260a004befc5988da9350_FORMATO.png",86759,20,"GRE","ata","Nulo",0,20.87,0,7.37,15,"Grêmio",1,17,15,14,36,75,21,NA,NA,NA,5,3,6,1,NA,NA,NA,NA
"419","Gilvan Souza Correa","Gilvan","https://s.glbimg.com/es/sde/f/2017/07/15/ebd13d8be899ba33a4d355f813dae956_FORMATO.png",82773,20,"ATL","zag","Provável",8.1,3.98,1.58,2.26,8,"Atlético-GO",2,11,NA,4,5,13,6,1,NA,NA,1,1,NA,NA,NA,1,NA,NA
"420","Toshiya Tojo","Toshi","https://s.glbimg.com/es/sde/f/2017/04/28/5e3d92955c32b6c74898e471661e6390_FORMATO.png",82791,20,"AVA","ata","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Régis Augusto Salmazzo","Régis","https://s.glbimg.com/es/sde/f/2017/07/28/be592601ede31cf42b7b958372472345_FORMATO.png",82647,20,"BAH","mei","Provável",1.2,15.17,-1.29,4.18,12,"Bahia",1,8,3,2,10,27,7,NA,NA,NA,3,2,4,NA,NA,NA,NA,NA
"422","Matheus Antunes Ribeiro","Matheus Ribeiro","https://s.glbimg.com/es/sde/f/2017/05/02/3592f0162c6d3041f5e47fca40d7d1a3_FORMATO.png",82943,20,"SAN","lat","Nulo",0,5.76,0,5.2,4,"Santos",1,2,1,1,1,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Alisson Euler de Freitas Castro","Alisson","https://s.glbimg.com/es/sde/f/2017/04/22/b5d1b28ec393ae2be2fba2b5dffe9ce9_FORMATO.png",81845,20,"CRU","mei","Nulo",1.4,13.47,-0.86,5.04,15,"Cruzeiro",NA,19,6,9,31,47,17,NA,NA,NA,1,2,5,NA,NA,3,NA,NA
"424","Rómulo Otero Vásquez","Otero","https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_FORMATO.png",83004,20,"ATL","mei","Nulo",3.8,6.74,0.44,1.53,12,"Atlético-MG",4,11,3,11,21,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Clayson Henrique da Silva Vieira","Clayson","https://s.glbimg.com/es/sde/f/2017/05/18/5ec8e0ccfc4a2b49432bdbb44001e999_FORMATO.png",83817,20,"COR","ata","Provável",0,16.36,0,3.55,14,"Corinthians",1,6,3,5,8,24,13,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA
"426","Marcos Guilherme de Almeida Santos Matos","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2017/07/26/d3484768bc48ad214ba1ea35149b30ba_FORMATO.png",83266,20,"SAO","mei","Provável",1.6,9.59,0.17,4.43,4,"São Paulo",NA,2,1,NA,2,9,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"427","Neilton Meira Mestzk","Neilton","https://s.glbimg.com/es/sde/f/2017/06/22/68ef88732dd29a754b0a2fb92136a10c_FORMATO.png",83772,20,"VIT","ata","Provável",2.2,6.72,-1.56,4.19,14,"Vitória",1,19,5,7,21,30,9,NA,NA,NA,4,NA,3,1,NA,NA,NA,NA
"428","Yuri Lima Lara","Yuri","https://s.glbimg.com/es/sde/f/2017/07/28/9faecc1eba5c2827c12fafed4ec43a87_FORMATO.png",83263,20,"BAH","mei","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Patrick Bezerra do Nascimento","Patrick","https://s.glbimg.com/es/sde/f/2017/06/07/0219a437ca7aaad582008a68c498172f_FORMATO.png",83433,20,"SPO","mei","Provável",4.2,11.15,0.19,5.86,16,"Sport",2,26,2,3,22,46,55,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"430","Rafael Thyere Albuquerque Marques","Rafael Thyere","https://s.glbimg.com/es/sde/f/2017/04/23/e94d073bb6cefa100cd1ed8d0f8a6291_FORMATO.png",83048,20,"GRE","zag","Nulo",0,5.79,0,2.6,9,"Grêmio",1,6,1,1,7,13,6,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"431","Thiago Martins Bueno","Thiago Martins","https://s.glbimg.com/es/sde/f/2017/04/18/b86553b5909b0a40f413b27a550ececd_FORMATO.png",83615,20,"PAL","zag","Nulo",0,5,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Júlio César Czarnerski","Júlio César ","https://s.glbimg.com/es/sde/f/2017/08/01/7fd52e821c863a2418597f0e308c8c5d_FORMATO.png",83813,20,"CHA","ata","Nulo",0,2.65,0,0.75,2,"Chapecoense",NA,1,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Antônio Filipe Gonzaga de Aquino","Feijão","https://s.glbimg.com/es/sde/f/2017/07/28/42cedaedc830335fd6d9306c19f33aa5_FORMATO.png",84313,20,"BAH","mei","Nulo",0,1.39,0,-0.97,4,"Bahia",2,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Diego Barbosa Tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2017/05/17/c261da9d51b45bfbc208b291429eb1f8_FORMATO.png",83869,20,"AVA","lat","Nulo",5,7.01,0.81,3.18,11,"Avaí",NA,9,NA,4,13,15,6,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"435","Agustín Lionel Allione","Allione","https://s.glbimg.com/es/sde/f/2017/07/28/6812735b40cc133a5014b3d5b57d96c0_FORMATO.png",84585,20,"BAH","mei","Contundido",0,10.13,0,2.7,13,"Bahia",3,9,2,1,15,44,16,NA,NA,NA,NA,4,4,NA,NA,1,NA,NA
"436","Lucas Cavalcante Silva Afonso","Lucão","https://s.glbimg.com/es/sde/f/2016/05/01/48f192fdba1691586d6a2bfd42288481_FORMATO.png",84554,20,"SAO","zag","Nulo",0,5.25,0,3.38,6,"São Paulo",NA,6,1,2,5,17,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Luan Peres Petroni","Luan Peres ","https://s.glbimg.com/es/sde/f/2017/06/01/3543e150d67d69e4fd1bd3112e7533b6_FORMATO.png",84847,20,"PON","zag","Provável",7.2,3.1,0.94,3.57,3,"Ponte Preta",1,1,NA,NA,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Judson Silva Tavares","Judson","https://s.glbimg.com/es/sde/f/2017/04/28/5423c8443b5f4d0ce027e1d31b9aa3ff_FORMATO.png",84691,20,"AVA","mei","Provável",0,3.99,0,1.02,17,"Avaí",6,40,2,6,11,39,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"439","Claudinei dos Santos Oliveira","Claudinei Oliveira","https://s.glbimg.com/es/sde/f/2017/04/28/1e4e67f7f6051b298a7679a0b9d1d0c8_FORMATO.png",84761,20,"AVA","tec","Provável",5.28,7.95,0.23,3.21,20,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Lucas Daniel Romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_FORMATO.png",84558,20,"CRU","mei","Nulo",0,8.29,0,3.85,18,"Cruzeiro",2,21,NA,5,21,48,39,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
"441","Lucas Cândido Silva","Lucas Cândido","https://s.glbimg.com/es/sde/f/2017/04/03/3ce5d2322ae49cd21e272911d9992c4a_FORMATO.png",84851,20,"ATL","mei","Contundido",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Nilton Soares Rodrigues","Niltinho","https://s.glbimg.com/es/sde/f/2017/07/05/f10b19ee0f7e394c770fa6f2348452e4_FORMATO.png",84703,20,"ATL","ata","Nulo",0.8,4.05,-0.08,1.8,11,"Atlético-GO",1,16,2,4,25,21,7,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"443","Hueglo Neris dos Santos","Neris","https://s.glbimg.com/es/sde/f/2017/05/19/d5efc40b12f0c9d9a37828480a468f75_FORMATO.png",83786,20,"SPO","zag","Contundido",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Denilson Pereira Junior","Denilson","https://s.glbimg.com/es/sde/f/2017/06/09/1733878d67ca979f4e3dabc8e12db8a0_FORMATO.png",84718,20,"SAO","ata","Nulo",0.9,3.01,-0.91,1.97,10,"São Paulo",NA,6,4,3,9,24,4,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA
"445","Danilo Carvalho Barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2017/07/27/d723ec6d814e9da06bc634113e22711d_FORMATO.png",84382,20,"PON","mei","Provável",0.9,4.8,-0.28,1.2,6,"Ponte Preta",NA,9,2,1,6,22,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"446","Elosman Euller Silva Cavalcanti","Euller ","https://s.glbimg.com/es/sde/f/2017/02/20/45d2685cedfee93ebf07f010f670c2ef_FORMATO.png",84890,20,"VIT","lat","Nulo",0,6.31,0,2.35,2,"Vitória",NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Jeferson de Araújo de Carvalho","Jeferson","https://s.glbimg.com/es/sde/f/2017/05/02/771b51917a7ef2187ffea3d1e0fc9277_FORMATO.png",84917,20,"PON","lat","Provável",3.8,6.1,-0.51,4.52,9,"Ponte Preta",2,9,NA,2,5,39,10,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"448","Raul Prata","Raul Prata","https://s.glbimg.com/es/sde/f/2017/05/01/bc801f0b347f5e9b99972901cf4ecefd_FORMATO.png",84855,20,"SPO","lat","Nulo",10.7,5.53,1.82,4.76,5,"Sport",1,7,NA,4,5,21,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Alex da Silva","Alex Silva","https://s.glbimg.com/es/sde/f/2017/05/19/2b09d527bb18b6dca83703fbbe498920_FORMATO.png",84861,20,"ATL","lat","Nulo",0,4.91,0,3.58,9,"Atlético-MG",3,21,NA,2,12,25,14,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"450","Erik Nascimento Lima","Erik","https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png",84848,20,"PAL","ata","Nulo",0,4.34,0,2.34,7,"Palmeiras",NA,7,1,2,7,8,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"451","Gustavo Cascardo de Assis","Cascardo","https://s.glbimg.com/es/sde/f/2017/04/23/772a99574fe81da3c28fa586c83c7c91_FORMATO.png",90587,20,"ATL","lat","Provável",-0.1,3.17,-0.84,2.65,9,"Atlético-PR",NA,7,1,NA,13,22,7,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"452","Robert Gonçalves Santos","Robert ","https://s.glbimg.com/es/sde/f/2017/07/25/226d7cc723b857ba53068c1a96fe941d_FORMATO.png",85121,20,"FLU","mei","Nulo",-0.3,3.15,-0.41,0.95,2,"Fluminense",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Lucas Otávio Veiga Lopes","Lucas Otávio ","https://s.glbimg.com/es/sde/f/2017/04/28/c9abc289eaace4a40039be6a64b6711d_FORMATO.png",84896,20,"AVA","mei","Dúvida",0,3.21,0,0.9,6,"Avaí",NA,2,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Vinicius Silvestre da Costa","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png",85083,20,"PAL","gol","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Marcos Felipe de Freitas Monteiro","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2017/07/25/71f2d737b67ea5f20138c4871f667000_FORMATO.png",85004,20,"FLU","gol","Nulo",0,3,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Ronaldo Henrique Ferreira da Silva","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/2e217ce29ea48d7d573c191fa21e67d5_FORMATO.png",85149,20,"SPO","mei","Nulo",0,3.2,0,2.3,1,"Sport",NA,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Uilson Pedruzzi de Oliveira","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,20,"ATL","gol","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Orlando Enrique Berrío Meléndez","Berrío ","https://s.glbimg.com/es/sde/f/2017/08/16/8f979b78f3df5801a77118cd72b411c6_FORMATO.jpeg",85300,20,"FLA","ata","Nulo",2.5,4.16,0.94,0.91,12,"Flamengo",2,14,2,1,7,22,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"459","Yerry Fernando Mina González","Yerry Mina","https://s.glbimg.com/es/sde/f/2017/04/18/5d127fbc9c3d26f69de26952da18b809_FORMATO.png",85241,20,"PAL","zag","Contundido",0,14.96,0,4.14,11,"Palmeiras",4,19,3,4,10,29,17,4,NA,NA,1,2,1,NA,NA,NA,NA,NA
"460","João Paulo Silva Martins","João Paulo","https://s.glbimg.com/es/sde/f/2017/05/02/f85d6ca954388c9c5635f0e28f95b5cf_FORMATO.png",85425,20,"SAN","gol","Nulo",0,2.97,0,10.7,1,"Santos",NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2017/05/31/6bc774b62632d57e756a9e0533fcfd85_FORMATO.png",85423,20,"ATL","mei","Nulo",0,7.76,0,2.48,8,"Atlético-MG",NA,6,8,3,16,22,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"462","Jonas Gomes de Sousa","Jonas","https://s.glbimg.com/es/sde/f/2017/04/24/d4c75e365c9c04af042bf7ff378d60c7_FORMATO.png",85586,20,"COR","mei","Nulo",-2.3,7.16,-1.06,3.11,18,"Coritiba",4,35,NA,8,18,49,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Elder Santana Conceição","Elder Santana","https://s.glbimg.com/es/sde/f/2017/06/15/1dcf005eb752d162ab97dbe8abe498a8_FORMATO.png",84925,20,"ATL","ata","Nulo",0,1.4,0,1.95,2,"Atlético-MG",NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Thalles Lima","Thalles","https://s.glbimg.com/es/sde/f/2017/04/24/3201728e4a68e69b6c3e6fc2f8f5b1e1_FORMATO.png",85211,20,"VAS","ata","Nulo",0,4.07,0,1.93,9,"Vasco",3,12,3,7,11,10,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"465","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/07/25/a991dde92eec83e89482b3d11115669f_FORMATO.png",85626,20,"FLU","lat","Provável",2.9,4.21,1,1.58,14,"Fluminense",2,26,2,1,7,30,12,2,NA,NA,1,3,1,NA,NA,NA,NA,NA
"466","Hyoran Kaue Dalmoro","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,20,"PAL","mei","Nulo",0,2.64,0,1.35,2,"Palmeiras",NA,2,1,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Andrew Erik Feitosa","Morato","https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png",86227,20,"SAO","ata","Contundido",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,20,"ATL","zag","Provável",3.7,6.37,-0.61,4.54,11,"Atlético-PR",1,7,6,NA,3,15,7,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"469","Victor Luis Chuab Zamblauskas","Victor Luis","https://s.glbimg.com/es/sde/f/2017/04/18/9a9a735957f9522e9ffcf1664bd29a44_FORMATO.png",86410,20,"BOT","lat","Nulo",7.5,12.79,0.34,4.54,16,"Botafogo",3,17,NA,3,15,38,27,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"470","Artur Sérgio Batista de Souza","Artur","https://s.glbimg.com/es/sde/f/2017/05/02/5c01ab099352ecad2baaa0a00f978720_FORMATO.png",85591,20,"PON","lat","Nulo",0,4,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Raniel Santana de Vasconcelos","Raniel","https://s.glbimg.com/es/sde/f/2017/04/06/b362899a01b537ee09468f95d34f40f7_FORMATO.png",86797,20,"CRU","ata","Nulo",0,0.78,0,0.13,7,"Cruzeiro",1,2,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Daniel Correa Freitas","Daniel","https://s.glbimg.com/es/sde/f/2017/04/24/5b71e14cce546da5e531c172e54e0ce2_FORMATO.png",85629,20,"COR","mei","Contundido",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Miguel Angel Borja Hernandez","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,20,"PAL","ata","Nulo",0,15.34,-0.33,2.5,12,"Palmeiras",3,16,6,12,12,19,4,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA
"474","Breno Gonçalves Lopes","Breno Lopes","https://s.glbimg.com/es/sde/f/2017/05/19/68d8c5dda3ea6323520ddfd58086f176_FORMATO.png",86411,20,"ATL","lat","Nulo",5.9,4.51,0.65,2.5,10,"Atlético-GO",NA,14,5,4,7,28,13,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"475","Everton Felipe de Oliveira Silva","Everton Felipe","https://s.glbimg.com/es/sde/f/2016/05/01/7c68f11162db883d1bca790a596547c2_FORMATO.png",86519,20,"SPO","mei","Provável",-0.4,4.32,0.16,1.89,16,"Sport",2,25,12,7,23,92,17,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA
"476","Milton Mendes","Milton Mendes","https://s.glbimg.com/es/sde/f/2017/04/26/7b563b4abe14ffb25496b6fcd414bd88_FORMATO.png",86486,20,"VAS","tec","Provável",2.84,9.27,-0.03,3.36,20,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Jandrei Chitolina Carniel","Jandrei","https://s.glbimg.com/es/sde/f/2017/05/04/e34c217d3230604bddf15c133fde3fd2_FORMATO.png",86508,20,"CHA","gol","Provável",0,3.47,0,0.58,19,"Chapecoense",1,NA,NA,NA,8,17,NA,4,20,33,NA,NA,NA,NA,NA,NA,NA,NA
"478","Lucas Gonçalves Reis Santos","Lucas Rex","https://s.glbimg.com/es/sde/f/2017/08/18/9e40a3e5256626c0192b3adef4243677_FORMATO.jpeg",86745,20,"GRE","zag","Nulo",0,2,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Jonathan Francisco Lemos","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/27/f0005dbb8cf4d46b99cf08acf8949256_FORMATO.png",86713,20,"ATL","lat","Provável",5.9,2.58,0.94,1.03,7,"Atlético-GO",NA,4,1,1,2,12,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Marcos da Silva França","Keno","https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_FORMATO.png",86485,20,"PAL","ata","Dúvida",1.1,6.19,-0.38,2.4,17,"Palmeiras",2,15,4,5,13,38,14,NA,NA,NA,3,3,NA,NA,NA,1,NA,NA
"481","Richard Cândido Coelho","Richard","https://s.glbimg.com/es/sde/f/2017/08/19/525a2fd7bb807a508e3f99a5d1285034_FORMATO.png",86711,20,"FLU","mei","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Everton Sousa Soares","Everton","https://s.glbimg.com/es/sde/f/2017/04/23/f8b4218756c0dc59793c36159228a00f_FORMATO.png",86757,20,"GRE","ata","Provável",2.6,10.31,-0.37,4.53,17,"Grêmio",1,9,9,10,8,16,9,NA,NA,NA,5,1,2,NA,NA,1,NA,NA
"483","Walter Luiz Silva de Araujo","Luizão","https://s.glbimg.com/es/sde/f/2017/06/22/5b6da4a5651cbd0822f33cea7f49be63_FORMATO.png",86724,20,"COR","zag","Provável",-1.9,0.81,-1.06,-0.27,6,"Coritiba",4,9,1,1,4,8,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"484","João Lucas Cardoso","João Lucas","https://s.glbimg.com/es/sde/f/2017/05/15/fa1caa8ea5726060cd391422d3fb93fc_FORMATO.png",86740,20,"PON","lat","Nulo",0,11.26,0,3.39,10,"Ponte Preta",1,7,1,NA,6,43,14,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"485","Elias Martello Curzel","Elias","https://s.glbimg.com/es/sde/f/2017/04/24/d39a7668ae872daf6e04f923e0d16a54_FORMATO.png",90843,20,"CHA","gol","Nulo",0,4,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Sidcley Ferreira Pereira","Sidcley","https://s.glbimg.com/es/sde/f/2017/04/23/eff5699ee67d7b1a4f3c4cf923789370_FORMATO.png",86764,20,"ATL","lat","Dúvida",7.7,14.23,0.62,5.97,18,"Atlético-PR",1,20,3,4,29,64,24,7,NA,NA,4,9,3,NA,NA,NA,NA,NA
"487","Lucas Macanhan Ferreira","Lucas Macanhan","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_FORMATO.png",86760,20,"ATL","gol","Nulo",0,2,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Edson Carlos Santos Lima Junior","Capa","https://s.glbimg.com/es/sde/f/2017/04/28/4a0d17271060eaf419c78016735076ee_FORMATO.png",86874,20,"AVA","lat","Provável",9.4,12.82,0.58,4.58,19,"Avaí",3,32,2,8,48,104,42,8,NA,NA,NA,4,1,NA,NA,NA,1,NA
"489","Matheus Rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2017/04/23/c091af2e156b654e15abd7e687d0aeb2_FORMATO.png",86766,20,"ATL","mei","Provável",-0.1,4.24,0.1,1.29,15,"Atlético-PR",4,19,4,NA,13,33,14,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA
"490","Jordi Almeida","Jordi","https://s.glbimg.com/es/sde/f/2017/04/17/8a166ba697085a60b3f3b7d74a9c6114_FORMATO.png",86776,20,"VAS","gol","Nulo",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","Luiz Otávio da Silva Santos","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2017/04/25/239f4dc20386b0bc2988aa004f7c02b7_FORMATO.png",86863,20,"CHA","zag","Nulo",0,6.4,0,2.38,10,"Chapecoense",2,13,3,4,NA,22,10,2,NA,NA,1,NA,1,NA,1,NA,NA,NA
"492","Rodrigo Vasconcelos Oliveira","Rodrigo","https://s.glbimg.com/es/sde/f/2017/05/01/6d2201a3689f5a71696f8b8eacbd9646_FORMATO.png",86935,20,"SPO","mei","Nulo",0,3.85,0,2,6,"Sport",1,8,NA,NA,4,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
