"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","PE","RB","SG","DD","GS","G","I","A","PP","CV","FT","GC","DP"
"29","Cassiano Silva dos Santos","Cassiano","https://s.glbimg.com/es/sde/f/2017/07/28/e3229c224dd3b65a77ccabf9badb7ee9_FORMATO.png",96411,20,"BAH","gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Matheus Oliveira Santos","Matheus Oliveira","https://s.glbimg.com/es/sde/f/2017/05/02/07446f453b7f268fbac590fadba6a201_FORMATO.png",96328,20,"SAN","mei","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,20,"CRU","mei","Nulo",0.5,4.74,-0.94,1.97,13,"Cruzeiro",3,11,3,2,18,29,22,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"32","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/05/06/c9fe7a8f540f56c7325c5e78f3097d32_FORMATO.png",42222,20,"SPO","ata","Contundido",0,4.68,0,2.49,15,"Sport",2,8,4,5,19,44,8,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA
"33","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,20,"ATL","ata","Provável",10.1,6.62,1.97,1.89,16,"Atlético-MG",1,30,7,9,20,22,3,NA,NA,NA,4,13,NA,1,NA,1,NA,NA
"34","Ralph Machado Dias","Ralph","https://s.glbimg.com/es/sde/f/2017/04/03/31d573bf9a9cb39a1ab39967572631bf_FORMATO.png",96433,20,"ATL","mei","Nulo",0,1.04,0,0.45,4,"Atlético-MG",3,3,NA,NA,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Mauricio Tomazi Pinheiro","Mauricio","https://s.glbimg.com/es/sde/f/2017/05/11/8f1984fabe5775e0c6485d0c7e2cdd00_FORMATO.png",96464,20,"AVA","zag","Nulo",0,2,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,20,"SAO","mei","Nulo",0,4.28,0,-0.81,10,"São Paulo",2,18,NA,3,7,16,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"37","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,20,"GRE","gol","Nulo",0,8.74,0,1.4,14,"Grêmio",1,NA,NA,NA,NA,5,NA,7,5,11,NA,NA,NA,NA,1,NA,NA,NA
"38","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,20,"PAL","tec","Provável",2.02,13.45,-0.22,3.8,20,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,20,"GRE","lat","Provável",0,10.28,0,5.2,6,"Grêmio",NA,4,1,3,7,18,5,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"40","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,20,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,20,"AVA","zag","Dúvida",0,4.14,0,-0.6,3,"Avaí",1,2,NA,1,2,4,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"42","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,20,"VAS","ata","Provável",1.7,13.05,-0.99,6.07,10,"Vasco",4,19,6,17,21,13,4,NA,NA,NA,5,6,2,NA,NA,NA,NA,NA
"43","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,20,"SAO","mei","Nulo",0,6.88,0,2.3,5,"São Paulo",NA,1,3,1,7,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
