"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","I","PE","RB","CV","SG","DD","GS","A","FD","G","PP","FT","DP","GC"
"103","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,11,"VAS","mei","Provável",2,13.88,-1.67,4.2,10,"Vasco",2,8,7,26,2,43,7,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA
"104","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,11,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,11,"BOT","mei","Nulo",-1.4,3.24,-0.1,-0.35,6,"Botafogo",1,5,NA,1,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/04/24/c96c8c2ada9b85eb506293c4caec64db_FORMATO.png",40179,11,"COR","ata","Provável",17,13.96,3.47,3.73,8,"Coritiba",1,23,6,21,6,27,4,1,NA,NA,NA,1,9,3,NA,NA,NA,NA
"107","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,11,"SAN","tec","Provável",3.51,9.87,0.31,4.53,5,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/01/13/7ab26ced537354a115324343754e8570_FORMATO.png",39572,11,"FLU","lat","Nulo",0,3.75,0,2.28,5,"Fluminense",1,4,5,7,NA,9,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"109","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,11,"SAN","gol","Provável",10.5,20.83,1.77,9.55,11,"Santos",NA,1,NA,1,NA,3,NA,NA,6,26,8,NA,NA,NA,NA,NA,2,NA
"110","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,11,"SPO","gol","Provável",8,6.12,0.91,3.67,11,"Sport",NA,NA,NA,NA,NA,1,1,NA,4,17,16,NA,NA,NA,NA,NA,NA,NA
"111","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2017/04/24/dc3d5fdf33d1716e51abe9c2aad2d182_FORMATO.png",62130,11,"COR","lat","Provável",-2.5,7.07,-0.38,2.81,10,"Coritiba",3,13,1,20,1,35,10,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA
"112","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2017/04/24/5d30208b79a04fd4710a6c79831dae42_FORMATO.png",62974,11,"COR","zag","Provável",3.1,8.58,0.48,3.48,11,"Coritiba",NA,7,5,4,NA,28,11,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA
"113","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/05/31/4e771d1c183057eb5fe8015ff7755b0c_FORMATO.png",40006,11,"FLU","tec","Provável",3.69,12.15,0.2,3.51,10,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2017/06/01/bba975f9c1f34505f37eedc4d7693aad_FORMATO.png",62128,11,"ATL","ata","Nulo",0,7.84,0,1.1,6,"Atlético-GO",1,8,4,10,2,23,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"115","João Paulo Purcino de Almeida","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/28/61a2cc88c95e6ada6bf3c127a23ec96f_FORMATO.png",62997,11,"AVA","lat","Nulo",0,4,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2017/05/31/dd89d6216d99df8fdd4aae38684aec26_FORMATO.png",62129,11,"VAS","mei","Provável",0,0.86,0,-1.7,4,"Vasco",1,10,NA,3,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2017/04/25/b46cb463e6cdc67676c6fde0cbbdfdf9_FORMATO.png",63000,11,"CHA","zag","Dúvida",0,8.98,0,3.09,9,"Chapecoense",1,12,3,2,NA,20,8,NA,3,NA,NA,NA,2,1,NA,NA,NA,NA
"118","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,11,"PAL","mei","Contundido",0,10,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Alan Luciano Ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2017/04/24/5445b9aabe74f7acf2c52104cb6270ff_FORMATO.png",63110,11,"CHA","lat","Nulo",0,3,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Luiz Severo Júnior","Júnior Viçosa","https://s.glbimg.com/es/sde/f/2017/04/28/d1909a944130931c13b961fd7bf4ce3a_FORMATO.png",63177,11,"ATL","ata","Nulo",0,3.85,0,0.53,7,"Atlético-GO",NA,2,4,4,4,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"121","Marcos Luis Rocha Aquino","Marcos Rocha","https://s.glbimg.com/es/sde/f/2017/04/03/043d9369ddb104e41861bbe7b79afb5d_FORMATO.png",63013,11,"ATL","lat","Provável",0,11.33,0,3.35,2,"Atlético-MG",NA,5,1,3,NA,16,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"122","Douglas Silva Bacelar","Douglas","https://s.glbimg.com/es/sde/f/2016/10/24/daecab9e41dda92b025a194ccf942d0e_FORMATO.png",63128,11,"SAO","zag","Nulo",0,3.28,0,0.9,1,"São Paulo",NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2017/05/17/e601d16bd24dd07614db1ad805107a5d_FORMATO.png",63172,11,"VAS","zag","Provável",3.1,5.33,-0.16,1.7,10,"Vasco",2,17,6,7,NA,20,7,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA
"124","Jucilei da Silva","Jucilei","https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png",63422,11,"SAO","mei","Provável",5.6,14.62,-0.82,5.52,11,"São Paulo",NA,20,4,26,NA,34,33,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"125","Pablo Estifer Armero","Armero","https://s.glbimg.com/es/sde/f/2017/02/21/db1cdca479125a2d236ee31275630a71_FORMATO.png",68693,11,"BAH","lat","Provável",0.4,1.94,-0.09,-0.63,3,"Bahia",NA,9,1,NA,2,14,3,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"126","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2017/04/24/15cf98a07f1ca5efaa16bc8321c04658_FORMATO.png",63058,11,"VIT","mei","Provável",0.3,8.4,-0.01,2.89,9,"Vitória",4,15,3,7,NA,28,24,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"127","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2017/03/12/15292d87c87458b6575b789d1e0b3a77_FORMATO.png",68690,11,"SPO","ata","Provável",3.5,9.15,0.23,4.26,10,"Sport",2,22,7,13,7,19,7,NA,NA,NA,NA,1,3,4,NA,1,NA,NA
"128","Luan Madson Gedeão De Paiva","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_FORMATO.png",63219,11,"ATL","ata","Contundido",0,6.32,0,1.27,3,"Atlético-MG",NA,2,NA,2,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"129","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2017/04/24/6cdeb7e2779c671c69473bc599c9eab2_FORMATO.png",68725,11,"CHA","lat","Nulo",-2.7,4.21,-0.91,-0.77,3,"Chapecoense",1,2,NA,3,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"130","Everton Heleno dos Santos","Everton Heleno","https://s.glbimg.com/es/sde/f/2017/07/05/70b5e143bc2cffe533cf069fe115e647_FORMATO.png",68749,11,"ATL","mei","Nulo",0,2.14,0,-0.5,1,"Atlético-GO",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Rafael de Carvalho Santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2017/07/04/d4c3bb98996ada75c9612e2a44894691_FORMATO.png",68822,11,"BAH","gol","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2017/04/23/7bc968863bb32cf46c3aa7067b5514f8_FORMATO.png",68758,11,"GRE","ata","Dúvida",0.5,9.93,-0.27,5.54,7,"Grêmio",1,8,3,17,NA,10,6,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"133","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,11,"BOT","mei","Provável",1.1,12.58,-0.4,6.05,10,"Botafogo",5,17,6,16,NA,35,19,NA,NA,NA,NA,2,3,4,NA,NA,NA,NA
"134","Márcio Passos de Albuquerque","Emerson Sheik","https://s.glbimg.com/es/sde/f/2017/06/01/da3106efc7379dcf3c942213ac978f0e_FORMATO.png",68744,11,"PON","ata","Provável",0,4.53,0,1.67,6,"Ponte Preta",3,9,4,20,NA,17,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"135","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,11,"SAN","mei","Nulo",0,1.69,0,-1.3,1,"Santos",NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"136","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2017/04/19/9bf8902250718281651dc2ae9999d574_FORMATO.png",68770,11,"COR","mei","Nulo",0.5,4.01,0.07,0.57,7,"Corinthians",NA,1,1,1,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
