"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","I","CA","SG","DD","GS","FT","G","PP","CV","GC","DP"
"194","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/06/07/fe68884503980ded30df6a7cb9cdd77b_FORMATO.jpeg",70929,10,"PON","ata","Contundido",0,3.97,0,-0.6,2,"Ponte Preta",3,NA,NA,3,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Thiago Henrique Mendes Ribeiro","Thiago Mendes","https://s.glbimg.com/es/sde/f/2016/05/01/7bffad216f281ba79db7820b8448dae1_FORMATO.png",71123,10,"SAO","mei","Provável",3.9,5.18,0.69,0.66,5,"São Paulo",5,1,2,9,14,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,10,"SAN","mei","Nulo",0,2.62,0,-0.25,2,"Santos",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,10,"VAS","ata","Contundido",0,5.03,0,1.72,5,"Vasco",3,3,NA,8,9,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/06/22/b1c7b99be2c1d74a2735e6cb49f388ff_FORMATO.png",70944,10,"PAL","mei","Nulo",0,11,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2017/06/01/a4f3ac6a4a79eebb1b9a2ec9388773ad_FORMATO.png",71162,10,"BAH","mei","Nulo",0.7,7.72,-0.4,3.17,7,"Bahia",4,1,4,6,17,5,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"200","Maicon Pereira Roque","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/f3000bd2b412a315dad8796d7080a492_FORMATO.png",71227,10,"SAO","zag","Nulo",0,9.9,0,3.42,7,"São Paulo",1,2,2,2,22,8,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"201","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,10,"ATL","mei","Provável",1.2,6.35,-0.55,-0.4,6,"Atlético-PR",9,NA,4,5,19,5,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"202","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,10,"VIT","gol","Provável",3.7,11.3,0.37,3.96,10,"Vitória",NA,NA,NA,2,8,NA,NA,NA,1,2,21,15,NA,NA,NA,NA,NA,NA
"203","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/04/24/8f9b227031fc772ea2210db5d441a2e5_FORMATO.png",71066,10,"FLA","mei","Nulo",0,7.81,0,5.13,3,"Flamengo",3,2,2,2,6,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"204","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,10,"VAS","ata","Contundido",0,5.27,0,2.92,6,"Vasco",3,2,3,5,6,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"205","Fernando Galhardo Borges","Fernandinho","https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png",72150,10,"PON","lat","Nulo",0,5.66,0,5,1,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"206","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/02/21/006f00c308607da2e5625e476d7e701e_FORMATO.png",70934,10,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,10,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,10,"GRE","gol","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,10,"ATL","gol","Provável",0.7,2.17,-0.54,1.2,7,"Atlético-PR",NA,NA,NA,1,7,NA,NA,NA,1,2,8,11,NA,NA,NA,NA,NA,NA
"210","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,10,"PON","mei","Provável",1.6,5.84,0.2,1.58,9,"Ponte Preta",12,1,3,8,23,15,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"211","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/04/24/ec9b77bc929663a07ce6d4b21c78ed8e_FORMATO.png",71709,10,"FLA","mei","Nulo",-0.5,3.06,-0.86,1.24,5,"Flamengo",7,NA,NA,1,7,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,10,"BOT","lat","Nulo",0,8,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,10,"GRE","mei","Nulo",7.2,9.6,1.16,5.73,9,"Grêmio",19,1,5,11,22,21,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA
"214","Diego da Silva Rosa","Diego Rosa","https://s.glbimg.com/es/sde/f/2017/06/21/113421cfc95b13d42d7a61ddfd0b906c_FORMATO.png",71927,10,"ATL","mei","Nulo",-0.3,7.31,-0.18,1.83,6,"Atlético-GO",7,2,1,4,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Wellington Simião","Wellington Simião","https://s.glbimg.com/es/sde/f/2017/05/17/952fdde5f058594fa74d531f91c1abf3_FORMATO.png",81903,10,"AVA","mei","Nulo",0,1.81,0.21,0.21,7,"Avaí",9,NA,2,9,15,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2017/04/24/44fa9261c93718d8ee74e043fad7adbb_FORMATO.png",62086,10,"FLA","lat","Nulo",0,8.98,0,2.4,7,"Flamengo",9,NA,1,4,16,2,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"217","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2017/04/25/19e52a7282097054fc255711621c8e29_FORMATO.png",54797,10,"CHA","ata","Nulo",0,3.38,-0.05,0.06,7,"Chapecoense",3,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Cássio Luís Rissardo","Xuxa","https://s.glbimg.com/es/sde/f/2017/04/25/f61368b41b39832165af38d0ac96fda8_FORMATO.png",55594,10,"PON","mei","Nulo",0,2.44,0,0.55,2,"Ponte Preta",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/24/bd4f8a7faf06636fd48dc601b16ea0af_FORMATO.png",56102,10,"COR","mei","Contundido",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Julio Daniel dos Santos Rodríguez","Julio dos Santos","https://s.glbimg.com/es/sde/f/2017/04/17/649e4e7bd437c7088ca460c013ae1718_FORMATO.png",60853,10,"VAS","mei","Nulo",0,5,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2017/04/03/902e1c13569f1c4cc9f929691cc6d625_FORMATO.png",60784,10,"ATL","mei","Suspenso",-1.3,5.61,-0.36,1.19,10,"Atlético-MG",11,NA,NA,14,19,13,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2016/07/12/b3b2f4d5febfcebd9c61128f21c52535_FORMATO.png",71724,10,"SPO","gol","Nulo",0,4,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2017/05/03/cc800ad5ce3aeb287358e50e4352911b_FORMATO.png",60788,10,"SPO","ata","Nulo",0,5.05,0,3.03,3,"Sport",2,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2017/04/20/ff3f0ec8867916a05745cdee54815442_FORMATO.png",61033,10,"COR","mei","Provável",-3.2,13.43,-1.06,3.61,7,"Corinthians",12,2,4,16,23,7,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"225","Willians dos Santos Santana","Willians","https://s.glbimg.com/es/sde/f/2017/06/07/e24d137ff5aa2e79299e85cf581744a1_FORMATO.png",60787,10,"AVA","ata","Nulo",0,3.23,0,0.23,6,"Avaí",14,1,NA,6,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Patric Cabral Lalau","Patric","https://s.glbimg.com/es/sde/f/2017/04/24/89077bf2beda96cfae171fad51c21cd1_FORMATO.png",60969,10,"VIT","lat","Provável",-0.3,6.5,-0.59,2.01,7,"Vitória",12,3,6,6,36,11,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"227","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png",60819,10,"CRU","zag","Contundido",0,8.86,0,3.43,3,"Cruzeiro",1,NA,NA,2,12,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"228","Bruno Vieira Gallo","Bruno Gallo","https://s.glbimg.com/es/sde/f/2017/04/06/68766fe1a4a33ee25c95b972979bf44c_FORMATO.png",60802,10,"VAS","mei","Nulo",0,1.7,0,-0.6,1,"Vasco",1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,10,"ATL","mei","Provável",0,11.85,0,1.85,8,"Atlético-MG",9,2,1,7,24,9,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"230","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,10,"BOT","mei","Contundido",0,5.63,0,1.17,3,"Botafogo",3,NA,NA,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2017/05/02/bd59d7bbf1fff0ce2e2dd4b489c5c99a_FORMATO.png",61149,10,"PON","ata","Provável",11.2,22.14,0.88,8.66,10,"Ponte Preta",13,6,7,36,27,9,1,4,1,NA,NA,NA,NA,7,NA,NA,NA,NA
"232","Mauricio Kozlinski","Mauricio Kozlinski","https://s.glbimg.com/es/sde/f/2017/04/28/9ab574fbf640f6bd28542bd1d9305d6f_FORMATO.png",72595,10,"AVA","gol","Nulo",0,8.1,0,3.1,9,"Avaí",NA,NA,NA,NA,4,NA,NA,NA,NA,2,15,13,NA,NA,NA,NA,NA,NA
"233","Gilberto Oliveira Souza Júnior","Gilberto","https://s.glbimg.com/es/sde/f/2016/08/18/6af48de27fa231f0a84e3301c9451cb9_FORMATO.png",61188,10,"SAO","ata","Nulo",0,4.2,0,1.58,5,"São Paulo",4,2,3,1,3,1,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"234","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,10,"PAL","lat","Nulo",0,15.59,0,3.97,6,"Palmeiras",3,2,5,6,19,5,NA,1,NA,2,NA,NA,NA,1,1,NA,NA,NA
"235","Fernando Camilo Farias","Camilo","https://s.glbimg.com/es/sde/f/2016/06/28/8a03ee3ad9899f775f55818fc2c7e956_FORMATO.jpeg",62009,10,"BOT","mei","Dúvida",1.9,9.66,-1.41,1.58,4,"Botafogo",1,2,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Edimar Curitiba Fraga","Edimar","https://s.glbimg.com/es/sde/f/2017/04/25/0991c88dd099660fdb7cfc88a4bedab1_FORMATO.png",62024,10,"SAO","lat","Nulo",0,5,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Carlos Cesar Neves","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,10,"ATL","lat","Contundido",0,4.46,0,-0.7,1,"Atlético-MG",NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Maikon Fernando Souza Leite","Maikon Leite","https://s.glbimg.com/es/sde/f/2017/02/18/d1beebf2d6769d1d954a6d387ae17218_FORMATO.png",62069,10,"BAH","ata","Nulo",0,2.15,0,-0.5,2,"Bahia",2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2017/05/31/dd89d6216d99df8fdd4aae38684aec26_FORMATO.png",62129,10,"VAS","mei","Nulo",0,0.86,0,-1.7,4,"Vasco",10,NA,NA,3,10,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,10,"CRU","mei","Provável",0.8,8.69,-1.17,2.26,5,"Cruzeiro",5,3,7,3,31,6,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"241","Jael Ferreira Vieira","Jael","https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_FORMATO.png",60859,10,"GRE","ata","Contundido",0,5,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2017/06/01/bba975f9c1f34505f37eedc4d7693aad_FORMATO.png",62128,10,"ATL","ata","Nulo",0,7.84,0,1.1,6,"Atlético-GO",8,3,4,10,23,1,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"243","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2017/04/24/dc3d5fdf33d1716e51abe9c2aad2d182_FORMATO.png",62130,10,"COR","lat","Provável",-2,7.45,-0.67,3.4,9,"Coritiba",11,4,1,20,30,10,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA
"244","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2017/04/24/5d30208b79a04fd4710a6c79831dae42_FORMATO.png",62974,10,"COR","zag","Provável",0.3,8.1,-0.34,3.52,10,"Coritiba",5,1,3,2,28,10,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"245","Marcos Luis Rocha Aquino","Marcos Rocha","https://s.glbimg.com/es/sde/f/2017/04/03/043d9369ddb104e41861bbe7b79afb5d_FORMATO.png",63013,10,"ATL","lat","Contundido",0,11.33,0,3.35,2,"Atlético-MG",5,NA,1,3,16,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,10,"SAN","gol","Provável",1,19.06,-2.07,9.46,10,"Santos",NA,NA,NA,1,3,NA,NA,NA,NA,6,24,7,NA,NA,NA,NA,NA,1
"247","João Paulo Purcino de Almeida","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/28/61a2cc88c95e6ada6bf3c127a23ec96f_FORMATO.png",62997,10,"AVA","lat","Nulo",0,4,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,10,"SAN","ata","Nulo",0,7,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,10,"CRU","gol","Nulo",0,10,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,10,"ATL","zag","Provável",0,9.5,0,-0.53,3,"Atlético-MG",6,NA,NA,6,10,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,10,"SAO","gol","Provável",10,11.96,1.45,4.61,10,"São Paulo",NA,NA,NA,1,8,NA,NA,NA,1,4,16,9,NA,NA,NA,NA,NA,NA
"252","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png",68930,10,"VIT","ata","Provável",-1.4,9.24,0.21,3,7,"Vitória",13,3,3,16,15,2,NA,6,1,NA,NA,NA,NA,3,1,NA,NA,NA
"253","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2016/07/08/b5631b95dc105cd68b154bfaa21ecf74_FORMATO.png",68950,10,"SPO","zag","Provável",3.1,6.64,0.74,1.79,7,"Sport",7,3,NA,9,18,2,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"254","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2017/04/25/b46cb463e6cdc67676c6fde0cbbdfdf9_FORMATO.png",63000,10,"CHA","zag","Nulo",0,8.98,0,3.09,9,"Chapecoense",12,2,3,2,20,8,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA
"255","Leandro Damião da Silva dos Santos","Leandro Damião","https://s.glbimg.com/es/sde/f/2017/04/24/521c73a5e5228e27e72fe902667a99d3_FORMATO.png",68953,10,"FLA","ata","Nulo",0,13.22,0,7.54,5,"Flamengo",10,5,8,5,4,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"256","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,10,"COR","mei","Provável",-1.7,9.32,-1.93,4.81,7,"Corinthians",5,1,2,12,20,4,3,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA
"257","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,10,"BOT","mei","Provável",0,2.59,0,1.29,9,"Botafogo",20,5,3,13,36,9,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,10,"COR","mei","Nulo",0,5.57,0,-0.15,2,"Corinthians",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,10,"ATL","gol","Nulo",0,6,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",68987,10,"PON","mei","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,10,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Paulo Roberto Valoura Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/02/21/1185bf0445861de05869b21f919a1d93_FORMATO.png",71937,10,"BAH","mei","Provável",0.6,10.35,-0.6,2.51,9,"Bahia",19,7,7,7,34,12,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"263","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,10,"BOT","zag","Nulo",0,3,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,10,"VIT","mei","Provável",3.2,3.62,0.57,1.59,10,"Vitória",16,NA,6,3,16,10,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"265","Régis Ribeiro de Souza","Régis Souza","https://s.glbimg.com/es/sde/f/2017/06/22/f0877c550c7c04d26f2b6c19b1028f8f_FORMATO.png",68995,10,"BAH","lat","Nulo",0.1,2.15,-0.28,-0.2,3,"Bahia",NA,NA,NA,3,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,10,"GRE","lat","Suspenso",2.3,10.86,-0.5,5.4,9,"Grêmio",13,NA,NA,10,19,14,NA,NA,3,6,NA,NA,NA,1,NA,NA,NA,NA
"267","Cléber Janderson Pereira Reis","Cléber","https://s.glbimg.com/es/sde/f/2017/05/02/b5c06e4d4ec940dea4ec97f888628b3b_FORMATO.png",72376,10,"SAN","zag","Nulo",0,6.49,0,4.5,1,"Santos",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"268","Matheus Simonete Bressanelli","Bressan","https://s.glbimg.com/es/sde/f/2017/04/23/06d46a41c53307f20ca424fbe4e9bf64_FORMATO.png",72491,10,"GRE","zag","Dúvida",0,2.49,0,-1.4,1,"Grêmio",2,NA,NA,1,6,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,10,"AVA","zag","Provável",5.8,2.11,1.11,3.4,2,"Avaí",3,NA,2,NA,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"270","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2017/04/18/57ab5f981f4355a82d3d2f15ed01eb8e_FORMATO.png",72362,10,"BOT","mei","Provável",4.8,10.26,1.02,3.82,8,"Botafogo",5,3,2,7,21,15,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"271","Hernane Vidal Souza","Hernane","https://s.glbimg.com/es/sde/f/2017/02/21/ab314baef088bf498a196e5fd2e6176b_FORMATO.png",72386,10,"BAH","ata","Contundido",0,10,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","William Amorim Martins de Menezes","William Menezes","https://s.glbimg.com/es/sde/f/2017/04/24/edb424e5188bff2f84c0a261b041b848_FORMATO.png",72603,10,"COR","gol","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,10,"PAL","gol","Nulo",0,8,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Damián Ariel Escudero","Escudero","https://s.glbimg.com/es/sde/f/2017/04/17/1351c50b833e0374eb58e4fde52d7646_FORMATO.png",72745,10,"VAS","mei","Nulo",0,3.89,-1.11,0,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Lázaro Luan Scapolan","Luan","https://s.glbimg.com/es/sde/f/2017/04/28/ec0b73e82977113f481334a7e16633d8_FORMATO.png",72565,10,"AVA","mei","Provável",0,5.89,-0.31,2.2,9,"Avaí",23,1,1,20,16,19,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
