"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name"
"21","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,1,373,"tec","Provável",0,2,0,0,0,"Atlético-GO"
"22","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,1,373,"ata","Nulo",0,5,0,0,0,"Atlético-GO"
"23","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,1,373,"zag","Nulo",0,3,0,0,0,"Atlético-GO"
"24","Mauricio Kozlinski","mauricio-kozlinski","Mauricio Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,1,373,"gol","Nulo",0,4,0,0,0,"Atlético-GO"
"25","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,1,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO"
"26","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/02/27/851090fa3a68b14a9b55eb825b21a6f9_FORMATO.png",77544,1,373,"mei","Provável",0,6,0,0,0,"Atlético-GO"
"27","Moacir Costa da Silva","moacir","Moacir","https://s.glbimg.com/es/sde/f/2020/02/27/9937a66467916c4528d3b0575c53418f_FORMATO.png",60858,1,373,"mei","Nulo",0,3,0,0,0,"Atlético-GO"
"28","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,1,373,"mei","Provável",0,4,0,0,0,"Atlético-GO"
"29","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png",105809,1,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO"
"30","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,1,373,"lat","Nulo",0,1,0,0,0,"Atlético-GO"
"31","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,1,293,"zag","Provável",0,9,0,0,0,"Athlético-PR"
"32","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,1,373,"mei","Provável",0,5,0,0,0,"Atlético-GO"
"33","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2020/07/16/ec131d189cf34596591ae2d9d86d1cf5_FORMATO.png",40990,1,293,"tec","Provável",0,7,0,0,0,"Athlético-PR"
"34","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,1,293,"lat","Provável",0,5,0,0,0,"Athlético-PR"
"35","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2020/01/21/6207ef96fdc4611ca3240273d5056ab4_FORMATO.png",38336,1,293,"lat","Provável",0,7,0,0,0,"Athlético-PR"
"36","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,1,293,"lat","Nulo",0,7,0,0,0,"Athlético-PR"
"37","Danilo Alves da Silva","danilo","Danilo",NA,107981,1,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO"
"38","Odair Marciano de Oliveira Filho","odair","Odair",NA,108745,1,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO"
"39","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2020/03/02/6ec74772de012171f72f546a01823ea0_FORMATO.png",79578,1,294,"ata","Dúvida",0,6,0,0,0,"Coritiba"
"40","Vitor Benedito Leque da Silva","vitor","Vitor",NA,108714,1,373,"ata","Nulo",0,1,0,0,0,"Atlético-GO"
"41","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,1,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO"
"42","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,1,293,"ata","Dúvida",0,5,0,0,0,"Athlético-PR"
"43","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,1,293,"mei","Provável",0,5,0,0,0,"Athlético-PR"
"44","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,1,262,"gol","Provável",0,14,0,0,0,"Flamengo"
"45","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,1,293,"zag","Nulo",0,4,0,0,0,"Athlético-PR"
"46","Márcio Rafael Ferreira de Souza","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/07/21/35a95c6271b905d63b5c2186a6e60e5b_FORMATO.png",38144,1,262,"lat","Provável",0,8,0,0,0,"Flamengo"
"47","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,1,293,"mei","Nulo",0,6,0,0,0,"Athlético-PR"
"48","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,1,262,"mei","Provável",0,10,0,0,0,"Flamengo"
"49","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,1,262,"lat","Provável",0,10,0,0,0,"Flamengo"
