"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"arboleda",91573,"Arboleda","276","zag",9.65,1.93333333333333,-1.4,0.357651695928953,3,4.5,-3.2,0,1,0,4,0,0,0,0,0,0,"Provável",0.74,3.6
"rony",91607,"Rony","275","ata",11.34,2.93333333333333,2.93333333333333,-0.971846496400737,3,0.4,4.2,1,2.66666666666667,2.66666666666667,3.33333333333333,0,0,2,0.666666666666667,0,0,"Provável",-0.65,0.8
"adryelson",91664,"Adryelson","292","zag",2.39,0.575,0.575,-0.849123586339535,4,-0.1,3.1,0.5,1.75,1.25,2.5,0,0,0.5,0.25,0,0,"Provável",-1.26,-3.6
"matheus-jussa",91689,"Matheus Jussa","285","zag",2.97,2.4,-2.6,0,1,2.4,0,0,4,2,11,0,0,0,0,0,0,"Nulo",-0.03,2.4
"nino",91708,"Nino","266","zag",4.34,0.925,0.925,-0.358231946094726,4,1.3,2.1,0,1.75,1.25,3.25,0,0,2.5,0,0,0,"Provável",0.06,0.6
"felipe",91733,"Felipe","356","mei",4.36,1.1,1.1,-1.0127541330878,4,-1,3,0.25,2.25,1.75,2.25,0,0,2.5,0.25,0,0,"Provável",0.53,3.6
"barrandeguy",91736,"Barrandeguy","263","lat",2.88,3.06666666666667,1.4,-0.685493039591266,3,-1.1,1.3,0,0.333333333333333,2.33333333333333,7.66666666666667,0,0,0,0,0,0,"Provável",-1.17,-1.1
"edson-carius",91750,"Edson Cariús","356","ata",3.21,0.7,0.7,0,1,0.7,0,1,0,0,1,0,0,0,1,0,0,"Provável",-0.79,0.7
"ze-ivaldo",91866,"Zé Ivaldo","293","zag",6.96,5.6,0.6,0,1,0,5.6,0,0,1,4,0,0,0,0,0,0,"Nulo",2.96,5.6
"kevin",91888,"Kevin ","263","lat",2.48,0.6,0.6,0,1,0,0.6,0,0,1,4,0,0,0,0,0,0,"Nulo",-0.52,0.6
"juninho",92182,"Juninho","265","zag",8.51,6.5,3.16666666666667,0.0917520574630146,3,5.9,-0.5,0.333333333333333,0,0.666666666666667,3.33333333333333,0,0,0.333333333333333,0,0.333333333333333,0,"Provável",-1.46,-0.5
"claudinho",92630,"Claudinho","Bragantino","ata",13.05,6.075,6.075,0,4,0,0,1,0.25,2,8,0,0,1,0.25,0.5,0,"Provável",0.64,5.4
"ronaldo",92981,"Ronaldo","265","mei",2.3,0.1,0.1,-0.0309708525981875,3,0.5,-0.3,0.666666666666667,4,1.66666666666667,2.66666666666667,0,0,1.33333333333333,0.666666666666667,0,0,"Provável",-0.22,-0.3
"mateus-vital",93108,"Mateus Vital","264","mei",5.37,1.4,1.4,0,2,0,1.4,0,0,1,6,0,0,2,0,0,0,"Dúvida",-0.43,1
"lucas-verissimo",93368,"Lucas Veríssimo","277","zag",8.09,1.83333333333333,1.83333333333333,0.766728062799626,3,3.4,-1.3,0.333333333333333,1.33333333333333,3.33333333333333,6,0,0,0,0.333333333333333,0,0,"Nulo",-0.59,0.9
"jobson",93377,"Jobson","277","mei",5.41,1.36666666666667,1.36666666666667,-0.460501037812395,3,0.5,1.8,0,0.666666666666667,1.33333333333333,1.33333333333333,0,0,1,0,0,0,"Dúvida",1.36,5.6
"benitez",93550,"Benítez","267","mei",8.91,4.43333333333333,4.43333333333333,-0.419593401125328,3,3.8,4.9,1,3.33333333333333,4.66666666666667,8,0,0,2.33333333333333,0.333333333333333,0,0,"Provável",0.4,4.9
"bruno-tubarao",93637,"Bruno Tubarão","Bragantino","mei",1.61,0.45,0.45,0,4,0,0,0,0.5,0.75,1.75,0,0,0.25,0,0,0,"Nulo",-0.39,-0.2
"andrey",93787,"Andrey","267","mei",5.49,1.5,1.5,-1.31956140824081,3,-1.1,4.4,0.333333333333333,5.33333333333333,3,6,0.333333333333333,0,1.66666666666667,0.333333333333333,0,0,"Provável",0.34,4.4
"marlon-freitas",93790,"Marlon Freitas","373","mei",6.02,4.4,4.4,0.480374605990155,3,5.1,1.8,3,1,2.33333333333333,6,0,0,1,2.33333333333333,0,0,"Provável",-0.1,1.8
"daniel",93791,"Daniel","265","mei",3.54,1.8,1.8,-0.0923323076287886,2,1.8,1.3,2,3,1,3,0,0,2,2,0,0,"Nulo",-0.22,1.3
"cleiton",93882,"Cleiton","Bragantino","gol",1.96,-2.4,-2.4,0,3,0,0,0,0,0,5.66666666666667,0,0,0.333333333333333,0,0,0,"Provável",1.22,5.1
"marcos-junior",93893,"Marcos Júnior","267","mei",2.65,-0.7,-0.7,0,1,-0.7,0,0,1,0,2,0,0,0,0,0,0,"Nulo",-1.35,-0.7
"junior-brandao",93909,"Júnior Brandão","373","ata",2.56,2.9,2.9,0.521282242677222,2,2.9,-0.6,2,0,1,1,0,0,0,1,0,0,"Nulo",-0.67,-0.6
"ribamar",94068,"Ribamar","267","ata",6.14,8,8,0,1,0,8,1,0,0,0,0,0,0,0,1,0,"Nulo",1.14,8
"diego-pituca",94156,"Diego Pituca","277","mei",7.58,2.1,2.1,0.0508444207759472,4,1.8,0.6,0.25,0.5,2,5.75,0,0,1.25,0,0,0,"Provável",0.3,3.9
"luiz-otavio",94269,"Luiz Otávio","263","mei",2.38,0.666666666666667,0.666666666666667,-0.235509036033524,3,0.8,1,0,0,0.666666666666667,0,0,0,0,0,0,0,"Nulo",0.08,0.8
"william-oliveira",94297,"William Oliveira","354","mei",2.23,1.2,1.2,0.132659694150082,2,1.2,-0.4,1,2,1,1,0,0,1,1,0,0,"Provável",-0.52,-0.4
"matheus-babi",94444,"Matheus Babi","263","ata",7.12,6.73333333333333,6.73333333333333,-0.37868576443826,3,7.1,8,3.33333333333333,3.33333333333333,0.666666666666667,5,0,0.666666666666667,3.66666666666667,2,0.666666666666667,0,"Dúvida",1.47,7.1
"raphael-veiga",94509,"Raphael Veiga","275","mei",8.78,2.1,2.1,0,2,0,2.1,2,5,3,5,0,0,1,2,0,0,"Nulo",1.19,8.1
"pedro",94583,"Pedro","262","ata",1.03,-1.85,-1.85,-0.624131584560664,4,-3.2,-1.1,0.25,2.25,0,1.5,0,0.25,0,0,0,0,"Nulo",-0.33,-0.5
"wellissol",94718,"Wellissol ","294","ata",2.17,-0.3,-0.3,-0.7673083129654,2,-0.3,2.5,0,3,2,3,0,0,2,0,0,0,"Nulo",0.21,2.5
"musto",94838,"Musto","285","mei",7.46,1.2,1.2,-0.37868576443826,3,0.9,1.8,0,0.666666666666667,0.666666666666667,1.33333333333333,0,0,2,0,0,0,"Dúvida",2.64,10.5
"jonatan-gomez",94857,"Jonatan Gomez","292","mei",12.07,6.25,6.25,0.766728062799626,4,9.5,4.8,2.25,0.75,0,5,0,0,3.25,1.5,0.5,0,"Provável",-0.73,0.4
"juninho-capixaba",94968,"Juninho Capixaba","265","lat",8.51,7.8,2.8,0,2,7.8,0,2,1,2,11,0,0,0,0,0,0,"Provável",1.35,7.1
"marco-antonio",94975,"Marco Antônio","265","mei",2.17,-0.1,-0.1,0,1,-0.1,0,0,0,0,1,0,0,0,0,0,0,"Nulo",-0.83,-0.1
"zeca",94976,"Zeca","290","ata",0.75,0.333333333333333,0.333333333333333,-1.05366176977487,3,-4.2,0,0,0,0.333333333333333,0,0,0,0,0,0,0,"Nulo",-0.24,-4.2
"nicolas",95127,"Nicolas","373","lat",6.38,7.2,3.86666666666667,0.684912789425491,3,9.4,0.1,1.66666666666667,0,3,14,0,0,1.33333333333333,1,0,0,"Provável",-0.58,0.1
"jefferson",95220,"Jefferson","290","lat",5.99,7.5,7.5,0,1,7.5,0,1,0,0,5,0,0,0,0,1,0,"Provável",0.99,7.5
"thalles",95222,"Thalles","290","mei",3.27,0.7,0.7,0,1,0,0.7,0,0,1,3,0,1,1,0,0,0,"Dúvida",-0.73,0.7
"marcinho",95332,"Marcinho","290","ata",2.66,-0.9,-0.9,0,1,0,-0.9,0,1,0,4,0,0,0,0,0,0,"Provável",-1.34,-0.9
"matheus-jesus",95335,"Matheus Jesus","Bragantino","mei",4.88,1.4,1.4,0,4,0,0,2.25,2.25,1.25,5,0,0,0.5,2,0,0,"Provável",-0.54,-0.9
"orejuela",95352,"Orejuela","284","lat",6.91,2.825,-0.925,-1.31956140824081,4,1.8,2.3,0.25,4,2,13.5,0,0,1.75,0,0,0,"Provável",-0.93,0.2
"gregore",95464,"Gregore","265","mei",7.89,6.8,6.8,1.1144429746397,2,6.8,0.4,0,4,9,7,0,0,1,0,0,0,"Provável",-1.14,0.4
"igor-vinicius",95466,"Igor Vinícius","276","lat",4.19,0.7,0.7,-0.399139582781794,2,-0.3,0.7,0,0,1,3,0,0,0,0,0,0,"Dúvida",-0.51,-0.3
"aguilar",95494,"Aguilar","293","zag",7.54,5.4,0.4,0,1,0,5.4,0,0,0,1,0,0,1,0,0,0,"Nulo",2.54,5.4
