,atletas.posicao_id,atletas.jogos_num,atletas.entrou_em_campo,atletas.media_num,atletas.apelido,atletas.variacao_num,atletas.clube_id,atletas.foto,atletas.clube.id.full.name,atletas.status_id,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.nome,CA,DS,FC,FD,FF,FS,G,SG,A,I,PS,FT,V,CV,DE,DP,GS,PP,PC,GC
220,5,15,True,2.87,Deyverson,0.02,356,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,6,0.5,24,Deyverson,deyverson,92708,5.49,Deyverson Brum Silva,1.0,4.0,12.0,3.0,11.0,15.0,2.0,,,3.0,,2.0,,,,,,,,
221,5,1,False,1.2,Bruno Rodrigues,0.0,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,6,0.0,24,B. Rodrigues,bruno-rodrigues,92811,5.86,Bruno Rafael Rodrigues do Nascimento,,,,1.0,,,,,,,,,,,,,,,,
222,5,17,True,3.77,Borré,0.8,285,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,7,2.3,24,Borré,borre,92854,10.18,Rafael Santos Borré Maury,1.0,11.0,21.0,5.0,12.0,6.0,4.0,,1.0,5.0,,1.0,,1.0,,,,,,
223,4,11,False,1.95,Ronaldo,0.0,285,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,5,0.0,24,Ronaldo,ronaldo,92981,4.2,Ronaldo da Silva Souza Guerrero,3.0,19.0,20.0,2.0,2.0,2.0,,,,2.0,,,,1.0,,,,,,
224,2,14,True,3.95,Rafael Ramos,0.77,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,6,8.2,24,R. Ramos,rafael-ramos,93236,6.06,Rafael António Figueiredo Ramos,2.0,21.0,17.0,1.0,4.0,3.0,,5.0,,,,,,,,,,,,
225,3,6,False,4.42,João Basso,0.0,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,6,0.0,24,J. Basso,joao-basso,93372,7.74,João Othávio Basso,2.0,7.0,10.0,,,6.0,1.0,2.0,,,,,,,,,,,,
226,5,5,False,3.04,Cantalapiedra,0.0,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,6,0.0,24,Cantalapiedra,cantalapiedra,93411,5.32,Aitor Cantalapiedra Fernández,1.0,3.0,3.0,3.0,2.0,5.0,,,1.0,1.0,,,,,,,,,,
227,5,23,True,2.1,Wanderson,0.4,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,7,2.8,24,Wanderson,wanderson,93478,5.17,Wanderson Maciel Sousa Campos,2.0,10.0,24.0,9.0,16.0,13.0,,,2.0,6.0,,1.0,,,,,,,,
228,2,16,True,7.25,Paulo Henrique,-0.39,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,7,3.0,24,P. Henrique,paulo-henrique,93716,12.22,Paulo Henrique de Oliveira Alves,6.0,53.0,34.0,6.0,4.0,13.0,,3.0,3.0,1.0,,2.0,,,,,,,,
229,4,19,True,2.17,Marlon Freitas,0.22,263,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,7,1.7,24,M. Freitas,marlon-freitas,93790,5.28,Marlon Rodrigues Freitas,4.0,15.0,20.0,4.0,7.0,7.0,,,3.0,,,,,,,,,,,
