,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
154,danilo-barbosa,0.0,263,4,D. Barbosa,Danilo Barbosa da Silva,-0.65,0.0,86777,6,BOT,4.35,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Danilo Barbosa,,1.0,,,,,,1.0,,,,,,,,,,,,
155,reginaldo,2.2,286,2,Reginaldo,Reginaldo Lopes de Jesus,3.1,-1.11,86820,7,JUV,4.36,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Reginaldo,2.0,1.0,,,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
156,jose-welison,0.0,356,4,J. Welison,José Welison da Silva,2.19,0.0,86859,6,FOR,4.71,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,José Welison,12.0,6.0,,1.0,5.0,,,2.0,,,,,,,,,,,,
157,luiz-otavio,0.0,2305,3,L. Otávio,Luiz Otávio da Silva Santos,0.0,0.0,86863,6,MIR,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Luiz Otávio,,,,,,,,,,,,,,,,,,,,
158,leo-jardim,3.4,267,1,L. Jardim,Leonardo César Jardim,2.86,0.03,87008,6,VAS,7.27,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Léo Jardim,,,,,3.0,,2.0,,,,,,,,33.0,17.0,,,,
159,nathan,0.0,284,4,Nathan,Nathan Allan de Souza,2.45,0.0,87009,6,GRE,4.64,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Nathan,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
160,pedro-henrique,1.4,280,3,P. Henrique,Pedro Henrique Ribeiro Gonçalves,4.78,-0.16,87225,7,RBB,8.18,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Pedro Henrique,18.0,9.0,2.0,4.0,12.0,,5.0,2.0,1.0,1.0,,,,,,,,,,
161,guilherme-arana,0.5,282,2,G. Arana,Guilherme Antonio Arana Lopes,4.27,-0.99,87228,6,CAM,9.44,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Guilherme Arana,7.0,5.0,1.0,3.0,4.0,,2.0,2.0,,1.0,,,,,,,,,,
162,soteldo,0.5,266,5,Soteldo,Yeferson Julio Soteldo Martínez,1.49,-0.51,87258,2,FLU,8.02,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Soteldo,3.0,2.0,1.0,3.0,8.0,1.0,,1.0,,,,,,,,,,,,
163,kannemann,-0.6,284,3,Kannemann,Walter Kannemann,2.87,-0.48,87342,6,GRE,5.31,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Kannemann,4.0,7.0,,1.0,1.0,,2.0,2.0,,1.0,,,,1.0,,,,,,
164,thaciano,0.1,277,4,Thaciano,Thaciano Mickael da Silva,2.16,-0.22,87470,6,SAN,5.1,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Thaciano,7.0,2.0,1.0,3.0,6.0,7.0,,,,,1.0,,,,,,,,,
165,neto-moura,1.5,2305,4,N. Moura,Antônio Francisco Moura Neto,2.17,-0.07,87742,7,MIR,3.88,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Neto Moura,20.0,13.0,,1.0,4.0,,,4.0,,,,,1.0,,,,,,,
166,yago-felipe,0.0,2305,4,Y. Felipe,Yago Felipe da Costa Rocha,2.03,0.0,87747,7,MIR,4.39,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Yago Felipe,8.0,6.0,,2.0,15.0,,,1.0,,,,,,,,,,,,
167,philipe-sampaio,0.0,263,3,P. Sampaio,Philipe Sampaio Azevedo,0.0,0.0,87808,6,BOT,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Philipe Sampaio,,,,,,,,,,,,,,,,,,,,
168,mauricio-lemos,0.0,267,3,M. Lemos,Paolo Mauricio Lemos Merladett,4.0,0.0,87853,6,VAS,6.92,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Mauricio Lemos,2.0,,,,,,1.0,,,,,,,,,,,,,
169,arrascaeta,0.5,262,4,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,9.71,-0.44,87863,7,FLA,18.19,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Arrascaeta,6.0,6.0,2.0,4.0,16.0,2.0,,1.0,4.0,1.0,9.0,,,2.0,,,,,,
170,gustavo-scarpa,0.0,282,4,G. Scarpa,Gustavo Henrique Furtado Scarpa,3.17,-0.07,87999,6,CAM,9.71,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Gustavo Scarpa,8.0,12.0,5.0,12.0,19.0,2.0,,2.0,1.0,,1.0,,,,,,,,,
171,ramon-menezes,4.4,292,3,R. Menezes,Ramon Menezes Roma,4.4,1.17,88087,6,SPT,7.17,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Ramon Menezes,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
172,ivan,0.0,285,1,Ivan,Ivan Quaresma da Silva,0.0,0.0,88136,6,INT,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ivan,,,,,,,,,,,,,,,,,,,,
173,junior-alonso,-0.2,282,3,J. Alonso,Júnior Osmar Ignacio Alonso Mujica,3.91,-0.34,88312,6,CAM,5.9,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Junior Alonso,10.0,11.0,1.0,5.0,6.0,,7.0,2.0,1.0,,,,,,,,,,,1.0
174,angel-romero,4.5,264,5,A. Romero,Ángel Rodrigo Romero Villamayor,2.92,0.03,88323,7,COR,6.64,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Ángel Romero,12.0,9.0,4.0,8.0,20.0,6.0,,3.0,1.0,1.0,,,,,,,,,,
175,ayrton-lucas,0.0,262,2,A. Lucas,Ayrton Lucas Dantas de Medeiros,7.42,0.0,88393,6,FLA,10.72,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Ayrton Lucas,7.0,5.0,1.0,1.0,3.0,,5.0,1.0,,,1.0,,,,,,,,,
176,aderlan,0.0,277,2,Aderlan,Aderlan de Lima Silva,4.7,0.0,88423,6,SAN,6.64,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Aderlan,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
177,walace,0.0,283,4,Walace,Walace Souza Silva,0.03,-0.06,88479,2,CRU,2.6,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Walace,2.0,6.0,,,,,,1.0,,,,,,,,,,,,
178,leonardo-jardim,10.8,283,6,L. Jardim,José Leonardo Nunes Alves Sousa Jardim,7.37,0.36,88963,7,CRU,11.66,15,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Leonardo Jardim,,,,,,,,,,,,,,,,,,10.0,,
179,hector-hernandez,0.0,264,5,H. Hernández,Héctor José Hernández Marrero,2.18,0.0,89048,6,COR,4.39,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Héctor Hernández,5.0,4.0,2.0,2.0,3.0,2.0,,,,,1.0,,,,,,,,,
180,joao-pedro,0.0,284,2,J. Pedro,João Pedro Maturano dos Santos,2.43,0.0,89273,5,GRE,5.81,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,João Pedro,7.0,5.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,
181,william,10.0,283,2,William,Willian de Asevedo Furtado,8.64,0.53,89275,7,CRU,16.4,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,William,30.0,14.0,2.0,5.0,8.0,2.0,7.0,1.0,2.0,,,,,,,,,,,
182,matheus-sales,0.0,2305,4,M. Sales,Matheus de Sales Cabral,0.0,0.0,89285,6,MIR,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Matheus Sales,,,,,,,,,,,,,,,,,,,,
183,braithwaite,1.4,284,5,Braithwaite,Martin Christensen Braithwaite,5.69,-1.47,89368,6,GRE,12.92,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Braithwaite,8.0,12.0,6.0,6.0,13.0,2.0,,2.0,1.0,,4.0,,,1.0,,,,,,
184,igor-rabello,0.0,282,3,I. Rabello,Igor Rabello da Costa,3.53,0.0,89493,6,CAM,5.92,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Igor Rabello,1.0,3.0,,,,,2.0,,,,,,,,,,,,,
185,thiago-maia,0.0,285,4,T. Maia,Thiago Maia Alencar,3.29,0.03,89637,7,INT,5.16,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Thiago Maia,15.0,8.0,,2.0,5.0,,,1.0,1.0,,1.0,,,,,,,,,
186,calleri,0.0,276,5,Calleri,Jonathan Calleri,-0.77,0.0,89840,5,SAO,5.78,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Calleri,1.0,2.0,1.0,2.0,2.0,,,,,,,1.0,,,,,,,1.0,
187,cristaldo,2.0,284,4,Cristaldo,Franco Cristaldo,2.43,0.22,89846,6,GRE,6.62,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Cristaldo,6.0,4.0,3.0,3.0,18.0,1.0,,1.0,1.0,,,,,,,,,,,
188,dodi,2.0,284,4,Dodi,Douglas Moreira Fagundes,2.72,0.2,89883,6,GRE,4.76,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Dodi,16.0,10.0,,3.0,19.0,,,3.0,,,,,,,,,,,,
189,bruno-pacheco,0.0,356,2,B. Pacheco,Bruno de Jesus Pacheco,3.1,0.0,90061,5,FOR,7.99,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Bruno Pacheco,4.0,1.0,,,3.0,,,1.0,,,,,,,,,,,,
190,bruno-henrique,0.0,262,5,B. Henrique,Bruno Henrique Pinto,2.28,0.0,90285,7,FLA,6.05,13,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Bruno Henrique,7.0,13.0,6.0,7.0,12.0,6.0,,3.0,,,1.0,,,,,,,,,
191,juninho,1.1,262,5,Juninho,Olávio Vieira dos Santos Júnior,1.73,0.0,90307,6,FLA,4.55,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Juninho,3.0,5.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,,
192,david,4.6,267,5,David,David Correa da Fonseca,2.3,0.74,90309,6,VAS,6.17,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,David,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,
193,matheus-pereira,-0.4,356,4,M. Pereira,Matheus Pereira da Silva,-0.2,-0.72,90370,6,FOR,4.71,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Matheus Pereira,1.0,3.0,,,,,,1.0,,,,,,,,,,,,
194,rezende,0.0,265,4,Rezende,Júlio César de Rezende Miranda,3.9,0.0,90449,6,BAH,4.16,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Rezende,2.0,2.0,,,3.0,,,,,,,,,,,,,,,
195,caique,3.9,286,4,Caíque,Caique de Jesus Gonçalves,2.9,0.43,90588,6,JUV,4.83,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Caíque,13.0,10.0,,1.0,10.0,,,2.0,,,,,,,,,,,,
196,chico-da-costa,9.3,2305,5,C. Costa,Francisco da Costa Aragão,8.75,1.77,90608,2,MIR,8.64,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Chico da Costa,,2.0,,1.0,3.0,2.0,,,,,2.0,,,,,,,,,
197,matheuzinho,2.0,287,4,Matheuzinho,Matheus Martins Fogaça de Paulo,4.62,-0.39,90703,7,VIT,10.07,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Matheuzinho,15.0,10.0,7.0,1.0,34.0,1.0,,3.0,,,2.0,1.0,,,,,,,,
198,fabricio-bruno,5.9,283,3,F. Bruno,Fabrício Bruno Soares de Faria,4.63,-0.86,90768,7,CRU,8.7,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Fabrício Bruno,16.0,10.0,1.0,,5.0,,7.0,3.0,,,1.0,,,,,,,,,
199,carlos-eduardo,4.7,2305,5,C. Eduardo,Carlos Eduardo Ferreira de Souza,2.23,0.79,90917,6,MIR,4.54,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Carlos Eduardo,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,
200,ze-marcos,6.2,287,3,Z. Marcos,José Marcos Alves Luis,2.52,0.24,90943,7,VIT,4.33,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Zé Marcos,7.0,9.0,,,7.0,1.0,4.0,1.0,,,,,,,,,,,,
201,ronaldo,0.0,265,1,Ronaldo,Ronaldo de Oliveira Strada,3.68,0.0,91101,6,BAH,5.47,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Ronaldo,,,,,2.0,,,,,,,,1.0,,9.0,4.0,1.0,,,
202,fernandinho,0.0,354,5,Fernandinho,Fernando José Marques Maciel,3.03,0.0,91130,6,CEA,5.72,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernandinho,6.0,3.0,1.0,3.0,3.0,1.0,,1.0,,,,,,,,,,,,
203,kaio,11.5,263,3,Kaio,Kaio Fernando da Silva Pantaleão,9.47,1.57,91158,6,BOT,11.69,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Kaio,4.0,3.0,2.0,3.0,7.0,,3.0,,,,,,,,,,,,,
204,eder,0.0,354,3,Éder,Éder Ferreira Graminho,0.8,0.0,91203,6,CEA,2.9,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Éder,,,,1.0,,,,,,,,,,,,,,,,
205,carballo,0.0,284,4,Carballo,Felipe Ignacio Carballo Ares,0.0,0.0,91254,6,GRE,6.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Carballo,,,,,,,,,,,,,,,,,,,,
206,erick-pulgar,0.0,262,4,E. Pulgar,Erick Antonio Pulgar Farfán,2.89,0.0,91473,5,FLA,6.34,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Erick Pulgar,12.0,13.0,2.0,,7.0,,,2.0,,,1.0,,,,,,,,,
207,rodrigo-sam,0.0,286,3,R. Sam,Rodrigo Eduardo da Silva,2.04,0.0,91509,6,JUV,4.25,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Rodrigo Sam,8.0,8.0,,1.0,4.0,2.0,,2.0,,,,,,,,,,,,
208,arboleda,12.3,276,3,Arboleda,Robert Abel Arboleda Escobar,4.83,1.22,91573,7,SAO,9.53,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Arboleda,16.0,9.0,,4.0,6.0,2.0,3.0,2.0,,,1.0,,,,,,,,,
209,rony,3.9,282,5,Rony,Ronielson da Silva Barbosa,5.47,-0.62,91607,6,CAM,11.18,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Rony,14.0,26.0,13.0,7.0,26.0,12.0,,3.0,,1.0,3.0,,,1.0,,,,,,
210,dudu-vieira,0.0,286,4,D. Vieira,Carlos Eduardo de Souza Vieira,0.0,0.0,91627,6,JUV,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Dudu Vieira,,,,,,,,,,,,,,,,,,,,
211,igor-carius,4.6,292,2,I. Cariús,Igor Aquino da Silva,4.83,0.26,91639,7,SPT,8.04,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Igor Cariús,22.0,8.0,4.0,1.0,15.0,4.0,2.0,1.0,,,,,1.0,,,,,,,1.0
212,marlon,5.1,284,2,Marlon,Marlon Rodrigues Xavier,4.11,0.15,91706,6,GRE,7.1,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Marlon,19.0,12.0,1.0,,4.0,,3.0,2.0,,,,,,,,,,,,
213,david-duarte,1.2,265,3,D. Duarte,David de Duarte Macedo,2.51,0.13,91772,6,BAH,4.62,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,David Duarte,3.0,8.0,1.0,3.0,6.0,1.0,4.0,1.0,,,,,,,,,,,,
214,caique-franca,0.0,292,1,C. França,Caíque França Godoy,3.19,0.0,91808,7,SPT,5.71,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Caíque França,2.0,,,,1.0,,2.0,2.0,,,,,,,32.0,18.0,,,,
215,ze-ivaldo,3.8,277,3,Z. Ivaldo,José Ivaldo Almeida Silva,4.15,0.51,91866,6,SAN,6.89,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Zé Ivaldo,19.0,13.0,,10.0,9.0,3.0,2.0,4.0,,,1.0,,1.0,,,,,,,
216,pavon,6.0,284,5,Pavón,Cristian David Pavón,2.33,0.5,91908,6,GRE,5.42,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Pavón,5.0,5.0,4.0,3.0,7.0,,,3.0,1.0,,,,,,,,,,,
217,giovanny,0.0,286,5,Giovanny,Giovanny Bariani Marques,1.72,0.0,92085,6,JUV,3.2,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Giovanny,3.0,4.0,,5.0,10.0,1.0,,,1.0,,,,,,,,,,,
218,lyanco,1.9,282,3,Lyanco,Lyanco Evangelista Silveira Neves Vojnovic,5.61,-0.35,92087,6,CAM,8.52,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Lyanco,21.0,19.0,3.0,3.0,17.0,2.0,5.0,3.0,,,,2.0,,,,,,,,
219,arthur-cabral,1.6,263,5,A. Cabral,Arthur Mendonça Cabral,6.53,-1.59,92171,6,BOT,13.76,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Arthur Cabral,,1.0,3.0,3.0,6.0,1.0,,,,1.0,1.0,,,,,,,,,
220,juninho,0.0,285,3,Juninho,José Carlos Ferreira Júnior,2.12,0.0,92182,6,INT,4.2,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Juninho,4.0,1.0,1.0,4.0,3.0,,,1.0,,,,,,,,,,,,
221,rodrigo-ely,0.0,284,3,R. Ely,Rodrigo Ely,0.6,0.0,92237,5,GRE,4.75,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Rodrigo Ely,1.0,1.0,,,,,,,,,,,,,,,,,,
222,andre-ramalho,1.3,264,3,A. Ramalho,André Ramalho Silva,3.12,-0.92,92440,7,COR,5.69,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,André Ramalho,10.0,13.0,,2.0,3.0,,4.0,3.0,,,,,,,,,,,,
223,renato-kayzer,7.7,287,5,R. Kayzer,Renato Kayzer de Souza,5.9,0.95,92696,7,VIT,10.34,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Renato Kayzer,4.0,12.0,3.0,4.0,13.0,5.0,,,,,4.0,,,,,,,,,
224,daniel-paulista,4.39,292,6,D. Paulista,Daniel Pollo Barioni,3.74,0.47,92702,7,SPT,7.32,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Daniel Paulista,,,,,,,,,,,,,,,,,,,,
225,deyverson,0.0,356,5,Deyverson,Deyverson Brum Silva Acosta,3.04,0.0,92708,6,FOR,5.74,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Deyverson,3.0,9.0,3.0,9.0,10.0,2.0,,1.0,,2.0,1.0,,,,,,,,,
226,bruno-rodrigues,0.0,275,5,B. Rodrigues,Bruno Rafael Rodrigues do Nascimento,0.0,0.0,92811,6,PAL,6.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Bruno Rodrigues,,,,,,,,,,,,,,,,,,,,
227,borre,7.9,285,5,Borré,Rafael Santos Borré Maury,3.54,0.77,92854,7,INT,11.4,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Borré,4.0,5.0,2.0,5.0,2.0,4.0,,,1.0,1.0,2.0,,,,,,,,,
228,ronaldo,0.0,285,4,Ronaldo,Ronaldo da Silva Souza Guerrero,1.95,0.0,92981,6,INT,4.2,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ronaldo,19.0,20.0,2.0,2.0,2.0,2.0,,3.0,,,,1.0,,,,,,,,
229,rafael-ramos,3.8,354,2,R. Ramos,Rafael António Figueiredo Ramos,3.29,-0.02,93236,6,CEA,4.87,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Rafael Ramos,8.0,10.0,1.0,2.0,1.0,,3.0,1.0,,,,,,,,,,,,
230,joao-basso,0.0,277,3,J. Basso,João Othávio Basso,4.13,0.0,93372,7,SAN,7.22,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,João Basso,5.0,5.0,,,3.0,,2.0,1.0,,,,,,,,,,,,
231,cantalapiedra,0.0,287,5,Cantalapiedra,Aitor Cantalapiedra Fernández,0.0,0.0,93411,6,VIT,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Cantalapiedra,,,,,,,,,,,,,,,,,,,,
