,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
27,alan-patrick,14.1,285,4,A. Patrick,Alan Patrick Lourenço,6.76,1.7,68685,7,INT,15.07,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Alan Patrick,10.0,5.0,5.0,2.0,11.0,1.0,,3.0,4.0,,3.0,,,,,,,,,
28,eduardo,14.2,283,4,Eduardo,Carlos Eduardo de Oliveira Alves,1.29,2.41,68708,6,CRU,5.15,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Eduardo,6.0,9.0,1.0,2.0,3.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,
29,oscar,0.0,276,4,Oscar,Oscar dos Santos Emboaba Júnior,1.67,-0.95,68811,5,SAO,11.39,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Oscar,5.0,3.0,2.0,,4.0,,,1.0,,,,,,,,,,,,
30,marcelo-lomba,0.0,275,1,M. Lomba,Marcelo Lomba do Nascimento,0.0,0.0,68872,6,PAL,7.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Marcelo Lomba,,,,,,,,,,,,,,,,,,,,
31,philippe-coutinho,0.0,267,4,P. Coutinho,Philippe Coutinho Correia,3.15,0.0,68899,6,VAS,9.37,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Philippe Coutinho,1.0,8.0,10.0,9.0,16.0,,,,1.0,,,1.0,,,,,,,,
32,dudu,0.0,282,5,Dudu,Eduardo Pereira Rodrigues,2.57,0.0,68920,6,CAM,8.39,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Dudu,4.0,5.0,,,11.0,,,,,,1.0,,,,,,,,,
33,gil,0.0,277,3,Gil,Carlos Gilberto do Nascimento Silva,2.25,0.0,68923,6,SAN,5.06,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Gil,7.0,7.0,,2.0,1.0,,1.0,2.0,,,,,,,,,,,,
34,rafael,10.2,276,1,Rafael,Rafael Pires Monteiro,4.48,1.36,68928,7,SAO,10.54,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael,1.0,,,,5.0,,3.0,2.0,,,,,,,49.0,18.0,,,,
35,marinho,11.4,356,5,Marinho,Mário Sérgio Santos Costa,3.57,2.0,68952,6,FOR,7.97,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Marinho,6.0,17.0,3.0,5.0,15.0,9.0,,1.0,2.0,,1.0,1.0,,,,,,,,
36,lucas-sasha,3.2,356,4,L. Sasha,Lucas Pacheco Affini,6.36,-0.5,68991,6,FOR,8.29,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Lucas Sasha,37.0,15.0,2.0,1.0,8.0,,,1.0,,,,,,,,,,,,
