,atletas.posicao_id,atletas.apelido,atletas.variacao_num,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.clube.id.full.name,atletas.status_id,atletas.entrou_em_campo,atletas.slug,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.pontos_num,CA,DS,FC,FF,FS,G,I,FD,SG,A,PS,FT,V,CV,DE,DP,GS,PC,PP,GC
59,1,Everson,0.14,9.14,23,20,4.23,Everson Felipe Marques Pires,CAM,7,True,everson,72294,Everson,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.2,5.0,,,,4.0,,,,7.0,,,,,,58.0,,23.0,,,
60,3,Luiz Otávio,0.0,4.0,23,0,0.0,Luiz Otávio Anacleto Leandro,CEA,5,False,luiz-otavio,72359,L. Otávio,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,
61,6,Fernando Diniz,-0.21,9.55,23,13,5.3,Fernando Diniz Silva,VAS,7,True,fernando-diniz,72391,F. Diniz,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4.58,,,,,,,,,,,,,4.0,,,,,,,
62,4,Bernard,0.0,3.46,23,14,0.81,Bernard Anício Caldeira Duarte,CAM,6,False,bernard,72460,Bernard,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,1.0,8.0,6.0,1.0,3.0,,1.0,,,,,,,,,,,,,
63,2,Alex Telles,0.0,10.51,23,17,5.59,Alex Nicolao Telles,BOT,7,False,alex-telles,72493,A. Telles,263,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,1.0,8.0,16.0,7.0,10.0,2.0,1.0,2.0,10.0,2.0,,,,,,,,,,
64,5,Pedro Henrique,1.18,7.98,23,14,3.73,Pedro Henrique Konzen Medina da Silva,CEA,6,True,pedro-henrique,72583,P. Henrique,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,9.4,4.0,16.0,19.0,9.0,12.0,2.0,6.0,6.0,,,,1.0,,,,,,1.0,,
65,3,Vitor Hugo,1.74,8.32,23,8,4.9,Vitor Hugo Franchescoli de Souza,CAM,6,True,vitor-hugo,72605,V. Hugo,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,9.8,1.0,12.0,2.0,3.0,1.0,,1.0,,4.0,,,,,,,,,,,
66,3,Wilker Ángel,-0.59,2.98,23,14,1.55,Wílker José Ángel Romero,JUV,7,True,wilker-angel,72801,W. Ángel,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.5,4.0,5.0,22.0,3.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,,1.0,,
67,3,Mercado,0.0,6.6,23,1,2.9,Gabriel Iván Mercado,INT,6,False,mercado,72951,Mercado,285,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,
68,2,Daniel Borges,0.0,4.38,23,8,3.72,Daniel Fortunato Borges,MIR,6,False,daniel-borges,73318,D. Borges,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,2.0,3.0,6.0,2.0,3.0,2.0,,,2.0,,,,,,,,,,,
69,2,Samuel Xavier,0.0,8.3,23,14,4.32,Samuel Xavier Brito,FLU,5,False,samuel-xavier,73384,S. Xavier,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,3.0,10.0,17.0,3.0,18.0,2.0,,1.0,4.0,1.0,,,,,,,,,,
70,4,Gabriel,0.0,6.44,23,15,3.07,Gabriel Santana Pinto,MIR,6,False,gabriel,73515,Gabriel,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,2.0,3.0,5.0,4.0,15.0,3.0,5.0,4.0,,1.0,1.0,,,,,,,,,
71,4,Guilherme Marques,0.0,5.0,23,0,0.0,Guilherme Costa Marques,MIR,6,False,guilherme-marques,73781,G. Marques,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,
72,4,Rincón,0.0,3.46,23,13,0.96,Tomás Eduardo Rincón Hernández,SAN,7,False,rincon,74187,Rincón,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,4.0,13.0,23.0,5.0,6.0,,,,,,,,,1.0,,,,,,
73,4,Carrillo,0.0,6.96,23,15,3.06,André Martín Carrillo Díaz,COR,5,False,carrillo,77485,Carrillo,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,1.0,19.0,18.0,5.0,12.0,1.0,2.0,1.0,,1.0,,,,,,,,,,
74,2,Cédric Soares,0.69,7.53,23,19,3.51,Cédric Ricardo Alves Soares,SAO,7,True,cedric-soares,77656,C. Soares,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,7.7,1.0,20.0,10.0,2.0,8.0,,,,5.0,2.0,,,,,,,,,,
75,4,Sérgio Oliveira,0.0,8.59,23,8,4.6,Sérgio Miguel Relvas de Oliveira,SPT,6,False,sergio-oliveira,77664,S. Oliveira,292,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,3.0,14.0,12.0,6.0,6.0,1.0,,3.0,,,,1.0,,,,,,,,
76,5,Romarinho,-1.12,7.28,23,2,2.65,Romário Ricardo da Silva,VIT,6,True,romarinho,77738,Romarinho,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,,2.0,,1.0,3.0,,,,,,,,,,,,,,,
77,4,João Schmidt,-0.32,4.41,23,16,1.9,João Felipe Schmidt Urbano,SAN,7,True,joao-schmidt,77777,J. Schmidt,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1.0,4.0,19.0,28.0,6.0,7.0,,1.0,1.0,,1.0,,,,,,,,,,
78,5,Everaldo,0.0,3.65,23,17,1.88,Everaldo Stum,FLU,6,False,everaldo,78117,Everaldo,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,1.0,3.0,17.0,9.0,11.0,2.0,1.0,5.0,,,,1.0,,,,,,,1.0,
79,3,Gustavo Henrique,0.37,7.08,23,10,3.8,Gustavo Henrique Vernes,COR,7,True,gustavo-henrique,78248,G. Henrique,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.4,1.0,10.0,8.0,2.0,4.0,1.0,,4.0,2.0,,,,,,,,,,,
80,5,Vitinho,-1.02,6.71,23,4,2.05,Victor Vinícius Coelho dos Santos,COR,2,True,vitinho,78435,Vitinho,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,,4.0,3.0,,4.0,,1.0,1.0,,,,,,,,,,,,
81,2,Renê,0.0,10.15,23,13,6.48,Renê Rodrigues Martins,FLU,6,False,rene,78445,Renê,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,,35.0,11.0,2.0,11.0,1.0,,,4.0,,,,,,,,,,,
82,4,Willian Arão,0.0,7.19,23,1,-0.3,Willian Souza Arão da Silva,SAN,6,False,willian-arao,78478,W. Arão,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,,,1.0,,,,,,,,,,,,,,,,,
83,4,Gabriel,0.6,6.11,23,20,3.15,Gabriel Girotto Franco,RBB,7,True,gabriel,78605,Gabriel,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,5.4,7.0,35.0,30.0,5.0,20.0,1.0,,1.0,,,,1.0,,,,,,,,
84,2,Reinaldo,-0.22,10.72,23,20,7.26,Reinaldo Manoel da Silva,MIR,7,True,reinaldo,78850,Reinaldo,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,10.0,3.0,23.0,18.0,9.0,15.0,7.0,,7.0,6.0,3.0,,,,,,,,1.0,1.0,
85,1,Richard,0.0,4.53,23,0,-1.0,Richard de Oliveira Costa,CEA,6,False,richard,78851,Richard,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,1.0,,,,,,,,,,,,,,,,,,,
