,atletas.apelido_abreviado,atletas.preco_num,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.foto,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.variacao_num,CA,DS,FC,FD,FF,FS,G,I,SG,A,DE,GS,PS,FT,V,CV,DP,PC,PP,GC
193,Matheuzinho,9.07,90703,287,Matheus Martins Fogaça de Paulo,6,False,Matheuzinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.91,matheuzinho,4,34,0.0,VIT,24,0.0,4.0,21.0,15.0,13.0,4.0,53.0,3.0,2.0,,1.0,,,,,,1.0,,,,
194,F. Bruno,8.66,90768,283,Fabrício Bruno Soares de Faria,7,True,Fabrício Bruno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5.13,fabricio-bruno,3,34,2.5,CRU,30,-1.35,7.0,35.0,23.0,3.0,8.0,19.0,3.0,,15.0,,,,,,,1.0,,,,
195,C. Eduardo,4.64,90917,2305,Carlos Eduardo Ferreira de Souza,6,True,Carlos Eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.76,carlos-eduardo,5,34,3.0,MIR,20,0.43,2.0,11.0,13.0,6.0,4.0,21.0,1.0,3.0,,3.0,,,1.0,,,,,,,
196,Z. Marcos,4.2,90943,287,José Marcos Alves Luis,7,False,Zé Marcos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2.3,ze-marcos,3,34,0.0,VIT,25,0.0,6.0,12.0,24.0,,1.0,18.0,1.0,2.0,7.0,,,,,,,,,,,
197,Ronaldo,6.44,91101,265,Ronaldo de Oliveira Strada,7,True,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.62,ronaldo,1,34,-0.4,BAH,22,-0.51,1.0,,,,,5.0,,,6.0,1.0,64.0,31.0,,,,,2.0,1.0,,
198,Fernandinho,5.43,91130,354,Fernando José Marques Maciel,6,True,Fernandinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.17,fernandinho,5,34,0.7,CEA,16,-0.32,2.0,20.0,14.0,4.0,7.0,18.0,,4.0,,1.0,,,,1.0,,,,,,
199,Kaio,8.62,91158,263,Kaio Fernando da Silva Pantaleão,5,False,Kaio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.88,kaio,3,34,0.0,BOT,9,0.0,,10.0,8.0,2.0,5.0,10.0,,1.0,4.0,,,,,,,,,,,
200,Éder,2.82,91203,354,Éder Ferreira Graminho,6,False,Éder,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.8,eder,3,34,0.0,CEA,2,0.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
201,E. Pulgar,5.89,91473,262,Erick Antonio Pulgar Farfán,3,True,Erick Pulgar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,2.0,erick-pulgar,4,34,1.9,FLA,14,0.3,5.0,15.0,21.0,3.0,1.0,9.0,1.0,,,,,,,,,,,,,
202,R. Sam,4.26,91509,286,Rodrigo Eduardo da Silva,7,False,Rodrigo Sam,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.88,rodrigo-sam,3,34,0.0,JUV,12,0.0,5.0,16.0,21.0,2.0,3.0,13.0,,4.0,2.0,,,,1.0,,,,,,,
203,Arboleda,8.74,91573,276,Robert Abel Arboleda Escobar,5,False,Arboleda,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.41,arboleda,3,34,0.0,SAO,22,0.0,4.0,37.0,18.0,,8.0,13.0,3.0,3.0,7.0,,,,1.0,,,,,,,
204,Rony,11.7,91607,282,Ronielson da Silva Barbosa,6,False,Rony,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.51,rony,5,34,0.0,CAM,28,0.0,4.0,21.0,39.0,18.0,15.0,49.0,5.0,17.0,,2.0,,,1.0,1.0,,,,,,
205,D. Vieira,3.0,91627,286,Carlos Eduardo de Souza Vieira,6,False,Dudu Vieira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,dudu-vieira,4,34,0.0,JUV,0,0.0,,,,,,,,,,,,,,,,,,,,
206,I. Cariús,7.67,91639,292,Igor Aquino da Silva,3,False,Igor Cariús,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.51,igor-carius,2,34,0.0,SPT,22,0.0,2.0,38.0,25.0,6.0,5.0,24.0,1.0,5.0,5.0,,,,,,,,,1.0,,1.0
207,Marlon,8.6,91706,284,Marlon Rodrigues Xavier,7,True,Marlon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.33,marlon,2,34,7.5,GRE,26,-0.6,5.0,54.0,21.0,5.0,6.0,32.0,1.0,1.0,5.0,2.0,,,,,,,,1.0,,
208,D. Duarte,5.39,91772,265,David de Duarte Macedo,6,True,David Duarte,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3.31,david-duarte,3,34,2.3,BAH,25,-0.32,4.0,11.0,20.0,3.0,10.0,8.0,1.0,2.0,9.0,1.0,,,,1.0,,,,,,
209,C. França,6.53,91808,292,Caíque França Godoy,7,False,Caíque França,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3.52,caique-franca,1,34,0.0,SPT,12,0.0,2.0,2.0,,,,1.0,,,2.0,,39.0,20.0,,,,,,,,
210,Z. Ivaldo,6.64,91866,277,José Ivaldo Almeida Silva,3,True,Zé Ivaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.55,ze-ivaldo,3,34,3.9,SAN,17,0.66,6.0,23.0,16.0,1.0,11.0,16.0,1.0,3.0,3.0,,,,,,,1.0,,1.0,,
211,Pavón,5.13,91908,284,Cristian David Pavón,6,True,Pavón,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.42,pavon,5,34,4.0,GRE,22,0.44,7.0,20.0,12.0,7.0,12.0,13.0,,2.0,,2.0,,,,,,,,,,
212,R. Díaz,9.3,92075,285,Ramón Ángel Díaz,7,True,Ramón Díaz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5.11,ramon-diaz,6,34,5.11,INT,14,0.06,,,,,,,,,,,,,,,4.0,,,,,
213,Giovanny,4.0,92085,286,Giovanny Bariani Marques,6,True,Giovanny,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.07,giovanny,5,34,4.7,JUV,16,0.11,2.0,5.0,7.0,3.0,8.0,14.0,,2.0,,2.0,,,,1.0,,,,,,
214,Lyanco,8.87,92087,282,Lyanco Evangelista Silveira Neves Vojnovic,5,False,Lyanco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.08,lyanco,3,34,0.0,CAM,15,0.0,5.0,32.0,25.0,3.0,6.0,19.0,,2.0,6.0,,,,,,,2.0,,1.0,,
215,A. Cabral,10.79,92171,263,Arthur Mendonça Cabral,6,False,Arthur Cabral,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.19,arthur-cabral,5,34,0.0,BOT,16,0.0,,8.0,25.0,8.0,11.0,23.0,3.0,4.0,,1.0,,,1.0,1.0,,,,,,
216,J. Ventura,9.72,92180,287,Jair Ventura,7,False,Jair Ventura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5.25,jair-ventura,6,34,0.0,VIT,9,0.0,,,,,,,,,,,,,,,4.0,,,,,
217,Juninho,4.45,92182,285,José Carlos Ferreira Júnior,6,True,Juninho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.85,juninho,3,34,0.0,INT,18,-0.45,5.0,21.0,13.0,3.0,6.0,11.0,,,3.0,,,,,,,,,,,
218,R. Ely,4.75,92237,284,Rodrigo Ely,5,False,Rodrigo Ely,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.6,rodrigo-ely,3,34,0.0,GRE,2,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,
219,A. Ramalho,6.6,92440,264,André Ramalho Silva,7,False,André Ramalho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.75,andre-ramalho,3,34,0.0,COR,20,0.0,4.0,24.0,19.0,2.0,9.0,10.0,,,7.0,,,,,,,,,1.0,,
220,R. Kayzer,8.58,92696,287,Renato Kayzer de Souza,2,False,Renato Kayzer,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4.21,renato-kayzer,5,34,0.0,VIT,25,0.0,3.0,9.0,35.0,6.0,13.0,44.0,8.0,16.0,,,,,,1.0,,,,,,
221,Deyverson,6.67,92708,356,Deyverson Brum Silva,6,True,Deyverson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.02,deyverson,5,34,9.2,FOR,20,1.4,2.0,6.0,13.0,5.0,13.0,22.0,3.0,3.0,,,,,,2.0,,,,,,
222,B. Rodrigues,4.41,92811,275,Bruno Rafael Rodrigues do Nascimento,6,False,Bruno Rodrigues,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1.74,bruno-rodrigues,5,34,0.0,PAL,5,0.0,,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
223,Borré,10.21,92854,285,Rafael Santos Borré Maury,7,True,Borré,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,3.85,borre,5,34,5.1,INT,25,-0.29,3.0,23.0,34.0,7.0,18.0,17.0,5.0,10.0,,1.0,,,,1.0,,1.0,,,,
224,Ronaldo,3.64,92981,285,Ronaldo da Silva Souza Guerrero,5,False,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1.78,ronaldo,4,34,0.0,INT,15,0.0,4.0,23.0,21.0,2.0,2.0,3.0,,2.0,,,,,,,,1.0,,,,
225,R. Ramos,6.01,93236,354,Rafael António Figueiredo Ramos,6,False,Rafael Ramos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.78,rafael-ramos,2,34,0.0,CEA,17,0.0,3.0,24.0,20.0,1.0,5.0,4.0,,,6.0,,,,,,,,,,,
226,J. Basso,7.74,93372,277,João Othávio Basso,7,False,João Basso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.42,joao-basso,3,34,0.0,SAN,6,0.0,2.0,7.0,10.0,,,6.0,1.0,,2.0,,,,,,,,,,,
227,Cantalapiedra,7.31,93411,287,Aitor Cantalapiedra Fernández,7,False,Cantalapiedra,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5.1,cantalapiedra,5,34,0.0,VIT,14,0.0,1.0,12.0,4.0,7.0,5.0,13.0,2.0,3.0,,3.0,,,,2.0,,,,,,
228,Wanderson,4.66,93478,283,Wanderson Maciel Sousa Campos,6,False,Wanderson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.91,wanderson,5,34,0.0,CRU,27,0.0,2.0,11.0,26.0,10.0,16.0,15.0,,6.0,,2.0,,,,1.0,,,,,,
229,P. Henrique,11.96,93716,267,Paulo Henrique de Oliveira Alves,7,False,Paulo Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7.68,paulo-henrique,2,34,0.0,VAS,23,0.0,8.0,70.0,45.0,7.0,5.0,22.0,1.0,1.0,6.0,6.0,,,,2.0,,1.0,,1.0,,
230,M. Freitas,5.14,93790,263,Marlon Rodrigues Freitas,7,False,Marlon Freitas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.0,marlon-freitas,4,34,0.0,BOT,27,0.0,7.0,24.0,28.0,5.0,11.0,8.0,,,,3.0,,,,,,,,,,
231,Keiller,3.0,93834,354,Keiller da Silva Nunes,6,False,Keiller,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,keiller,1,34,0.0,CEA,0,0.0,,,,,,,,,,,,,,,,,,,,
232,Cleiton,8.32,93882,280,Cleiton Schwengber,7,False,Cleiton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.17,cleiton,1,34,0.0,RBB,29,0.0,5.0,,,,,9.0,,,7.0,,98.0,41.0,,,,,,,,
233,Matheusinho,7.01,93886,292,Matheus Leonardo Sales Cardoso,7,False,Matheusinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3.92,matheusinho,4,34,0.0,SPT,18,0.0,1.0,17.0,14.0,4.0,8.0,22.0,2.0,2.0,,3.0,,,,,,1.0,,,,
234,B. Lopes,8.11,93988,356,Breno Henrique Vasconcelos Lopes,6,True,Breno Lopes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4.71,breno-lopes,5,34,7.5,FOR,25,0.44,4.0,13.0,11.0,11.0,18.0,43.0,5.0,16.0,,3.0,,,,1.0,,,,,,
235,M. Fernandes,5.49,94067,280,Matheus Fernandes Siqueira,5,False,Matheus Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,2.35,matheus-fernandes,4,34,0.0,RBB,16,0.0,3.0,21.0,18.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,
236,Maycon,4.38,94154,264,Maycon de Andrade Barberan,7,False,Maycon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,2.35,maycon,4,34,0.0,COR,23,0.0,3.0,20.0,14.0,,6.0,5.0,3.0,,,,,,,,,,,,,
237,Guilherme,9.11,94207,277,Guilherme Augusto Vieira dos Santos,7,True,Guilherme,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5.43,guilherme,5,34,1.5,SAN,27,-0.13,,34.0,13.0,13.0,24.0,47.0,4.0,12.0,,2.0,,,,,,,,,,
238,M. Babi,3.63,94444,286,Matheus Barcelos da Silva,6,False,Matheus Babi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.8,matheus-babi,5,34,0.0,JUV,15,0.0,4.0,7.0,14.0,,4.0,12.0,2.0,4.0,,,,,,,,,,,,
239,R. Veiga,9.88,94509,275,Raphael Cavalcante Veiga,7,False,Raphael Veiga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,2.78,raphael-veiga,4,34,0.0,PAL,20,0.0,1.0,12.0,18.0,5.0,7.0,27.0,1.0,,,2.0,,,1.0,,,,,,,
240,L. Oliveira,4.15,94514,267,Lucas da Cruz Oliveira,6,False,Lucas Oliveira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1.85,lucas-oliveira,3,34,0.0,VAS,6,0.0,1.0,2.0,3.0,,,,,,2.0,,,,,,,,,,,
241,Pedro,17.97,94583,262,Pedro Guilherme Abreu dos Santos,5,False,Pedro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,7.74,pedro,5,34,0.0,FLA,21,0.0,3.0,10.0,14.0,14.0,4.0,16.0,12.0,2.0,,6.0,,,2.0,1.0,,,,,1.0,
242,L. Fernandes,4.58,94931,286,Lucas Fernandes da Silva,7,False,Lucas Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.04,lucas-fernandes,4,34,0.0,JUV,5,0.0,,5.0,5.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,
243,J. Capixaba,10.38,94968,280,Luis Antônio da Rocha Júnior,7,False,Juninho Capixaba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,6.45,juninho-capixaba,2,34,0.0,RBB,19,0.0,3.0,39.0,27.0,5.0,10.0,37.0,1.0,2.0,7.0,,,,,,,,,,,
244,G. Bahia,3.56,95106,263,Gabriel Henrique Feitosa da Silva,6,False,Gabriel Bahia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1.73,gabriel-bahia,3,34,0.0,BOT,3,0.0,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,,,
245,Nicolas,5.96,95127,354,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,6,False,Nicolas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.44,nicolas,2,34,0.0,CEA,12,0.0,1.0,12.0,9.0,1.0,3.0,7.0,,,4.0,,,,,,,,,,,
246,G. Taliari,11.35,95131,286,Gabriel Pereira Taliari,7,True,Gabriel Taliari,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4.81,gabriel-taliari,5,34,25.2,JUV,28,2.99,7.0,22.0,50.0,8.0,16.0,55.0,6.0,5.0,,4.0,,,,2.0,,,,,,
247,Giraldo,1.83,95354,286,Daniel Eduardo Giraldo Cárdenas,6,False,Giraldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.3,giraldo,4,34,0.0,JUV,13,0.0,3.0,6.0,17.0,,2.0,3.0,,1.0,,,,,,,,,,,,
248,Rivera,5.21,95357,292,Christian Hernando Rivera Cuéllar,7,False,Rivera,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.76,rivera,4,34,0.0,SPT,27,0.0,6.0,56.0,64.0,,1.0,30.0,,3.0,,,,,,,,,,,,
249,I. Vinícius,6.6,95466,277,Igor Vinícius de Souza,7,True,Igor Vinícius,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.35,igor-vinicius,2,34,2.9,SAN,19,0.29,5.0,35.0,25.0,3.0,3.0,15.0,,,2.0,,,,,,,,,,,
250,Raniele,6.09,95556,264,Raniele Almeida Melo,6,False,Raniele,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4.14,raniele,4,34,0.0,COR,26,0.0,6.0,52.0,33.0,4.0,6.0,46.0,1.0,,,1.0,,,,,,,,,,
251,M. Benevenuto,5.0,95638,356,Marcelo da Conceição Benevenuto Malaquias,6,False,Marcelo Benevenuto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,marcelo-benevenuto,3,34,0.0,FOR,0,0.0,,,,,,,,,,,,,,,,,,,,
252,L. Kal,2.34,95662,292,Lucas Kal Schenfeld Prigioli,7,False,Lucas Kal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.15,lucas-kal,4,34,0.0,SPT,7,0.0,,2.0,8.0,,,1.0,,,,,,,,,,,,,,
253,Artur,9.26,95799,263,Artur Victor Guimarães,7,False,Artur,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.03,artur,5,34,0.0,BOT,21,0.0,3.0,10.0,13.0,6.0,14.0,22.0,3.0,1.0,,4.0,,,,1.0,,,,,,
254,D. Fuzato,2.04,95936,267,Daniel Cerântula Fuzato,6,False,Daniel Fuzato,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,-0.7,daniel-fuzato,1,34,0.0,VAS,2,0.0,,,,,,,,,,,2.0,4.0,,,,,,,,
255,Lima,4.53,96340,266,Vinícius Moreira de Lima,6,False,Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,2.09,lima,4,34,0.0,FLU,24,0.0,2.0,6.0,17.0,4.0,8.0,26.0,2.0,1.0,,1.0,,,,1.0,,,,,,
256,Charles,3.08,96342,264,Charles Rigon Mattos,6,True,Charles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,1.48,charles,4,34,0.5,COR,16,0.4,2.0,16.0,17.0,1.0,,4.0,1.0,2.0,,,,,,,,1.0,,1.0,,
257,J. Correa,8.43,96353,263,Carlos Joaquín Correa,6,False,Joaquín Correa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,3.18,joaquin-correa,5,34,0.0,BOT,16,0.0,2.0,9.0,10.0,7.0,6.0,19.0,2.0,2.0,,,,,1.0,1.0,,,,,,
258,M. Pereira,14.34,96610,283,Matheus Fellipe Costa Pereira,7,False,Matheus Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7.05,matheus-pereira,4,34,0.0,CRU,31,0.0,6.0,39.0,34.0,19.0,20.0,99.0,6.0,7.0,,7.0,,,,2.0,,,,,,
259,Allan,2.22,96652,262,Allan Rodrigues de Souza,6,False,Allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.56,allan,4,34,0.0,FLA,13,0.0,2.0,5.0,19.0,2.0,2.0,7.0,,,,,,,,,,,,,,
260,Rigoni,3.93,96684,276,Emiliano Ariel Rigoni,6,False,Rigoni,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1.23,rigoni,5,34,0.0,SAO,7,0.0,1.0,,5.0,2.0,4.0,2.0,,5.0,,1.0,,,,1.0,,1.0,,,,
261,Saravia,6.27,96725,282,Renzo Saravia,6,False,Saravia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,3.31,saravia,2,34,0.0,CAM,12,0.0,2.0,8.0,15.0,,2.0,5.0,,,6.0,,,,,,,,,,,
262,Camutanga,6.08,96793,287,Cleidson Andrade da Souza Silva,7,False,Camutanga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.46,camutanga,3,34,0.0,VIT,10,0.0,6.0,15.0,13.0,2.0,4.0,3.0,,1.0,3.0,,,,,,,,,,,
263,Carlinhos,3.51,96831,287,Carlos Moisés de Lima,6,False,Carlinhos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.92,carlinhos,5,34,0.0,VIT,6,0.0,2.0,1.0,8.0,,4.0,1.0,1.0,3.0,,,,,,,,1.0,,,,
264,E. Royal,10.19,96870,262,Emerson Aparecido Leite de Souza Júnior,2,True,Emerson Royal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5.78,emerson-royal,2,34,2.2,FLA,13,-0.65,1.0,23.0,16.0,4.0,2.0,24.0,1.0,,3.0,1.0,,,,,,,,,,
265,Guruceaga,4.0,96874,286,Gastón Guruceaga Fagúndez,6,False,Guruceaga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,guruceaga,1,34,0.0,JUV,0,0.0,,,,,,,,,,,,,,,,,,,,
266,C. Cuesta,8.79,97095,267,Carlos Eccehomo Cuesta Figueroa,7,False,Carlos Cuesta,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4.53,carlos-cuesta,3,34,0.0,VAS,9,0.0,2.0,10.0,11.0,2.0,1.0,2.0,1.0,1.0,4.0,,,,,,,,,1.0,,
267,Villasanti,9.45,97145,284,Mathías Adalberto Villasanti Rolón,5,False,Villasanti,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.93,villasanti,4,34,0.0,GRE,15,0.0,5.0,42.0,24.0,,4.0,10.0,,,,,,,,,,,,,,
