,atletas.apelido_abreviado,atletas.preco_num,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.foto,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.variacao_num,CA,DS,FC,FD,FF,FS,G,I,SG,A,DE,GS,PS,FT,V,CV,DP,PC,PP,GC
38,Danilo,10.65,69783,262,Danilo Luiz da Silva,2,True,Danilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.32,danilo,3,34,1.5,FLA,17,-0.25,2.0,11.0,15.0,2.0,2.0,5.0,1.0,,7.0,,,,,,,1.0,,,,
39,L. Moura,6.13,70164,276,Lucas Rodrigues Moura da Silva,5,False,Lucas Moura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.52,lucas-moura,4,34,0.0,SAO,10,0.0,,6.0,5.0,2.0,6.0,11.0,2.0,1.0,,,,,,,,,,1.0,,
40,B. Uvini,4.0,70221,287,Bruno Uvini Bortolança,6,False,Bruno Uvini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,bruno-uvini,3,34,0.0,VIT,0,0.0,,,,,,,,,,,,,,,,,,,,
41,E. Sasha,8.87,70360,280,Eduardo Colcenti Antunes,7,False,Eduardo Sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.24,eduardo-sasha,5,34,0.0,RBB,28,0.0,6.0,10.0,9.0,21.0,14.0,31.0,6.0,3.0,,2.0,,,,2.0,,1.0,,,,
42,Gabriel,5.34,70449,292,Gabriel Vasconcelos Ferreira,3,False,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.23,gabriel,1,34,0.0,SPT,20,0.0,2.0,,,,,3.0,,,3.0,,80.0,34.0,,,,,,,,
43,F. Anderson,7.55,70592,275,Felipe Anderson Pereira Gomes,7,False,Felipe Anderson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.92,felipe-anderson,4,34,0.0,PAL,26,0.0,,48.0,12.0,6.0,10.0,15.0,3.0,2.0,,2.0,,,,1.0,,,,,,
44,Marllon,6.99,70666,354,Marllon Gonçalves Jerônimo Borges,6,False,Marllon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.48,marllon,3,34,0.0,CEA,21,0.0,3.0,14.0,13.0,,4.0,10.0,2.0,,7.0,,,,,,,,,,,
45,J. Sampaoli,10.91,70800,282,Jorge Sampaoli,6,False,Jorge Sampaoli,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.68,jorge-sampaoli,6,34,0.0,CAM,10,0.0,,,,,,,,,,,,,,,4.0,,,,,
46,D. Barbosa,7.43,70916,356,Diogo Barbosa Mendanha,6,False,Diogo Barbosa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.87,diogo-barbosa,2,34,-1.0,FOR,13,0.02,2.0,15.0,6.0,,4.0,11.0,1.0,,3.0,,,,,,,,,,,
47,B. Henrique,5.73,70944,285,Bruno Henrique Corsini,7,False,Bruno Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.7,bruno-henrique,4,34,0.0,INT,24,0.0,1.0,30.0,34.0,3.0,9.0,13.0,2.0,,,,,,1.0,,,1.0,,,,
48,T. Mendes,4.05,71123,267,Thiago Henrique Mendes Ribeiro,6,True,Thiago Mendes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.36,thiago-mendes,4,34,1.2,VAS,5,-0.3,1.0,2.0,4.0,,,2.0,,,,,,,,,,,,,,
49,Vina,4.39,71162,354,Vinícius Goes Barbosa de Souza,3,True,Vina,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.87,vina,4,34,-1.8,CEA,12,-0.71,2.0,4.0,8.0,6.0,7.0,6.0,,,,1.0,,,,1.0,,1.0,,,,
50,L. Gustavo,8.02,71536,276,Luiz Gustavo Dias,7,True,Luiz Gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.5,luiz-gustavo,4,34,1.4,SAO,8,-0.23,,10.0,12.0,,2.0,8.0,1.0,,,,,,,1.0,,,,,,
51,F. Miguel,7.02,71571,354,Fernando Miguel Kaufmann,6,False,Fernando Miguel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6.18,fernando-miguel,1,34,0.0,CEA,6,0.0,,,,,,6.0,,,3.0,,17.0,3.0,,,,,,,,
52,Weverton,7.96,71631,275,Weverton Pereira da Silva,6,False,Weverton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.36,weverton,1,34,0.0,PAL,25,0.0,2.0,,,,,10.0,,,9.0,,57.0,20.0,,,,,1.0,,,
53,R. Cáceres,4.54,71680,287,Raúl Alejandro Cáceres Bogado,7,False,Raúl Cáceres,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.25,raul-caceres,2,34,0.0,VIT,15,0.0,6.0,8.0,20.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,,,,,,,,1.0,,
54,G. Gómez,8.85,71684,275,Gustavo Raúl Gómez Portillo,7,False,Gustavo Gómez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.9,gustavo-gomez,3,34,0.0,PAL,24,0.0,8.0,32.0,29.0,2.0,9.0,13.0,2.0,9.0,10.0,1.0,,,,,,,,,,
55,S. Arias,6.04,71701,265,Santiago Arias Naranjo,2,False,Santiago Arias,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,2.77,santiago-arias,2,34,0.0,BAH,17,0.0,3.0,16.0,8.0,3.0,3.0,19.0,,1.0,3.0,,,,,,,,,2.0,,
