,atletas.apelido,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.pontos_num,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.foto,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
35,Rafael,Rafael,True,rafael,276,9.53,9,-0.53,4.11,7,8,0.6,Rafael Pires Monteiro,SAO,68928,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,2.0,,,,,4.0,,,,23.0,7.0,,,,2.0,,,,
36,Marinho,Marinho,True,marinho,356,5.62,9,-2.27,2.08,3,5,-3.6,Mário Sérgio Santos Costa,FOR,68952,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.0,,1.0,8.0,,1.0,8.0,5.0,,,,,,1.0,,,,,,
37,Lucas Sasha,L. Sasha,True,lucas-sasha,356,8.3,9,-0.68,6.71,5,7,4.5,Lucas Pacheco Affini,FOR,68991,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,,30.0,13.0,2.0,,7.0,,,,,,,,,,,,,
38,Willian José,W. José,True,willian-jose,265,6.24,9,-0.34,1.5,2,7,0.0,Willian José da Silva,BAH,68996,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,,,2.0,1.0,3.0,3.0,,,2.0,,,,,,,,,,
39,Manoel,Manoel,False,manoel,266,5.0,9,0.0,0.0,6,0,0.0,Manoel Messias Silva Carvalho,FLU,69014,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,,,,,,,,,,,,,,,,,
40,Danilo Fernandes,D. Fernandes,False,danilo-fernandes,265,4.0,9,0.0,0.0,6,0,0.0,Danilo Fernandes Batista,BAH,69051,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,,,,,,,,,,,,,,,,,,,
41,Pablo,Pablo,False,pablo,292,7.26,9,0.0,3.88,6,5,0.0,Pablo Felipe Teixeira,SPT,69138,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,1.0,4.0,3.0,1.0,3.0,8.0,3.0,1.0,,,,,,,,,,,
42,Allan,Allan,True,allan,263,3.31,9,-0.95,-0.1,6,3,-1.5,Allan Marques Loureiro,BOT,69140,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,,1.0,1.0,6.0,,,2.0,,,,,,,,,,,,,
43,Danilo,Danilo,True,danilo,262,17.19,9,-0.44,11.3,6,2,5.5,Danilo Luiz da Silva,FLA,69783,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,,,3.0,3.0,,,2.0,,1.0,,,,,,,2.0,,,,
44,Lucas Moura,L. Moura,False,lucas-moura,276,5.0,9,0.0,0.0,5,0,0.0,Lucas Rodrigues Moura da Silva,SAO,70164,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,,,,,,,,,,,,,,,,,,,
45,Gustavo,Gustavo,True,gustavo,286,4.78,9,0.53,3.0,6,5,5.5,Luiz Gustavo de Almeida Pinto,JUV,70216,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,,1.0,,,,,,,,15.0,13.0,,,,,1.0,,,
46,Bruno Uvini,B. Uvini,False,bruno-uvini,287,4.0,9,0.0,0.0,6,0,0.0,Bruno Uvini Bortolança,VIT,70221,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,,,,,,,,,,,,,,,,,,,
