,atletas.preco_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.media_num,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.pontos_num,atletas.clube_id,atletas.nome,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
30,9.93,CAM,38,dudu,True,3.4,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5,17.6,282,Eduardo Pereira Rodrigues,2.25,16,Dudu,Dudu,68920,17.0,1.0,4.0,7.0,7.0,1.0,6.0,,,,1.0,,3.0,,,,,,,
31,10.09,SAO,38,rafael,True,4.97,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,8.1,276,Rafael Pires Monteiro,-0.26,34,Rafael,Rafael,68928,6.0,,,1.0,,,,116.0,38.0,11.0,,3.0,,,,,,,,
32,6.63,FOR,38,marinho,False,3.02,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5,0.0,356,Mário Sérgio Santos Costa,0.0,16,Marinho,Marinho,68952,22.0,,13.0,11.0,24.0,5.0,13.0,,,,2.0,2.0,1.0,,,1.0,,,,
33,7.9,FOR,38,lucas-sasha,True,5.05,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4,1.4,356,Lucas Pacheco Affini,-0.04,26,Lucas Sasha,L. Sasha,68991,19.0,,1.0,81.0,47.0,6.0,4.0,,,,,3.0,1.0,,,,,,1.0,
34,7.95,BAH,38,willian-jose,True,4.93,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5,2.5,265,Willian José da Silva,0.35,31,Willian José,W. José,68996,18.0,3.0,2.0,5.0,11.0,13.0,15.0,,,,6.0,3.0,10.0,,,,,1.0,,
35,5.3,FLU,38,manoel,False,2.46,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3,0.0,266,Manoel Messias Silva Carvalho,0.0,5,Manoel,Manoel,69014,2.0,,,,1.0,,2.0,,,2.0,,,,,,,,,,
36,3.55,BAH,38,danilo-fernandes,False,-1.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,0.0,265,Danilo Fernandes Batista,0.0,0,Danilo Fernandes,D. Fernandes,69051,,,,,,,,,,,,1.0,,,,,,,,
37,5.26,SPT,38,pablo,False,2.43,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5,0.0,292,Pablo Felipe Teixeira,0.0,19,Pablo,Pablo,69138,18.0,,7.0,8.0,15.0,2.0,10.0,,,,1.0,1.0,2.0,,,,,,,
38,3.05,BOT,38,allan,True,1.28,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4,-0.3,263,Allan Marques Loureiro,-0.35,20,Allan,Allan,69140,11.0,,,23.0,28.0,1.0,1.0,,,,,8.0,,,,,,,,
39,11.22,FLA,38,danilo,False,3.61,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3,0.0,262,Danilo Luiz da Silva,0.0,19,Danilo,Danilo,69783,5.0,,,12.0,15.0,2.0,3.0,,,9.0,,2.0,1.0,,,1.0,,,,
40,6.13,SAO,38,lucas-moura,False,3.52,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,4,0.0,276,Lucas Rodrigues Moura da Silva,0.0,10,Lucas Moura,L. Moura,70164,11.0,,1.0,6.0,5.0,2.0,6.0,,,,,,2.0,,,,,,1.0,
41,4.0,VIT,38,bruno-uvini,False,0.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3,0.0,287,Bruno Uvini Bortolança,0.0,0,Bruno Uvini,B. Uvini,70221,,,,,,,,,,,,,,,,,,,,
42,7.56,RBB,38,eduardo-sasha,True,3.95,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,5,1.1,280,Eduardo Colcenti Antunes,0.13,30,Eduardo Sasha,E. Sasha,70360,34.0,2.0,3.0,10.0,12.0,22.0,14.0,,,,2.0,8.0,6.0,,,1.0,,,,
43,6.11,SPT,38,gabriel,False,4.2,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,1,0.0,292,Gabriel Vasconcelos Ferreira,0.0,21,Gabriel,Gabriel,70449,3.0,,,,,,,85.0,37.0,3.0,,2.0,,,,,,,,
