,atletas.foto,atletas.status_id,atletas.apelido,atletas.nome,atletas.clube_id,atletas.variacao_num,atletas.posicao_id,atletas.jogos_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.entrou_em_campo,atletas.preco_num,atletas.media_num,atletas.atleta_id,atletas.slug,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,A,SG,PS,DE,DP,GS,V,GC,PP
19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,Alex Teixeira,Alex Teixeira Santos,267,0.0,5,8,17,VAS,A. Teixeira,0.0,False,2.47,0.66,60793,alex-teixeira,1.0,,3.0,2.0,2.0,,,,,,,,,,,,,,,
20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,Gilberto,Gilberto Oliveira Souza Júnior,286,0.0,5,11,17,JUV,Gilberto,0.0,False,4.23,2.27,61188,gilberto,3.0,,1.0,13.0,2.0,4.0,8.0,,2.0,2.0,,1.0,,,,,,,,
21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5,Alex Sandro,Alex Sandro Lobo Silva,262,0.0,2,10,17,FLA,A. Sandro,0.0,False,10.75,5.05,61987,alex-sandro,1.0,,11.0,20.0,,2.0,9.0,,,1.0,,,7.0,,,,,,,
22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,6,Ganso,Paulo Henrique Chagas de Lima,266,0.09,4,9,17,FLU,Ganso,1.5,True,6.47,1.45,62977,ganso,1.0,,6.0,2.0,,2.0,8.0,,,,,,,,,,,,,
23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,7,Neymar,Neymar da Silva Santos Júnior,277,-1.17,4,8,17,SAN,Neymar,2.4,True,14.5,3.83,63007,neymar,1.0,1.0,1.0,11.0,6.0,5.0,29.0,1.0,1.0,2.0,,,,,,,,,,
24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6,Marcos Rocha,Marcos Luis Rocha Aquino,275,0.0,2,0,17,PAL,M. Rocha,0.0,False,7.0,0.0,63013,marcos-rocha,,,,,,,,,,,,,,,,,,,,
25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,Alan Ruschel,Alan Luciano Ruschel,286,0.0,2,10,17,JUV,A. Ruschel,0.0,False,5.43,2.89,63110,alan-ruschel,2.0,,10.0,8.0,,,17.0,,,2.0,,,2.0,,,,,,,
26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6,Edenílson,Edenílson Andrade dos Santos,284,0.15,4,10,17,GRE,Edenílson,2.0,True,5.04,2.04,63289,edenilson,4.0,,5.0,6.0,,1.0,10.0,,1.0,,,1.0,,,,,,,,
27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,Alan Patrick,Alan Patrick Lourenço,285,-0.54,4,12,17,INT,A. Patrick,3.9,True,13.73,6.56,68685,alan-patrick,3.0,,11.0,9.0,5.0,3.0,15.0,1.0,3.0,1.0,,5.0,,,,,,,,
28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6,Eduardo,Carlos Eduardo de Oliveira Alves,283,1.11,4,14,17,CRU,Eduardo,7.0,True,4.43,1.61,68708,eduardo,1.0,1.0,9.0,9.0,2.0,3.0,4.0,,1.0,1.0,,,,1.0,,,,,,
