,atletas.variacao_num,atletas.preco_num,atletas.nome,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.rodada_id,atletas.foto,atletas.slug,atletas.clube_id,atletas.posicao_id,atletas.pontos_num,atletas.apelido,atletas.status_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,PC,PS,DE,DP,GS,V,PP,GC
15,0.0,7.77,Everton Augusto de Barros Ribeiro,False,BAH,E. Ribeiro,3.54,51772,13,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,everton-ribeiro,265,4,0.0,Everton Ribeiro,6,,2.0,19.0,12.0,4.0,2.0,17.0,1.0,,,1.0,1.0,,,,,,,,
16,0.0,5.95,Fernando Francisco Reges,False,INT,Fernando,2.75,52271,6,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,fernando,285,4,0.0,Fernando,5,,,8.0,2.0,3.0,,3.0,,,,,,,,,,,,,
17,0.0,7.34,David Luiz Moreira Marinho,False,FOR,D. Luiz,3.18,52827,6,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,david-luiz,356,3,0.0,David Luiz,5,,2.0,5.0,6.0,1.0,4.0,2.0,,,2.0,,,,,,,,,,
18,0.0,4.0,Leonardo Gamalho de Souza,False,MIR,L. Gamalho,0.0,53865,0,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,leo-gamalho,2305,5,0.0,Léo Gamalho,6,,,,,,,,,,,,,,,,,,,,
19,0.0,2.47,Alex Teixeira Santos,False,VAS,A. Teixeira,0.66,60793,8,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,alex-teixeira,267,5,0.0,Alex Teixeira,6,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,
20,-0.24,4.23,Gilberto Oliveira Souza Júnior,True,JUV,Gilberto,2.27,61188,11,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,gilberto,286,5,0.2,Gilberto,3,1.0,3.0,1.0,13.0,2.0,4.0,8.0,2.0,2.0,,,,,,,,,,,
21,0.0,10.75,Alex Sandro Lobo Silva,False,FLA,A. Sandro,5.05,61987,10,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,alex-sandro,262,2,0.0,Alex Sandro,5,,1.0,11.0,20.0,,2.0,9.0,,1.0,7.0,,,,,,,,,,
22,-0.24,6.38,Paulo Henrique Chagas de Lima,True,FLU,Ganso,1.44,62977,8,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,ganso,266,4,-0.3,Ganso,6,,1.0,5.0,2.0,,2.0,8.0,,,,,,,,,,,,,
23,0.79,15.67,Neymar da Silva Santos Júnior,True,SAN,Neymar,4.04,63007,7,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,neymar,277,4,8.9,Neymar,7,,1.0,1.0,11.0,6.0,5.0,24.0,1.0,1.0,,1.0,1.0,,,,,,,,
24,0.0,7.0,Marcos Luis Rocha Aquino,False,PAL,M. Rocha,0.0,63013,0,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,marcos-rocha,275,2,0.0,Marcos Rocha,7,,,,,,,,,,,,,,,,,,,,
