,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.status_id,atletas.jogos_num,atletas.atleta_id,atletas.apelido_abreviado,atletas.apelido,atletas.variacao_num,atletas.posicao_id,atletas.slug,atletas.minimo_para_valorizar,atletas.clube_id,atletas.rodada_id,atletas.foto,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,CA,FC,FF,G,I,DS,FS,FD,DE,GS,A,FT,CV,PS,DP,SG,V,PC,PP,GC
73,INT,0.0,Gabriel Iván Mercado,6,0,72951,Mercado,Mercado,0.0,3,mercado,,285,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.0,0.0,False,,,,,,,,,,,,,,,,,,,,
74,MIR,0.0,Daniel Fortunato Borges,6,5,73318,D. Borges,Daniel Borges,0.0,2,daniel-borges,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.83,3.66,False,2.0,5.0,1.0,2.0,,3.0,1.0,,,,,,,,,,,,,
75,FLU,0.0,Samuel Xavier Brito,6,8,73384,S. Xavier,Samuel Xavier,0.0,2,samuel-xavier,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7.98,3.83,False,2.0,11.0,1.0,1.0,,7.0,11.0,1.0,,,,,,,,2.0,,,,
76,MIR,-0.1,Gabriel Santana Pinto,7,8,73515,Gabriel,Gabriel,-0.38,4,gabriel,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5.49,3.13,True,1.0,1.0,2.0,2.0,5.0,3.0,5.0,1.0,,,,,,1.0,,,,,,
77,SAN,-0.6,Tomás Eduardo Rincón Hernández,7,5,74187,Rincón,Rincón,-1.33,4,rincon,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.88,1.72,True,2.0,12.0,4.0,,,6.0,4.0,,,,,,,,,,,,,
78,COR,6.8,André Martín Carrillo Díaz,7,9,77485,Carrillo,Carrillo,0.4,4,carrillo,,264,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6.93,3.07,True,,12.0,4.0,,2.0,16.0,6.0,1.0,,,,,,,,,,,,
79,SAO,0.0,Cédric Ricardo Alves Soares,6,8,77656,C. Soares,Cédric Soares,-0.25,2,cedric-soares,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6.41,2.1,True,1.0,4.0,,,,5.0,3.0,,,,1.0,,,,,1.0,,,,
80,SPT,2.5,Sérgio Miguel Relvas de Oliveira,7,7,77664,S. Oliveira,Sérgio Oliveira,0.09,4,sergio-oliveira,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,8.73,4.83,True,3.0,10.0,4.0,1.0,,13.0,5.0,3.0,,,,1.0,,,,,,,,
81,SAN,0.0,João Felipe Schmidt Urbano,5,7,77777,J. Schmidt,João Schmidt,0.0,4,joao-schmidt,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5.97,3.23,False,2.0,14.0,4.0,,1.0,15.0,4.0,1.0,,,,,,,,,,,,
82,FLU,0.7,Everaldo Stum,7,10,78117,Everaldo,Everaldo,-0.3,5,everaldo,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.62,1.78,True,1.0,10.0,5.0,1.0,,2.0,4.0,4.0,,,,,,,,,,,,
83,COR,0.0,Gustavo Henrique Vernes,5,3,78248,G. Henrique,Gustavo Henrique,0.0,3,gustavo-henrique,,264,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7.25,3.33,False,,1.0,1.0,,,6.0,1.0,,,,,,,,,,,,,
84,FLU,2.2,Renê Rodrigues Martins,7,7,78445,Renê,Renê,-0.79,2,rene,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,8.9,6.67,True,,7.0,1.0,1.0,,18.0,6.0,,,,,,,,,2.0,,,,
85,JUV,2.61,Cláudio Tencati,7,2,78450,C. Tencati,Cláudio Tencati,-0.06,6,claudio-tencati,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6.87,3.19,True,,,,,,,,,,,,,,,,,,,,
86,SAN,8.33,Cleber Marcio Serpa Xavier,7,4,78479,C. Xavier,Cleber Xavier,0.77,6,cleber-xavier,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,11.11,5.19,True,,,,,,,,,,,,,,,,,1.0,,,
87,RBB,1.7,Gabriel Girotto Franco,7,9,78605,Gabriel,Gabriel,-0.91,4,gabriel,,280,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,6.13,4.15,True,2.0,15.0,3.0,1.0,,19.0,10.0,,,,,,,,,,,,,
88,MIR,18.3,Reinaldo Manoel da Silva,7,10,78850,Reinaldo,Reinaldo,1.99,2,reinaldo,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,10.91,7.01,True,2.0,7.0,2.0,5.0,,10.0,6.0,3.0,,,2.0,,,,,1.0,,,1.0,
89,CEA,0.0,Richard de Oliveira Costa,6,0,78851,Richard,Richard,0.0,1,richard,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5.0,0.0,False,,,,,,,,,,,,,,,,,,,,
90,FLU,0.0,Thiago dos Santos,6,3,78855,T. Santos,Thiago Santos,0.0,3,thiago-santos,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5.93,3.4,False,,1.0,,,,,1.0,,,,,,,,,2.0,,,,
91,MIR,0.0,Alex Roberto Santana Rafael,6,6,79066,A. Muralha,Alex Muralha,0.0,1,alex-muralha,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.34,2.37,False,2.0,,,,,,1.0,,19.0,9.0,,,,,,,,,,
92,CEA,0.0,Bruno Ferreira Ventura Diniz - de Lins,6,3,79266,B. Ferreira,Bruno Ferreira,0.0,1,bruno-ferreira,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5.49,4.4,False,1.0,1.0,,,,,1.0,,10.0,4.0,,,,,,1.0,,,,
93,INT,3.75,Roger Machado Marques,7,10,79437,R. Machado,Roger Machado,-0.18,6,roger-machado,,285,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,9.7,5.11,True,,,,,,,,,,,,,,,,,2.0,,,
94,FLU,0.0,Germán Ezequiel Cano,5,6,79631,Cano,Cano,0.0,5,cano,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,8.41,3.17,False,1.0,4.0,9.0,1.0,2.0,1.0,7.0,1.0,,,,,,,,,,,,
95,CRU,9.2,Lucas Silva Borges,7,9,79701,L. Silva,Lucas Silva,1.08,4,lucas-silva,,283,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6.42,3.21,True,1.0,18.0,2.0,1.0,,5.0,8.0,1.0,,,2.0,1.0,,,,,,,,
96,SPT,-0.3,Antônio Carlos Cunha Capocasali Júnior,7,2,79702,A. Carlos,Antônio Carlos,-0.45,3,antonio-carlos,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.93,-0.45,True,,3.0,,,,,,,,,,,,,,,,,,
97,SPT,0.0,José Roberto Assunção de Araújo Filho,6,0,80076,Z. Roberto,Zé Roberto,0.0,5,ze-roberto,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6.0,0.0,False,,,,,,,,,,,,,,,,,,,,
98,JUV,1.0,Jadson Alves dos Santos,7,10,80129,Jadson,Jadson,-0.09,4,jadson,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5.81,3.47,True,3.0,15.0,1.0,,2.0,18.0,14.0,3.0,,,1.0,,,,,,,1.0,,
99,FOR,1.5,Glaybson Yago Souza Lisboa,7,9,80196,Y. Pikachu,Yago Pikachu,-0.21,4,yago-pikachu,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.59,2.29,True,,4.0,2.0,,3.0,6.0,10.0,3.0,,,,1.0,,,,,,,,
100,MIR,0.0,Rafael da Silva,6,0,80225,R. Silva,Rafa Silva,0.0,5,rafa-silva,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
101,SAO,8.4,Luciano da Rocha Neves,7,8,80287,Luciano,Luciano,0.58,5,luciano,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,8.39,2.98,True,1.0,5.0,6.0,,,7.0,6.0,5.0,,,,,,2.0,,,,,,
102,BAH,0.0,Gilberto Moraes Júnior,7,8,80313,Gilberto,Gilberto,-0.72,2,gilberto,,265,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7.4,4.35,True,2.0,7.0,1.0,1.0,1.0,11.0,5.0,1.0,,,,,,,,2.0,,,,
103,FOR,0.5,Guillermo Matías Fernández,7,7,80544,P. Fernández,Pol Fernández,-0.42,4,pol-fernandez,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.9,2.1,True,1.0,6.0,1.0,,,3.0,2.0,1.0,,,2.0,,,,,,,,,
104,SAO,0.0,Wendell Nascimento Borges,6,5,80570,Wendell,Wendell,0.0,2,wendell,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,9.05,3.7,False,,5.0,,,,4.0,8.0,,,,,,,,,2.0,,,,
105,SPT,-0.3,Lucas Rafael Araújo Lima,7,9,80583,L. Lima,Lucas Lima,-0.79,4,lucas-lima,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5.47,2.94,True,3.0,14.0,1.0,,5.0,6.0,12.0,7.0,,,2.0,,,,,,,,,
106,VAS,0.0,Jair Rodrigues Júnior,6,5,81091,Jair,Jair,0.0,4,jair,,267,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5.5,2.32,False,2.0,8.0,,,,8.0,8.0,,,,,,,,,,,,,
107,CEA,0.0,Lucas Andrés Mugni,6,7,81121,L. Mugni,Lucas Mugni,0.0,4,lucas-mugni,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,8.74,5.73,False,2.0,13.0,3.0,1.0,1.0,14.0,7.0,1.0,,,2.0,,,,,,,,,
108,PAL,0.9,Mayke Rocha de Oliveira,7,2,81150,Mayke,Mayke,-0.46,2,mayke,,275,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,8.92,4.5,True,1.0,4.0,1.0,,1.0,3.0,2.0,,,,,,,,,1.0,,,,
109,SPT,0.0,Gonçalo Mendes Paciência,5,2,81401,G. Paciência,Gonçalo Paciência,0.0,5,goncalo-paciencia,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7.13,1.3,False,,1.0,3.0,,,,1.0,,,,,,,,,,,,,
110,SAO,-0.1,Alisson Euler de Freitas Castro,7,9,81845,Alisson,Alisson,-0.46,4,alisson,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,4.33,1.2,True,3.0,9.0,3.0,,,4.0,9.0,3.0,,,,,,,,,,,,
111,FOR,5.8,João Ricardo Riedi,7,9,81881,J. Ricardo,João Ricardo,0.51,1,joao-ricardo,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,10.82,5.87,True,,,,,,,,,33.0,10.0,,,,,,4.0,,,,
112,VIT,0.0,Willian Osmar de Oliveira Silva,5,3,81952,W. Oliveira,Willian Oliveira,0.0,4,willian-oliveira,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.73,1.07,False,1.0,2.0,1.0,,,1.0,5.0,,,,,,,,,,,,,
113,MIR,4.5,Francisco Hyun-Sol Kim,6,2,82407,C. Kim,Chico Kim,0.88,4,chico-kim,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6.22,5.2,True,,1.0,,,,5.0,2.0,1.0,,,,,,1.0,,,,,,
114,SAN,5.6,José Rafael Vivian,7,3,82455,Z. Rafael,Zé Rafael,0.27,4,ze-rafael,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,8.06,3.53,True,1.0,3.0,,,,7.0,4.0,,,,,,,,,,,,,
115,FLU,0.0,Otávio Henrique Passos Santos,5,0,82463,Otávio,Otávio,0.0,4,otavio,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7.0,0.0,False,,,,,,,,,,,,,,,,,,,,
116,FLA,3.5,Luiz de Araújo Guimarães Neto,7,9,82627,L. Araújo,Luiz Araújo,0.11,5,luiz-araujo,,262,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,8.19,4.04,True,,5.0,5.0,,1.0,14.0,5.0,2.0,,,1.0,1.0,,,,,,,,
117,FOR,2.5,Guilherme de Jesus da Silva,7,5,82628,Tinga,Tinga,-0.41,2,tinga,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,9.21,5.78,True,1.0,3.0,1.0,1.0,,4.0,2.0,,,,,,,,,3.0,,,,
118,VIT,0.0,Wellington Soares da Silva,6,5,82766,W. Rato,Wellington Rato,0.0,4,wellington-rato,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6.2,2.66,False,,3.0,1.0,1.0,,1.0,3.0,2.0,,,,,,,,,,,,
119,MIR,12.4,Lucas Ramon Batista Silva,7,9,82775,L. Ramon,Lucas Ramon,1.86,2,lucas-ramon,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,9.55,5.86,True,1.0,9.0,1.0,1.0,1.0,20.0,13.0,1.0,,,1.0,,,,,1.0,,,,
120,SPT,0.0,Rafael Thyere de Albuquerque Marques,6,0,83048,R. Thyere,Rafael Thyere,0.0,3,rafael-thyere,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5.0,0.0,False,,,,,,,,,,,,,,,,,,,,
121,CEA,0.0,Jorge Eduardo Recalde Ramírez,6,0,83252,Recalde,Recalde,0.0,4,recalde,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.0,0.0,False,,,,,,,,,,,,,,,,,,,,
122,CRU,13.9,Gabriel Barbosa Almeida,7,8,83257,Gabriel,Gabriel,2.48,5,gabriel,,283,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,8.87,3.97,True,,1.0,3.0,2.0,2.0,1.0,3.0,4.0,,,2.0,,,,,,,,1.0,
123,SAN,0.0,Julio César Furch,6,0,83276,J. Furch,Julio Furch,0.0,5,julio-furch,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
124,FLA,9.5,Leonardo Pereira,7,10,83528,L. Pereira,Léo Pereira,0.89,3,leo-pereira,,262,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,10.08,5.01,True,,4.0,1.0,1.0,,5.0,2.0,,,,,,,,,7.0,,1.0,,
125,VIT,0.0,Hueglo dos Santos Neris,6,3,83786,Neris,Neris,0.0,3,neris,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.37,0.0,False,1.0,7.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
126,MIR,0.0,Clayson Henrique da Silva Vieira,6,6,83817,Clayson,Clayson,0.0,5,clayson,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5.42,1.72,False,2.0,4.0,1.0,,2.0,1.0,8.0,2.0,,,1.0,,,,,,,,,
127,SAN,0.0,Francisco das Chagas Soares dos Santos Meireles,6,9,84042,T. Soares,Tiquinho Soares,0.0,5,tiquinho-soares,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,8.54,3.42,False,2.0,16.0,7.0,1.0,1.0,6.0,13.0,3.0,,,1.0,,,,,,,,,
128,JUV,0.0,Eudes Ruan de Souza Carneiro,6,0,84094,R. Carneiro,Ruan Carneiro,0.0,1,ruan-carneiro,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.0,0.0,False,,,,,,,,,,,,,,,,,,,,
129,GRE,0.0,Jemerson de Jesus Nascimento,3,9,84263,Jemerson,Jemerson,0.0,3,jemerson,,284,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.77,3.2,False,3.0,14.0,1.0,1.0,,11.0,3.0,1.0,,,,1.0,,,,1.0,,,,
130,CEA,0.0,Fernando Pereira do Nascimento,6,7,84428,F. Sobral,Fernando Sobral,0.0,4,fernando-sobral,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.46,2.06,False,3.0,8.0,1.0,,,10.0,8.0,,,,,,,,,,,,,
131,SPT,0.0,José Romário Silva de Souza,6,4,84523,Romarinho,Romarinho,-0.35,5,romarinho,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.96,0.73,True,,,,,,,1.0,2.0,,,,,,,,,,,,
132,CRU,3.8,Lucas Daniel Romero,7,9,84558,L. Romero,Lucas Romero,-0.33,4,lucas-romero,,283,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,8.17,5.4,True,3.0,9.0,3.0,1.0,1.0,22.0,12.0,,,,1.0,,,,,,,,,
133,PAL,1.4,Lucas Evangelista Santana de Oliveira,7,7,84674,L. Evangelista,Lucas Evangelista,-0.36,4,lucas-evangelista,,275,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,5.7,1.93,True,,5.0,1.0,,,6.0,8.0,1.0,,,,,,,,,,,,
134,FLA,5.7,Guillermo Varela Olivera,7,5,84816,Varela,Varela,0.27,2,varela,,262,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,7.84,5.32,True,,1.0,,,1.0,5.0,1.0,,,,,,,,,4.0,,1.0,,
135,SAN,3.4,Luan Peres Petroni,7,4,84847,L. Peres,Luan Peres,0.13,3,luan-peres,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5.77,2.57,True,3.0,8.0,,,,2.0,3.0,1.0,,,,,,,,2.0,,,,
136,BAH,-0.7,Marcos Felipe de Freitas Monteiro,7,7,85004,M. Felipe,Marcos Felipe,-1.43,1,marcos-felipe,,265,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7.28,5.04,True,,,,,,,,,21.0,6.0,,,,,,3.0,,1.0,,
137,INT,0.0,Óscar David Romero Villamayor,7,8,85034,Ã. Romero,Óscar Romero,-0.32,4,oscar-romero,,285,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,4.71,1.57,True,1.0,1.0,4.0,,,2.0,5.0,1.0,,,1.0,,,,,,,1.0,,
138,COR,0.0,Memphis Depay,6,7,85048,M. Depay,Memphis Depay,0.0,5,memphis-depay,,264,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,15.69,8.42,False,2.0,4.0,6.0,3.0,,4.0,11.0,4.0,,,3.0,2.0,,,,,,,1.0,
139,MIR,3.4,Daniel de Oliveira Sertanejo,7,10,85403,Danielzinho,Danielzinho,0.11,4,danielzinho,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5.64,3.57,True,1.0,13.0,3.0,,,13.0,17.0,1.0,,,1.0,1.0,,1.0,,,,,,
140,SAN,0.0,João Paulo Silva Martins,6,0,85425,J. Paulo,João Paulo,0.0,1,joao-paulo,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6.45,-1.0,False,2.0,,,,,,,,,,,,,,,,,,,
141,COR,0.0,Alex Paulo Menezes Santana,6,3,85465,A. Santana,Alex Santana,0.0,4,alex-santana,,264,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4.28,0.4,False,,2.0,1.0,,,,2.0,,,,,,,,,,,,,
142,VIT,4.6,Ricardo Ryller Ribeiro Lino Silva,7,10,85856,R. Ryller,Ricardo Ryller,0.59,4,ricardo-ryller,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.26,1.31,True,2.0,20.0,,,,10.0,5.0,3.0,,,,,,,,,,,,
143,CEA,0.0,Aylon Darwin Tavella,6,4,85930,Aylon,Aylon,0.0,5,aylon,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.89,4.05,False,,6.0,1.0,1.0,,4.0,4.0,1.0,,,,,,,,,,,,
144,SPT,0.0,Hyoran Kaue Dalmoro,6,0,85931,Hyoran,Hyoran,0.0,4,hyoran,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5.0,0.0,False,,,,,,,,,,,,,,,,,,,,
145,CRU,0.9,Yannick Bolasie,6,5,86292,Bolasie,Bolasie,-0.47,5,bolasie,,283,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,3.85,0.46,True,,4.0,,,,2.0,1.0,,,,,,,,,,,,,
146,VAS,0.0,Victor Luis Chuab Zamblauskas,6,1,86410,V. Luis,Victor Luis,0.0,2,victor-luis,,267,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4.24,1.7,False,,,,,,,1.0,1.0,,,,,,,,,,,,
147,FLU,0.0,Marcos da Silva França,6,4,86485,Keno,Keno,0.0,5,keno,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,6.01,1.95,False,,2.0,4.0,,,1.0,5.0,1.0,,,,,,,,,,,,
148,SAO,0.0,Jandrei Chitolina Carniel,6,0,86508,Jandrei,Jandrei,0.0,1,jandrei,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.0,0.0,False,,,,,,,,,,,,,,,,,,,,
149,CEA,0.0,Richardson Fernandes dos Santos,5,0,86536,Richardson,Richardson,0.0,4,richardson,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
150,VAS,0.7,Danilo das Neves Pinheiro,7,7,86686,T. Tchê,Tchê Tchê,-0.14,4,tche-tche,,267,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,3.85,0.81,True,,1.0,,,,1.0,9.0,,,,,,,,,,,,,
151,FLA,0.9,Everton Sousa Soares,7,10,86757,Everton,Everton,-0.11,5,everton,,262,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,8.08,3.22,True,,5.0,7.0,1.0,1.0,7.0,,4.0,,,1.0,,,,,,,,,
