,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.nome,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.slug,atletas.apelido_abreviado,atletas.status_id,atletas.foto,atletas.entrou_em_campo,CA,DS,FC,FF,FS,SG,DE,DP,GS,FD,G,I,A,V,CV,FT,PP,PS,PC,GC
79,Cédric Soares,5,-1.11,Cédric Ricardo Alves Soares,,2,276,4.22,-0.6,SAO,4,8.21,77656,cedric-soares,C. Soares,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,,4.0,2.0,,3.0,1.0,,,,,,,1.0,,,,,,,
80,Sérgio Oliveira,5,0.74,Sérgio Miguel Relvas de Oliveira,,4,292,7.17,8.5,SPT,4,10.46,77664,sergio-oliveira,S. Oliveira,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,True,1.0,10.0,8.0,3.0,5.0,,,,,1.0,1.0,,,,,1.0,,,,
81,João Schmidt,5,-0.71,João Felipe Schmidt Urbano,,4,277,2.32,0.8,SAN,5,4.87,77777,joao-schmidt,J. Schmidt,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,2.0,10.0,12.0,1.0,3.0,,,,,,,1.0,,,,,,,,
82,Everaldo,5,-0.07,Everaldo Stum,,5,266,0.24,1.2,FLU,5,3.05,78117,everaldo,Everaldo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,,2.0,6.0,,,,,,,,,,,,,,,,,
83,Gustavo Henrique,5,0.26,Gustavo Henrique Vernes,,3,264,3.5,3.8,COR,2,7.52,78248,gustavo-henrique,G. Henrique,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
84,Renê,5,-2.02,Renê Rodrigues Martins,,2,266,7.34,2.1,FLU,5,8.74,78445,rene,Renê,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,,13.0,6.0,,2.0,2.0,,,,,1.0,,,,,,,,,
85,Gabriel,5,-0.05,Gabriel Girotto Franco,,4,280,3.7,3.1,RBB,4,5.72,78605,gabriel,Gabriel,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,True,1.0,11.0,9.0,,4.0,,,,,,,,,,,,,,,
86,Reinaldo,5,0.52,Reinaldo Manoel da Silva,,2,2305,5.38,12.2,MIR,5,8.55,78850,reinaldo,Reinaldo,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,2.0,4.0,4.0,,1.0,,,,,3.0,3.0,,,,,,1.0,,,
87,Richard,5,0.0,Richard de Oliveira Costa,,1,354,0.0,0.0,CEA,0,5.0,78851,richard,Richard,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
88,Thiago Santos,5,-0.81,Thiago dos Santos,,3,266,3.4,0.0,FLU,3,5.93,78855,thiago-santos,T. Santos,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,,,1.0,,1.0,2.0,,,,,,,,,,,,,,
89,Alex Muralha,5,-0.23,Alex Roberto Santana Rafael,,1,2305,1.88,2.7,MIR,5,2.77,79066,alex-muralha,A. Muralha,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,1.0,,,,1.0,,13.0,,7.0,,,,,,,,,,,
90,Bruno Ferreira,5,0.0,Bruno Ferreira Ventura Diniz - de Lins,,1,354,4.4,0.0,CEA,3,5.49,79266,bruno-ferreira,B. Ferreira,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,1.0,,1.0,,1.0,1.0,10.0,,4.0,,,,,,,,,,,
91,Roger Machado,5,-0.08,Roger Machado Marques,,6,285,5.31,4.12,INT,5,9.79,79437,roger-machado,R. Machado,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,,,,,,,,,,,,,,1.0,,,,,,
92,Cano,5,1.56,Germán Ezequiel Cano,,5,266,3.56,11.5,FLU,5,9.95,79631,cano,Cano,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,1.0,1.0,4.0,8.0,6.0,,,,,1.0,1.0,1.0,,,,,,,,
93,Lucas Silva,5,-1.87,Lucas Silva Borges,,4,283,3.6,-0.9,CRU,4,5.61,79701,lucas-silva,L. Silva,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,,2.0,7.0,1.0,3.0,,,,,1.0,,,2.0,,,,,,,
94,Antônio Carlos,5,0.0,Antônio Carlos Cunha Capocasali Júnior,,3,292,0.0,0.0,SPT,0,4.0,79702,antonio-carlos,A. Carlos,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
95,Zé Roberto,5,0.0,José Roberto Assunção de Araújo Filho,,5,292,0.0,0.0,SPT,0,6.0,80076,ze-roberto,Z. Roberto,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
96,Jadson,5,1.52,Jadson Alves dos Santos,,4,286,4.98,10.4,JUV,5,7.4,80129,jadson,Jadson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,1.0,12.0,7.0,1.0,8.0,,,,,1.0,,,1.0,,,,,,1.0,
97,Yago Pikachu,5,-0.53,Glaybson Yago Souza Lisboa,,4,356,1.98,0.0,FOR,5,5.49,80196,yago-pikachu,Y. Pikachu,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,,5.0,1.0,1.0,2.0,,,,,1.0,,3.0,,,,,,,,
98,Rafa Silva,5,0.0,Rafael da Silva,,5,2305,0.0,0.0,MIR,0,4.0,80225,rafa-silva,R. Silva,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
99,Luciano,5,0.0,Luciano da Rocha Neves,,5,276,1.8,0.0,SAO,4,7.93,80287,luciano,Luciano,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,,1.0,3.0,3.0,4.0,,,,,1.0,,,,,,,,1.0,,
100,Gilberto,5,0.66,Gilberto Moraes Júnior,,2,265,4.98,5.6,BAH,5,8.18,80313,gilberto,Gilberto,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,1.0,7.0,5.0,1.0,4.0,1.0,,,,1.0,1.0,1.0,,,,,,,,
101,Pol Fernández,5,0.0,Guillermo Matías Fernández,,4,356,4.07,0.0,FOR,3,8.28,80544,pol-fernandez,P. Fernández,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,1.0,2.0,5.0,,1.0,,,,,1.0,,,2.0,,,,,,,
102,Wendell,5,0.0,Wendell Nascimento Borges,,2,276,4.2,0.0,SAO,4,9.7,80570,wendell,Wendell,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,,3.0,4.0,,7.0,2.0,,,,,,,,,,,,,,
103,Lucas Lima,5,-0.82,Lucas Rafael Araújo Lima,,4,292,2.66,0.9,SPT,5,5.49,80583,lucas-lima,L. Lima,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,True,2.0,3.0,10.0,1.0,9.0,,,,,3.0,,1.0,1.0,,,,,,,
104,Jair,5,0.19,Jair Rodrigues Júnior,,4,267,1.98,2.6,VAS,4,5.51,81091,jair,Jair,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,2.0,6.0,7.0,,6.0,,,,,,,,,,,,,,,
105,Lucas Mugni,5,0.44,Lucas Andrés Mugni,,4,354,4.13,3.4,CEA,3,6.49,81121,lucas-mugni,L. Mugni,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,1.0,5.0,4.0,2.0,1.0,,,,,,,,1.0,,,,,,,
106,Mayke,5,0.0,Mayke Rocha de Oliveira,,2,275,8.1,0.0,PAL,1,9.38,81150,mayke,Mayke,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,1.0,3.0,3.0,,1.0,1.0,,,,,,,,,,,,,,
107,Gonçalo Paciência,5,-0.04,Gonçalo Mendes Paciência,,5,292,2.1,2.1,SPT,1,7.96,81401,goncalo-paciencia,G. Paciência,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,True,,,,2.0,1.0,,,,,,,,,,,,,,,
108,Alisson,5,-0.95,Alisson Euler de Freitas Castro,,4,276,0.9,-1.1,SAO,5,4.5,81845,alisson,Alisson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,2.0,2.0,6.0,2.0,5.0,,,,,1.0,,,,,,,,,,
109,João Ricardo,5,-1.53,João Ricardo Riedi,,1,356,4.38,-0.7,FOR,5,9.11,81881,joao-ricardo,J. Ricardo,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,,,,,,2.0,13.0,,5.0,,,,,,,,,,,
110,Willian Oliveira,5,0.0,Willian Osmar de Oliveira Silva,,4,287,1.07,0.0,VIT,3,3.73,81952,willian-oliveira,W. Oliveira,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,1.0,1.0,2.0,1.0,5.0,,,,,,,,,,,,,,,
111,Chico Kim,5,0.0,Francisco Hyun-Sol Kim,,4,2305,5.9,0.0,MIR,1,5.34,82407,chico-kim,C. Kim,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,3.0,1.0,,1.0,,,,,1.0,,,,,,,,,,
112,Zé Rafael,5,0.0,José Rafael Vivian,,4,277,0.0,0.0,SAN,0,8.0,82455,ze-rafael,Z. Rafael,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
113,Otávio,5,0.0,Otávio Henrique Passos Santos,,4,266,0.0,0.0,FLU,0,7.0,82463,otavio,Otávio,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
114,Luiz Araújo,5,0.0,Luiz de Araújo Guimarães Neto,,5,262,4.47,0.0,FLA,4,8.75,82627,luiz-araujo,L. Araújo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,False,,5.0,,4.0,2.0,,,,,1.0,,,1.0,,,,,,,
115,Tinga,5,-0.69,Guilherme de Jesus da Silva,,2,356,7.85,1.2,FOR,2,9.3,82628,tinga,Tinga,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,
116,Wellington Rato,5,0.0,Wellington Soares da Silva,,4,287,4.5,0.0,VIT,2,8.06,82766,wellington-rato,W. Rato,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,
117,Lucas Ramon,5,-0.63,Lucas Ramon Batista Silva,,2,2305,8.1,1.5,MIR,4,8.68,82775,lucas-ramon,L. Ramon,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,,11.0,3.0,1.0,6.0,,,,,,1.0,,1.0,,,,,,,
118,Rafael Thyere,5,0.0,Rafael Thyere de Albuquerque Marques,,3,292,0.0,0.0,SPT,0,5.0,83048,rafael-thyere,R. Thyere,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
119,Recalde,5,0.0,Jorge Eduardo Recalde Ramírez,,4,354,0.0,0.0,CEA,0,3.0,83252,recalde,Recalde,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
120,Gabriel,5,-0.54,Gabriel Barbosa Almeida,,5,283,2.55,0.5,CRU,4,7.11,83257,gabriel,Gabriel,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,,,1.0,2.0,2.0,,,,,,1.0,1.0,,,,,,,,
121,Julio Furch,5,0.0,Julio César Furch,,5,277,0.0,0.0,SAN,0,4.0,83276,julio-furch,J. Furch,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
122,Léo Pereira,5,0.14,Leonardo Pereira,,3,262,4.98,6.2,FLA,5,9.7,83528,leo-pereira,L. Pereira,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,,1.0,3.0,1.0,1.0,3.0,,,,,1.0,,,,,,,,,
123,Neris,5,0.0,Hueglo dos Santos Neris,,3,287,1.1,0.0,VIT,1,4.47,83786,neris,Neris,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,
124,Clayson,5,-0.28,Clayson Henrique da Silva Vieira,,5,2305,1.96,1.2,MIR,5,5.78,83817,clayson,Clayson,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,2.0,1.0,4.0,1.0,7.0,,,,,2.0,,2.0,1.0,,,,,,,
125,Tiquinho Soares,5,1.31,Francisco das Chagas Soares dos Santos Meireles,,5,277,4.46,10.3,SAN,5,10.4,84042,tiquinho-soares,T. Soares,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,2.0,4.0,10.0,4.0,8.0,,,,,1.0,1.0,1.0,1.0,,,,,,,
126,Ruan Carneiro,5,0.0,Eudes Ruan de Souza Carneiro,,1,286,0.0,0.0,JUV,0,1.0,84094,ruan-carneiro,R. Carneiro,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
127,Jemerson,5,-0.42,Jemerson de Jesus Nascimento,,3,284,2.42,3.0,GRE,5,4.7,84263,jemerson,Jemerson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,2.0,8.0,9.0,1.0,2.0,,,,,,,,,,,1.0,,,,
128,Fernando Sobral,5,-0.21,Fernando Pereira do Nascimento,,4,354,2.37,1.9,CEA,4,5.38,84428,fernando-sobral,F. Sobral,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,2.0,7.0,6.0,1.0,4.0,,,,,,,,,,,,,,,
129,Romarinho,5,0.0,José Romário Silva de Souza,,5,292,0.0,0.0,SPT,1,3.47,84523,romarinho,Romarinho,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
130,Lucas Romero,5,-0.23,Lucas Daniel Romero,,4,283,4.8,5.0,CRU,5,7.56,84558,lucas-romero,L. Romero,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,2.0,11.0,5.0,2.0,3.0,,,,,,1.0,1.0,,,,,,,,
131,Lucas Evangelista,5,0.0,Lucas Evangelista Santana de Oliveira,,4,275,3.15,0.0,PAL,2,7.41,84674,lucas-evangelista,L. Evangelista,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,,2.0,3.0,,6.0,,,,,1.0,,,,,,,,,,
132,Varela,5,1.96,Guillermo Varela Olivera,,2,262,6.5,6.5,FLA,1,6.96,84816,varela,Varela,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,,1.0,,,,1.0,,,,,,,,,,,,,,
133,Luan Peres,5,0.0,Luan Peres Petroni,,3,277,0.0,0.0,SAN,0,6.0,84847,luan-peres,L. Peres,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
134,Marcos Felipe,5,1.58,Marcos Felipe de Freitas Monteiro,,1,265,4.25,7.6,BAH,2,7.12,85004,marcos-felipe,M. Felipe,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,,,,,,1.0,5.0,,3.0,,,,,,,,,,,
135,Óscar Romero,5,0.0,Óscar David Romero Villamayor,,4,285,3.2,0.0,INT,3,6.28,85034,oscar-romero,Ã. Romero,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,,1.0,1.0,3.0,2.0,,,,,,,,1.0,,,,,,,
136,Memphis Depay,5,3.61,Memphis Depay,,5,264,10.58,21.7,COR,4,19.65,85048,memphis-depay,M. Depay,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,1.0,4.0,1.0,4.0,6.0,,,,,2.0,3.0,,1.0,,,,,,,
137,Danielzinho,5,-0.5,Daniel de Oliveira Sertanejo,,4,2305,4.9,2.9,MIR,5,5.91,85403,danielzinho,Danielzinho,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,,6.0,6.0,2.0,11.0,,,,,1.0,,,1.0,,,1.0,,1.0,,
138,João Paulo,5,0.0,João Paulo Silva Martins,,1,277,-1.0,0.0,SAN,0,6.19,85425,joao-paulo,J. Paulo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,1.0,,,,,,,,,,,,,,,,,,,
139,Alex Santana,5,-0.43,Alex Paulo Menezes Santana,,4,264,0.6,0.0,COR,2,4.9,85465,alex-santana,A. Santana,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,,,2.0,1.0,2.0,,,,,,,,,,,,,,,
140,Ricardo Ryller,5,-0.24,Ricardo Ryller Ribeiro Lino Silva,,4,287,1.68,1.2,VIT,5,3.18,85856,ricardo-ryller,R. Ryller,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,True,1.0,6.0,6.0,,2.0,,,,,1.0,,,,,,,,,,
141,Aylon,5,-1.06,Aylon Darwin Tavella,,5,354,4.05,2.1,CEA,4,4.89,85930,aylon,Aylon,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,,4.0,6.0,1.0,4.0,,,,,1.0,1.0,,,,,,,,,
142,Hyoran,5,0.0,Hyoran Kaue Dalmoro,,4,292,0.0,0.0,SPT,0,5.0,85931,hyoran,Hyoran,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
143,Bolasie,5,0.0,Yannick Bolasie,,5,283,-0.3,0.0,CRU,1,5.62,86292,bolasie,Bolasie,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,False,,,1.0,,,,,,,,,,,,,,,,,
144,Victor Luis,5,0.0,Victor Luis Chuab Zamblauskas,,2,267,0.0,0.0,VAS,0,4.0,86410,victor-luis,V. Luis,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
145,Keno,5,0.0,Marcos da Silva França,,5,266,2.6,0.0,FLU,3,6.81,86485,keno,Keno,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,,1.0,2.0,4.0,5.0,,,,,1.0,,,,,,,,,,
146,Jandrei,5,0.0,Jandrei Chitolina Carniel,,1,276,0.0,0.0,SAO,0,5.0,86508,jandrei,Jandrei,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
147,Richardson,5,0.0,Richardson Fernandes dos Santos,,4,354,0.0,0.0,CEA,0,4.0,86536,richardson,Richardson,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
148,Tchê Tchê,5,0.0,Danilo das Neves Pinheiro,,4,267,1.17,0.0,VAS,3,5.23,86686,tche-tche,T. Tchê,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,,1.0,,,4.0,,,,,,,,,,,,,,,
149,Everton,5,-0.44,Everton Sousa Soares,,5,262,2.9,2.7,FLA,5,8.5,86757,everton,Everton,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,,3.0,2.0,4.0,,,,,,2.0,,,1.0,,,,,,,
150,Matheus Rossetto,5,-0.36,Matheus Rossetto,,4,356,2.33,1.5,FOR,3,4.97,86766,matheus-rossetto,M. Rossetto,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,,4.0,,,2.0,,,,,,,,,,,,,,,
151,Danilo Barbosa,5,-1.13,Danilo Barbosa da Silva,,4,263,-1.3,-1.3,BOT,1,4.87,86777,danilo-barbosa,D. Barbosa,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,1.0,,1.0,,,,,,,,,,,,,,,,,
152,Reginaldo,5,0.0,Reginaldo Lopes de Jesus,,2,286,2.5,0.0,JUV,2,3.68,86820,reginaldo,Reginaldo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,,,,,,1.0,,,,,,,,,,,,,,
153,José Welison,5,0.0,José Welison da Silva,,4,356,0.73,0.0,FOR,4,3.8,86859,jose-welison,J. Welison,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,,2.0,2.0,,1.0,,,,,,,,,,,,,,,
154,Luiz Otávio,5,0.0,Luiz Otávio da Silva Santos,,3,2305,0.0,0.0,MIR,0,4.0,86863,luiz-otavio,L. Otávio,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
155,Léo Jardim,5,2.48,Leonardo César Jardim,,1,267,3.25,14.1,VAS,4,9.81,87008,leo-jardim,L. Jardim,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,,,,,,1.0,10.0,,5.0,,,,,,,,,,,
156,Nathan,5,0.0,Nathan Allan de Souza,,4,284,0.0,0.0,GRE,0,4.0,87009,nathan,Nathan,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
157,Pedro Henrique,5,-0.34,Pedro Henrique Ribeiro Gonçalves,,3,280,6.46,4.7,RBB,5,8.95,87225,pedro-henrique,P. Henrique,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,True,,10.0,4.0,1.0,3.0,3.0,,,,1.0,,,,,,,,,,
158,Guilherme Arana,5,0.0,Guilherme Antonio Arana Lopes,,2,282,4.37,0.0,CAM,3,10.39,87228,guilherme-arana,G. Arana,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,False,1.0,3.0,3.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,
