,atletas.slug,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.foto,atletas.status_id,atletas.atleta_id,atletas.clube_id,atletas.rodada_id,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.posicao_id,V,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,CV,DE,DP,GS,PP,PC,GC
27,philippe-coutinho,5.13,True,10.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7,68899,267,26,Philippe Coutinho,18,Philippe Coutinho Correia,3.5,0.08,VAS,P. Coutinho,4,,2.0,,7.0,11.0,15.0,14.0,26.0,4.0,1.0,1.0,,1.0,1.0,,,,,,
28,dudu,2.09,False,7.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,68920,282,26,Dudu,9,Eduardo Pereira Rodrigues,0.0,0.0,CAM,Dudu,5,,,,4.0,5.0,,1.0,11.0,1.0,,,,,,,,,,,
29,rafael,5.01,True,10.9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,7,68928,276,26,Rafael,23,Rafael Pires Monteiro,12.8,1.06,SAO,Rafael,1,,,2.0,1.0,,,,6.0,,,,8.0,,,73.0,,22.0,,,
30,marinho,2.95,True,6.22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,68952,356,26,Marinho,15,Mário Sérgio Santos Costa,1.0,0.0,FOR,Marinho,5,,2.0,2.0,10.0,24.0,5.0,11.0,20.0,1.0,13.0,,,,1.0,,,,,,
31,lucas-sasha,5.67,True,8.23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7,68991,356,26,Lucas Sasha,17,Lucas Pacheco Affini,2.3,-1.63,FOR,L. Sasha,4,,,1.0,59.0,29.0,2.0,2.0,13.0,1.0,,,,,,,,,,1.0,
32,willian-jose,3.73,True,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7,68996,265,26,Willian José,20,Willian José da Silva,0.5,-0.25,BAH,W. José,5,,4.0,2.0,1.0,5.0,7.0,7.0,9.0,4.0,1.0,,,2.0,,,,,,,
33,manoel,2.46,False,5.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,6,69014,266,26,Manoel,5,Manoel Messias Silva Carvalho,0.0,0.0,FLU,Manoel,3,,,,,1.0,,2.0,2.0,,,,2.0,,,,,,,,
34,danilo-fernandes,0.0,False,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,6,69051,265,26,Danilo Fernandes,0,Danilo Fernandes Batista,0.0,0.0,BAH,D. Fernandes,1,,,,,,,,,,,,,,,,,,,,
35,pablo,2.15,True,5.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,69138,292,26,Pablo,12,Pablo Felipe Teixeira,0.0,-0.11,SPT,Pablo,5,,,1.0,6.0,10.0,2.0,5.0,14.0,1.0,6.0,,,,,,,,,,
36,allan,1.87,True,3.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,6,69140,263,26,Allan,12,Allan Marques Loureiro,-1.3,-0.53,BOT,Allan,4,,,4.0,18.0,19.0,1.0,,8.0,,,,,,,,,,,,
37,danilo,4.69,False,11.86,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,7,69783,262,26,Danilo,10,Danilo Luiz da Silva,0.0,0.0,FLA,Danilo,3,,,1.0,6.0,10.0,1.0,1.0,4.0,1.0,,,6.0,,,,,,,,
38,lucas-moura,5.8,False,7.36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,70164,276,26,Lucas Moura,3,Lucas Rodrigues Moura da Silva,0.0,0.0,SAO,L. Moura,4,,,,5.0,2.0,,,5.0,1.0,,,,,,,,,,,
39,bruno-uvini,0.0,False,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,70221,287,26,Bruno Uvini,0,Bruno Uvini Bortolança,0.0,0.0,VIT,B. Uvini,3,,,,,,,,,,,,,,,,,,,,
40,eduardo-sasha,4.3,False,8.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,7,70360,280,26,Eduardo Sasha,23,Eduardo Colcenti Antunes,0.0,0.0,RBB,E. Sasha,5,,2.0,5.0,8.0,7.0,20.0,12.0,21.0,5.0,1.0,,,1.0,1.0,,,,,,
41,gabriel,4.65,True,5.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,70449,292,26,Gabriel,13,Gabriel Vasconcelos Ferreira,1.9,-0.19,SPT,Gabriel,1,,,1.0,,,,,1.0,,,,3.0,,,50.0,,19.0,,,
42,felipe-anderson,4.89,True,8.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,70592,275,26,Felipe Anderson,19,Felipe Anderson Pereira Gomes,8.7,0.46,PAL,F. Anderson,4,,2.0,,38.0,11.0,6.0,7.0,11.0,1.0,2.0,,,1.0,,,,,,,
43,marllon,3.76,False,6.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,70666,354,26,Marllon,17,Marllon Gonçalves Jerônimo Borges,0.0,0.0,CEA,Marllon,3,,,2.0,12.0,12.0,,2.0,8.0,2.0,,,6.0,,,,,,,,
44,jorge-sampaoli,5.52,False,11.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,70800,282,26,Jorge Sampaoli,3,Jorge Sampaoli,0.0,0.0,CAM,J. Sampaoli,6,1.0,,,,,,,,,,,,,,,,,,,
45,diogo-barbosa,4.55,True,8.22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,70916,356,26,Diogo Barbosa,11,Diogo Barbosa Mendanha,4.3,-0.66,FOR,D. Barbosa,2,,,1.0,15.0,6.0,,3.0,10.0,1.0,,,3.0,,,,,,,,
46,bruno-henrique,2.55,True,5.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,70944,285,26,Bruno Henrique,19,Bruno Henrique Corsini,0.8,-0.63,INT,B. Henrique,4,,,1.0,25.0,34.0,3.0,9.0,11.0,1.0,,1.0,,,1.0,,,,,,
47,thiago-mendes,0.2,False,4.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5,71123,267,26,Thiago Mendes,3,Thiago Henrique Mendes Ribeiro,0.0,0.0,VAS,T. Mendes,4,,,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,
48,vina,1.56,True,4.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,71162,354,26,Vina,5,Vinícius Goes Barbosa de Souza,-1.1,-0.88,CEA,Vina,4,,,1.0,2.0,3.0,1.0,,5.0,,,,,1.0,,,,,,,
49,luiz-gustavo,5.05,True,10.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,71536,276,26,Luiz Gustavo,2,Luiz Gustavo Dias,0.5,-0.73,SAO,L. Gustavo,4,,,,4.0,4.0,,1.0,3.0,,,,,1.0,,,,,,,
50,fernando-miguel,6.18,False,7.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,71571,354,26,Fernando Miguel,6,Fernando Miguel Kaufmann,0.0,0.0,CEA,F. Miguel,1,,,,,,,,6.0,,,,3.0,,,17.0,,3.0,,,
