,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC
165,0.0,285,1,0.0,False,88136,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ivan,5,ivan,22,INT,0.0,Ivan Quaresma da Silva,0,Ivan,,,,,,,,,,,,,,,,,,,,
166,6.7,282,3,4.03,True,88312,6.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,J. Alonso,7,junior-alonso,22,CAM,0.43,Júnior Osmar Ignacio Alonso Mujica,19,Junior Alonso,3.0,24.0,15.0,7.0,10.0,,,1.0,3.0,,,7.0,,1.0,,,,,,1.0
167,0.0,264,5,2.07,False,88323,5.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,A. Romero,6,angel-romero,22,COR,0.0,Ángel Rodrigo Romero Villamayor,19,Ángel Romero,3.0,12.0,9.0,10.0,20.0,,7.0,1.0,4.0,,1.0,,,1.0,,,,,,
168,3.1,262,2,6.4,True,88393,10.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,A. Lucas,7,ayrton-lucas,22,FLA,-0.34,Ayrton Lucas Dantas de Medeiros,8,Ayrton Lucas,1.0,11.0,10.0,1.0,7.0,1.0,,,2.0,,,5.0,,,,,,1.0,,
169,1.0,292,2,2.6,True,88423,5.17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Aderlan,7,aderlan,22,SPT,-0.21,Aderlan de Lima Silva,4,Aderlan,,3.0,1.0,1.0,3.0,,1.0,,,,,1.0,,,,,,1.0,,
170,0.0,283,4,0.64,False,88479,3.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Walace,6,walace,22,CRU,0.0,Walace Souza Silva,8,Walace,2.0,6.0,8.0,,1.0,,,,,,,,,,,,,,,
171,7.58,283,6,6.89,True,88963,11.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,L. Jardim,7,leonardo-jardim,22,CRU,0.06,José Leonardo Nunes Alves Sousa Jardim,22,Leonardo Jardim,,,,,,,,,,,,,13.0,,,,,,,
172,0.0,264,5,2.18,False,89048,4.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,H. Hernández,6,hector-hernandez,22,COR,0.0,Héctor José Hernández Marrero,9,Héctor Hernández,,5.0,4.0,2.0,3.0,1.0,2.0,,2.0,,,,,,,,,,,
173,0.0,284,2,2.43,False,89273,5.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,J. Pedro,6,joao-pedro,22,GRE,0.0,João Pedro Maturano dos Santos,6,João Pedro,,7.0,5.0,,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,,
174,0.0,275,4,0.0,False,89274,13.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,A. Pereira,6,andreas-pereira,22,PAL,0.0,Andreas Hugo Hoelgebaum Pereira,0,Andreas Pereira,,,,,,,,,,,,,,,,,,,,
175,6.2,283,2,8.64,True,89275,15.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,William,7,william,22,CRU,-0.72,Willian de Asevedo Furtado,16,William,1.0,43.0,20.0,7.0,11.0,,2.0,3.0,4.0,,,10.0,,,,,,,,
176,0.0,2305,4,0.0,False,89285,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,M. Sales,6,matheus-sales,22,MIR,0.0,Matheus de Sales Cabral,0,Matheus Sales,,,,,,,,,,,,,,,,,,,,
177,-0.6,284,5,4.43,True,89368,11.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Braithwaite,7,braithwaite,22,GRE,-0.57,Martin Christensen Braithwaite,16,Braithwaite,3.0,8.0,21.0,10.0,20.0,4.0,2.0,1.0,8.0,1.0,1.0,,,,,,,,,
178,5.0,266,3,3.96,True,89493,6.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,I. Rabello,6,igor-rabello,22,FLU,0.12,Igor Rabello da Costa,5,Igor Rabello,,4.0,4.0,,,,,,,,,3.0,,,,,,,,
