,atletas.slug,atletas.preco_num,atletas.foto,atletas.clube.id.full.name,atletas.atleta_id,atletas.status_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.apelido,atletas.clube_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.rodada_id,atletas.posicao_id,atletas.variacao_num,A,DS,FC,FD,FF,FS,V,I,CA,SG,DE,GS,G,CV,PP,PC,FT,DP,PS,GC
28,alan-patrick,15.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,68685,7,A. Patrick,9.2,Alan Patrick,285,,True,2,5.1,Alan Patrick Lourenço,2,4,0.35,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,
29,eduardo,5.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,68708,6,Eduardo,0.0,Eduardo,283,,True,1,0.0,Carlos Eduardo de Oliveira Alves,2,4,-1.16,,,,,,,,,,,,,,,,,,,,
30,oscar,20.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,68811,5,Oscar,0.0,Oscar,276,,False,0,0.0,Oscar dos Santos Emboaba Júnior,2,4,0.0,,,,,,,,,,,,,,,,,,,,
31,marcelo-lomba,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,68872,6,M. Lomba,0.0,Marcelo Lomba,275,,False,0,0.0,Marcelo Lomba do Nascimento,2,1,0.0,,,,,,,,,,,,,,,,,,,,
32,philippe-coutinho,12.68,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,68899,7,P. Coutinho,0.0,Philippe Coutinho,267,,False,1,3.5,Philippe Coutinho Correia,2,4,0.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
33,dudu,12.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,68920,7,Dudu,2.2,Dudu,283,,True,2,8.05,Eduardo Pereira Rodrigues,2,5,-1.58,,4.0,3.0,,,6.0,,,,,,,1.0,,,,,,,
34,gil,5.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,68923,7,Gil,-0.1,Gil,277,,True,2,0.8,Carlos Gilberto do Nascimento Silva,2,3,-0.93,,2.0,3.0,,,1.0,,,1.0,,,,,,,,,,,
35,rafael,13.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,68928,7,Rafael,13.8,Rafael,276,,True,2,10.7,Rafael Pires Monteiro,2,1,1.95,,,,,,2.0,,,,2.0,8.0,,,,,,,,,
36,marinho,8.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,68952,7,Marinho,0.0,Marinho,356,,False,1,5.2,Mário Sérgio Santos Costa,2,5,0.0,1.0,,3.0,,1.0,1.0,,2.0,,,,,,,,,,,,
37,lucas-sasha,6.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,68991,7,L. Sasha,13.4,Lucas Sasha,356,,True,2,7.6,Lucas Pacheco Affini,2,4,3.02,,10.0,6.0,,,4.0,,,,,,,,,,,,,,
