,atletas.jogos_num,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.pontos_num,atletas.atleta_id,atletas.clube_id,atletas.apelido,atletas.preco_num,atletas.posicao_id,atletas.media_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.foto,atletas.entrou_em_campo,atletas.status_id,DS,FD,FS,SG,CA,FC,FF,FT,G,A,I,CV,DE,GS,PS,V,PC,GC,DP,PP
26,1,neto,BOT,1.17,5.5,68806,263,Neto,9.17,1,5.5,21,Neto,Norberto Murara Neto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,7,,,,,,,,,,,,,5.0,1.0,,,,,,
27,6,oscar,SAO,0.0,0.0,68811,276,Oscar,11.39,4,1.67,21,Oscar,Oscar dos Santos Emboaba Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,5,5.0,2.0,4.0,,1.0,3.0,,,,,,,,,,,,,,
28,1,marcelo-lomba,PAL,0.0,0.0,68872,275,Marcelo Lomba,7.63,1,3.2,21,M. Lomba,Marcelo Lomba do Nascimento,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,6,,,,,,,,,,,,,4.0,2.0,,,,,,
29,13,philippe-coutinho,VAS,-2.35,1.8,68899,267,Philippe Coutinho,9.33,4,4.4,21,P. Coutinho,Philippe Coutinho Correia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,7,4.0,13.0,20.0,,,10.0,12.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,
30,7,dudu,CAM,0.0,0.0,68920,282,Dudu,8.39,5,2.57,21,Dudu,Eduardo Pereira Rodrigues,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,False,3,4.0,,11.0,,,5.0,,,1.0,,,,,,,,,,,
31,8,gil,SAN,0.0,0.0,68923,277,Gil,4.94,3,1.93,21,Gil,Carlos Gilberto do Nascimento Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,6,9.0,,1.0,1.0,3.0,7.0,2.0,,,,,,,,,,,,,
32,19,rafael,SAO,-0.19,6.3,68928,276,Rafael,9.54,1,4.33,21,Rafael,Rafael Pires Monteiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,7,1.0,,5.0,6.0,2.0,,,,,,,,54.0,20.0,,,,,,
33,12,marinho,FOR,-0.74,0.2,68952,356,Marinho,6.27,5,3.34,21,Marinho,Mário Sérgio Santos Costa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,6,9.0,5.0,18.0,,2.0,22.0,8.0,,1.0,2.0,12.0,1.0,,,,,,,,
34,14,lucas-sasha,FOR,-0.16,3.2,68991,356,Lucas Sasha,7.96,4,5.51,21,L. Sasha,Lucas Pacheco Affini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,7,50.0,2.0,12.0,,1.0,20.0,1.0,,,,,,,,,,,,,
35,16,willian-jose,BAH,-1.87,0.0,68996,265,Willian José,6.7,5,3.51,21,W. José,Willian José da Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,7,1.0,5.0,6.0,,2.0,5.0,5.0,2.0,3.0,3.0,,,,,,,,,,
