,atletas.apelido_abreviado,atletas.preco_num,atletas.status_id,atletas.foto,atletas.apelido,atletas.rodada_id,atletas.posicao_id,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.clube_id,atletas.pontos_num,atletas.media_num,atletas.jogos_num,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FS,SG,FF,A,G,I,PC,V,FT,DE,DP,GS,CV,PS,PP,GC
189,Juninho,4.24,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Juninho,20,5,juninho,FLA,0.0,90307,262,0.0,1.56,11,False,Olávio Vieira dos Santos Júnior,,5.0,7.0,2.0,4.0,,2.0,,,2.0,,,2.0,,,,,,,
190,David,9.3,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,David,20,5,david,VAS,3.5,90309,267,17.9,5.62,6,True,David Correa da Fonseca,,5.0,3.0,2.0,2.0,,1.0,3.0,1.0,1.0,,,,,,,,,,
191,M. Pereira,4.66,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Matheus Pereira,20,4,matheus-pereira,FOR,0.0,90370,356,0.0,2.08,5,False,Matheus Pereira da Silva,1.0,1.0,6.0,1.0,1.0,,,2.0,,,,,,,,,,,,
192,Rezende,4.16,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Rezende,20,4,rezende,BAH,0.0,90449,265,0.0,3.9,1,False,Júlio César de Rezende Miranda,,2.0,2.0,,3.0,,,,,,,,,,,,,,,
193,Caíque,4.04,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Caíque,20,4,caique,JUV,-0.29,90588,286,0.0,2.3,11,True,Caique de Jesus Gonçalves,4.0,18.0,20.0,,17.0,,1.0,,,,1.0,,,,,,,,,
194,C. Costa,8.44,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Chico da Costa,20,5,chico-da-costa,MIR,-0.99,90608,2305,1.3,6.0,7,True,Francisco da Costa Aragão,,2.0,5.0,1.0,9.0,,4.0,,4.0,4.0,,,,,,,,,,
195,Matheuzinho,10.53,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Matheuzinho,20,4,matheuzinho,VIT,0.0,90703,287,0.0,4.68,13,False,Matheus Martins Fogaça de Paulo,3.0,17.0,10.0,8.0,35.0,,2.0,,2.0,2.0,,,,,,,1.0,,,
196,F. Bruno,8.5,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Fabrício Bruno,20,3,fabricio-bruno,CRU,-1.22,90768,283,2.2,5.1,19,True,Fabrício Bruno Soares de Faria,4.0,22.0,11.0,1.0,13.0,9.0,3.0,,2.0,,,,,,,,,,,
197,C. Eduardo,4.27,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Carlos Eduardo,20,5,carlos-eduardo,MIR,0.17,90917,2305,2.8,2.41,7,True,Carlos Eduardo Ferreira de Souza,1.0,2.0,4.0,2.0,6.0,,1.0,2.0,,1.0,,,,,,,,,,
198,Z. Marcos,3.11,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Zé Marcos,20,3,ze-marcos,VIT,0.0,90943,287,0.0,1.86,16,False,José Marcos Alves Luis,3.0,8.0,14.0,,10.0,4.0,,,,1.0,,,,,,,,,,
199,Ronaldo,6.35,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Ronaldo,20,1,ronaldo,BAH,1.06,91101,265,6.8,4.27,8,True,Ronaldo de Oliveira Strada,,,,,3.0,2.0,,,,,1.0,,,19.0,1.0,8.0,,,,
200,Fernandinho,6.11,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernandinho,20,5,fernandinho,CEA,0.0,91130,354,0.0,3.48,6,False,Fernando José Marques Maciel,1.0,8.0,4.0,1.0,4.0,,4.0,1.0,,3.0,,,,,,,,,,
201,Kaio,9.47,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Kaio,20,3,kaio,BOT,0.0,91158,263,0.0,6.32,5,False,Kaio Fernando da Silva Pantaleão,,6.0,4.0,2.0,8.0,3.0,3.0,,,,,,,,,,,,,
202,Éder,2.9,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Éder,20,3,eder,CEA,0.0,91203,354,0.0,0.8,1,False,Éder Ferreira Graminho,,,,,,,1.0,,,,,,,,,,,,,
203,E. Pulgar,6.34,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Erick Pulgar,20,4,erick-pulgar,FLA,0.0,91473,262,0.0,2.89,9,False,Erick Antonio Pulgar Farfán,2.0,12.0,13.0,2.0,7.0,,,,1.0,,,,,,,,,,,
204,R. Sam,4.25,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Rodrigo Sam,20,3,rodrigo-sam,JUV,0.0,91509,286,0.0,2.04,5,False,Rodrigo Eduardo da Silva,2.0,8.0,8.0,,4.0,,1.0,,,2.0,,,,,,,,,,
205,Arboleda,10.16,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Arboleda,20,3,arboleda,SAO,0.0,91573,276,0.0,5.9,13,False,Robert Abel Arboleda Escobar,2.0,20.0,9.0,,7.0,4.0,5.0,,3.0,2.0,,,,,,,,,,
206,Rony,9.98,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Rony,20,5,rony,CAM,-0.94,91607,282,-0.3,4.67,17,True,Ronielson da Silva Barbosa,3.0,15.0,31.0,16.0,31.0,,10.0,,3.0,15.0,,,1.0,,,,,1.0,,
207,D. Vieira,3.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Dudu Vieira,20,4,dudu-vieira,JUV,0.0,91627,286,0.0,0.0,0,False,Carlos Eduardo de Souza Vieira,,,,,,,,,,,,,,,,,,,,
208,I. Cariús,8.06,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Igor Cariús,20,2,igor-carius,SPT,-0.4,91639,292,3.5,4.97,15,True,Igor Aquino da Silva,1.0,31.0,17.0,5.0,19.0,4.0,4.0,,,5.0,1.0,,,,,,,,,1.0
209,Marlon,9.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Marlon,20,2,marlon,GRE,1.96,91706,284,16.7,5.1,13,True,Marlon Rodrigues Xavier,2.0,30.0,14.0,1.0,11.0,3.0,1.0,1.0,,,,,,,,,,,,
210,D. Duarte,4.94,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,David Duarte,20,3,david-duarte,BAH,-0.02,91772,265,1.5,2.97,15,True,David de Duarte Macedo,2.0,6.0,10.0,2.0,7.0,6.0,6.0,,,1.0,,,,,,,,,,
211,C. França,6.53,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Caíque França,20,1,caique-franca,SPT,0.0,91808,292,0.0,3.52,12,False,Caíque França Godoy,2.0,2.0,,,1.0,2.0,,,,,,,,39.0,,20.0,,,,
212,Z. Ivaldo,6.89,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Zé Ivaldo,20,3,ze-ivaldo,SAN,0.0,91866,277,0.0,4.15,12,False,José Ivaldo Almeida Silva,4.0,19.0,13.0,,9.0,2.0,10.0,,1.0,3.0,1.0,,,,,,,,,
213,Pavón,5.38,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Pavón,20,5,pavon,GRE,0.0,91908,284,0.0,2.74,10,False,Cristian David Pavón,4.0,10.0,6.0,5.0,8.0,,4.0,1.0,,,,,,,,,,,,
214,Giovanny,3.2,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Giovanny,20,5,giovanny,JUV,0.0,92085,286,0.0,1.72,10,False,Giovanny Bariani Marques,,3.0,4.0,,10.0,,5.0,1.0,,1.0,,,,,,,,,,
215,Lyanco,8.86,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Lyanco,20,3,lyanco,CAM,0.0,92087,282,0.0,5.46,12,False,Lyanco Evangelista Silveira Neves Vojnovic,4.0,28.0,22.0,3.0,17.0,5.0,4.0,,,2.0,,,,,,,2.0,,,
216,A. Cabral,14.55,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Arthur Cabral,20,5,arthur-cabral,BOT,0.0,92171,263,0.0,7.13,6,False,Arthur Mendonça Cabral,,4.0,8.0,4.0,7.0,,5.0,,3.0,1.0,,,1.0,,,,,,,
217,Juninho,4.84,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Juninho,20,3,juninho,INT,0.0,92182,285,0.0,2.83,7,False,José Carlos Ferreira Júnior,1.0,10.0,2.0,1.0,4.0,,4.0,,,,,,,,,,,,,
218,R. Ely,4.75,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Rodrigo Ely,20,3,rodrigo-ely,GRE,0.0,92237,284,0.0,0.6,2,False,Rodrigo Ely,,1.0,1.0,,,,,,,,,,,,,,,,,
219,A. Ramalho,6.33,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,André Ramalho,20,3,andre-ramalho,COR,0.56,92440,264,4.1,3.62,14,True,André Ramalho Silva,4.0,18.0,15.0,,6.0,5.0,5.0,,,,,,,,,,,,,
220,R. Kayzer,11.78,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Renato Kayzer,20,5,renato-kayzer,VIT,2.58,92696,287,17.0,6.33,13,True,Renato Kayzer de Souza,1.0,4.0,17.0,5.0,25.0,,7.0,,7.0,7.0,,,1.0,,,,,,,
221,D. Paulista,8.29,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Daniel Paulista,20,6,daniel-paulista,SPT,-0.35,92702,292,4.93,5.35,7,True,Daniel Pollo Barioni,,,,,,,,,,,,1.0,,,,,,,,
222,Deyverson,5.47,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Deyverson,20,5,deyverson,FOR,-0.22,92708,356,-0.4,3.04,14,True,Deyverson Brum Silva Acosta,1.0,4.0,12.0,3.0,14.0,,11.0,,2.0,3.0,,,2.0,,,,,,,
223,B. Rodrigues,6.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Bruno Rodrigues,20,5,bruno-rodrigues,PAL,0.0,92811,275,0.0,0.0,0,False,Bruno Rafael Rodrigues do Nascimento,,,,,,,,,,,,,,,,,,,,
224,Borré,12.17,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Borré,20,5,borre,INT,2.1,92854,285,14.7,4.34,15,True,Rafael Santos Borré Maury,1.0,11.0,18.0,5.0,5.0,,9.0,1.0,4.0,5.0,,,1.0,,,,,,,
225,Ronaldo,4.2,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ronaldo,20,4,ronaldo,INT,0.0,92981,285,0.0,1.95,11,False,Ronaldo da Silva Souza Guerrero,3.0,19.0,20.0,2.0,2.0,,2.0,,,2.0,,,,,,,1.0,,,
226,R. Ramos,5.47,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Rafael Ramos,20,2,rafael-ramos,CEA,0.87,93236,354,6.2,3.51,12,True,Rafael António Figueiredo Ramos,1.0,15.0,13.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,
227,J. Basso,7.74,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,João Basso,20,3,joao-basso,SAN,0.0,93372,277,0.0,4.42,6,False,João Othávio Basso,2.0,7.0,10.0,,6.0,2.0,,,1.0,,,,,,,,,,,
228,Cantalapiedra,6.76,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Cantalapiedra,20,5,cantalapiedra,VIT,2.23,93411,287,9.5,4.75,2,True,Aitor Cantalapiedra Fernández,,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,
229,Wanderson,4.78,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Wanderson,20,5,wanderson,CRU,-0.75,93478,283,0.2,1.87,19,True,Wanderson Maciel Sousa Campos,2.0,7.0,23.0,8.0,10.0,,15.0,1.0,,6.0,,,1.0,,,,,,,
230,B. Tubarão,4.6,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Bruno Tubarão,20,2,bruno-tubarao,CEA,0.0,93637,354,0.0,2.2,7,False,Bruno Nunes de Barros,,,1.0,,,3.0,1.0,,,1.0,,,,,,,,,,
231,P. Henrique,13.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Paulo Henrique,20,2,paulo-henrique,VAS,0.69,93716,267,9.1,7.65,14,True,Paulo Henrique de Oliveira Alves,6.0,48.0,32.0,6.0,9.0,3.0,4.0,3.0,,1.0,,,2.0,,,,,,,
232,M. Freitas,5.46,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Marlon Freitas,20,4,marlon-freitas,BOT,-0.2,93790,263,1.1,2.44,15,True,Marlon Rodrigues Freitas,3.0,12.0,16.0,4.0,7.0,,4.0,3.0,,,,,,,,,,,,
233,Keiller,3.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Keiller,20,1,keiller,CEA,0.0,93834,354,0.0,0.0,0,False,Keiller da Silva Nunes,,,,,,,,,,,,,,,,,,,,
234,Cleiton,7.59,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Cleiton,20,1,cleiton,RBB,0.18,93882,280,2.9,4.56,17,True,Cleiton Schwengber,3.0,,,,4.0,5.0,,,,,,,,58.0,,22.0,,,,
235,Matheusinho,7.47,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Matheusinho,20,4,matheusinho,SPT,-1.28,93886,292,2.0,5.42,6,True,Matheus Leonardo Sales Cardoso,,6.0,5.0,1.0,7.0,,3.0,2.0,1.0,1.0,,,,,,,,,,
236,B. Lopes,7.46,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Breno Lopes,20,5,breno-lopes,FOR,0.83,93988,356,7.0,4.02,12,True,Breno Henrique Vasconcelos Lopes,2.0,3.0,7.0,4.0,21.0,,8.0,,3.0,9.0,,,1.0,,,,,,,
237,John,10.88,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,John,20,1,john,BOT,-0.35,94044,263,0.3,6.11,16,True,John Victor Maciel Furtado,2.0,1.0,1.0,,3.0,9.0,,,,,,,,47.0,,9.0,,,,
238,M. Fernandes,4.46,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Matheus Fernandes,20,4,matheus-fernandes,RBB,-0.44,94067,280,0.0,2.02,9,True,Matheus Fernandes Siqueira,1.0,13.0,7.0,,2.0,,1.0,,,,,,,,,,,,,
239,Maycon,3.58,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Maycon,20,4,maycon,COR,0.0,94154,264,0.0,1.3,11,False,Maycon de Andrade Barberan,,9.0,3.0,,2.0,,1.0,,,,,,,,,,,,,
240,Guilherme,10.36,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Guilherme,20,5,guilherme,SAN,-1.34,94207,277,6.5,7.3,14,True,Guilherme Augusto Vieira dos Santos,,26.0,6.0,7.0,27.0,,12.0,2.0,3.0,5.0,,,,,,,,,,
241,M. Babi,4.55,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Matheus Babi,20,5,matheus-babi,JUV,0.0,94444,286,0.0,2.09,10,False,Matheus Barcelos da Silva,3.0,5.0,10.0,,4.0,,2.0,,2.0,2.0,,,,,,,,,,
242,R. Veiga,10.89,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Raphael Veiga,20,4,raphael-veiga,PAL,0.0,94509,275,0.0,2.25,10,False,Raphael Cavalcante Veiga,,4.0,9.0,2.0,15.0,,4.0,1.0,,,,,,,,,,1.0,,
243,L. Oliveira,5.56,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Lucas Oliveira,20,3,lucas-oliveira,VAS,1.56,94514,267,5.0,5.0,1,True,Lucas da Cruz Oliveira,,,,,,1.0,,,,,,,,,,,,,,
244,Pedro,17.78,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Pedro,20,5,pedro,FLA,2.41,94583,262,17.5,6.64,13,True,Pedro Guilherme Abreu dos Santos,3.0,6.0,6.0,10.0,7.0,,1.0,2.0,7.0,1.0,,,1.0,,,,,1.0,1.0,
245,L. Fernandes,5.77,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Lucas Fernandes,20,4,lucas-fernandes,JUV,0.0,94931,286,0.0,3.0,1,False,Lucas Fernandes da Silva,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,
246,J. Capixaba,11.57,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Juninho Capixaba,20,2,juninho-capixaba,RBB,0.0,94968,280,0.0,8.26,12,False,Luis Antônio da Rocha Júnior,1.0,29.0,17.0,4.0,27.0,6.0,7.0,,1.0,1.0,,,,,,,,,,
247,Nicolas,5.95,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Nicolas,20,2,nicolas,CEA,0.92,95127,354,7.1,3.08,8,True,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,1.0,6.0,7.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,
248,G. Taliari,8.42,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gabriel Taliari,20,5,gabriel-taliari,JUV,-0.95,95131,286,2.4,4.71,16,True,Gabriel Pereira Taliari,1.0,13.0,23.0,4.0,24.0,,9.0,2.0,3.0,3.0,,,2.0,,,,,,,
249,Giraldo,2.38,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Giraldo,20,4,giraldo,JUV,0.17,95354,286,1.4,0.64,10,True,Daniel Eduardo Giraldo Cárdenas,2.0,6.0,12.0,,3.0,,2.0,,,1.0,,,,,,,,,,
250,Rivera,4.83,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Rivera,20,4,rivera,SPT,-0.58,95357,292,1.3,3.05,16,True,Christian Hernando Rivera Cuéllar,5.0,38.0,42.0,,19.0,,,,,1.0,,,,,,,,,,
251,I. Vinícius,7.01,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Igor Vinícius,20,2,igor-vinicius,SAN,0.0,95466,277,0.0,3.06,7,False,Igor Vinícius de Souza,2.0,8.0,7.0,3.0,5.0,1.0,3.0,,,,,,,,,,,,,
252,Raniele,7.19,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Raniele,20,4,raniele,COR,1.35,95556,264,13.1,3.51,16,True,Raniele Almeida Melo,3.0,26.0,19.0,3.0,28.0,,4.0,1.0,,,,,,,,,,,,
253,L. Kal,5.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Lucas Kal,20,4,lucas-kal,SPT,0.0,95662,292,0.0,0.0,0,False,Lucas Kal Schenfeld Prigioli,,,,,,,,,,,,,,,,,,,,
254,Artur,8.86,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Artur,20,5,artur,BOT,0.0,95799,263,0.0,4.61,14,False,Artur Victor Guimarães,1.0,8.0,8.0,5.0,16.0,,10.0,3.0,2.0,1.0,,,1.0,,,,,,,
255,D. Fuzato,2.04,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Daniel Fuzato,20,1,daniel-fuzato,VAS,0.0,95936,267,0.0,-0.7,2,False,Daniel Cerântula Fuzato,,,,,,,,,,,,,,2.0,,4.0,,,,
256,Lima,4.68,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Lima,20,4,lima,FLU,-0.41,96340,266,0.0,1.97,14,True,Vinícius Moreira de Lima,2.0,4.0,12.0,2.0,18.0,,6.0,,1.0,1.0,,,1.0,,,,,,,
257,Charles,2.71,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Charles,20,4,charles,COR,0.0,96342,264,0.0,0.91,9,False,Charles Rigon Mattos,2.0,9.0,12.0,,1.0,,,,,2.0,,,,,,,,,,
258,J. Correa,9.13,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Joaquín Correa,20,5,joaquin-correa,BOT,0.83,96353,263,6.9,2.06,7,True,Carlos Joaquín Correa,1.0,5.0,3.0,4.0,5.0,,2.0,,,1.0,,,,,,,,,,
259,M. Pereira,15.31,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Matheus Pereira,20,4,matheus-pereira,CRU,1.07,96610,283,9.4,7.66,18,True,Matheus Fellipe Costa Pereira,5.0,26.0,21.0,13.0,58.0,,15.0,6.0,3.0,5.0,,,,,,,,,,
260,Allan,2.04,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Allan,20,4,allan,FLA,0.0,96652,262,0.0,0.45,11,False,Allan Rodrigues de Souza,2.0,3.0,17.0,2.0,7.0,,2.0,,,,,,,,,,,,,
261,Saravia,6.02,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Saravia,20,2,saravia,CAM,0.0,96725,282,0.0,3.48,8,False,Renzo Saravia,1.0,6.0,11.0,,3.0,4.0,2.0,,,,,,,,,,,,,
262,Carlinhos,4.57,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Carlinhos,20,5,carlinhos,VIT,0.0,96831,287,0.0,1.93,3,False,Carlos Moisés de Lima,2.0,,8.0,,,,3.0,,1.0,2.0,,,,,,,,,,
263,E. Royal,10.49,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Emerson Royal,20,2,emerson-royal,FLA,0.0,96870,262,0.0,4.05,2,False,Emerson Aparecido Leite de Souza Júnior,,4.0,4.0,,5.0,,1.0,,,,,,,,,,,,,
264,Guruceaga,4.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Guruceaga,20,1,guruceaga,JUV,0.0,96874,286,0.0,0.0,0,False,Gastón Guruceaga Fagúndez,,,,,,,,,,,,,,,,,,,,
265,Villasanti,9.45,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Villasanti,20,4,villasanti,GRE,0.08,97145,284,2.3,3.93,15,True,Mathías Adalberto Villasanti Rolón,5.0,42.0,24.0,,10.0,,4.0,,,,,,,,,,,,,
