,atletas.atleta_id,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.nome,atletas.apelido,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,PC,V,DP,CV,PP,GC
38,69140,8,4.58,3,BOT,18,allan,True,Allan Marques Loureiro,Allan,2.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Allan,-0.08,4,263,5.9,,3.0,14.0,16.0,1.0,,8.0,,,,,,,,,,,,,
39,69783,6,14.33,5,FLA,18,danilo,False,Danilo Luiz da Silva,Danilo,6.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Danilo,0.0,3,262,0.0,,,4.0,8.0,1.0,,4.0,1.0,,5.0,,,,,,,,,,
40,70164,0,5.0,5,SAO,18,lucas-moura,False,Lucas Rodrigues Moura da Silva,Lucas Moura,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,L. Moura,0.0,4,276,0.0,,,,,,,,,,,,,,,,,,,,
41,70216,10,4.92,7,JUV,18,gustavo,False,Luiz Gustavo de Almeida Pinto,Gustavo,3.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gustavo,0.0,1,286,0.0,,1.0,1.0,,,,,,,1.0,,,31.0,22.0,,,1.0,,,
42,70221,0,4.0,6,VIT,18,bruno-uvini,False,Bruno Uvini Bortolança,Bruno Uvini,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,B. Uvini,0.0,3,287,0.0,,,,,,,,,,,,,,,,,,,,
43,70360,17,7.39,3,RBB,18,eduardo-sasha,True,Eduardo Colcenti Antunes,Eduardo Sasha,3.79,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,E. Sasha,-0.46,5,280,-1.6,1.0,3.0,6.0,5.0,11.0,11.0,18.0,3.0,1.0,,1.0,,,,,,,1.0,,
44,70449,5,4.92,7,SPT,18,gabriel,True,Gabriel Vasconcelos Ferreira,Gabriel,2.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Gabriel,1.52,1,292,8.9,,,,,,,1.0,,,1.0,,,12.0,7.0,,,,,,
45,70592,11,6.84,6,PAL,18,felipe-anderson,False,Felipe Anderson Pereira Gomes,Felipe Anderson,3.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,F. Anderson,0.0,4,275,0.0,,,17.0,9.0,3.0,5.0,6.0,,1.0,,1.0,,,,,,,,,
46,70666,14,6.89,7,CEA,18,marllon,True,Marllon Gonçalves Jerônimo Borges,Marllon,3.86,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Marllon,-0.41,3,354,0.2,,2.0,9.0,10.0,,2.0,6.0,2.0,,5.0,,,,,,,,,,
47,70696,11,8.81,7,VIT,18,fabio-carille,True,Fábio Luiz Carille de Araújo,Fábio Carille,5.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,F. Carille,0.06,6,287,4.94,,,,,,,,,,,,,,,,3.0,,,,
