,atletas.entrou_em_campo,atletas.nome,atletas.slug,atletas.preco_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.variacao_num,atletas.pontos_num,atletas.rodada_id,atletas.apelido,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.foto,atletas.clube.id.full.name,atletas.apelido_abreviado,DS,FC,FD,FF,FS,I,A,CA,SG,DE,GS,CV,PP,V,FT,G,PC,DP,PS,GC
10,True,Alexi Stival,cuca,9.85,,42411,-0.03,4.97,3,Cuca,6,282,5.1,7,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,Cuca,,,,,,,,,,,,,,,,,,,,
11,True,Fagner Conserva Lemos,fagner,5.5,,42500,-0.5,0.8,3,Fagner,2,283,0.8,6,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,Fagner,2.0,4.0,,,,,,1.0,,,,,,,,,,,,
12,False,David Braz de Oliveira Filho,david-braz,5.0,,50317,0.0,0.0,3,David Braz,3,2305,0.0,6,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,D. Braz,,,,,,,,,,,,,,,,,,,,
13,False,Christian Chagas Tarouco,titi,5.88,,50353,0.0,0.0,3,Titi,3,356,5.45,7,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,Titi,4.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,
14,False,Walter Leandro Capeloza Artune,walter,6.0,,51413,0.0,0.0,3,Walter,1,2305,0.0,6,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,Walter,,,,,,,,,,,,,,,,,,,,
15,True,Everton Augusto de Barros Ribeiro,everton-ribeiro,8.12,,51772,-0.67,0.9,3,Everton Ribeiro,4,265,0.15,7,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,E. Ribeiro,2.0,4.0,,,3.0,,,,,,,1.0,,,,,,,,
16,False,Fernando Francisco Reges,fernando,7.1,,52271,0.0,0.0,3,Fernando,4,285,2.7,7,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,Fernando,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
17,True,David Luiz Moreira Marinho,david-luiz,9.3,,52827,1.62,9.5,3,David Luiz,3,356,4.73,6,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,D. Luiz,3.0,2.0,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,
18,False,Leonardo Gamalho de Souza,leo-gamalho,4.0,,53865,0.0,0.0,3,Léo Gamalho,5,2305,0.0,6,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,L. Gamalho,,,,,,,,,,,,,,,,,,,,
19,True,Alex Teixeira Santos,alex-teixeira,3.7,,60793,-0.07,1.4,3,Alex Teixeira,5,267,1.3,6,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,A. Teixeira,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,
20,False,Josef de Souza Dias,souza,4.0,,60803,0.0,0.0,3,Souza,3,267,0.0,6,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,Souza,,,,,,,,,,,,,,,,,,,,
21,False,Gilberto Oliveira Souza Júnior,gilberto,6.0,,61188,0.0,0.0,3,Gilberto,5,286,0.0,5,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,Gilberto,,,,,,,,,,,,,,,,,,,,
