,atletas.apelido,atletas.entrou_em_campo,atletas.rodada_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.media_num,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.nome,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.clube.id.full.name,CA,DS,FC,FF,FS,I,SG,A,FD,G,PS,DE,GS,FT,V,CV,DP,PP,PC,GC
10,Osvaldo,True,31,5,Osvaldo,42222,287,3.6,1.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,24,0.01,Osvaldo Lourenço Filho,0.5,6,osvaldo,VIT,3.0,9.0,6.0,8.0,18.0,4.0,,2.0,6.0,,,,,1.0,,,,,,
11,Cássio,True,31,1,Cássio,42234,283,9.99,5.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,29,-0.56,Cássio Roberto Ramos,6.0,7,cassio,CRU,4.0,,,,6.0,,12.0,,,,,87.0,21.0,,,,1.0,,,
12,Fagner,False,31,2,Fagner,42500,283,8.51,6.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,9,0.0,Fagner Conserva Lemos,0.0,6,fagner,CRU,1.0,20.0,11.0,1.0,7.0,1.0,5.0,,,,,,,,,,,,,
13,Walter,True,31,1,Walter,51413,2305,10.85,6.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,22,0.47,Walter Leandro Capeloza Artune,6.3,7,walter,MIR,2.0,,,,3.0,,9.0,,,,,84.0,17.0,,,,2.0,,,
14,Everton Ribeiro,True,31,4,E. Ribeiro,51772,265,7.45,4.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,24,-0.12,Everton Augusto de Barros Ribeiro,0.0,6,everton-ribeiro,BAH,3.0,31.0,18.0,7.0,36.0,,,3.0,5.0,2.0,,,,1.0,,1.0,,,,
15,Gilberto,True,31,5,Gilberto,61188,286,4.05,2.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,21,-0.19,Gilberto Oliveira Souza Júnior,0.5,7,gilberto,JUV,5.0,6.0,23.0,7.0,16.0,4.0,,2.0,9.0,2.0,,,,,,,,1.0,,
16,Alex Sandro,False,31,2,A. Sandro,61987,262,9.44,4.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,17,0.0,Alex Sandro Lobo Silva,0.0,7,alex-sandro,FLA,4.0,16.0,35.0,3.0,15.0,1.0,10.0,,1.0,,,,,,,,,,,
17,Ganso,False,31,4,Ganso,62977,266,5.49,1.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,14,0.0,Paulo Henrique Chagas de Lima,0.0,6,ganso,FLU,2.0,7.0,6.0,2.0,16.0,,,,,,,,,,,,,,,
18,Neymar,True,31,4,Neymar,63007,277,14.78,5.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,14,0.97,Neymar da Silva Santos Júnior,9.1,6,neymar,SAN,4.0,3.0,16.0,9.0,53.0,2.0,,1.0,11.0,3.0,,,,1.0,,1.0,,,,
19,Rafael Tolói,False,31,3,R. Tolói,63008,276,9.37,5.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3,0.0,Rafael Toloi,0.0,6,rafael-toloi,SAO,,8.0,2.0,,1.0,,1.0,,,,,,,,,,,,,
