,atletas.apelido,atletas.entrou_em_campo,atletas.rodada_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.media_num,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.nome,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.clube.id.full.name,CA,DS,FC,FF,FS,I,SG,A,FD,G,PS,DE,GS,FT,V,CV,DP,PP,PC,GC
191,Caíque,True,31,4,Caíque,90588,286,4.26,2.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,20,0.02,Caique de Jesus Gonçalves,2.8,7,caique,JUV,7.0,32.0,40.0,1.0,29.0,,,,,,,,,,,,,,1.0,
192,Chico da Costa,True,31,5,C. Costa,90608,2305,7.49,3.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,14,0.3,Francisco da Costa Aragão,3.1,6,chico-da-costa,MIR,2.0,2.0,10.0,7.0,12.0,7.0,,,1.0,5.0,,,,1.0,,,,,,
193,Matheuzinho,True,31,4,Matheuzinho,90703,287,9.33,3.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,22,0.71,Matheus Martins Fogaça de Paulo,4.1,6,matheuzinho,VIT,4.0,20.0,14.0,4.0,45.0,2.0,,,13.0,3.0,,,,,,1.0,,,,
194,Fabrício Bruno,False,31,3,F. Bruno,90768,283,8.22,4.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,27,0.0,Fabrício Bruno Soares de Faria,0.0,7,fabricio-bruno,CRU,6.0,28.0,19.0,6.0,17.0,,13.0,,2.0,2.0,,,,,,1.0,,,,
195,Carlos Eduardo,True,31,5,C. Eduardo,90917,2305,4.61,3.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,17,-1.58,Carlos Eduardo Ferreira de Souza,2.0,6,carlos-eduardo,MIR,2.0,10.0,11.0,4.0,19.0,2.0,,3.0,5.0,1.0,1.0,,,,,,,,,
196,Zé Marcos,True,31,3,Z. Marcos,90943,287,3.3,2.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,24,-0.09,José Marcos Alves Luis,-0.8,3,ze-marcos,VIT,6.0,12.0,23.0,1.0,16.0,1.0,6.0,,,1.0,,,,,,,,,,
197,Ronaldo,True,31,1,Ronaldo,91101,265,6.82,5.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,19,-0.09,Ronaldo de Oliveira Strada,1.6,7,ronaldo,BAH,,,,,4.0,,6.0,1.0,,,,54.0,23.0,,,,2.0,,1.0,
198,Fernandinho,True,31,5,Fernandinho,91130,354,6.4,3.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,13,0.59,Fernando José Marques Maciel,7.2,7,fernandinho,CEA,2.0,19.0,12.0,6.0,16.0,3.0,,1.0,3.0,,,,,1.0,,,,,,
199,Kaio,False,31,3,Kaio,91158,263,8.62,4.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,9,0.0,Kaio Fernando da Silva Pantaleão,0.0,5,kaio,BOT,,10.0,8.0,5.0,10.0,1.0,4.0,,2.0,,,,,,,,,,,
200,Éder,False,31,3,Éder,91203,354,2.82,0.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2,0.0,Éder Ferreira Graminho,0.0,6,eder,CEA,,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,
201,Erick Pulgar,False,31,4,E. Pulgar,91473,262,5.84,2.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,11,0.0,Erick Antonio Pulgar Farfán,0.0,7,erick-pulgar,FLA,3.0,13.0,14.0,,7.0,,,,2.0,1.0,,,,,,,,,,
202,Rodrigo Sam,True,31,3,R. Sam,91509,286,4.89,3.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,10,0.15,Rodrigo Eduardo da Silva,5.2,7,rodrigo-sam,JUV,3.0,15.0,17.0,3.0,11.0,4.0,1.0,,2.0,,1.0,,,,,,,,,
203,Arboleda,True,31,3,Arboleda,91573,276,9.46,5.71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,20,-0.7,Robert Abel Arboleda Escobar,6.2,7,arboleda,SAO,4.0,34.0,16.0,8.0,11.0,3.0,7.0,,,3.0,1.0,,,,,,,,,
204,Rony,True,31,5,Rony,91607,282,9.9,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,26,0.79,Ronielson da Silva Barbosa,5.2,7,rony,CAM,4.0,21.0,39.0,14.0,48.0,17.0,,1.0,18.0,3.0,1.0,,,1.0,,,,,,
205,Dudu Vieira,False,31,4,D. Vieira,91627,286,3.0,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,0.0,Carlos Eduardo de Souza Vieira,0.0,6,dudu-vieira,JUV,,,,,,,,,,,,,,,,,,,,
206,Igor Cariús,True,31,2,I. Cariús,91639,292,8.02,4.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,21,0.0,Igor Aquino da Silva,4.2,6,igor-carius,SPT,2.0,37.0,24.0,5.0,23.0,5.0,5.0,,6.0,1.0,,,,,,,,,1.0,1.0
207,Marlon,True,31,2,Marlon,91706,284,7.91,5.03,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,23,0.05,Marlon Rodrigues Xavier,4.7,7,marlon,GRE,5.0,50.0,19.0,5.0,27.0,,4.0,2.0,4.0,,,,,,,,,,1.0,
208,David Duarte,True,31,3,D. Duarte,91772,265,5.45,3.4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,22,0.4,David de Duarte Macedo,3.0,7,david-duarte,BAH,4.0,10.0,17.0,7.0,8.0,1.0,9.0,,3.0,1.0,,,,1.0,,,,,,
209,Caíque França,False,31,1,C. França,91808,292,6.53,3.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,12,0.0,Caíque França Godoy,0.0,6,caique-franca,SPT,2.0,2.0,,,1.0,,2.0,,,,,39.0,20.0,,,,,,,
210,Zé Ivaldo,False,31,3,Z. Ivaldo,91866,277,5.92,3.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,14,0.0,José Ivaldo Almeida Silva,0.0,6,ze-ivaldo,SAN,4.0,20.0,14.0,11.0,10.0,3.0,3.0,,,1.0,,,,,,1.0,,,1.0,
211,Pavón,True,31,5,Pavón,91908,284,4.8,2.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,20,0.23,Cristian David Pavón,1.7,6,pavon,GRE,5.0,17.0,10.0,10.0,10.0,2.0,,2.0,7.0,,,,,,,,,,,
212,Ramón Díaz,True,31,6,R. Díaz,92075,285,9.32,5.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,11,0.19,Ramón Ángel Díaz,4.98,7,ramon-diaz,INT,,,,,,,,,,,,,,,3.0,,,,,
213,Giovanny,True,31,5,Giovanny,92085,286,3.58,1.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,13,0.42,Giovanny Bariani Marques,3.0,6,giovanny,JUV,2.0,3.0,7.0,8.0,12.0,1.0,,1.0,2.0,,,,,1.0,,,,,,
214,Lyanco,False,31,3,Lyanco,92087,282,8.87,5.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,15,0.0,Lyanco Evangelista Silveira Neves Vojnovic,0.0,5,lyanco,CAM,5.0,32.0,25.0,6.0,19.0,2.0,6.0,,3.0,,,,,,,2.0,,,1.0,
215,Arthur Cabral,True,31,5,A. Cabral,92171,263,10.72,4.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,14,-0.31,Arthur Mendonça Cabral,-0.4,2,arthur-cabral,BOT,,6.0,22.0,10.0,21.0,3.0,,1.0,8.0,3.0,1.0,,,1.0,,,,,,
216,Jair Ventura,True,31,6,J. Ventura,92180,287,9.56,4.93,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,0.21,Jair Ventura,4.86,7,jair-ventura,VIT,,,,,,,,,,,,,,,3.0,,,,,
217,Juninho,True,31,3,Juninho,92182,285,5.08,3.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,16,0.7,José Carlos Ferreira Júnior,4.9,7,juninho,INT,5.0,20.0,11.0,6.0,9.0,,3.0,,2.0,,,,,,,,,,,
218,Rodrigo Ely,False,31,3,R. Ely,92237,284,4.75,0.6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,0.0,Rodrigo Ely,0.0,5,rodrigo-ely,GRE,,1.0,1.0,,,,,,,,,,,,,,,,,
219,André Ramalho,False,31,3,A. Ramalho,92440,264,6.48,3.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,19,0.0,André Ramalho Silva,0.0,7,andre-ramalho,COR,4.0,23.0,19.0,7.0,8.0,,7.0,,1.0,,,,,,,,,,1.0,
220,Renato Kayzer,True,31,5,R. Kayzer,92696,287,8.61,4.44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,23,-0.16,Renato Kayzer de Souza,0.6,7,renato-kayzer,VIT,3.0,8.0,33.0,12.0,41.0,15.0,,,6.0,8.0,,,,1.0,,,,,,
221,Deyverson,False,31,5,Deyverson,92708,356,5.32,2.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,18,0.0,Deyverson Brum Silva,0.0,6,deyverson,FOR,2.0,6.0,13.0,13.0,22.0,3.0,,,4.0,2.0,,,,2.0,,,,,,
222,Bruno Rodrigues,True,31,5,B. Rodrigues,92811,275,5.87,2.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4,1.35,Bruno Rafael Rodrigues do Nascimento,7.9,6,bruno-rodrigues,PAL,,,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,
223,Borré,True,31,5,Borré,92854,285,9.48,3.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,23,-0.13,Rafael Santos Borré Maury,0.6,3,borre,INT,3.0,17.0,31.0,17.0,13.0,9.0,,1.0,5.0,5.0,,,,1.0,,1.0,,,,
224,Ronaldo,False,31,4,Ronaldo,92981,285,3.64,1.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,15,0.0,Ronaldo da Silva Souza Guerrero,0.0,6,ronaldo,INT,4.0,23.0,21.0,2.0,3.0,2.0,,,2.0,,,,,,,1.0,,,,
225,Rafael Ramos,False,31,2,R. Ramos,93236,354,4.98,3.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,16,0.0,Rafael António Figueiredo Ramos,0.0,6,rafael-ramos,CEA,2.0,21.0,18.0,5.0,4.0,,5.0,,1.0,,,,,,,,,,,
226,João Basso,False,31,3,J. Basso,93372,277,7.74,4.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,0.0,João Othávio Basso,0.0,7,joao-basso,SAN,2.0,7.0,10.0,,6.0,,2.0,,,1.0,,,,,,,,,,
227,Cantalapiedra,True,31,5,Cantalapiedra,93411,287,8.24,5.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,12,1.05,Aitor Cantalapiedra Fernández,10.5,7,cantalapiedra,VIT,1.0,10.0,4.0,5.0,10.0,2.0,,3.0,7.0,2.0,,,,1.0,,,,,,
228,Wanderson,False,31,5,Wanderson,93478,283,4.66,1.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,27,0.0,Wanderson Maciel Sousa Campos,0.0,7,wanderson,CRU,2.0,11.0,26.0,16.0,15.0,6.0,,2.0,10.0,,,,,1.0,,,,,,
229,Paulo Henrique,True,31,2,P. Henrique,93716,267,12.28,8.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,22,-2.17,Paulo Henrique de Oliveira Alves,-1.5,3,paulo-henrique,VAS,8.0,69.0,41.0,5.0,21.0,1.0,6.0,6.0,7.0,1.0,,,,2.0,,,,,1.0,
230,Marlon Freitas,True,31,4,M. Freitas,93790,263,4.86,2.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,25,0.18,Marlon Rodrigues Freitas,0.0,7,marlon-freitas,BOT,6.0,23.0,28.0,10.0,8.0,,,3.0,4.0,,,,,,,,,,,
231,Keiller,False,31,1,Keiller,93834,354,3.0,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,0.0,Keiller da Silva Nunes,0.0,6,keiller,CEA,,,,,,,,,,,,,,,,,,,,
232,Cleiton,True,31,1,Cleiton,93882,280,7.34,4.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,27,0.46,Cleiton Schwengber,3.2,7,cleiton,RBB,5.0,,,,8.0,,6.0,,,,,92.0,40.0,,,,,,,
233,Matheusinho,False,31,4,Matheusinho,93886,292,6.58,4.19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,16,0.0,Matheus Leonardo Sales Cardoso,0.0,7,matheusinho,SPT,1.0,15.0,11.0,8.0,19.0,1.0,,3.0,4.0,2.0,,,,,,1.0,,,,
234,Breno Lopes,True,31,5,B. Lopes,93988,356,7.98,4.44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,22,0.14,Breno Henrique Vasconcelos Lopes,8.8,7,breno-lopes,FOR,3.0,10.0,10.0,17.0,38.0,15.0,,1.0,8.0,5.0,,,,1.0,,,,,,
235,Matheus Fernandes,True,31,4,M. Fernandes,94067,280,5.49,2.35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,16,0.31,Matheus Fernandes Siqueira,8.7,3,matheus-fernandes,RBB,3.0,21.0,18.0,4.0,4.0,,,,1.0,1.0,,,,,,,,,,
236,Maycon,True,31,4,Maycon,94154,264,4.07,2.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,21,-1.27,Maycon de Andrade Barberan,1.2,6,maycon,COR,3.0,18.0,14.0,5.0,5.0,,,,,3.0,,,,,,,,,,
237,Guilherme,True,31,5,Guilherme,94207,277,9.08,5.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,24,-0.74,Guilherme Augusto Vieira dos Santos,0.1,6,guilherme,SAN,,33.0,12.0,22.0,42.0,12.0,,2.0,13.0,4.0,,,,,,,,,,
238,Matheus Babi,False,31,5,M. Babi,94444,286,3.63,1.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,15,0.0,Matheus Barcelos da Silva,0.0,6,matheus-babi,JUV,4.0,7.0,14.0,4.0,12.0,4.0,,,,2.0,,,,,,,,,,
239,Raphael Veiga,True,31,4,R. Veiga,94509,275,9.8,2.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,18,-0.55,Raphael Cavalcante Veiga,-0.6,6,raphael-veiga,PAL,1.0,10.0,16.0,5.0,27.0,,,1.0,5.0,1.0,1.0,,,,,,,,,
240,Lucas Oliveira,False,31,3,L. Oliveira,94514,267,4.15,1.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,0.0,Lucas da Cruz Oliveira,0.0,6,lucas-oliveira,VAS,1.0,2.0,3.0,,,,2.0,,,,,,,,,,,,,
241,Pedro,False,31,5,Pedro,94583,262,17.97,7.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,21,0.0,Pedro Guilherme Abreu dos Santos,0.0,5,pedro,FLA,3.0,10.0,14.0,4.0,16.0,2.0,,6.0,14.0,12.0,2.0,,,1.0,,,,1.0,,
242,Lucas Fernandes,False,31,4,L. Fernandes,94931,286,4.58,2.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,0.0,Lucas Fernandes da Silva,0.0,6,lucas-fernandes,JUV,,5.0,5.0,2.0,3.0,1.0,,,1.0,,,,,,,,,,,
243,Juninho Capixaba,True,31,2,J. Capixaba,94968,280,10.85,6.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,18,-0.7,Luis Antônio da Rocha Júnior,2.8,7,juninho-capixaba,RBB,2.0,38.0,24.0,10.0,36.0,2.0,7.0,,5.0,1.0,,,,,,,,,,
244,Gabriel Bahia,False,31,3,G. Bahia,95106,263,3.56,1.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,3,0.0,Gabriel Henrique Feitosa da Silva,0.0,6,gabriel-bahia,BOT,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
245,Nicolas,False,31,2,Nicolas,95127,354,5.41,3.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,11,0.0,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,0.0,6,nicolas,CEA,1.0,12.0,9.0,3.0,7.0,,3.0,,1.0,,,,,,,,,,,
246,Gabriel Taliari,False,31,5,G. Taliari,95131,286,7.51,3.66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,25,0.0,Gabriel Pereira Taliari,0.0,7,gabriel-taliari,JUV,6.0,21.0,38.0,14.0,39.0,4.0,,2.0,6.0,3.0,,,,2.0,,,,,,
247,Giraldo,False,31,4,Giraldo,95354,286,1.83,0.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,13,0.0,Daniel Eduardo Giraldo Cárdenas,0.0,6,giraldo,JUV,3.0,6.0,17.0,2.0,3.0,1.0,,,,,,,,,,,,,,
248,Rivera,True,31,4,Rivera,95357,292,4.71,2.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,25,0.0,Christian Hernando Rivera Cuéllar,1.6,7,rivera,SPT,5.0,50.0,58.0,1.0,30.0,3.0,,,,,,,,,,,,,,
249,Igor Vinícius,True,31,2,I. Vinícius,95466,277,6.86,3.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,17,-0.43,Igor Vinícius de Souza,4.6,7,igor-vinicius,SAN,5.0,32.0,21.0,3.0,14.0,,2.0,,3.0,,,,,,,,,,,
250,Raniele,False,31,4,Raniele,95556,264,6.77,4.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,25,0.0,Raniele Almeida Melo,0.0,7,raniele,COR,6.0,52.0,32.0,6.0,45.0,,,1.0,4.0,1.0,,,,,,,,,,
251,Marcelo Benevenuto,False,31,3,M. Benevenuto,95638,356,5.0,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0,0.0,Marcelo da Conceição Benevenuto Malaquias,0.0,5,marcelo-benevenuto,FOR,,,,,,,,,,,,,,,,,,,,
252,Lucas Kal,True,31,4,L. Kal,95662,292,2.57,0.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5,-0.62,Lucas Kal Schenfeld Prigioli,-0.3,6,lucas-kal,SPT,,1.0,4.0,,,,,,,,,,,,,,,,,
253,Artur,True,31,5,Artur,95799,263,8.44,3.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,20,0.29,Artur Victor Guimarães,3.0,7,artur,BOT,2.0,10.0,13.0,13.0,21.0,1.0,,4.0,6.0,2.0,,,,1.0,,,,,,
254,Daniel Fuzato,False,31,1,D. Fuzato,95936,267,2.04,-0.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2,0.0,Daniel Cerântula Fuzato,0.0,6,daniel-fuzato,VAS,,,,,,,,,,,,2.0,4.0,,,,,,,
255,Lima,True,31,4,Lima,96340,266,4.91,2.19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,23,0.21,Vinícius Moreira de Lima,2.2,6,lima,FLU,2.0,6.0,16.0,8.0,26.0,1.0,,1.0,4.0,2.0,,,,1.0,,,,,,
256,Charles,True,31,4,Charles,96342,264,3.24,1.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,14,-1.3,Charles Rigon Mattos,0.0,6,charles,COR,2.0,16.0,17.0,,3.0,2.0,,,1.0,1.0,,,,,,,,,1.0,
257,Joaquín Correa,False,31,5,J. Correa,96353,263,9.68,2.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,14,0.0,Carlos Joaquín Correa,0.0,5,joaquin-correa,BOT,1.0,5.0,8.0,5.0,14.0,2.0,,,6.0,2.0,,,,,,,,,,
258,Matheus Pereira,True,31,4,M. Pereira,96610,283,14.37,7.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,29,0.08,Matheus Fellipe Costa Pereira,4.9,7,matheus-pereira,CRU,5.0,36.0,30.0,19.0,95.0,6.0,,7.0,18.0,6.0,,,,2.0,,,,,,
259,Allan,False,31,4,Allan,96652,262,2.22,0.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,13,0.0,Allan Rodrigues de Souza,0.0,6,allan,FLA,2.0,5.0,19.0,2.0,7.0,,,,2.0,,,,,,,,,,,
260,Rigoni,True,31,5,Rigoni,96684,276,4.2,1.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,0.22,Emiliano Ariel Rigoni,2.1,6,rigoni,SAO,1.0,,5.0,3.0,2.0,5.0,,1.0,2.0,,,,,1.0,,1.0,,,,
261,Saravia,True,31,2,Saravia,96725,282,6.41,3.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,11,1.19,Renzo Saravia,6.7,7,saravia,CAM,2.0,8.0,14.0,2.0,5.0,,5.0,,,,,,,,,,,,,
262,Camutanga,True,31,3,Camutanga,96793,287,5.91,3.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,9,1.28,Cleidson Andrade da Souza Silva,8.2,7,camutanga,VIT,5.0,13.0,11.0,3.0,3.0,1.0,2.0,,2.0,,,,,,,,,,,
263,Carlinhos,False,31,5,Carlinhos,96831,287,3.51,0.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,0.0,Carlos Moisés de Lima,0.0,6,carlinhos,VIT,2.0,1.0,8.0,4.0,1.0,3.0,,,,1.0,,,,,,1.0,,,,
264,Emerson Royal,True,31,2,E. Royal,96870,262,11.14,6.03,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,11,1.23,Emerson Aparecido Leite de Souza Júnior,9.9,6,emerson-royal,FLA,1.0,21.0,12.0,2.0,20.0,,3.0,,4.0,1.0,,,,,,,,,,
265,Guruceaga,False,31,1,Guruceaga,96874,286,4.0,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,0.0,Gastón Guruceaga Fagúndez,0.0,6,guruceaga,JUV,,,,,,,,,,,,,,,,,,,,
