,atletas.preco_num,atletas.foto,atletas.media_num,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.entrou_em_campo,atletas.apelido,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,FT,CV,V,DP,PC,PP,GC
30,9.23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,4.98,1,rafael,68928,276,30,Rafael Pires Monteiro,True,Rafael,Rafael,SAO,0.3,0.15,33,7,2.0,1.0,,,,6.0,,,10.0,,,100.0,33.0,,,,,,,
31,6.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.02,5,marinho,68952,356,16,Mário Sérgio Santos Costa,False,Marinho,Marinho,FOR,0.0,0.0,33,6,2.0,11.0,24.0,5.0,13.0,22.0,1.0,13.0,,2.0,,,,,1.0,,,,,
32,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.38,4,lucas-sasha,68991,356,24,Lucas Pacheco Affini,True,Lucas Sasha,L. Sasha,FOR,0.0,-0.55,33,7,2.0,78.0,43.0,6.0,4.0,19.0,1.0,1.0,,,,,,,,,,1.0,,
33,9.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.99,5,willian-jose,68996,265,26,Willian José da Silva,True,Willian José,W. José,BAH,14.6,1.9,33,7,3.0,2.0,9.0,10.0,10.0,13.0,9.0,2.0,,5.0,,,,3.0,,,,,,
34,5.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,2.46,3,manoel,69014,266,5,Manoel Messias Silva Carvalho,False,Manoel,Manoel,FLU,0.0,0.0,33,6,,,1.0,,2.0,2.0,,,2.0,,,,,,,,,,,
35,3.55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,-1.0,1,danilo-fernandes,69051,265,0,Danilo Fernandes Batista,False,Danilo Fernandes,D. Fernandes,BAH,0.0,0.0,33,6,1.0,,,,,,,,,,,,,,,,,,,
36,5.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.07,5,pablo,69138,292,17,Pablo Felipe Teixeira,True,Pablo,Pablo,SPT,4.9,0.43,33,6,1.0,7.0,13.0,2.0,8.0,17.0,1.0,7.0,,1.0,,,,,,,,,,
37,3.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1.38,4,allan,69140,263,17,Allan Marques Loureiro,False,Allan,Allan,BOT,0.0,0.0,33,6,6.0,20.0,23.0,1.0,1.0,9.0,,,,,,,,,,,,,,
38,10.9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.43,3,danilo,69783,262,16,Danilo Luiz da Silva,True,Danilo,Danilo,FLA,3.0,0.38,33,6,2.0,10.0,15.0,2.0,2.0,5.0,1.0,,7.0,,,,,,1.0,,,,,
39,6.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.52,4,lucas-moura,70164,276,10,Lucas Rodrigues Moura da Silva,True,Lucas Moura,L. Moura,SAO,1.5,-0.12,33,2,,6.0,5.0,2.0,6.0,11.0,2.0,1.0,,,,,,,,,,1.0,,
40,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,3,bruno-uvini,70221,287,0,Bruno Uvini Bortolança,False,Bruno Uvini,B. Uvini,VIT,0.0,0.0,33,6,,,,,,,,,,,,,,,,,,,,
41,8.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.24,5,eduardo-sasha,70360,280,28,Eduardo Colcenti Antunes,False,Eduardo Sasha,E. Sasha,RBB,0.0,0.0,33,6,6.0,10.0,9.0,21.0,14.0,31.0,6.0,3.0,,2.0,,,,2.0,1.0,,,,,
42,5.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.23,1,gabriel,70449,292,20,Gabriel Vasconcelos Ferreira,True,Gabriel,Gabriel,SPT,-2.7,-0.68,33,6,2.0,,,,,3.0,,,3.0,,,80.0,34.0,,,,,,,
43,7.55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.92,4,felipe-anderson,70592,275,26,Felipe Anderson Pereira Gomes,True,Felipe Anderson,F. Anderson,PAL,1.5,0.0,33,6,,48.0,12.0,6.0,10.0,15.0,3.0,2.0,,2.0,,,,1.0,,,,,,
44,6.99,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.48,3,marllon,70666,354,21,Marllon Gonçalves Jerônimo Borges,False,Marllon,Marllon,CEA,0.0,0.0,33,7,3.0,14.0,13.0,,4.0,10.0,2.0,,7.0,,,,,,,,,,,
45,10.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.68,6,jorge-sampaoli,70800,282,10,Jorge Sampaoli,True,Jorge Sampaoli,J. Sampaoli,CAM,8.58,0.0,33,6,,,,,,,,,,,,,,,,4.0,,,,
46,7.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.95,2,diogo-barbosa,70916,356,13,Diogo Barbosa Mendanha,False,Diogo Barbosa,D. Barbosa,FOR,0.0,0.0,33,6,1.0,15.0,6.0,,4.0,11.0,1.0,,3.0,,,,,,,,,,,
47,5.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.7,4,bruno-henrique,70944,285,24,Bruno Henrique Corsini,False,Bruno Henrique,B. Henrique,INT,0.0,0.0,33,6,1.0,30.0,34.0,3.0,9.0,13.0,2.0,,,,1.0,,,,1.0,,,,,
48,4.35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.15,4,thiago-mendes,71123,267,4,Thiago Henrique Mendes Ribeiro,False,Thiago Mendes,T. Mendes,VAS,0.0,0.0,33,6,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,,,
49,5.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2.2,4,vina,71162,354,11,Vinícius Goes Barbosa de Souza,False,Vina,Vina,CEA,0.0,0.0,33,7,2.0,3.0,7.0,6.0,7.0,6.0,,,,1.0,,,,1.0,,,,,,
50,8.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.8,4,luiz-gustavo,71536,276,7,Luiz Gustavo Dias,True,Luiz Gustavo,L. Gustavo,SAO,1.9,-0.59,33,7,,9.0,10.0,,2.0,7.0,1.0,,,,,,,1.0,,,,,,
51,7.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6.18,1,fernando-miguel,71571,354,6,Fernando Miguel Kaufmann,False,Fernando Miguel,F. Miguel,CEA,0.0,0.0,33,6,,,,,,6.0,,,3.0,,,17.0,3.0,,,,,,,
52,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.36,1,weverton,71631,275,25,Weverton Pereira da Silva,False,Weverton,Weverton,PAL,0.0,0.0,33,6,2.0,,,,,10.0,,,9.0,,,57.0,20.0,,,,1.0,,,
53,4.54,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.25,2,raul-caceres,71680,287,15,Raúl Alejandro Cáceres Bogado,False,Raúl Cáceres,R. Cáceres,VIT,0.0,0.0,33,6,6.0,8.0,20.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,,,,,,,,1.0,,
54,8.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.9,3,gustavo-gomez,71684,275,24,Gustavo Raúl Gómez Portillo,True,Gustavo Gómez,G. Gómez,PAL,0.5,-0.97,33,6,8.0,32.0,29.0,2.0,9.0,13.0,2.0,9.0,10.0,1.0,,,,,,,,,,
55,6.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,2.77,2,santiago-arias,71701,265,17,Santiago Arias Naranjo,True,Santiago Arias,S. Arias,BAH,4.0,0.51,33,7,3.0,16.0,8.0,3.0,3.0,19.0,,1.0,3.0,,,,,,,,,2.0,,
