,atletas.apelido_abreviado,atletas.foto,atletas.pontos_num,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.apelido,atletas.nome,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,CV,V,PP,DP,PC,GC
184,B. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,-0.5,24,-0.41,29,6,5.38,90285,FLA,True,bruno-henrique,262,Bruno Henrique,Bruno Henrique Pinto,2.33,5,,5.0,13.0,33.0,11.0,12.0,27.0,2.0,10.0,,,,,,,,,,,
185,Juninho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,11,0.0,29,6,4.24,90307,FLA,False,juninho,262,Juninho,Olávio Vieira dos Santos Júnior,1.56,5,,,5.0,7.0,2.0,2.0,4.0,,2.0,,2.0,,,,,,,,,
186,David,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,15,-1.11,29,6,5.63,90309,VAS,True,david,267,David,David Correa da Fonseca,2.83,5,3.0,1.0,6.0,9.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,,,
187,M. Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,12,0.0,29,5,5.09,90370,FOR,False,matheus-pereira,356,Matheus Pereira,Matheus Pereira da Silva,2.57,4,3.0,3.0,11.0,14.0,2.0,2.0,5.0,,,,,,,,,,,,,
188,Rezende,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,9,0.0,29,6,3.57,90449,BAH,False,rezende,265,Rezende,Júlio César de Rezende Miranda,1.48,4,,,8.0,9.0,,,8.0,,,,,,,,,,,,,
189,A. Melo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,6,0.0,29,6,8.41,90532,GRE,False,arthur-melo,284,Arthur Melo,Arthur Henrique Ramos de Oliveira Melo,3.07,4,,1.0,10.0,9.0,1.0,,18.0,,1.0,,,,,,1.0,,,,,
190,Caíque,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,-0.4,18,-0.28,29,7,3.84,90588,JUV,True,caique,286,Caíque,Caique de Jesus Gonçalves,2.09,4,,6.0,27.0,34.0,,1.0,27.0,,,,,,,,,,,,1.0,
191,C. Costa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,12,0.0,29,6,7.3,90608,MIR,False,chico-da-costa,2305,Chico da Costa,Francisco da Costa Aragão,4.14,5,,1.0,2.0,8.0,1.0,6.0,9.0,5.0,5.0,,,,,,,,,,,
192,Matheuzinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,10.7,20,1.18,29,7,10.41,90703,VIT,True,matheuzinho,287,Matheuzinho,Matheus Martins Fogaça de Paulo,4.06,4,,3.0,20.0,12.0,10.0,4.0,44.0,3.0,2.0,,,,,,1.0,,,,,
193,F. Bruno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6.3,26,0.0,29,7,8.79,90768,CRU,True,fabricio-bruno,283,Fabrício Bruno,Fabrício Bruno Soares de Faria,4.67,3,,6.0,27.0,16.0,2.0,6.0,17.0,2.0,,12.0,,,,,,,,,,
194,C. Eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,14.4,16,2.11,29,7,6.19,90917,MIR,True,carlos-eduardo,2305,Carlos Eduardo,Carlos Eduardo Ferreira de Souza,3.14,5,3.0,2.0,9.0,11.0,5.0,4.0,18.0,1.0,2.0,,,1.0,,,,,,,,
195,Z. Marcos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6.9,22,0.83,29,7,4.43,90943,VIT,True,ze-marcos,287,Zé Marcos,José Marcos Alves Luis,2.42,3,,5.0,12.0,20.0,,1.0,15.0,1.0,1.0,6.0,,,,,,,,,,
196,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7.6,17,0.56,29,7,7.73,91101,BAH,True,ronaldo,265,Ronaldo,Ronaldo de Oliveira Strada,5.5,1,1.0,,,,,,4.0,,,6.0,,,49.0,20.0,,,,2.0,1.0,
197,Fernandinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.0,11,-1.19,29,7,5.43,91130,CEA,True,fernandinho,354,Fernandinho,Fernando José Marques Maciel,3.25,5,1.0,2.0,14.0,9.0,3.0,4.0,16.0,,3.0,,,,,,,,,,,
198,Kaio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,9,0.0,29,5,8.62,91158,BOT,False,kaio,263,Kaio,Kaio Fernando da Silva Pantaleão,4.88,3,,,10.0,8.0,2.0,5.0,10.0,,1.0,4.0,,,,,,,,,,
199,Éder,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,2,0.0,29,6,2.82,91203,CEA,False,eder,354,Éder,Éder Ferreira Graminho,0.8,3,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
200,E. Pulgar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,-1.3,11,-0.67,29,7,5.84,91473,FLA,True,erick-pulgar,262,Erick Pulgar,Erick Antonio Pulgar Farfán,2.38,4,,3.0,13.0,14.0,2.0,,7.0,1.0,,,,,,,,,,,,
201,R. Sam,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7.1,8,0.94,29,7,4.75,91509,JUV,True,rodrigo-sam,286,Rodrigo Sam,Rodrigo Eduardo da Silva,2.44,3,,2.0,10.0,16.0,1.0,2.0,6.0,,4.0,1.0,,1.0,,,,,,,,
202,Arboleda,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,2.0,18,-0.36,29,7,8.7,91573,SAO,True,arboleda,276,Arboleda,Robert Abel Arboleda Escobar,5.31,3,,4.0,30.0,15.0,,7.0,9.0,3.0,3.0,5.0,,,,,,,,,,
203,Rony,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,24,0.0,29,6,10.03,91607,CAM,False,rony,282,Rony,Ronielson da Silva Barbosa,4.15,5,1.0,3.0,20.0,38.0,17.0,14.0,42.0,3.0,16.0,,1.0,1.0,,,,,,,,
204,D. Vieira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,0,0.0,29,6,3.0,91627,JUV,False,dudu-vieira,286,Dudu Vieira,Carlos Eduardo de Souza Vieira,0.0,4,,,,,,,,,,,,,,,,,,,,
205,I. Cariús,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,-0.1,19,-1.3,29,6,7.52,91639,SPT,True,igor-carius,292,Igor Cariús,Igor Aquino da Silva,4.68,2,,2.0,32.0,23.0,6.0,4.0,22.0,1.0,5.0,5.0,,,,,,,,,1.0,1.0
206,Marlon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.0,21,0.28,29,7,7.96,91706,GRE,True,marlon,284,Marlon,Marlon Rodrigues Xavier,5.07,2,2.0,5.0,48.0,17.0,2.0,2.0,23.0,,,4.0,,,,,,,,,1.0,
207,D. Duarte,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,14.2,20,1.83,29,7,6.96,91772,BAH,True,david-duarte,265,David Duarte,David de Duarte Macedo,3.6,3,,3.0,9.0,15.0,3.0,7.0,8.0,1.0,1.0,9.0,,,,,,,,,,
208,C. França,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,12,0.0,29,6,6.53,91808,SPT,False,caique-franca,292,Caíque França,Caíque França Godoy,3.52,1,,2.0,2.0,,,,1.0,,,2.0,,,39.0,20.0,,,,,,
209,Z. Ivaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,14,0.0,29,6,5.92,91866,SAN,False,ze-ivaldo,277,Zé Ivaldo,José Ivaldo Almeida Silva,3.88,3,,4.0,20.0,14.0,,11.0,10.0,1.0,3.0,3.0,,,,,1.0,,,,1.0,
210,Pavón,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.5,18,-0.36,29,7,4.92,91908,GRE,True,pavon,284,Pavón,Cristian David Pavón,2.61,5,2.0,4.0,16.0,9.0,6.0,10.0,10.0,,2.0,,,,,,,,,,,
211,R. Díaz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,10.4,9,1.13,29,7,10.11,92075,INT,True,ramon-diaz,285,Ramón Díaz,Ramón Ángel Díaz,5.64,6,,,,,,,,,,,,,,,,3.0,,,,
212,Giovanny,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,11,0.0,29,6,3.63,92085,JUV,False,giovanny,286,Giovanny,Giovanny Bariani Marques,1.82,5,1.0,1.0,3.0,4.0,,6.0,10.0,,1.0,,1.0,,,,,,,,,
213,Lyanco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,15,0.0,29,5,8.87,92087,CAM,False,lyanco,282,Lyanco,Lyanco Evangelista Silveira Neves Vojnovic,5.08,3,,5.0,32.0,25.0,3.0,6.0,19.0,,2.0,6.0,,,,,2.0,,,,1.0,
214,A. Cabral,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,12,0.0,29,6,11.9,92171,BOT,False,arthur-cabral,263,Arthur Cabral,Arthur Mendonça Cabral,5.3,5,1.0,,6.0,19.0,8.0,10.0,20.0,3.0,3.0,,1.0,1.0,,,,,,,,
215,J. Ventura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7.78,5,0.35,29,7,10.21,92180,VIT,True,jair-ventura,287,Jair Ventura,Jair Ventura,5.34,6,,,,,,,,,,,,,,,,3.0,,,,
216,Juninho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.5,14,-0.03,29,7,5.31,92182,INT,True,juninho,285,Juninho,José Carlos Ferreira Júnior,3.1,3,,3.0,19.0,9.0,2.0,6.0,7.0,,,2.0,,,,,,,,,,
217,R. Ely,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,2,0.0,29,5,4.75,92237,GRE,False,rodrigo-ely,284,Rodrigo Ely,Rodrigo Ely,0.6,3,,,1.0,1.0,,,,,,,,,,,,,,,,
218,A. Ramalho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,18,0.0,29,6,6.21,92440,COR,False,andre-ramalho,264,André Ramalho,André Ramalho Silva,3.6,3,,4.0,23.0,19.0,1.0,7.0,8.0,,,6.0,,,,,,,,,1.0,
219,R. Kayzer,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,21,0.0,29,3,9.83,92696,VIT,False,renato-kayzer,287,Renato Kayzer,Renato Kayzer de Souza,4.77,5,,3.0,8.0,30.0,6.0,11.0,37.0,8.0,14.0,,1.0,,,,,,,,,
220,D. Paulista,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,1.56,16,-0.52,29,7,7.76,92702,SPT,True,daniel-paulista,292,Daniel Paulista,Daniel Pollo Barioni,4.7,6,,,,,,,,,,,,,,,,2.0,,,,
221,Deyverson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,18,0.0,29,3,5.32,92708,FOR,False,deyverson,356,Deyverson,Deyverson Brum Silva,2.84,5,,2.0,6.0,13.0,4.0,13.0,22.0,2.0,3.0,,2.0,,,,,,,,,
222,B. Rodrigues,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,2,0.0,29,6,5.19,92811,PAL,False,bruno-rodrigues,275,Bruno Rodrigues,Bruno Rafael Rodrigues do Nascimento,0.6,5,,,,,1.0,,,,,,,,,,,,,,,
223,Borré,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,11.3,21,1.27,29,7,11.12,92854,INT,True,borre,285,Borré,Rafael Santos Borré Maury,3.89,5,1.0,2.0,17.0,30.0,5.0,14.0,12.0,5.0,7.0,,1.0,,,,1.0,,,,,
224,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.7,14,-0.12,29,6,3.58,92981,INT,True,ronaldo,285,Ronaldo,Ronaldo da Silva Souza Guerrero,1.8,4,,4.0,22.0,21.0,2.0,2.0,3.0,,2.0,,,,,,1.0,,,,,
225,R. Ramos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.0,16,0.01,29,6,4.98,93236,CEA,True,rafael-ramos,354,Rafael Ramos,Rafael António Figueiredo Ramos,3.52,2,,2.0,21.0,18.0,1.0,5.0,4.0,,,5.0,,,,,,,,,,
226,J. Basso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,6,0.0,29,6,7.74,93372,SAN,False,joao-basso,277,João Basso,João Othávio Basso,4.42,3,,2.0,7.0,10.0,,,6.0,1.0,,2.0,,,,,,,,,,
227,Cantalapiedra,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.3,10,-0.38,29,7,6.77,93411,VIT,True,cantalapiedra,287,Cantalapiedra,Aitor Cantalapiedra Fernández,4.88,5,2.0,1.0,8.0,4.0,5.0,4.0,8.0,2.0,2.0,,,,,,,,,,,
228,Wanderson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2.7,26,0.34,29,6,5.02,93478,CRU,True,wanderson,283,Wanderson,Wanderson Maciel Sousa Campos,1.96,5,2.0,2.0,11.0,26.0,10.0,16.0,14.0,,6.0,,1.0,,,,,,,,,
229,P. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,12.8,20,0.8,29,7,14.16,93716,VAS,True,paulo-henrique,267,Paulo Henrique,Paulo Henrique de Oliveira Alves,8.31,2,6.0,7.0,64.0,41.0,6.0,5.0,19.0,1.0,1.0,5.0,2.0,,,,,,,,,
230,M. Freitas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,23,0.0,29,3,5.8,93790,BOT,False,marlon-freitas,263,Marlon Freitas,Marlon Rodrigues Freitas,2.33,4,3.0,5.0,23.0,25.0,4.0,10.0,8.0,,,,,,,,,,,,,
231,Keiller,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,0,0.0,29,6,3.0,93834,CEA,False,keiller,354,Keiller,Keiller da Silva Nunes,0.0,1,,,,,,,,,,,,,,,,,,,,
232,Cleiton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,2.1,25,-0.67,29,2,7.35,93882,RBB,True,cleiton,280,Cleiton,Cleiton Schwengber,4.23,1,,5.0,,,,,8.0,,,6.0,,,86.0,35.0,,,,,,
233,Matheusinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.4,15,0.14,29,7,7.53,93886,SPT,True,matheusinho,292,Matheusinho,Matheus Leonardo Sales Cardoso,4.66,4,3.0,1.0,15.0,10.0,4.0,8.0,18.0,2.0,1.0,,,,,,,,,,,
234,B. Lopes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.2,20,-0.92,29,7,6.91,93988,FOR,True,breno-lopes,356,Breno Lopes,Breno Henrique Vasconcelos Lopes,4.0,5,,2.0,9.0,9.0,7.0,16.0,32.0,4.0,10.0,,1.0,,,,,,,,,
235,M. Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,-0.6,14,-0.45,29,6,3.88,94067,RBB,True,matheus-fernandes,280,Matheus Fernandes,Matheus Fernandes Siqueira,1.48,4,,2.0,15.0,15.0,1.0,3.0,2.0,,,,,,,,,,,,,
236,Maycon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,11.0,20,1.78,29,7,5.34,94154,COR,True,maycon,264,Maycon,Maycon de Andrade Barberan,2.45,4,,3.0,17.0,13.0,,5.0,5.0,3.0,,,,,,,,,,,,
237,Guilherme,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1.6,22,-0.2,29,7,9.43,94207,SAN,True,guilherme,277,Guilherme,Guilherme Augusto Vieira dos Santos,6.17,5,2.0,,31.0,11.0,12.0,22.0,39.0,4.0,11.0,,,,,,,,,,,
238,M. Babi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.0,15,-0.24,29,6,3.63,94444,JUV,True,matheus-babi,286,Matheus Babi,Matheus Barcelos da Silva,1.8,5,,4.0,7.0,14.0,,4.0,12.0,2.0,4.0,,,,,,,,,,,
239,R. Veiga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.6,16,-0.77,29,6,10.34,94509,PAL,True,raphael-veiga,275,Raphael Veiga,Raphael Cavalcante Veiga,2.81,4,1.0,1.0,9.0,14.0,5.0,4.0,27.0,1.0,,,,1.0,,,,,,,,
240,L. Oliveira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,6,0.0,29,6,4.15,94514,VAS,False,lucas-oliveira,267,Lucas Oliveira,Lucas da Cruz Oliveira,1.85,3,,1.0,2.0,3.0,,,,,,2.0,,,,,,,,,,
241,Pedro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,17.3,21,0.46,29,7,17.97,94583,FLA,True,pedro,262,Pedro,Pedro Guilherme Abreu dos Santos,7.74,5,6.0,3.0,10.0,14.0,14.0,4.0,16.0,12.0,2.0,,1.0,2.0,,,,,1.0,,,
242,L. Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,5,0.0,29,6,4.58,94931,JUV,False,lucas-fernandes,286,Lucas Fernandes,Lucas Fernandes da Silva,2.04,4,,,5.0,5.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,
243,J. Capixaba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.9,16,-0.55,29,7,10.72,94968,RBB,True,juninho-capixaba,280,Juninho Capixaba,Luis Antônio da Rocha Júnior,7.0,2,,2.0,32.0,22.0,5.0,8.0,35.0,1.0,2.0,7.0,,,,,,,,,,
244,G. Bahia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,3,0.0,29,6,3.56,95106,BOT,False,gabriel-bahia,263,Gabriel Bahia,Gabriel Henrique Feitosa da Silva,1.73,3,,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,,
245,Nicolas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,10,0.0,29,6,6.33,95127,CEA,False,nicolas,354,Nicolas,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,3.48,2,,1.0,11.0,9.0,1.0,3.0,7.0,,,3.0,,,,,,,,,,
246,G. Taliari,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3.2,24,0.37,29,7,7.9,95131,JUV,True,gabriel-taliari,286,Gabriel Taliari,Gabriel Pereira Taliari,3.77,5,2.0,5.0,20.0,34.0,6.0,13.0,37.0,3.0,4.0,,2.0,,,,,,,,,
247,Giraldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,13,0.0,29,6,1.83,95354,JUV,False,giraldo,286,Giraldo,Daniel Eduardo Giraldo Cárdenas,0.3,4,,3.0,6.0,17.0,,2.0,3.0,,1.0,,,,,,,,,,,
248,Rivera,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,1.3,24,-0.31,29,7,4.71,95357,SPT,True,rivera,292,Rivera,Christian Hernando Rivera Cuéllar,2.78,4,,5.0,49.0,55.0,,1.0,28.0,,3.0,,,,,,,,,,,
249,I. Vinícius,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6.0,15,0.12,29,7,6.83,95466,SAN,True,igor-vinicius,277,Igor Vinícius,Igor Vinícius de Souza,3.12,2,,5.0,24.0,18.0,3.0,3.0,10.0,,,2.0,,,,,,,,,,
250,Raniele,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,8.5,24,-0.59,29,7,7.16,95556,COR,True,raniele,264,Raniele,Raniele Almeida Melo,4.25,4,1.0,5.0,48.0,30.0,4.0,6.0,43.0,1.0,,,,,,,,,,,,
251,M. Benevenuto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,0,0.0,29,5,5.0,95638,FOR,False,marcelo-benevenuto,356,Marcelo Benevenuto,Marcelo da Conceição Benevenuto Malaquias,0.0,3,,,,,,,,,,,,,,,,,,,,
252,L. Kal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,3,0.0,29,6,3.36,95662,SPT,False,lucas-kal,292,Lucas Kal,Lucas Kal Schenfeld Prigioli,-0.2,4,,,,2.0,,,,,,,,,,,,,,,,
253,Artur,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,19,-0.34,29,6,8.15,95799,BOT,True,artur,263,Artur,Artur Victor Guimarães,3.86,5,4.0,1.0,9.0,12.0,6.0,12.0,17.0,2.0,1.0,,1.0,,,,,,,,,
254,D. Fuzato,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,2,0.0,29,6,2.04,95936,VAS,False,daniel-fuzato,267,Daniel Fuzato,Daniel Cerântula Fuzato,-0.7,1,,,,,,,,,,,,,2.0,4.0,,,,,,
255,Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.5,21,-0.07,29,6,4.79,96340,FLU,True,lima,266,Lima,Vinícius Moreira de Lima,2.27,4,1.0,2.0,5.0,14.0,4.0,7.0,24.0,2.0,1.0,,1.0,,,,,,,,,
256,Charles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,12,-0.01,29,6,2.95,96342,COR,True,charles,264,Charles,Charles Rigon Mattos,1.37,4,,2.0,15.0,17.0,1.0,,2.0,,2.0,,,,,,,,,,1.0,
257,J. Correa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.2,13,-0.4,29,7,7.13,96353,BOT,True,joaquin-correa,263,Joaquín Correa,Carlos Joaquín Correa,1.63,5,,1.0,5.0,7.0,5.0,5.0,14.0,,2.0,,,,,,,,,,,
258,M. Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2.0,27,-1.3,29,7,14.21,96610,CRU,True,matheus-pereira,283,Matheus Pereira,Matheus Fellipe Costa Pereira,7.55,4,7.0,5.0,35.0,29.0,16.0,18.0,86.0,6.0,6.0,,2.0,,,,,,,,,
259,Allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,13,0.0,29,6,2.22,96652,FLA,False,allan,262,Allan,Allan Rodrigues de Souza,0.56,4,,2.0,5.0,19.0,2.0,2.0,7.0,,,,,,,,,,,,,
