,atletas.apelido_abreviado,atletas.foto,atletas.pontos_num,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.apelido,atletas.nome,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,CV,V,PP,DP,PC,GC
10,Cássio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,27,0.0,29,6,9.22,42234,CRU,False,cassio,283,Cássio,Cássio Roberto Ramos,5.24,1,,4.0,,,,,4.0,,,11.0,,,78.0,20.0,,,,1.0,,
11,Fagner,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,9,0.0,29,6,8.51,42500,CRU,False,fagner,283,Fagner,Fagner Conserva Lemos,6.1,2,,1.0,20.0,11.0,,1.0,7.0,,1.0,5.0,,,,,,,,,,
12,Walter,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,8.9,20,1.68,29,7,11.29,51413,MIR,True,walter,2305,Walter,Walter Leandro Capeloza Artune,7.07,1,,2.0,,,,,3.0,,,8.0,,,80.0,16.0,,,,2.0,,
13,E. Ribeiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,23,0.0,29,5,7.57,51772,BAH,False,everton-ribeiro,265,Everton Ribeiro,Everton Augusto de Barros Ribeiro,4.3,4,3.0,3.0,31.0,18.0,5.0,7.0,36.0,2.0,,,1.0,,,,1.0,,,,,
14,Gilberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.9,19,0.32,29,7,4.44,61188,JUV,True,gilberto,286,Gilberto,Gilberto Oliveira Souza Júnior,2.15,5,2.0,5.0,5.0,21.0,9.0,6.0,15.0,2.0,4.0,,,,,,,,1.0,,,
15,A. Sandro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1.4,17,-0.69,29,7,9.44,61987,FLA,True,alex-sandro,262,Alex Sandro,Alex Sandro Lobo Silva,4.15,2,,4.0,16.0,35.0,1.0,3.0,15.0,,1.0,10.0,,,,,,,,,,
16,Ganso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,14,0.0,29,5,5.49,62977,FLU,False,ganso,266,Ganso,Paulo Henrique Chagas de Lima,1.18,4,,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,
17,Neymar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,13,0.0,29,5,13.81,63007,SAN,False,neymar,277,Neymar,Neymar da Silva Santos Júnior,4.78,4,,4.0,3.0,15.0,9.0,9.0,49.0,3.0,2.0,,1.0,,,,1.0,,,,,
18,R. Tolói,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,3,0.0,29,5,9.37,63008,SAO,False,rafael-toloi,276,Rafael Tolói,Rafael Toloi,5.63,3,,,8.0,2.0,,,1.0,,,1.0,,,,,,,,,,
19,M. Rocha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.5,7,-1.34,29,7,9.61,63013,GRE,True,marcos-rocha,284,Marcos Rocha,Marcos Luis Rocha Aquino,6.43,2,,,21.0,4.0,1.0,,7.0,,,2.0,,,,,,,,,,
20,A. Ruschel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,14,0.0,29,3,4.86,63110,JUV,False,alan-ruschel,286,Alan Ruschel,Alan Luciano Ruschel,2.19,2,,2.0,13.0,12.0,,,20.0,,3.0,2.0,,,,,1.0,,,,,
21,Edenílson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.2,21,-0.29,29,7,5.18,63289,GRE,True,edenilson,284,Edenílson,Edenílson Andrade dos Santos,2.66,4,1.0,4.0,10.0,13.0,3.0,5.0,23.0,3.0,1.0,,,1.0,,,,,,,,
22,A. Patrick,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,21,0.0,29,6,13.26,68685,INT,False,alan-patrick,285,Alan Patrick,Alan Patrick Lourenço,6.75,4,5.0,3.0,15.0,17.0,7.0,7.0,29.0,9.0,3.0,,2.0,,,,,,1.0,,,
