,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC
10,VIT,,0.0,42222,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,287,3.53,6,0.0,0.4,5,Osvaldo,7,Osvaldo Lourenço Filho,False,osvaldo,3,Osvaldo,,,,1.0,,,,,,,,,,,,,,,,
11,CRU,,2.9,42234,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,283,9.43,7,-1.25,5.97,1,Cássio,7,Cássio Roberto Ramos,True,cassio,7,Cássio,,,,,,,,,2.0,26.0,7.0,1.0,2.0,,,,,,,
12,CAM,,8.21,42411,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,282,10.23,7,0.53,5.75,6,Cuca,7,Alexi Stival,True,cuca,7,Cuca,,,,,,,,,,,,,,2.0,,,,,,
13,CRU,,5.4,42500,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,283,8.04,7,0.0,5.78,2,Fagner,7,Fagner Conserva Lemos,True,fagner,4,Fagner,,10.0,6.0,,,2.0,,1.0,1.0,,,,2.0,,,,,,,
14,MIR,,0.0,50317,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2305,5.0,6,0.0,0.0,3,D. Braz,7,David Braz de Oliveira Filho,False,david-braz,0,David Braz,,,,,,,,,,,,,,,,,,,,
15,FOR,,0.0,50353,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,356,6.28,6,0.0,4.6,3,Titi,7,Christian Chagas Tarouco,False,titi,3,Titi,,5.0,4.0,,,1.0,,,,,,,2.0,,,,,1.0,,
16,MIR,,2.9,51413,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2305,6.49,2,0.49,2.9,1,Walter,7,Walter Leandro Capeloza Artune,True,walter,1,Walter,,,,,,,,,,3.0,1.0,,,,,,,,,
17,BAH,,8.7,51772,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,265,8.95,7,0.92,4.32,4,E. Ribeiro,7,Everton Augusto de Barros Ribeiro,True,everton-ribeiro,6,Everton Ribeiro,,11.0,5.0,2.0,,9.0,1.0,,1.0,,,,,,,,,1.0,,
18,INT,,2.0,52271,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,285,6.54,7,-1.22,3.3,4,Fernando,7,Fernando Francisco Reges,True,fernando,5,Fernando,,8.0,2.0,3.0,,3.0,,,,,,,,,,,,,,
19,FOR,,0.0,52827,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,356,7.23,7,0.0,3.34,3,D. Luiz,7,David Luiz Moreira Marinho,False,david-luiz,5,David Luiz,,4.0,4.0,,3.0,1.0,,,1.0,,,,2.0,,,,,,,
20,MIR,,0.0,53865,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2305,4.0,6,0.0,0.0,5,L. Gamalho,7,Leonardo Gamalho de Souza,False,leo-gamalho,0,Léo Gamalho,,,,,,,,,,,,,,,,,,,,
21,VAS,,0.0,60793,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,267,2.76,6,-0.37,0.82,5,A. Teixeira,7,Alex Teixeira Santos,True,alex-teixeira,5,Alex Teixeira,,3.0,2.0,1.0,,,,,1.0,,,,,,,,,,,
22,VAS,,0.0,60803,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,267,4.0,6,0.0,0.0,3,Souza,7,Josef de Souza Dias,False,souza,0,Souza,,,,,,,,,,,,,,,,,,,,
23,JUV,,1.9,61188,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,286,4.57,7,-0.7,1.65,5,Gilberto,7,Gilberto Oliveira Souza Júnior,True,gilberto,4,Gilberto,1.0,,5.0,1.0,,6.0,,1.0,1.0,,,,,,,,,,,
24,FLA,,0.9,61987,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,262,10.18,7,-1.13,4.12,2,A. Sandro,7,Alex Sandro Lobo Silva,True,alex-sandro,5,Alex Sandro,,8.0,14.0,,1.0,4.0,,,,,,,2.0,,,,,,,
25,FLU,,2.3,62977,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,266,7.08,7,-0.71,1.26,4,Ganso,7,Paulo Henrique Chagas de Lima,True,ganso,5,Ganso,,2.0,1.0,,2.0,6.0,,,1.0,,,,,,,,,,,
26,SAN,,0.0,63007,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,277,19.72,5,0.0,1.55,4,Neymar,7,Neymar da Silva Santos Júnior,False,neymar,2,Neymar,,,2.0,1.0,,7.0,,,1.0,,,,,,,,,,,
