,atletas.preco_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.media_num,atletas.clube_id,atletas.entrou_em_campo,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.atleta_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,V,CV,DE,DP,GS,PP,PC,GC
418,6.0,0.0,B. Gomes,Bruno Gomes,0,Bruno Gomes da Silva Clevelário,2,0.0,285,False,5,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,106202,bruno-gomes,25,INT,,,,,,,,,,,,,,,,,,,,
419,3.71,0.0,M. Antônio,Marcos Antônio,18,Marcos Antônio Silva Santos,4,1.84,276,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,106294,marcos-antonio,25,SAO,2.0,4.0,13.0,18.0,1.0,3.0,19.0,,,,,,,,,,,,,
420,5.13,0.0,C. Alexandre,Caio Alexandre,16,Caio Alexandre Souza e Silva,4,2.4,265,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,106323,caio-alexandre,25,BAH,1.0,4.0,18.0,28.0,1.0,5.0,27.0,,,,,,,,,,,,,
421,8.19,0.0,E. Santos,Eduardo Santos,7,Eduardo Gonzaga Mendes Santos,3,5.1,280,False,5,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,106434,eduardo-santos,25,RBB,,,10.0,1.0,,,2.0,,,,4.0,,,,,,,,,
422,7.98,0.0,Villalba,Villalba,21,Lucas Hernán Villalba,3,5.46,283,False,7,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,106593,villalba,25,CRU,,6.0,27.0,14.0,2.0,5.0,12.0,1.0,,,11.0,3.0,,,,,,,,
423,4.3,1.4,L. Pereira,Léo Pereira,14,Leonardo Augusto dos Santos Pereira,5,2.76,292,True,7,-0.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,106681,leo-pereira,25,SPT,1.0,,12.0,11.0,4.0,5.0,23.0,,3.0,,,,,,,,,,1.0,
424,8.51,5.7,I. Formiga,Igor Formiga,5,Igor Marques Paciência Cardoso,2,6.74,286,True,6,-0.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,106708,igor-formiga,25,JUV,,,11.0,3.0,1.0,3.0,3.0,1.0,,,1.0,,,,,,,,,
425,6.13,1.0,R. Nestor,Rodrigo Nestor,12,Rodrigo Nestor Bertalia,4,3.42,265,True,6,-0.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,106822,rodrigo-nestor,25,BAH,,2.0,12.0,7.0,1.0,3.0,9.0,2.0,,,,1.0,,,,,,,,
426,5.61,0.0,Patryck,Patryck,3,Patryck Lanza dos Reis,2,3.43,276,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,106829,patryck,25,SAO,,1.0,1.0,2.0,1.0,4.0,2.0,,,,1.0,,,,,,,,,
427,4.5,1.5,P. Baya,Paulo Baya,9,Paulo Henrique Silva Ribeiro,5,2.92,354,True,6,-0.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,106918,paulo-baya,25,CEA,1.0,,3.0,,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,
428,9.84,6.5,L. Juba,Luciano Juba,23,Luciano Batista da Silva Júnior,2,5.95,265,True,7,0.54,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,107093,luciano-juba,25,BAH,3.0,2.0,23.0,16.0,3.0,9.0,7.0,5.0,1.0,,8.0,,,,,,,,,
429,3.76,0.0,Jeffinho,Jeffinho,7,Jefferson Ruan Pereira dos Santos,5,2.4,263,False,7,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,107170,jeffinho,25,BOT,2.0,,3.0,4.0,1.0,1.0,3.0,,,,,,,,,,,,,
430,5.94,1.7,M. Araújo,Michel Araújo,14,Michel Daryl Araújo Villar,4,3.16,265,True,7,0.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,107173,michel-araujo,25,BAH,,1.0,7.0,11.0,2.0,2.0,4.0,4.0,,,,,,,,,,,,
431,6.03,-0.3,B. Tabata,Bruno Tabata,18,Bruno Vinícius Souza Ramos,4,4.06,285,True,6,-0.4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,107174,bruno-tabata,25,INT,1.0,4.0,16.0,12.0,7.0,8.0,20.0,3.0,2.0,,,1.0,,,,,,,,
432,4.42,0.0,M. Donelli,Matheus Donelli,5,Matheus Planelles Donelli,1,3.08,264,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,107179,matheus-donelli,25,COR,,1.0,,,,,1.0,,,,1.0,,,,13.0,,6.0,,,
433,6.5,-0.7,L. Linck,Léo Linck,4,Leonardo Matias Baiersdorf Linck,1,4.02,263,True,7,-1.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,107183,leo-linck,25,BOT,,1.0,,,,,,,,,2.0,,,,7.0,,2.0,,,
434,3.44,0.0,Magrão,Magrão,2,Audenirton Soares da Silva,1,2.9,356,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,107221,magrao,25,FOR,,,,,,,,,,,,,,,6.0,,2.0,,,
435,7.36,0.0,Danilo,Danilo,6,Danilo dos Santos de Oliveira,4,2.3,263,False,5,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,107231,danilo,25,BOT,,1.0,3.0,2.0,,3.0,1.0,1.0,,,,,,,,,,,,
436,5.11,1.7,Vanderlan,Vanderlan,9,Vanderlan Barbosa da Silva,2,3.29,280,True,7,-0.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,107236,vanderlan,25,RBB,1.0,,16.0,15.0,,2.0,7.0,,,,,,,,,,,,,
437,5.97,12.0,Ênio,Ênio,15,Sebastião Ênio Santos de Almeida,5,3.14,286,True,6,1.93,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,107516,enio,25,JUV,,3.0,7.0,4.0,4.0,7.0,24.0,2.0,5.0,,,1.0,,,,,,,,
438,8.58,5.8,Natanael,Natanael,23,Natanael Moreira Milouski,2,5.04,282,True,6,0.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,107554,natanael,25,CAM,,1.0,36.0,19.0,4.0,9.0,18.0,1.0,2.0,,8.0,,,,,,,,,
439,1.0,0.0,Adriano,Adriano,0,Antônio Adriano Nascimento de Sousa,1,0.0,292,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,107698,adriano,25,SPT,,,,,,,,,,,,,,,,,,,,
440,5.83,1.2,C. Barletta,Chrystian Barletta,23,Chrystian Amaral Barletta de Almeida,5,3.44,292,True,6,0.22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,107726,chrystian-barletta,25,SPT,,2.0,14.0,12.0,15.0,15.0,24.0,2.0,5.0,,,2.0,,,,,,,,
441,4.38,0.0,Praxedes,Praxedes,7,Bruno Conceição Praxedes,4,2.17,280,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,107744,praxedes,25,RBB,,1.0,4.0,5.0,2.0,6.0,9.0,,,,,,,,,,,,,
442,3.0,0.0,Adriel,Adriel,0,Adriel Vasconcelos Ramos,1,0.0,284,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,107748,adriel,25,GRE,,,,,,,,,,,,,,,,,,,,
443,2.43,0.0,Natã,Natã,2,Natã Felipe de Amorim Santos,3,1.35,286,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,107801,nata,25,JUV,,,2.0,1.0,,,,,,,,,,,,,,,,
444,3.73,0.0,Pierre,Pierre,2,Pierre Wagner Oliveira dos Santos,4,0.95,356,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,107812,pierre,25,FOR,,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,
445,2.0,0.0,Fintelman,Fintelman,0,Alexandre Fintelman de Mello Ribeiro da Silva,1,0.0,287,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,107859,fintelman,25,VIT,,,,,,,,,,,,,,,,,,,,
446,5.85,2.4,Bobadilla,Bobadilla,19,Damián Josué Bobadilla Benítez,4,4.01,276,True,7,0.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,107873,bobadilla,25,SAO,1.0,2.0,32.0,22.0,5.0,6.0,10.0,2.0,1.0,,,,,,,,,,,
447,4.97,0.0,Hugo,Hugo,5,Hugo Ferreira de Farias,2,2.28,264,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,107908,hugo,25,COR,,,3.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,
448,6.59,0.0,F. Vera,Fausto Vera,11,Fausto Mariano Vera,4,2.89,282,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,107950,fausto-vera,25,CAM,,2.0,16.0,13.0,,4.0,5.0,1.0,,,,,,,,,,,,
